"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.01688e+06,1.41576e+06,345963,282686,185214,247500,10777.7,-2387.69,-13059.7,94072.7,17147.4,8016.75,1472.38,0
1.66263e+06,1.48826e+06,375526,332050,273012,312727,7938.08,-644.45,-8649.5,118994,19911.6,7161.04,-17.7381,0.000784164
1.16116e+06,907912,434138,349131,272014,360277,8021.03,-1768.38,-1286.27,111981,13449.7,5866.36,-662.299,0.00403284
1.66165e+06,1.4767e+06,494383,387388,298182,395178,9179.02,-2022.96,7648.97,113282,2607.94,8455.08,393.435,0.0261015
1.39075e+06,1.14465e+06,843043,783448,565398,637550,12193,-1747.03,-5938.91,129997,16775.2,17563.7,580.99,0.0398803
1.7566e+06,1.44442e+06,668113,577312,447885,524829,10686.9,-2008.78,30430.2,169322,34764.8,7432.79,-256.632,0.0678862
1.68995e+06,1.4663e+06,561737,475296,377434,448802,10566.2,-2267.74,34951.4,93140,36798.3,7836.08,248.642,0.0705748
1.88367e+06,1.73804e+06,299365,209778,176171,260169,6258.59,-1498.74,-5183.86,84733.2,9353.11,2628.04,11.4397,0.0891707
1.57341e+06,1.38894e+06,539196,502903,401834,429248,10860.9,140.294,45859.2,83553.6,9944.96,8491.96,135.366,0.0912991
2.00683e+06,1.80809e+06,326343,292496,245703,276565,5180.89,-1440.13,5061.83,105926,-10462.6,31223.7,521.155,0.0980205
2.45616e+06,2.17204e+06,338981,266262,213680,279033,4844.16,-2157.75,5720.07,99270.6,42986.9,10697.3,73.2603,0.0988047
1.85662e+06,1.68628e+06,326856,251459,217544,286393,6420,-1488.57,81077.9,85286.5,12249.6,3478.24,-265.712,0.10519
1.59929e+06,1.42196e+06,434098,382466,301387,358215,8266.23,-1048.8,82115.5,88615,5161.25,8790.74,-330.031,0.112472
1.39785e+06,1.14829e+06,552418,428816,332195,435753,11091.2,-1765.13,91093.5,122467,15442,11575.1,-52.3216,0.11572
1.66123e+06,1.3485e+06,755128,595847,441731,572271,11149.6,-851.928,1765.98,134157,4807.93,12955.5,382.503,0.128267
2.24006e+06,1.80509e+06,592656,563517,426322,463604,10378.3,-880.16,83108.5,108374,8457.74,5955.18,-0.415894,0.136557
1.53835e+06,1.29111e+06,553386,481910,354417,430308,8379.24,-1807.59,21707.9,79945.1,7716.88,11303.3,41.2482,0.137229
1.90126e+06,1.63335e+06,475707,385502,293381,378960,10081.2,-1621.97,68577.6,85156.4,3343.19,10320.8,62.8262,0.155713
2.43038e+06,2.07813e+06,390061,285596,229679,320601,11012,-1569.4,-3259.96,150151,21653.8,6488.24,246.734,0.156049
1.52758e+06,1.28516e+06,639901,602910,469737,483905,9004.88,-1448.7,8496.37,85876.6,9429.99,9243.14,-58.812,0.172628
2.11117e+06,1.79531e+06,820164,659243,483046,618521,10247.9,-1396.68,11678.6,111049,7472.48,15900.9,13.7682,0.191112
2.26739e+06,1.93202e+06,471077,387045,302168,385720,8150.21,-2448.57,-3500.74,369367,17217.2,5559.76,60.3565,0.19873
1.79787e+06,1.58523e+06,564187,513426,395629,450939,9007.48,-1585.6,6881.81,116010,22195.9,3976.12,-300.007,0.224719
1.83311e+06,1.54868e+06,657347,517416,389374,524704,7197.66,-1300.5,-8048.6,98606.6,10253.4,5723.83,-117.122,0.25967
1.27437e+06,795374,511721,406495,264635,350780,11227.2,-1089.3,46937.5,64579,10286.3,12739.2,-323.996,0.376623
1.78871e+06,1.51165e+06,642800,562238,423157,505298,13524.1,-3037.04,60113.4,338122,29113,12274.2,-68.5395,0.413815
1.93107e+06,1.61764e+06,493240,429242,320398,378656,11881.9,-1873.17,-11652.7,142505,19158,7503.89,248.197,0.460416
1.33099e+06,1.10183e+06,727641,611712,434538,537409,8918.95,-734.374,47932.5,134685,6383.38,10973,-120.367,0.466466
2.73716e+06,2.32938e+06,494878,399431,297599,395579,6519.06,-1326.4,30320.2,161055,10235.5,2854.64,1163.91,0.497272
1.48889e+06,1.34088e+06,414255,352137,288180,338157,6487.52,-1824.36,6104.58,85671.7,16694.8,5497.51,-100.948,0.522253
2.20945e+06,1.93146e+06,385094,358615,286631,311583,6198.96,-655.913,17925.4,94272.3,8498.37,4298.36,15.7389,0.527966
1.32175e+06,1.03978e+06,506109,440105,318864,390204,7086.39,-381.792,-64.5681,85822,4739.06,6102.46,58.1514,0.573896
1.70107e+06,1.48816e+06,565339,457510,356110,454197,10413.8,-1094.98,-11814.7,119542,1183.19,6036.04,-285.822,0.604254
1.80722e+06,1.63591e+06,322771,255337,218504,268585,14328.7,-1146.31,34225.3,139765,-1212.15,3878.54,-290.705,0.638422
1.57679e+06,1.28286e+06,721384,641992,466731,534215,13576,1029.19,67085.6,101554,11324.1,9860.38,359,0.639318
1.59097e+06,1.41346e+06,497230,359791,281120,401948,7542.83,-2170.61,90057,110356,11544.5,6313.18,118.908,0.656569
1.18852e+06,1.04211e+06,384351,326070,271569,326647,6150.71,-934.893,32446.5,111554,4402.38,4829.8,-429.677,0.671805
1.43e+06,1.20456e+06,501822,439208,349493,407029,9213.57,-1199.72,32404,96191.1,2501.98,9449.75,270.909,0.672253
1.82477e+06,1.5293e+06,543688,456757,365278,440613,6574.2,-723.177,-2548.39,90040.7,19190.8,7266.62,366.551,0.697682
1.68606e+06,1.52579e+06,362128,343648,289403,303829,7001.03,-1289.16,21624.6,97157.7,5855.38,6406.65,39.5627,0.705524
1.30619e+06,1.20898e+06,337030,279935,249730,299823,5359.23,-1425.19,65449.2,86127.5,22637.3,1860.99,-112.662,0.71695
1.6901e+06,1.48628e+06,580962,514698,388955,435325,9928.73,-2111.59,-6303.76,76601.9,13238.9,10156.6,1422.82,0.717958
1.44956e+06,1.21475e+06,587064,550842,436508,460082,7656.46,-1206.39,-4708.6,61000.6,21965.8,5166.98,92.091,0.719303
2.18222e+06,1.70391e+06,740786,557423,409982,571247,8074.96,43.7953,-552.332,74048.8,3886.33,8414.36,296.014,0.733866
1.04487e+06,932159,437072,433840,376465,372682,8011.41,-1725.67,23435.9,76163.9,10029.4,5633.08,-56.9357,0.739019
2.72778e+06,1.89573e+06,1.29922e+06,1.02655e+06,651779,858527,11903.3,-2499.94,194498,184627,41923.4,16196.9,111.188,0.744284
1.59208e+06,1.34639e+06,645511,567693,418841,468653,11006.5,-1182.42,68553.1,97671.5,2116.61,15321.9,450.992,0.74462
1.62577e+06,1.42137e+06,561424,484132,385097,463487,10192.8,-1515.11,32114.6,130458,4114.02,13454.8,486.277,0.751005
1.45344e+06,1.25389e+06,516295,452328,351872,414701,7687.83,-729.981,-5322.54,96620.6,3487.57,4715.61,377.849,0.756494
1.5694e+06,1.24173e+06,894488,746765,556666,667851,11896.2,-1229.78,-9883.36,148326,21351,11995,761.656,0.78226
