"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.5122e+06,1.33662e+06,506344,417657,327757,410331,6476.21,-1536.95,6984.45,110725,16880,7466.15,-324.745,0.0207454
1.82031e+06,1.52179e+06,508702,439883,359114,415739,6921.76,-968.896,29624.7,100920,2125.12,3744.32,-17.0549,0.0341295
1.53134e+06,1.29756e+06,433241,346806,287564,364212,11428.4,-1844.78,-15000,113811,11395,7923.92,160.767,0.0448369
2.06144e+06,1.77609e+06,555297,446852,329031,427585,7389.73,-47.9672,-1000.43,115562,3410.8,7069.93,115.892,0.077628
1.80698e+06,1.59419e+06,571371,569651,383247,450523,5740.01,-969.815,3599.75,51052.3,930.281,4607.92,-258.747,0.0808625
1.97784e+06,1.64785e+06,584537,446574,320233,439193,8989.1,-2133.42,-15207.9,75506.8,19139.2,11353.8,105.748,0.0849893
1.94902e+06,1.71817e+06,575232,466574,340899,457489,7095.9,-1384.1,-3964.62,100385,6217.19,5337.1,-359.041,0.087443
1.66879e+06,1.18604e+06,508028,418328,271888,345255,8899.74,-217.171,30825.5,57575.9,22914,9127.56,-205.715,0.0964773
1.74777e+06,1.53637e+06,590006,443081,341356,471563,9121,-1776.12,26202.2,93246.2,18300.2,8531.76,118.1,0.132391
1.5091e+06,1.26851e+06,648685,574012,421900,501798,11150,-1861.55,-4846.2,96825,21371.6,8464.19,520.645,0.144214
2.09041e+06,1.75802e+06,637356,529148,421723,512440,7918.6,-862.735,29902.5,74075.2,15100.3,4901.16,424.628,0.150014
1.38731e+06,1.19432e+06,531655,428014,329726,426833,7237.02,-859.57,-6502.43,107477,3518.28,7365.72,243.604,0.15191
2.47673e+06,1.97501e+06,559018,444571,319849,420115,8561.79,-1348.73,165615,101026,12557.3,2743.17,-262.107,0.156929
1.65951e+06,1.43158e+06,433734,363990,279746,350187,9647.44,-1881.08,-8257.71,127666,2410.54,8678.73,-189.564,0.177897
1.43833e+06,1.32535e+06,475708,435912,352802,397543,8867.39,-1587.26,3604.77,182713,11405.4,9057.23,-397.346,0.20567
1.0333e+06,824366,581457,512741,370707,419154,7667.94,-2136.4,76713.9,70059.6,11164.5,6399.81,-108.074,0.205781
1.49829e+06,1.40934e+06,264946,216916,190681,234024,8135.42,-1179.08,7803.34,140904,-167.581,2450.16,-468.925,0.225411
1.41397e+06,1.26807e+06,275311,227676,199809,242624,4891.33,-1341.22,65416.2,93165.2,340.339,1972.43,-482.247,0.243591
1.708e+06,1.56191e+06,178349,171354,141479,156304,4484.48,-1831.83,4310.82,116986,8100.71,4267.53,96.5577,0.24426
2.10996e+06,1.76146e+06,457352,394887,309984,357132,6141.04,-1357.39,5016.19,191999,5411.05,5740.89,593.538,0.257198
1.39306e+06,1.14436e+06,569823,477806,371604,439878,7399.96,-685.962,2808.15,94291,7378.14,11884.9,0.462509,0.262887
1.80248e+06,1.51795e+06,644592,520165,398695,501856,12398.9,-1759.97,-11865.1,193975,12566,11959.1,418.729,0.266233
2.0561e+06,1.64654e+06,889102,725278,531000,679372,19246.7,-2974.04,73270.9,145209,35836.6,11133.4,437.514,0.277721
1.96984e+06,1.68512e+06,736451,599092,438855,552308,10682.7,-1264.81,-10828.5,115866,7971.74,14251.6,765.676,0.304935
1.65817e+06,1.53961e+06,387555,321422,275848,328794,6389.93,-2929.31,9771.58,84416,46136.1,7340.68,239.457,0.326684
1.45779e+06,1.15301e+06,721629,671478,504652,544210,11422,-1705.65,-5509.87,124620,29520.7,11715,131.666,0.328469
1.55873e+06,1.20972e+06,637998,512379,399903,514122,10262.6,-1475.12,-2186.92,219386,15645.2,6012.85,196.299,0.337169
1.98469e+06,1.71876e+06,568778,485638,382425,444451,10174.2,-1466.16,33096.7,109409,2807.29,7740.43,-200.543,0.361595
1.94562e+06,1.56926e+06,573339,478908,349192,432751,4989.36,-1291.85,19161.1,85060.5,6944.66,2256.51,629.404,0.381671
1.98784e+06,1.70792e+06,711923,643631,475400,551776,10209.2,-1671.34,82802.8,130835,24617.1,11704.8,-134.694,0.397286
1.45899e+06,1.21363e+06,338449,288940,209623,261064,9331.42,-1716.77,-4359.38,104570,-800.409,4360.7,107.093,0.432865
1.69115e+06,1.55896e+06,303355,286612,241382,252036,9803.71,-1782.93,33498.4,86202.8,9572.55,4331.36,-9.10725,0.469449
2.5147e+06,2.16297e+06,466191,387797,301946,377016,7203.06,-818.957,1591.06,97372.4,5546.32,4068.95,263.259,0.474691
1.77505e+06,1.32232e+06,862352,836034,582137,590042,12022.3,-2426.19,-13101,184256,59766.8,11229.7,-33.2331,0.511609
1.59234e+06,1.32008e+06,787902,614501,457838,602063,11793.8,-2020.94,2888.92,165739,15243.7,16226.7,325.797,0.557338
1.76755e+06,1.62727e+06,376957,320141,274328,322952,6738.02,-1166.86,107628,65916.9,3602.46,2686.47,-300.204,0.572841
1.56909e+06,1.34791e+06,509802,479802,374735,402040,11415.3,-1866.2,1845.47,105792,9707.45,6276.59,371.067,0.574403
1.83854e+06,1.50668e+06,729519,607487,420011,531375,11353.9,-1063.85,6485.16,127429,21347.3,13657,-12.1952,0.590017
2.12296e+06,1.61265e+06,616766,470762,339391,462205,9743.68,-1701.94,-5672.97,188767,12487.3,7520.37,465.029,0.592694
1.62374e+06,1.39768e+06,458552,363046,299677,388343,9588.32,-2360.28,26014.8,90042,14387.1,8260.13,-389.072,0.625262
1.67986e+06,1.38543e+06,573708,403222,301138,465296,7236.28,585.152,30547,69076.8,5311.01,6729.05,587.884,0.632623
1.57758e+06,1.42859e+06,442087,358902,297067,374107,4603.99,-1401.5,3233.04,80874.2,10021.8,2588.01,-326.093,0.651027
1.90962e+06,1.62315e+06,546234,490788,379138,440549,11233,-2053.4,-14038,91706.7,15496.2,7477.21,-60.6403,0.670434
2.41376e+06,2.01849e+06,366817,283343,222246,297046,6445.29,-1137.79,9163.68,78052.8,5796.25,2922.16,0.608711,0.703113
2.05862e+06,1.62787e+06,648476,567099,405842,477615,9170.61,-1359.68,32695.7,147662,3724.89,7301.74,83.9475,0.707575
