"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.08606e+06,1.51918e+06,878240,693990,475864,618075,28632.6,-3452.22,337577,395081,23568.9,20174.4,1187.91,0.138817
983298,674260,917176,835681,564251,631771,9930.3,-1953.05,187614,227893,28222.5,11520.2,480.751,0.315024
811112,564311,566067,508064,381388,419585,10000.8,-1871.11,259228,130052,6810.59,9750.98,524.971,0.413763
1.62439e+06,1.2124e+06,674669,545175,396550,500488,11688,-4496.03,659847,240207,22922.9,10005.9,-309.828,0.694643
2.00127e+06,1.511e+06,754323,666198,444782,508016,20626.7,-3708.25,189292,319954,30983.1,17627.7,1511.72,0.762708
1.22673e+06,709907,521554,417710,266603,343761,4969.5,-2208.43,420704,194785,7767.7,14078.2,-601.365,1.06676
2.10077e+06,1.54503e+06,738618,580022,399595,518369,12812.4,-2848.53,186995,321381,63767.3,17286.6,1110.99,1.35066
1.28092e+06,880336,756037,571894,400462,544488,13043.4,-1914.66,238383,199174,23235,11110.2,798.336,1.40126
867009,612565,625255,510854,317123,420982,10026.8,-2379.87,262735,108301,32032.4,9044.54,74.4547,1.48052
1.02725e+06,860921,572417,461370,320065,411022,10858.1,-2242.54,281921,116916,9743.05,8409.65,153.761,1.67061
2.26218e+06,1.52405e+06,675128,551342,346134,436792,20160.5,361.372,198138,363527,21011.5,18339.2,912.224,1.94813
1.3593e+06,1.07356e+06,384406,296077,244229,318018,6793.64,-3682.92,643938,98328.5,8261.37,10098.3,-1010.87,2.05661
1.85325e+06,1.32677e+06,946926,810489,546012,653019,21280.2,-2849.5,295399,443832,21939.7,24212.2,1126.76,2.07452
1.20235e+06,856081,566746,463025,286020,369023,15550.8,-2453.93,275893,281758,15193.1,13990,331.724,2.1155
1.8741e+06,1.55963e+06,421825,333319,251240,329616,12810.2,-3302.92,337775,206909,6510.24,10283.5,125.273,2.21704
1.93069e+06,1.31691e+06,1.38375e+06,1.14525e+06,701714,870451,22131.5,-2200.02,605987,288248,27056.6,24714.2,1074.5,2.22845
1.29154e+06,921502,944564,780197,490307,630569,20513.1,-3695.04,553187,363673,28581.1,14506.2,482.881,2.48605
1.69527e+06,1.29269e+06,514989,406697,312526,396740,12810.4,-4318.88,597743,248599,10697.3,9218.68,-584.821,2.63774
1.68396e+06,1.31138e+06,590123,483050,337470,430739,12951.1,-2128.36,181209,229270,9963.8,11051.8,428.982,2.72416
1.59432e+06,1.23033e+06,693394,573651,327441,434656,14773.9,-2785.48,392897,302900,6330.1,15294,-259.256,2.77991
1.95707e+06,1.58704e+06,477951,447798,338408,367016,14279.1,-2213.01,214144,252365,12087.2,9401.19,904.889,2.8472
1.98281e+06,1.42466e+06,871909,684038,400502,563777,19675.6,-2312.01,304204,447680,25948.1,21987.2,1497.56,2.95019
1.91128e+06,1.40604e+06,580253,482019,337024,407644,10619.7,-2515.47,261496,219355,41177.3,14873.5,612.874,3.0674
1.60752e+06,1.34927e+06,400446,320344,254204,318435,10246.7,-2117.99,256045,213702,5839.78,9180.09,446.439,3.13681
1.62805e+06,1.3409e+06,458734,417794,307083,351871,10005,-3575.61,704100,176027,1446.03,14002.4,-536.429,3.49896
1.15505e+06,853904,441124,342807,263194,344105,9106.26,-2035.88,110688,150345,24381.3,8523.91,-73.7163,3.51329
1.37406e+06,1.06816e+06,736851,636736,434446,532296,14969.6,-2986.34,344766,365222,16821,18680.1,141.382,3.53434
2.05832e+06,1.50262e+06,848454,688776,440186,574063,21296.6,-3812.92,647631,361528,26059.5,21728.4,862.932,3.57352
