time,replicate,genotype,counts,cohort number
0,1,WT,6177,6157
24,1,WT,5537,5520
48,1,WT,11914,4964
72,1,WT,51477,4611
96,1,WT,32057,2326
120,1,WT,25629,1802
144,1,WT,15877,1231
0,2,WT,5934,5917
24,2,WT,5674,5666
48,2,WT,12209,5000
72,2,WT,50943,4562
96,2,WT,31140,2381
120,2,WT,29286,2013
144,2,WT,17729,1310
0,3,WT,5897,5877
24,3,WT,5800,5794
48,3,WT,11717,4849
72,3,WT,50389,4537
96,3,WT,34303,2537
120,3,WT,27994,1872
144,3,WT,17166,1297
0,1,BaxBak KO,6757,6731
24,1,BaxBak KO,7326,7317
48,1,BaxBak KO,13617,6978
72,1,BaxBak KO,66689,7156
96,1,BaxBak KO,87191,7128
120,1,BaxBak KO,80129,6211
144,1,BaxBak KO,82583,6107
0,2,BaxBak KO,6797,6769
24,2,BaxBak KO,7140,7131
48,2,BaxBak KO,13140,6746
72,2,BaxBak KO,67469,7020
96,2,BaxBak KO,87129,7188
120,2,BaxBak KO,75997,5886
144,2,BaxBak KO,82454,6277
0,3,BaxBak KO,6651,6631
24,3,BaxBak KO,7106,7086
48,3,BaxBak KO,13166,6576
72,3,BaxBak KO,62109,6829
96,3,BaxBak KO,90114,7325
120,3,BaxBak KO,79397,6268
144,3,BaxBak KO,83740,6382
