"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.18511e+06,948435,861686,741574,476808,568433,15180.3,-2581.24,420929,334325,41345.6,12696.7,1.72299,0.0875855
1.82467e+06,1.52759e+06,524952,406408,312989,411798,12101.4,-3371.16,371059,287504,16175,14940.2,-543.154,0.173377
1.89172e+06,1.41634e+06,792960,606372,386128,517640,24889.3,-3399.72,351020,311742,6761.99,18330.3,65.1705,0.234832
1.73667e+06,1.32638e+06,510439,441608,322130,389790,20190.9,-3045.08,209080,330544,7841.9,15126.1,1.72565,0.274868
1.92966e+06,1.43806e+06,805469,667941,454898,562162,18231,-3125.92,444279,399795,19556.1,19238.9,525.348,0.576315
1.17196e+06,858677,953130,774479,470062,626447,13239.4,-2291.93,294070,179631,52069.7,13309.3,704.993,1.00606
1.47035e+06,1.04238e+06,903026,813960,595705,646948,17072.7,-3035.69,360099,370817,22425.4,14669.5,94.1362,1.07446
1.09005e+06,768207,763718,598392,403385,543206,17132.7,-4291,736574,241345,10319.2,17371,-692.906,1.07805
1.66246e+06,1.36396e+06,575798,468435,357242,451548,13117.9,-4200.02,683786,235660,12087.3,10277.5,-938.708,1.39823
1.59482e+06,1.33059e+06,686500,570931,477430,574091,11092.8,-2113.75,172307,246315,14538,10424.4,145.364,1.48918
2.04276e+06,1.48597e+06,653982,566115,398677,470806,20357.1,-3592.73,418732,488160,21967.7,24061.6,-77.8247,1.6427
1.96481e+06,1.24552e+06,765440,681314,416204,497982,16365.7,-3529.75,453268,402091,18216.3,20334.3,-13.0694,1.84759
1.97049e+06,1.46545e+06,629127,537966,366819,433147,18432,-3994.08,436438,457102,24326,17913.6,689.702,1.86116
1.84422e+06,1.41588e+06,650838,588487,386681,434252,17900.7,-2368.79,167404,375508,35605.5,22710.7,805.105,1.87014
2.10924e+06,1.59202e+06,676969,566401,390026,466475,17699.2,-4422.62,501005,432356,63351,17174.8,609.665,1.87574
1.59754e+06,1.20409e+06,699860,618665,453716,522419,11929.3,-3141.72,271717,232146,24485.2,10869.4,-206.937,1.89514
1.8567e+06,1.281e+06,760870,900488,721503,513961,15783.3,-2093.19,163501,317569,14542.3,13699,123.659,1.93271
1.67991e+06,1.20384e+06,1.19499e+06,1.01503e+06,689067,832283,18600.1,-4428.68,598430,332125,37500.2,16525.4,-78.3242,1.99697
1.57771e+06,1.19959e+06,577286,479266,324777,414589,23422.8,-3850.75,327771,365236,9571.83,16748.8,290.516,2.00011
1.48936e+06,1.02806e+06,1.16147e+06,1.00985e+06,612653,735501,16938.1,-3804.25,760300,380651,25504.8,19890.5,977.696,2.07435
2.13253e+06,1.55382e+06,727685,625296,390878,458609,17083,-1855.26,387050,390408,24664.1,23654,580.315,2.53538
1.48083e+06,1.15875e+06,818776,656619,456883,583250,13067.5,-2749.99,305554,369328,18229.9,12054.9,463.245,2.58192
1.73899e+06,1.40539e+06,726761,573390,424462,564834,12858.1,-2709.45,395701,325613,13955.3,12761.3,61.5046,2.89369
985147,754216,462618,403345,286467,336321,10733.6,-2751.26,348545,198021,11133,9776.27,-428.152,2.92968
976353,683978,649390,523934,349282,463483,10153.8,-3458.74,265940,243371,32332.7,7995.9,-128.078,2.93552
769449,585215,442963,400081,289265,330849,10041,-2632.73,359328,106739,15293.4,9850.13,-361.747,2.94505
1.90188e+06,1.48966e+06,818832,655008,429562,574520,26755.6,-3357.32,541300,341718,15523.5,23343.4,728.116,3.00864
1.63523e+06,1.27253e+06,785307,607189,434637,588619,16471.8,-2512.71,407453,276748,5782.71,13376.6,147.154,3.01009
1.65248e+06,1.28669e+06,785117,715590,479161,541797,15578.2,-4333.85,800849,475630,6606.41,19879.1,-547.872,3.0785
1.46666e+06,987328,803754,663947,434148,541029,20101.2,-3199.7,363853,450144,22546.9,20115.2,365.319,3.13816
1.86127e+06,1.47403e+06,1.07763e+06,866467,539537,687267,22750.7,-5202.59,677246,514483,20615.8,19147.5,494.073,3.15801
1.69557e+06,1.09544e+06,525770,443636,287666,340752,11439.9,-2912.95,356467,209651,12173.3,9017.15,-245.46,3.16104
2.08568e+06,1.73566e+06,605974,592949,434493,450003,14473.6,-4119.16,554383,373988,13006.6,11923.9,-300.04,3.32174
882875,590571,871723,643224,411335,588077,18582.8,-3037.32,623334,351662,14497,15495.8,1195.66,3.43512
1.7336e+06,1.26322e+06,1.23534e+06,1.0474e+06,644828,757634,25859.2,-5814.13,667514,533261,52815.9,19703.3,679.232,3.51935
1.71251e+06,1.36156e+06,509571,438491,314280,380433,13677.7,-4180.59,295505,420481,49492.5,11509.2,6.95167,3.80431
850744,555678,770589,627786,383753,505687,14541.6,-3361.02,128409,329572,41283.5,14167.9,635.673,3.88785
1.58232e+06,1.18272e+06,572861,442739,320975,435470,15268.1,-2722.15,366810,329445,5360.91,14391.8,-123.759,3.90299
1.08376e+06,637529,981836,917262,555221,602196,12150.4,-1423.43,512900,357202,67914.5,23269.5,-426.833,3.91656
2.01706e+06,1.49753e+06,670208,595877,402736,456108,21766.2,-3942.93,321370,486468,10419.2,22927.6,1345.75,4.05854
2.3437e+06,1.67145e+06,803041,638413,406970,564028,24210.6,-3660.16,196181,386590,21323.1,16822.3,284.831,4.22485
1.22097e+06,715560,943238,772832,501069,642050,22725.7,-3812.87,341122,273497,150.922,15422.2,503.396,4.37871
2.03999e+06,1.56768e+06,623323,463864,297441,428481,19278,-2848.94,452106,445758,14777.9,19067.1,403.031,4.42974
1.4303e+06,1.0443e+06,1.0579e+06,905339,565224,681125,24135.9,-3796.23,415761,510627,30651.4,19146.2,84.2674,4.50779
1.86943e+06,1.38622e+06,623184,539582,367847,451927,20008.2,-3812.93,410387,436998,5857.57,16515.2,-305.854,4.65291
1.04323e+06,752894,479194,440395,275649,294619,8203.65,-1729.92,170815,175046,35741.9,10211,722.573,4.7239
2.00519e+06,1.36948e+06,625524,500999,330588,442951,19280.8,-2778.89,92279.9,287168,17708.9,13813.2,822.52,4.80868
2.60651e+06,1.79867e+06,1.08649e+06,944694,555276,682648,26884.5,-4774.78,645059,523560,11860.9,29963,505.316,4.91612
1.14955e+06,939112,562738,475733,340642,416785,10442.3,-1127.96,214921,196254,29989.5,14288.4,-38.3601,5.35505
