"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.74528e+06,1.48069e+06,415374,400791,314434,328964,10182.7,-1738.19,146762,114032,9831.53,5392.57,-301.999,0
1.85896e+06,1.61497e+06,454009,335998,252046,360328,9666.21,-1769.83,127006,146893,5445.82,5364.51,138.28,0.0144615
1.66953e+06,1.39152e+06,566489,465499,354158,449701,10893.1,-340.801,39926.5,172937,45164.4,9462.78,153.702,0.0528441
1.40107e+06,1.19186e+06,538599,468469,368529,427414,13734.6,-3159.24,301048,122508,16448.6,9211.51,-146.116,0.0602379
1.7124e+06,1.4939e+06,417927,364726,289085,339342,7378.74,-1308.62,59149.9,87224.7,15494.9,3739.94,216.794,0.0643698
1.66983e+06,1.41858e+06,429445,369610,286886,343251,10558,-1751.21,25192.9,85873.7,10818.6,4206.99,390.323,0.0902482
1.74206e+06,1.44271e+06,878711,659399,462649,654383,12143.7,-2786.23,325017,199574,31980.2,13227.5,393.466,0.0919879
1.38264e+06,1.15598e+06,427291,373579,292516,338123,8691.39,-1374.84,30777.7,97427.9,7457.48,5553.57,366.458,0.0950324
1.78366e+06,1.48816e+06,464404,427770,323909,361688,13972.8,-2127.02,25828.6,176128,11507.2,7126.8,908.23,0.0977507
1.65777e+06,1.35123e+06,516444,399499,286575,383013,10801.5,-1606.32,27563.8,113129,8443.16,8982.77,349.88,0.099273
2.45814e+06,1.88884e+06,738757,604715,417123,531562,26436.3,-1567.73,65864.2,259221,10801.8,18747.4,1919.45,0.110146
2.07754e+06,1.50654e+06,1.0186e+06,926914,623036,700238,19159.8,-1248.52,45314.9,265144,16686.8,18697.1,1418.76,0.120258
1.79172e+06,1.46169e+06,587524,449740,325544,435529,15874.4,-2763.7,122905,195091,34616.7,10964.9,378.9,0.128305
1.73511e+06,1.3716e+06,524640,399302,271883,383062,18274.7,-1889.57,36561.9,192008,10857.2,11438.2,777.605,0.205614
1.74198e+06,1.5433e+06,505488,453893,347372,390670,14488.5,-3380.35,184362,203278,19746.2,10037.9,-281.264,0.255957
1.96159e+06,1.72252e+06,389096,331196,244614,302026,11897.2,-1727.81,68950.5,105122,12001.2,7160.35,571.767,0.256283
1.92762e+06,1.46995e+06,611019,542217,372426,428459,17442.2,-2416.16,13614.3,292171,69944.4,14709.7,1420.04,0.264656
1.85462e+06,1.53705e+06,578371,478569,351625,445301,11897.6,-2546.13,113577,161716,34788.3,9564.57,521.849,0.314238
2.56418e+06,1.97528e+06,598680,494541,343138,445130,13684.3,-2845.89,32150.1,266980,56514.9,10019.8,159.649,0.331961
2.4563e+06,1.99723e+06,507491,489234,343188,361540,19374.6,-2030.07,57144.9,239549,12124,10610.7,1233.39,0.333918
1.39742e+06,962164,749955,632165,413520,526783,14687.2,-2291.74,18131.9,195139,30663.8,11889.6,676.541,0.337724
1.7447e+06,1.50551e+06,429835,348686,262450,350417,10434.3,-2140.13,162422,133573,15480.1,6227.73,33.4478,0.341312
1.65551e+06,1.37747e+06,617096,539248,385956,465526,14088.8,-1672.09,102901,124595,11408.6,8867.65,456.704,0.352729
1.08389e+06,865930,742812,718014,522900,544910,14425.4,-2807.39,160233,206126,44631.4,6959.6,786.612,0.383283
1.72722e+06,1.30473e+06,525850,443604,289914,374689,11631.1,-2328.49,321902,154442,4691.87,19533,321.059,0.424384
1.30094e+06,1.05351e+06,504406,410756,303074,392433,8700.83,-1573.6,19996.9,122320,8521.97,5658.52,379.505,0.441672
1.69738e+06,1.48896e+06,368739,327200,262062,300289,9059.53,-1337.31,67240.3,91099.6,5124.68,5661.63,497.356,0.451458
1.80263e+06,1.61738e+06,409086,383553,297176,323355,11880.6,-2060.06,29070.9,111558,13357,4926.13,152.482,0.478533
