"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.44348e+06,1.2359e+06,564802,527156,355846,401764,11223.4,-549.738,17846.2,155373,4580.34,11859,404.79,0.0306409
1.89777e+06,1.66958e+06,469339,386601,324442,390620,15633.1,-2167.95,2208.02,115957,20308.4,6632.79,334.031,0.0334265
1.76305e+06,1.44169e+06,499387,390091,286672,381450,13905.6,-1807.51,-801.038,98411,8246.04,9069.65,540.849,0.0999452
1.53097e+06,1.27086e+06,667830,639435,457750,479267,7935.8,-1264.46,100817,137719,19363.1,17833.5,279.936,0.128803
1.84462e+06,1.5237e+06,644305,531759,398492,505548,10392,-1560.76,122810,106919,13859.2,12815.8,122.458,0.136046
1.55892e+06,1.23533e+06,847273,694714,497121,605503,16288.1,-2071.7,50399.2,129808,31458.9,18144.7,1389.6,0.169695
1.91192e+06,1.68474e+06,474518,367738,277879,380595,13481.1,-1686.24,18541.7,104565,13043.7,7927.28,499.632,0.210698
1.53381e+06,1.08058e+06,928870,755382,513903,715552,11450.4,-1720.68,39445.5,85499,18121.7,16136.6,61.599,0.294376
1.75091e+06,1.53198e+06,510636,447593,335339,395127,12777.4,-1136.53,24771.9,94107.7,13581.9,12780.4,603.748,0.306075
1.82036e+06,1.54242e+06,545842,445836,318919,416847,8925.53,-2119.28,135542,106570,8806.31,14868.9,-242.808,0.355212
1.44537e+06,1.15687e+06,749165,595504,414311,556811,13273.1,-3276.63,192187,112407,57977.7,12491.6,340.917,0.520673
1.87741e+06,1.38908e+06,683395,601149,416704,477112,18962.4,-1353.97,-1089.02,213825,50770.9,15721.7,1162.53,0.529253
1.31764e+06,1.02272e+06,830840,773711,548171,594783,15136,-1378.67,-243.092,117531,19815.8,16048.4,1303.37,0.555103
1.66638e+06,1.37507e+06,865251,791636,562294,603473,14642.3,-1727.47,251368,125047,20767.3,22528.8,623.36,0.661065
1.65172e+06,1.36155e+06,744430,697521,507322,558003,12226.4,-1807.67,268891,135604,38358.6,15015,380.122,0.698168
2.47392e+06,1.81355e+06,1.0156e+06,845478,583100,726128,23508.6,-3312.36,8885.87,196680,97679.4,21333.5,1389.88,0.737723
1.68877e+06,1.43942e+06,461740,431221,317988,347069,10689,-1278.71,25287.2,132821,7328.96,12357.1,1014.84,0.757333
1.56385e+06,1.31512e+06,611895,562707,405002,453772,16692.4,-2554.78,9055.94,162173,41415.3,13292.3,817.558,0.775383
1.39929e+06,1.13446e+06,595623,499409,337544,430162,12203.5,-1092.47,2510.95,125740,8221.39,9512.13,1293.45,0.784185
1.54372e+06,1.315e+06,481874,463443,343237,372779,12762.6,-1441.85,2092.92,159690,6617.11,8460.2,640.901,0.790982
1.6138e+06,1.40303e+06,541839,491721,386678,431167,11798.2,1518,636165,84787.8,11578.9,13615.8,71.4416,0.820175
1.66481e+06,1.3809e+06,612920,536438,387716,466944,16978.1,-2775.35,-3144.17,163383,38815.8,10797.7,283.555,0.821066
1.72295e+06,1.39606e+06,724123,574967,402075,527761,11832.8,-874.44,-3065.84,115097,22039.8,17138.9,285.316,0.823183
1.80128e+06,1.48465e+06,482814,445876,324124,368424,16420.1,-3120.88,13098.4,120246,40273.5,12616.1,154.248,0.827863
1.57416e+06,1.32314e+06,450349,377353,270872,346913,13402.5,-2035.31,18344.4,140233,25893.7,9653.75,131.974,0.84101
1.83379e+06,1.65177e+06,317887,274081,219414,261135,10074.4,-1836.86,-2874.06,88612.1,9912.3,5941.06,47.2733,0.844576
1.45894e+06,1.1708e+06,727885,647810,456437,549992,10017.9,241.261,60598.9,104399,20605.6,10128.7,1003.84,0.89349
1.1417e+06,923947,567003,456751,356233,452190,12287.1,-2253.62,-1984.9,101713,35704.6,7798,633.495,0.912543
1.61242e+06,1.36821e+06,723494,559356,421930,580459,9543.61,-816.305,15635.8,79081.4,12214,8243.16,136.586,0.945858
1.87555e+06,1.73049e+06,270864,227296,185530,224635,7240.78,1567.09,124440,78816.7,10656.5,4637.83,304.913,0.957223
1.23275e+06,964076,681148,559728,399963,505091,11906,-997.589,7418.85,152468,22839.1,12986.6,1503.29,0.958226
1.6768e+06,1.31697e+06,695898,542907,423636,543943,15865.4,-3579.5,1174.92,188609,70826,11438,459.106,0.979842
1.95429e+06,1.63917e+06,592677,468661,340355,450974,14708.2,-3124.15,113696,160158,43469,13273.2,21.8641,1.04703
1.67835e+06,1.29802e+06,826201,734534,500083,589772,12641.2,-1472.3,80410,184280,29753.5,20077.5,377.908,1.05026
1.79644e+06,1.56224e+06,475544,412017,314044,389238,10973.5,-1114.2,3717.1,116594,11771.8,7317.78,-173.681,1.05271
2.04025e+06,1.6031e+06,862400,713545,511593,648869,10308.3,-2058.87,127145,128392,49009.8,15162.8,71.1966,1.0741
895923,678858,782749,766234,557202,565348,13788.4,-271.697,14561.5,96899.9,27570.3,13366,304.586,1.08157
