"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.56693e+06,1.18003e+06,597516,435345,326927,497296,4768.85,-775.096,337271,195834,10883.3,14047.6,7598.95,0
1.82166e+06,1.4091e+06,442377,349011,254480,357059,3947.07,2424.86,100918,134158,17779.2,10513.2,7868.6,0.000230974
1.92676e+06,1.49055e+06,312879,265883,202136,262876,2008.69,1350.03,45090.4,114134,12031.6,8277.43,6127.4,0.00658275
1.50695e+06,1.10054e+06,375875,280141,188224,296576,7102.14,-976.149,65944.8,126875,17092.5,13709,6441.17,0.0140894
1.89558e+06,1.48041e+06,394588,261956,200796,343162,5145.25,-625.248,22137.9,140359,14455.4,14008.3,10239.5,0.0144358
1.4865e+06,1.0615e+06,799770,544691,345941,582532,8720.04,427.118,147736,204565,17996.2,19522.6,10069,0.0151288
1.56466e+06,1.20207e+06,444833,340314,256397,369801,2330.76,-249.528,81180.5,130490,12184.1,7353.83,8091.03,0.0226354
1.44867e+06,1.02216e+06,659078,479799,323002,508719,4099.74,88.1237,69449.5,169722,12850.2,15487.3,7847.11,0.0247142
1.80203e+06,1.36939e+06,676456,370205,233648,484481,10445.4,544.895,157211,117991,29197.4,24671.9,21742.5,0.0322208
1.49299e+06,1.00472e+06,621506,455010,285697,447559,6502.86,-409.511,152886,237085,21382.4,21392.8,10072.4,0.0363783
1.60753e+06,1.19611e+06,495291,305491,199789,366589,7504.19,1335.1,171914,239913,29510.9,28653,9271.37,0.0377642
1.52415e+06,1.19427e+06,318532,257804,193236,264146,3386.02,-1768.27,7493.94,197133,49378.1,18113.2,9474.64,0.0403049
1.45219e+06,1.00346e+06,706538,550896,380624,559197,4564.68,108.477,33987.8,165672,13321.6,13299.4,11669.8,0.0414598
1.60761e+06,1.28843e+06,381546,275555,210686,321698,4591.15,249.711,35892.6,138462,9103.49,8285.17,5670.04,0.0427301
1.61539e+06,1.20595e+06,676452,570736,390869,517880,6751.46,487.414,20303.7,163980,22056.1,12423.3,9067.5,0.0482735
1.80723e+06,1.38822e+06,483810,372874,266797,387911,6003.44,-214.898,34344.6,188865,21614.4,8366.15,8195.98,0.0554337
1.71313e+06,1.21855e+06,864417,655335,422407,636610,10115.4,784.102,66705.5,377557,33473.3,33802.2,9597.63,0.0580898
1.55599e+06,1.18326e+06,604043,366923,239933,458289,4899.54,-117.891,59535.4,275383,31343.9,22368.2,10403.5,0.0646726
1.35757e+06,918316,722142,558541,339945,508467,8775.92,-108.545,19236.6,219687,24112.9,12654.3,7595.95,0.0674443
1.56442e+06,1.15868e+06,600349,480734,354661,490104,3535.62,179.234,398596,213513,28964.1,9564.36,8333.29,0.0674443
1.5656e+06,1.08616e+06,496283,329748,230995,402537,2251.91,1085.82,83913.5,109587,10447.1,9117.96,9035.03,0.0680217
1.6783e+06,1.36086e+06,273144,201732,148107,223608,2087.37,-89.5244,104278,95274,7092.51,4992.27,4796.96,0.0692921
2.02912e+06,1.43232e+06,516252,376898,255903,402267,4665.87,-85.2106,42369.5,163161,17872,11989.3,16619.9,0.0734496
1.69709e+06,1.3766e+06,246341,173487,138939,212293,4568.84,8.1969,88234.5,165166,16157.7,10034.7,4685.48,0.0748354
1.36905e+06,1.05235e+06,459970,312489,228355,373968,2038.83,-634.203,172737,162763,12218.1,11619.9,7552.81,0.0764522
1.96425e+06,1.32805e+06,741012,572016,352064,516663,6734.37,-306.066,21141.7,263895,54783,18418.5,6726.64,0.0866151
2.02303e+06,1.27673e+06,995159,690657,427207,714442,5265.99,763.23,37989,181795,24330.2,15940.8,8276.08,0.0891558
988768,721527,671415,435655,301810,527836,7995.86,-1013.22,15894.3,184795,24257.6,14106.7,10051.2,0.0953921
1.41826e+06,1.05816e+06,392486,265071,177366,288335,3057.66,849.043,133266,111458,12729.7,8594.87,14545.9,0.0967779
1.42635e+06,1.01708e+06,815276,643217,432599,606956,5050.67,1233.51,132066,231383,29799.5,8751.06,7563.55,0.100704
1.30776e+06,955690,576747,376302,257990,473761,4661.77,-726.125,39145.2,199238,26853.8,9837.37,6313.39,0.105324
1.50182e+06,1.1439e+06,647638,502979,363480,501614,4580.27,1419.84,9739.6,195599,11514.9,16203.6,8914.82,0.117219
1.7766e+06,1.25601e+06,698778,537619,367494,536045,7060.69,-46.456,36165.1,193042,18793.4,12745.9,13421.4,0.119067
1.75003e+06,1.15714e+06,889304,609174,379935,645848,11063.4,-418.519,82148.6,272780,38169.4,19316.9,11038.1,0.121723
1.34128e+06,920923,679703,490788,331646,522367,5714.98,-286.266,31870.7,215028,16283.4,12486.3,10553.8,0.128999
1.69213e+06,1.28164e+06,667183,460439,308271,511898,5664.22,-418.312,19565.2,205267,16807.9,15103.7,12506.9,0.139508
1.4064e+06,989629,595653,469457,316992,455022,6386.7,-767.726,55269.8,209961,24131.4,21304,8644.86,0.145282
1.13337e+06,839504,500263,358989,275543,429078,3437.09,-15.7578,4536.16,162989,13818.3,7633.92,3940.31,0.146668
1.47638e+06,1.10837e+06,455071,370783,269443,365892,3407.27,27.0108,28819.8,114367,8757.62,10781.9,6881.64,0.151865
1.76323e+06,1.29666e+06,438251,313401,205975,335448,3837.14,-1011.61,53790.9,196781,25216.7,9704.88,8459.22,0.158101
1.5334e+06,1.06329e+06,730030,565431,387703,568143,2269.79,955.053,79055.2,139330,22871.9,9298.52,4888.91,0.165724
1.51814e+06,1.11421e+06,432671,328301,218251,336612,3487.88,1529.74,39967.6,123551,14962,8295.67,6455.84,0.168495
1.11438e+06,709134,864972,630205,410744,651458,6637.41,367.422,25356.7,183503,34510.1,12769.9,10444,0.182123
1.64646e+06,1.1708e+06,466532,322650,215431,353258,9813.2,-590.045,1246.36,231566,29033.4,13902.3,5577.74,0.190784
1.71765e+06,1.30048e+06,690249,559845,406223,551240,5427.33,707.416,8645.38,225252,14914.4,14618.9,7877.48,0.195404
2.40718e+06,1.73506e+06,379905,275111,188098,298408,6069.33,-35.1062,150922,221799,29600.5,12448.7,11700.4,0.201986
921958,649800,676413,520202,351540,520173,5062.83,-17.2564,63977.9,193349,20778.9,17605.3,16446,0.206952
881064,581041,614258,413144,270742,480261,3494.32,4706.91,293955,115808,11185.7,12776.7,6213.13,0.207299
1.89106e+06,1.46644e+06,434275,302094,213483,347864,7856.24,-111.081,59250.6,207161,15168.4,14349.7,8511.47,0.209378
1.66229e+06,1.23437e+06,604815,422298,294980,478919,3922.73,85.9035,46194.3,161078,9980.73,14350.3,13266.1,0.212034
1.47242e+06,1.09165e+06,324772,206350,143338,248304,4254.15,-38.1927,70463.1,128003,15860.1,7209.14,6674.17,0.220002
1.95387e+06,1.44207e+06,488882,329184,214456,372337,3530.53,-189.983,58041.7,216984,17131.4,13149.2,7013.4,0.220464
1.64098e+06,1.3657e+06,239776,161519,130039,210768,2569.63,-62.3022,33941.7,91459.7,9322.84,6911.94,5353.97,0.220811
1.4558e+06,1.14207e+06,221342,155765,120552,182836,5653.8,-645.109,15642,231806,20478.2,8832.67,6246.47,0.221157
1.9522e+06,1.4122e+06,519229,418227,289329,410241,5460.74,-501.845,68962.1,460915,18679,10053.2,12788.9,0.221388
1.61708e+06,1.16708e+06,914390,662285,412981,636451,8753.57,643.208,81024.9,191627,24861.2,20667.6,19004.9,0.222081
1.72599e+06,1.30046e+06,604244,480057,341758,476064,4952.15,-319.63,68717.9,176745,14872.9,14710.1,7790.76,0.225084
2.17742e+06,1.58788e+06,508528,412075,298043,406216,5074.01,-428.956,38993.8,195749,23399.7,14985.7,7035.22,0.226816
1.77723e+06,1.23600e+06,824917,619740,409944,618411,12819.5,-819.542,70396.9,349132,65587.4,21267.8,11879.1,0.229588
1.19082e+06,833259,888956,717860,486604,682620,4413.94,389.957,76819.4,222963,40127.9,12591.9,8697.59,0.232475
