"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.70787e+06,969497,810398,541947,311743,542290,26313,2561.44,2.24266e+06,375362,23226,36619.3,15795.5,0.0299025
1.90035e+06,1.1787e+06,713094,562959,323122,471573,16581.7,4422.52,477047,419195,33953.6,29760.2,12929.5,0.0557882
1.86265e+06,1.2533e+06,655480,480603,300014,462294,16824.7,300.365,424494,390827,27253.2,30855.7,11388.3,0.102204
1.97214e+06,1.22117e+06,547023,395715,244052,387833,20610.4,1464.54,402628,391503,27092.7,31128.6,9534.57,0.114589
1.74642e+06,1.29753e+06,407574,352252,257979,333170,11766.6,-279.765,514183,265102,15400.4,17740,6141.16,0.121841
1.59643e+06,1.3763e+06,266073,176487,136105,227955,2473.4,-2106.69,2.01709e+06,103116,3508.04,3973.6,3316.13,0.144045
1.54771e+06,1.3169e+06,522739,543271,470909,451376,1929.51,-812.844,3.21119e+06,121555,9676.64,4656.5,2514.58,0.156765
1.60242e+06,1.07217e+06,570027,452978,311124,432749,12448.7,964.081,636138,305801,24056.3,22325.2,9094.35,0.195928
1.67681e+06,1.09714e+06,440167,316787,199317,326137,9988.9,-73.0076,242914,294285,33546.3,28423.2,7180.93,0.204073
1.87944e+06,1.21047e+06,549498,359653,224295,386129,19778.8,1130.08,1.02512e+06,431424,26830.6,31187.9,12163.3,0.220698
2.23672e+06,1.45178e+06,799716,635698,370771,541016,17484.8,2002.51,1.82692e+06,354801,32996.9,33915.9,15243.4,0.241005
1.67112e+06,1.20423e+06,695528,515563,321038,506373,12409.9,1425.69,988469,384973,25475.3,32773.5,10991,0.25763
2.09307e+06,1.13495e+06,1.01089e+06,695460,381438,642981,24998.7,3445.6,921955,537336,32777.8,43654.1,18473.5,0.258857
1.09209e+06,850867,515149,379631,265132,403653,6359.14,-1096.78,477288,234672,14169.7,18445.1,6246.14,0.261535
1.61544e+06,1.24477e+06,491235,334004,240503,395714,7603.94,-1252.49,1.98232e+06,157537,9998.61,13761.5,5242.52,0.313195
1.84167e+06,1.26333e+06,691676,414964,249355,477036,13913.4,796.719,403693,391192,40577.6,24679.7,11476.9,0.3383
2.59925e+06,1.47088e+06,965042,696514,377521,621664,26096.1,2837.32,555945,480796,34008,66240.4,15408,0.400559
1.69373e+06,1.24774e+06,504053,322010,213885,363059,18053.8,1298.51,371617,302750,20878.6,29836.5,9770.38,0.406585
1.76884e+06,1.25732e+06,888524,607653,346739,566475,20864.1,4101.74,792580,541134,32913.6,50140,18760.1,0.46215
2.09685e+06,1.48598e+06,629956,473893,295683,441216,17426,2573.85,590309,300827,18406.4,34480.1,13070.4,0.463489
2.76304e+06,1.80016e+06,795566,598731,347440,521059,23331.5,5821.32,886365,584137,42744.4,47972.1,20701.1,0.471857
1.74566e+06,1.22469e+06,754153,459585,292711,539937,12834.1,3851.94,346939,351536,21390.2,48865.9,16529.4,0.484242
1.21901e+06,792119,685885,568408,365147,504186,8111.43,-322.691,1.03083e+06,225519,25425,18943.8,9709.86,0.491383
1.46061e+06,936457,836777,542517,341087,610087,15462.9,1672.35,910676,302887,21387.1,27474.2,12956,0.501201
2.47798e+06,1.38485e+06,1.34455e+06,1.02013e+06,543247,823381,28499.7,4289.84,1.72806e+06,681149,50703.8,53291,22428.9,0.537464
1.90083e+06,1.29789e+06,520834,312610,196176,379166,9010.06,2037.23,246620,332516,42920,34546.6,9575.6,0.547394
2.36739e+06,1.35572e+06,1.03149e+06,756552,380105,607648,25300,3709.13,880696,511104,35263.3,52347,20584.3,0.592471
1.25305e+06,826492,1.11014e+06,892958,550404,774558,14690.8,1575.71,614985,408894,46209.2,27468.8,17271.4,0.598608
2.15903e+06,1.35656e+06,860694,765919,416357,532434,24523.5,5178.2,456863,584758,33284.5,53365.7,12760.1,0.612555
1.86059e+06,1.07376e+06,665400,461550,258489,437318,15726.7,1370.63,814460,415939,39251,35676.9,12037.6,0.617018
1.5565e+06,986547,816362,643198,364747,543680,16362,-1479.48,1.32209e+06,440001,71612.9,33811,8394.69,0.628956
1.9967e+06,1.19775e+06,868554,616465,348180,559049,32366.9,976.974,1.07147e+06,598418,30612.2,50670.9,12149.5,0.648482
2.3992e+06,1.5831e+06,824220,634295,389479,564610,19933.2,1495.05,1.00133e+06,480993,30424.1,41147.1,13450,0.709738
2.45646e+06,1.54958e+06,1.26275e+06,766086,411790,779951,24780.2,4305.46,470444,472596,29340.1,46844.5,21294.4,0.709961
2.10205e+06,1.16724e+06,1.25981e+06,914827,470637,745976,25631.4,3134.56,906160,681100,39323.6,60001.9,24555.5,0.714089
1.49151e+06,891399,1.09806e+06,811400,429217,672576,18266,199.891,726050,622512,35320.4,54195,20283.3,0.728817
1.33189e+06,896220,663605,504368,326459,500986,7057.39,698.738,259316,237285,18213.3,13049.8,7639.99,0.765638
1.74932e+06,1.23856e+06,787739,515756,324367,560578,12360.9,3107.3,456510,308466,33981.9,32234.4,17134.7,0.781035
1.51335e+06,1.03252e+06,491898,359279,233195,373123,9897.23,325.777,403143,259218,19574.6,20989,7925.28,0.78561
1.58232e+06,1.04165e+06,786332,580460,334629,519403,17329.1,1392.13,532589,389607,24838.6,28538.1,14350.1,0.818748
1.86838e+06,1.28679e+06,473712,333099,208708,337361,24089.4,1529.59,278840,351574,18603.6,25284.6,12141.9,0.824773
1.47495e+06,1.17637e+06,394024,294628,241765,337584,2006.39,-2146.83,2.17552e+06,92786.4,5830.37,3775.54,3115.08,0.833365
