"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.67013e+06,1.25308e+06,476002,350424,239285,377841,9531.34,-1423.9,84071.7,178966,24039.1,14357.2,6128.87,0.00347115
1.32709e+06,872589,624471,478259,303768,471315,7577.53,-1185.51,37403.9,170200,36067,18143.8,8178.71,0.00727822
1.53017e+06,1.1125e+06,550649,402578,264402,417244,6477.82,-557.777,95798.4,163756,13908.3,18948.7,6579.6,0.00850992
1.52017e+06,1.14313e+06,400828,274220,199987,333635,3458.65,-222.041,45699.4,135013,14687.1,12362,6806.23,0.0111973
2.00163e+06,1.4558e+06,370476,300884,216493,296826,2004.15,1158.55,199726,178401,68273.2,26417,5879.13,0.0184755
2.85575e+06,2.01895e+06,636915,419597,282447,480360,12276.8,842.664,99789.8,282155,38006.2,12523.8,10315.9,0.0264256
856837,616045,431959,284163,195237,331927,6445,4195.96,16765.9,90988.1,13824.9,9259.77,5967.38,0.0319122
1.48735e+06,1.05415e+06,575710,424377,275902,443001,9621.29,812.706,49536.9,263131,27697.2,18477,7373.38,0.0348235
1.82687e+06,1.3138e+06,534268,358216,233998,403263,16232.8,-351.37,38980.9,234482,25322,17279.2,5751.85,0.0379587
1.52321e+06,1.04707e+06,653889,454712,285848,468199,4518.88,446.972,119115,261380,23931.5,24218.3,6244.19,0.0461327
1.76518e+06,1.37457e+06,426310,295576,218526,347165,9219.88,550.236,103419,96401.3,11567.7,17467.7,5406.78,0.0496039
1.84769e+06,1.3397e+06,546323,456391,303438,413998,7043.22,322.56,251723,232889,28870.4,15685.8,7165.17,0.0507236
1.66058e+06,1.23566e+06,621242,486891,326153,459077,6846.7,3855.96,80154.7,208288,24214.4,16253.5,6180.47,0.053075
1.59204e+06,1.14772e+06,459336,341896,228200,358128,10132.5,238.523,150697,208920,29486.1,15638.6,4608.73,0.053411
1.78719e+06,1.40248e+06,402789,251347,171613,316114,7171.13,289.478,55374,132629,13235.7,14037.4,9324.42,0.0548666
1.61413e+06,1.26594e+06,464958,280335,199529,374278,4705.6,-443.669,156767,226044,9505.15,17582.5,3638.96,0.0577779
2.0495e+06,1.35517e+06,625262,463638,287542,455110,4679.5,-1712.66,72636.6,290910,52790.3,26742.9,7105.04,0.0846513
1.1531e+06,866028,300179,286377,220990,253370,2770.1,-936.61,6497.83,97369,6025.23,10981.4,3865.03,0.0913697
1.49213e+06,1.1612e+06,394257,267086,193693,312858,3813.73,2341.7,193473,99289.4,12972.5,9828.01,4255.68,0.0934972
1.2728e+06,915172,327885,276107,191977,263537,3847.02,-1099.82,5686.74,129963,13304.8,10996.4,3908.08,0.0951768
1.55986e+06,1.15879e+06,383042,300473,212996,302240,6775.12,-411.359,38588.3,147138,10306.8,13500.1,4312.06,0.0964085
1.6916e+06,1.22272e+06,409024,308207,194943,305566,7627.01,-587.339,64350.2,144385,14296.9,12918.5,4646.21,0.100887
1.439e+06,1.06118e+06,545329,432881,285486,408328,6805.35,1545.56,27432.8,167145,21704.3,14351.9,5989.63,0.116004
1.72994e+06,1.16443e+06,787528,527019,317137,547752,11631.4,-1066.44,175079,233965,32363,30917.7,7432.08,0.118243
923762,662753,551191,447922,328575,434736,7311.05,-505.093,110273,119920,28755.3,13314.2,6708.63,0.118803
1.72373e+06,1.26922e+06,703285,501631,349607,547062,13305.7,-1244.24,1.93635e+06,263793,56097.1,19558,8303.62,0.12205
1.92047e+06,1.45474e+06,521414,301914,198777,389087,8806.71,410.183,40920.7,296755,15251.8,25385.7,7336.2,0.12261
1.70163e+06,1.21948e+06,598101,463822,310563,452031,8024.03,350.692,37695.7,199176,24789.1,12868.1,8686.64,0.124514
1.48806e+06,1.10535e+06,546674,360148,240975,397093,6973.74,53.6601,56717,181231,15951.9,15035.5,9558.82,0.125969
1.93172e+06,1.5108e+06,420175,297723,205763,330967,5781.69,-353.789,43669.8,191139,12972.6,11865.1,4508.02,0.145676
2.52114e+06,1.67545e+06,724309,516765,326056,526246,8280.65,230.935,45835.1,291722,65105.8,36759,11089,0.1487
2.07987e+06,1.46837e+06,523174,380896,264423,412194,5511.37,-558.219,92536.8,271820,56991.7,19493.9,7801.7,0.151275
2.61758e+06,1.62438e+06,742599,543407,326770,515495,13425.5,458.056,157479,295146,62435.4,32337.2,26069.4,0.168295
2.12099e+06,1.49281e+06,317728,225344,156171,252233,3353.64,-2209.78,9399.4,130466,73275.5,38372.9,3804.9,0.182963
2.41673e+06,1.69601e+06,826872,571844,376412,617775,14403.6,-19.5978,82297.5,317490,33882.5,23254.5,11779,0.187442
1.76524e+06,1.26783e+06,351761,276402,185420,273638,3961.56,-771.371,84229.9,246837,23881.1,16362.6,6158.95,0.188002
1.57019e+06,1.1638e+06,669261,471885,313664,504997,8190.48,-916.635,329613,239366,19907.2,17030.7,5717.89,0.198304
1.54305e+06,1.08403e+06,626990,454236,291927,460440,12776,-562.193,27495.4,306123,33633.3,19450.6,6359.41,0.204014
1.33487e+06,906998,838079,614180,377112,595593,13609.2,57.4827,51471.3,235930,22762,23299.4,7794.62,0.209165
1.32378e+06,875724,820261,600217,391441,606050,5832.64,-8.95966,198456,145636,12089.1,21774.4,6498.11,0.212636
1.61971e+06,1.18553e+06,546145,418244,302269,435476,14878.9,-1186.3,326693,220460,31689.8,18416.4,8132.68,0.216331
1.21218e+06,813542,759202,579681,360231,551920,10914.6,-879.901,7210.76,259068,49301.9,16401.4,6947.32,0.219802
1.4192e+06,1.08313e+06,500463,359894,256460,397232,7978.08,384.755,20350.8,158577,13979,12311.2,6737.62,0.221258
1.70023e+06,1.30437e+06,360124,240099,178425,300598,2026.77,1075.9,94991.2,183625,13935.5,13300.6,6556.41,0.236934
1.02714e+06,527730,803196,623742,361721,528399,11278.6,-998.044,336419,266455,38785.2,24772.9,8832.07,0.237494
1.59333e+06,1.16925e+06,578038,508647,302446,412139,7319.04,289.253,86218.9,164106,32474.1,24162.9,5579.18,0.241077
1.89901e+06,1.39418e+06,694931,456937,288909,510633,10227.9,-111.689,39661.6,290595,33425.9,29464.4,10756.8,0.249699
1.50884e+06,1.08618e+06,383784,281044,192777,297553,5918.31,69.2817,16729.3,183544,15950.7,13165.5,4636.19,0.260113
1.54582e+06,1.11498e+06,494911,381921,246804,367417,8253.6,-1494.48,160496,250745,21482.2,23705,5112.28,0.261792
1.36951e+06,1.03763e+06,570450,406256,281259,447613,3553.76,-1256.87,1.7524e+06,128828,8127.11,15559.7,4831.01,0.267055
1.66677e+06,1.2715e+06,416631,303796,212419,326448,3537.48,2489.63,187017,184456,14567.3,16738.4,6792.57,0.267055
1.74638e+06,1.28281e+06,460043,322964,222326,352016,8926.99,-643.368,76149.7,168329,19258.9,18753,5184.11,0.267279
1.67525e+06,1.30889e+06,375582,276645,195555,300574,9610.28,-692.667,95792.4,150510,15649.2,9848.9,3871.74,0.2787
1.92491e+06,1.23016e+06,651497,477175,296749,473268,7795.77,-194.845,54395.2,308541,22980.8,22642.9,8700.11,0.281723
1.2033e+06,863151,546051,428625,268921,397965,7051.14,-526.963,37896.6,288645,27266.4,17368.1,5195.85,0.28497
1.85454e+06,1.33291e+06,583295,451887,294255,436494,10438.7,-489.809,20763.2,202288,17897,16986.8,10909.4,0.285418
1.69941e+06,1.31699e+06,295177,239303,170530,238230,4336.77,-1005.5,178715,109090,12520.7,11121.2,4319.33,0.295384
1.85591e+06,1.37652e+06,591009,360064,237279,442881,8140.89,919.808,81127.7,173979,23452.4,20564.5,8550.69,0.29572
1.57309e+06,1.10320e+06,716009,573912,375454,533955,10353.1,-68.9098,119760,270475,25450.5,20930.5,8006.61,0.300759
1.94503e+06,1.51619e+06,349990,270375,195808,283228,4148.22,293.883,11533,168471,21193.7,11643.3,6030.29,0.304006
1.33071e+06,979956,654852,395978,271321,492322,5953.15,-209.507,161309,175792,27115.1,17863.6,7595.91,0.307253
