"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.72806e+06,1.12445e+06,579323,440397,262512,410089,22711.2,-2333.16,509791,469497,45252,30755,9842.04,0
1.83822e+06,1.13212e+06,808244,505468,238076,478284,30250.9,-2168.73,667075,808329,46851,64037.1,14266.5,0.00218924
2.2214e+06,1.28689e+06,716294,478510,238033,432099,30163.5,-1868.81,712929,522215,57909.1,49631.5,15608.9,0.032493
1.96709e+06,1.08834e+06,633180,471187,236809,383644,34932.5,3082.44,406261,620946,38234.5,46933.3,13292.1,0.0334148
2.08143e+06,1.31133e+06,600318,410734,238745,411922,27327.4,-1421.94,147007,506913,62986.2,37401.5,9819.4,0.0388303
1.3954e+06,1.06883e+06,309112,180616,130096,262890,2894.24,-1485.76,1.98578e+06,155249,13317.2,10009.9,2971.56,0.0536941
1.60854e+06,1.09738e+06,385452,288835,185193,292744,11691.4,-1406.76,290618,363858,26168.9,19641.5,7153.83,0.0776605
871513,546178,453156,331111,206654,333905,15241.3,-2210.01,648514,320312,31023.6,28902.2,10845.5,0.123635
1.49465e+06,1.07646e+06,533094,401497,259546,400727,15414.3,-1017.2,846916,443514,33098.5,22379.1,5979.75,0.13412
2.33801e+06,1.2958e+06,837611,550936,280006,517358,32916.1,-1544.3,932514,658579,54448.7,47280.7,17043.7,0.137346
1.04326e+06,654054,462854,334185,210083,342584,9855.01,-1951.38,603187,303242,22398.5,52773.7,5148.49,0.177444
1.72182e+06,1.08789e+06,707147,564950,316471,464432,15086.2,115.255,450430,500985,30574,38467.4,7894.2,0.182514
1.49063e+06,968997,408667,280188,164985,291058,13921.7,-2076.23,353518,369756,30267.3,29206.1,8001.21,0.196801
1.76659e+06,998701,876563,599030,291744,522891,37680.1,-1758.06,747620,876353,63468.8,90046.2,16892.8,0.201986
2.15698e+06,1.24414e+06,713727,540033,282283,451360,37762.7,4549.61,365430,747974,49118.9,70062.5,12232.4,0.215698
2.2218e+06,1.2819e+06,888597,640872,325085,536415,25704.7,-125.973,435631,725174,45144.7,59679.4,16020.9,0.268009
945551,506139,696178,522399,257952,434278,15242.7,-1837.94,254581,396982,40331.7,32724,9299.21,0.289326
2.73853e+06,1.54968e+06,924272,691751,347572,541381,39196.4,-2523.71,471029,923111,74221.9,56759,20387.9,0.300387
1.70488e+06,1.12368e+06,432161,320904,178117,296373,20598.6,-2170.74,563043,495573,33345.5,54136.8,7150.08,0.32758
1.86859e+06,1.3234e+06,678220,621772,508502,566383,5447.58,-2214.5,2.45158e+06,216803,26967.7,14189.7,4894.5,0.342789
1.91074e+06,1.05609e+06,1.16547e+06,846798,374959,639009,34203.9,-1305.73,403620,806419,76788.5,71782.2,19590.8,0.385768
1.63327e+06,1.13958e+06,446351,303019,193807,333167,18420.6,-651.967,768700,315554,15192.4,30144,7499.2,0.430359
2.1284e+06,1.25964e+06,717708,473086,262233,473590,27537.4,-1805.65,1.62625e+06,620359,35500.7,44967.6,12202.3,0.437964
1.69691e+06,1.07077e+06,595316,448102,280470,428963,18073.3,-1540.84,233510,487341,52028.2,30635.2,8602.46,0.486242
1.07952e+06,727448,322902,263900,166808,247863,14220.7,-1839.57,398578,319505,20754.2,27498.9,5806.51,0.523344
1.39591e+06,842256,434025,364227,212792,304213,19571.2,-2398.16,244272,353385,32866.4,32136,7013.85,0.524381
1.63855e+06,1.02478e+06,465751,358574,209501,321898,10571.4,-1832.88,565561,411949,48883.1,33285.5,7794.26,0.528068
1.13763e+06,784036,266418,216338,133196,193324,8076.76,-2000.77,607997,221050,18733.4,19846.3,3853.98,0.573812
2.42209e+06,1.32495e+06,885846,577763,287812,539680,30046.9,-2176.54,842184,878409,76317.7,55578.6,18305.4,0.580149
902608,616047,708689,539659,356265,532764,9826.4,-1003.45,772096,341062,26704.2,47544.3,7113.68,0.583836
1.40622e+06,926649,522608,359140,219024,366528,33272.5,-1851.14,359510,414792,23256.2,37580.2,9416.36,0.591211
1.20302e+06,804473,590672,447159,267844,418686,10358.7,-1599.31,425372,462617,27231.6,34323.9,6986.96,0.591556
2.11592e+06,1.41166e+06,841578,585954,349322,602448,22064.4,-777.18,776049,424695,49762.6,27327,12695.5,0.638798
1.94383e+06,1.27655e+06,740702,554447,337423,525242,31136.6,-1457.44,457358,627448,42275.2,34802,11268.8,0.643061
1.31101e+06,937409,298362,210850,147716,236746,6361.53,-2133,1.25927e+06,239940,15198.9,17359.9,3528.76,0.659193
1.64181e+06,1.12845e+06,573810,427677,263949,415246,12922.4,-1567.05,523049,330911,23977.1,29674.4,7700.77,0.664723
1.05062e+06,673213,413087,338301,206059,303350,13282.9,-2165.03,901978,384122,41035.2,24787.4,4293.31,0.718648
2.06313e+06,1.09519e+06,853923,600696,309326,525848,32457.9,-1882.45,691725,865415,39526.5,71208.3,14365,0.780868
2.32146e+06,1.41929e+06,1.0561e+06,724119,399538,680261,20981,-2339.34,1.40656e+06,1.17761e+06,78889,62274.1,18365,0.782827
891658,726407,178469,125866,88126,146033,956.942,-2214.44,1.08953e+06,3836.02,5709.23,1609.38,18561,0.785592
1.7506e+06,1.07855e+06,525216,360307,209465,365714,27677,-1852.17,720395,438105,36440.1,33747.1,9311.56,0.785823
1.32773e+06,843349,478718,350799,209751,336177,10084.1,1311.74,436592,437187,33413.8,28508.6,7313.88,0.797345
1.18891e+06,790425,446755,307144,196606,328972,14982,-1137.71,354162,481958,23376.8,32143.1,7331.82,0.838826
1.47836e+06,938028,530565,380207,231938,365088,21394.6,-1332.95,786957,405905,22128.7,34801.1,8531.97,0.856685
1.68258e+06,1.0943e+06,465668,357775,214328,327208,16580.9,-1533.87,511114,528215,29430.2,33071.9,6812.63,0.865673
