"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.12982e+06,710442,427677,348193,207323,308830,25271.1,2368.62,283222,377639,19143.9,48132.8,4648.19,0.807595
2.51305e+06,1.54370e+06,963266,666339,366107,612695,53668.7,-644.649,640122,697816,36431.1,53172.9,18309,3.52871
1.6559e+06,1.1231e+06,678308,522849,336430,493299,14188,-26.9207,1.05166e+06,437514,25445.4,30248.8,8279.87,3.59619
1.41134e+06,905155,910790,742457,497245,659332,13158.8,4492.44,1.90681e+06,503498,46369.8,72351.4,12640.6,3.63965
1.45554e+06,991981,590294,441447,282365,426404,14983.2,-791.953,699215,439804,54738.7,38691.6,7200.82,3.67193
1.9834e+06,1.28646e+06,680417,523415,308502,464919,24360,164.874,237314,540558,60800.5,88429.2,13794.5,3.69571
1.38079e+06,862816,818283,559330,328897,559533,21061.1,-2.65356,658005,595352,44457.4,49323.1,10531.7,3.73486
1.72031e+06,1.03491e+06,1.03564e+06,797128,453423,676834,22323.5,1072.83,822703,614681,56930.2,44572.9,16416.6,3.73894
876574,649524,383642,299502,198722,293714,3421.33,2032.79,1.88324e+06,120113,15339.5,14973.3,4672.47,3.74186
2.42771e+06,1.36109e+06,1.06532e+06,738296,365304,644809,38720.1,-1132.74,776241,626440,61405.5,65415.5,16973.8,3.75106
1.19372e+06,756194,803492,553770,341266,569989,10764.4,-1205.59,1.81865e+06,486990,51801.5,39985.1,11487.9,3.75584
1.43282e+06,1.09866e+06,451002,345353,259635,358344,9478.29,-547.82,1.8516e+06,194144,23582.8,14524,5499.59,3.75631
2.03595e+06,1.22509e+06,639890,500167,306062,428095,29435.8,852.55,503758,515225,66108.8,45659.5,15575.1,3.76563
