"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.40207e+06,1.56316e+06,544294,401238,260858,398033,8047.86,-507.131,42461.6,283893,34870.1,22126.2,19343.7,0.00462954
1.60043e+06,1.07673e+06,750667,517127,325902,550326,5342.78,73.5102,34395.4,299467,90321,18439.1,8586.36,0.0246523
2.08948e+06,1.49387e+06,510413,386714,246808,377363,11853.4,-1293.43,54694.1,253897,29953.9,22257.2,10161.3,0.0266198
2.0905e+06,1.49829e+06,430120,287755,209392,346184,4602.75,-61.3379,87987.9,188592,91866,12412.1,5217.24,0.0273143
1.14492e+06,791898,264838,235429,152515,198065,6730.51,-1413.96,44858.4,221186,24577.5,10632.6,3898.78,0.0312494
1.85593e+06,1.34341e+06,553042,406098,272449,414681,6278.22,320.729,158281,357657,30974,19219.2,5568.31,0.0343743
1.69287e+06,1.2207e+06,655650,487992,322541,500289,12381.2,-1026.41,32035.8,296404,16134.9,47029,5469.08,0.0392353
1.40438e+06,1.01855e+06,631187,417628,260469,450249,11652.9,-492.812,101189,317144,21397.2,24050.4,5749.04,0.0417816
1.38395e+06,905424,310179,244342,151788,233695,12524.6,-1661.95,11637.3,252667,16619.3,19545,3040.39,0.0460639
1.75662e+06,1.28882e+06,706166,516707,348075,545134,18406.4,-1233.46,213924,337381,20967.3,46504.2,4747.85,0.0469898
1.27381e+06,865902,742094,437723,300125,586038,11498,128.219,44746.6,222524,39358.5,15332.9,4531.73,0.0488416
923707,564906,682484,538162,331205,485647,10498.5,-1467.38,17596.4,249358,28734.1,19308.4,5207.91,0.055323
1.72188e+06,1.24961e+06,453469,308008,198818,351501,12409.8,5163.62,174459,199859,18008.8,53641.5,3335.97,0.0582164
2.0263e+06,1.42612e+06,650617,488167,325831,475417,11234.7,1649.73,109574,300362,15540.6,17126.8,6643.67,0.0701375
2.07889e+06,1.51178e+06,440332,286998,198446,352256,5732.82,49.6149,57711.9,351172,34308.5,20613.1,6232.68,0.0708319
1.5868e+06,1.02279e+06,336902,303675,184280,250713,6296.36,-2494.5,79027.6,279348,43127.8,21618,9737.25,0.072105
1.51548e+06,1.02566e+06,333297,283593,189135,253405,6986.63,-2046.06,4436.22,234181,32453.8,15135.1,5450.49,0.0753457
