"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.65399e+06,1.21832e+06,857831,646573,440927,650532,9455.88,-1381.32,25782.4,316494,37843.4,15660.5,9295.94,0
2.04372e+06,1.49152e+06,406802,288672,198545,322417,4324.8,-852.902,75577.7,209588,13411.9,8098.18,9603.87,0.0039243
1.68178e+06,1.419e+06,276315,140068,114631,239976,2587.24,313.818,2.07865e+06,71546,2165.45,3421.37,2909.21,0.00923365
1.53678e+06,1.1513e+06,462801,347987,255374,372431,4557.97,-838.062,73113.7,203804,10200.1,15640.2,6413.83,0.0146584
1.62329e+06,1.18647e+06,391693,299302,220801,320598,1241.58,1595.32,199900,155782,6817.73,9527.75,3380.35,0.0212374
1.32213e+06,854964,597596,487316,330724,456319,3174.09,7.74908,166606,261299,21836.9,10603.3,13183.4,0.0289706
1.30774e+06,986138,408653,267071,199031,333315,3568.06,499.58,16552.4,159321,9985.07,8112.93,9311.27,0.0309327
1.67601e+06,1.28152e+06,506433,385186,266048,391293,5595.37,-12.2688,18491.6,248486,11616.7,14369.9,10111.5,0.033472
2.34238e+06,1.78607e+06,273918,180254,134619,229557,1884.93,-354.906,132880,179617,14291,4803.25,12924.6,0.0335874
1.77241e+06,1.25658e+06,797259,585843,402942,622365,8060.76,247.14,172542,300204,28895.5,25278.1,10894.3,0.0360112
1.67356e+06,1.23605e+06,625988,443133,295597,486138,5834.56,-580.054,35305.2,309821,24759.9,21579.1,7586.39,0.0368192
1.79454e+06,1.33149e+06,680044,475233,320175,517571,7873.67,-463.451,135977,256932,17027.8,19660.9,10404,0.0507851
1.8213e+06,1.35156e+06,530541,380673,259621,414767,8538.18,-996.642,144240,333609,31688,18046.3,8735.26,0.0511313
1.1233e+06,717709,846786,592962,382523,642276,8140.26,-701.27,467400,331979,26007.5,26016.2,10043.9,0.0624425
1.81368e+06,1.3697e+06,647581,379466,255495,503130,7054.27,-491.013,8360.83,283981,19291.6,15543.2,12143.5,0.0646355
1.62793e+06,1.13258e+06,609044,450035,282563,457613,7334.68,-1306.11,9631.66,370201,27177.7,23135.9,10381,0.0647509
1.86359e+06,1.42491e+06,614722,442917,301756,477016,5791.67,-1451.04,771694,167084,6841.15,21468.9,8235,0.0649818
1.51633e+06,1.14154e+06,395611,272049,207941,333167,3014.86,-492.832,77199.3,290684,11258.4,6481.97,14037.8,0.0728304
1.96046e+06,1.48695e+06,567545,379377,256710,431312,6206.33,3205.95,221294,279237,34589.8,14471.4,8515.92,0.0848341
1.77838e+06,1.32782e+06,598740,439533,322413,487105,5904.77,-631.42,88117.6,436092,13844.3,11515.4,5470.75,0.0885276
1.32979e+06,879870,537345,402746,256971,389315,4647.33,-861.532,-657.142,191458,16761.2,10626.4,6808.36,0.0902589
1.73782e+06,1.12502e+06,746078,514445,320253,534429,5961.08,-362.87,66223.4,273871,39228.9,19154.6,9680.37,0.0925673
1.4229e+06,912980,787918,641518,427800,582876,5287.5,-131.653,77821.7,255605,15472,28232.3,11018.8,0.0982229
1.77417e+06,1.27236e+06,558978,412584,285220,440101,14563.5,-1664.87,82933,462478,49769.3,25556.8,7050.02,0.101455
2.39168e+06,1.49767e+06,753172,619852,350613,489438,9543.26,-472.85,72158.3,373312,17742.2,18230.6,8834.3,0.105956
1.42596e+06,1.01663e+06,680999,511559,340857,504367,5580.83,-15.5418,21058.5,190696,34640.3,15150.6,11221.2,0.11265
1.64385e+06,1.30963e+06,407956,346588,261700,338145,4701.15,510.818,23551.5,146343,11864.9,7316.31,5552.89,0.113805
1.63898e+06,1.28278e+06,459354,327357,229417,355230,3858.79,768.769,79924.6,235958,17263.8,10327,6658.1,0.11669
1.50198e+06,1.04842e+06,726677,513387,349234,548357,4772.9,1277.81,21132.9,185426,10138.7,14036.9,15377.1,0.122461
2.06285e+06,1.43144e+06,397989,287824,215660,324246,3283.64,3885.59,646347,110125,13356.3,5785.6,2600.35,0.128694
1.41678e+06,1.09077e+06,496009,327851,231678,399495,3432.08,694.742,49366.9,188674,8546.75,16076.6,10247.7,0.133772
1.63542e+06,1.31562e+06,298441,227089,161327,231125,1762.29,-394.1,135473,181661,8890.24,7615.46,4819.57,0.138851
2.14402e+06,1.5136e+06,550653,362122,240350,430397,4504.31,-1280.65,56246.3,499935,43137,19685.4,11205.2,0.143352
1.96015e+06,1.42081e+06,375180,258323,186452,317668,5326.54,-2441.48,61554.7,310645,48413.2,18595.3,5924.65,0.144045
1.77353e+06,1.32366e+06,603419,430257,300935,471307,6297.23,386.358,40005.4,304421,14580.1,16896.2,9602.89,0.147508
1.85232e+06,1.40464e+06,495085,361890,253966,390955,4136.69,7.42413,22907.7,188823,7307.75,11021.6,5181.25,0.149931
1.80839e+06,1.45435e+06,389511,280300,208336,317195,4026.02,-163.585,177277,207531,17989.8,11863,10728.7,0.154548
1.5569e+06,1.15884e+06,472289,359634,253700,372892,8003.2,-996.179,18678.9,185675,14282.5,11601.9,5874.47,0.155818
1.67239e+06,1.20827e+06,652593,500442,338063,502371,6223.71,-200.156,129971,339508,22243,20400.6,6158.94,0.156049
1.75909e+06,1.3601e+06,550651,312600,242539,476171,3773.13,-1015.12,38702.3,265186,35588.1,21426.5,5496.18,0.157203
1.51412e+06,1.16345e+06,407817,340798,257222,334864,3300.66,601.661,90542.3,140157,13360.7,6408.27,9778.69,0.161589
1.73756e+06,1.3117e+06,617862,382441,250828,467054,2812.33,63.8466,87449.6,363754,15287,14932.6,14984.1,0.163897
1.37204e+06,935273,833293,629217,391464,590048,5287.67,1752.46,14110.1,352945,23929,16496.9,9682.53,0.175439
1.66467e+06,1.32807e+06,372772,249096,192451,315742,3576.58,-479.777,87462.4,214257,21226.2,10244.4,5951.19,0.17567
1.42223e+06,985948,631724,478567,295035,450764,6455.92,-790.612,42035,274170,19108,20614.8,5232.92,0.17694
1.81679e+06,1.31968e+06,609995,327720,216921,464662,9891.53,-250.655,37583.7,320095,15945.5,23019.9,6632.91,0.179017
1.88335e+06,1.48991e+06,429707,307542,230789,350424,4064.18,65.8141,74889.6,187101,33993.6,16120.2,7209.95,0.183288
1.85367e+06,1.41093e+06,313048,243236,180572,255741,4341.67,-315.53,148864,151745,10971.9,9256.62,5017.91,0.183634
2.60688e+06,1.69066e+06,942793,758613,472704,678445,4954.17,1014.41,71880.6,341634,20534.2,18354.9,15980.2,0.187674
1.2374e+06,845739,660660,474768,330869,527208,3342.26,-1596.13,299765,416670,20809.2,29013.8,10641.9,0.189751
1.84576e+06,1.42901e+06,236557,170008,134837,206026,2433.8,-855.312,55051.7,124822,54676.4,13281.8,4975.89,0.191136
1.81958e+06,1.22816e+06,502829,392798,264709,380674,3273.13,-1055.07,67514.1,231114,39811.1,14747.1,7927.56,0.193676
1.26589e+06,863392,716251,504252,331418,549709,5085.5,-1009.71,175010,256007,21451.2,22558.7,8525.52,0.195292
1.62631e+06,1.14434e+06,732517,499698,325404,557595,8548.45,12.4491,224230,327982,26884.8,23638.6,11770.1,0.196215
1.82116e+06,1.42254e+06,360540,244074,178103,285603,3705.81,479.179,85387.6,133726,18089.2,12755.6,5973.79,0.20868
1.94453e+06,1.49502e+06,483173,329913,250802,406942,2648.54,142.094,51798.2,163162,21316.7,11467.5,5917.57,0.209027
2.36268e+06,1.7067e+06,505536,357952,255298,405732,6758.36,-1259.08,13680.7,300042,48794.7,16714.6,8646.92,0.212489
1.41202e+06,1.04759e+06,368699,291886,217164,307635,4964.97,-1006.64,57525.6,371430,15382.8,11292.6,15447.7,0.218491
1.46367e+06,1.0932e+06,759824,450605,327127,591291,8066.3,125.212,76148.5,254358,25815,16153.8,9863.66,0.218953
2.12225e+06,1.4543e+06,892382,639071,391645,639210,8976.24,-190.473,44210.4,323807,16708.9,23002.2,9318.96,0.224262
1.22117e+06,832451,814702,528565,326770,583865,7504.08,1205.63,39908.9,276676,24641.8,19814.3,9092.27,0.224262
1.52082e+06,1.16502e+06,328971,220418,159833,276897,4443.07,-1336.38,125707,170509,24449,12087.7,2848.8,0.232226
1.61791e+06,1.16789e+06,547654,406294,264633,419383,5014.71,558.21,34304.9,261498,13558.4,16472.4,7434.15,0.237536
1.9138e+06,1.41919e+06,574245,455699,304403,423252,7049.41,-455.402,39362.7,254728,19045.4,16732,9533.71,0.24019
1.85108e+06,1.4002e+06,442809,384732,271103,340039,5616.92,-270.749,37402.5,187611,12034.9,11295.8,7565.83,0.243076
1.35938e+06,999314,390781,289997,195022,298927,4814.3,-1011.02,111884,218342,9778.35,15232.8,4722.99,0.24423
3.08145e+06,1.98878e+06,827260,617659,383319,590659,8510.83,1104.24,50196.5,398873,23221,14616.9,23748.7,0.251963
1.84154e+06,1.37082e+06,358269,258625,181351,285564,4043.97,-1000.52,13937.3,158489,32112.9,13794.7,5571.75,0.260735
1.61298e+06,1.25898e+06,546536,293543,200506,424427,4817.07,-142.966,68775.9,177147,15521.8,11142.5,5103.98,0.271469
1.71969e+06,1.28663e+06,265238,214109,154513,209376,5370.84,-122.222,15762.2,225099,12042.1,7930.34,5943.02,0.275971
1.86594e+06,1.31127e+06,559283,411329,273292,417368,5343.71,-1419.95,32518.2,407064,32583,12897.2,5819.13,0.28128
