"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.19516e+06,1.39629e+06,754903,564965,318336,484070,19192.6,937.141,821716,615475,36692.7,38082.5,16728.5,0
1.22941e+06,939654,413534,285841,210029,328375,8318.23,178.967,307966,219969,12086,17033,4764.75,0.0138955
2.23734e+06,1.43954e+06,774566,547405,330916,523565,20543.9,-673.087,1.15916e+06,400188,20834.3,30489.7,9140.72,0.0536134
1.63256e+06,1.05134e+06,729410,550399,334260,499110,15074.1,23.0297,1.82507e+06,590496,21689.1,31789,8589.62,0.107111
3.16739e+06,1.98606e+06,885343,645354,360152,566264,24115.8,1543.88,980813,769734,35561.5,47145.7,20130.8,0.11209
1.44754e+06,1.01785e+06,639562,522357,349612,480171,8659.54,461.568,332015,437320,16095,22921.9,8509.85,0.124712
1.11497e+06,785235,662635,420993,272834,507532,8946.32,-2114.71,1.69686e+06,337531,17256.4,22809.4,13486.3,0.13606
2.25711e+06,1.53716e+06,656658,462188,295111,469974,14743.6,-415.674,477749,491547,23539,25764.3,11714.3,0.138608
1.54416e+06,1.13812e+06,746744,530440,349972,561212,6238.28,2900.73,1.56856e+06,356615,24038.2,19962.9,7599.92,0.146134
1.51927e+06,934635,770282,564205,331157,512755,14489.2,1779.99,307372,550158,41000.5,38830.9,11900.1,0.156672
1.59023e+06,1.27185e+06,342719,208329,156949,292486,3324.01,-1862.68,1.8201e+06,182798,5943.73,10668.3,3955.91,0.189673
1.92743e+06,1.16452e+06,669575,455930,254838,444074,21499.6,799.642,350795,429821,31296.6,32213.2,14684.2,0.201716
2.60621e+06,1.72286e+06,773612,587307,344847,527717,21234.7,1027,474280,663785,29423.7,39519.2,20333.8,0.206927
1.81763e+06,1.27143e+06,578814,410479,280786,451405,15357.2,874.789,271441,451912,22003.7,27499.3,9135.74,0.222791
2.76983e+06,1.68778e+06,712249,573952,318701,461533,25010.7,150.157,366568,468254,23308.5,33136.8,17731.7,0.237497
1.96244e+06,1.24946e+06,590709,390922,232390,418589,14796,-1045.62,1.03773e+06,384450,22581.1,28416.2,9234.61,0.27351
2.63752e+06,1.78509e+06,918582,596921,350965,603758,22427,1730.17,1.03207e+06,685810,43832,46073,15636.3,0.281499
1.50838e+06,1.03476e+06,778650,529569,334674,569208,10121.8,-1884.58,1.88756e+06,392116,24411.3,28146.6,10542.6,0.302111
2.36483e+06,1.39056e+06,1.29068e+06,937624,496296,793528,22088.6,1129.97,546619,766790,59606,51795.9,27017.8,0.312533
1.49052e+06,1.0099e+06,897437,688714,444678,640630,10857.5,-60.8829,596327,527108,36898.6,41614.9,10990.1,0.316122
1.30555e+06,1.07369e+06,515101,233813,192708,457296,1895.6,-1156.36,2.57573e+06,100185,2836.34,5666.26,3032.49,0.318207
2.57559e+06,1.45869e+06,784528,537280,280824,484319,27917.5,-834.335,328105,565382,41026,51163.9,13737.1,0.340092
