"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.62722e+06,1.1442e+06,606950,413348,275469,449822,7582.87,1706.58,35251.5,406936,73610.9,20877,7616.63,0
1.77731e+06,1.3297e+06,492357,370592,249419,374853,9155.35,255.29,22460.9,221265,18080.6,14279.9,6464.56,0.00201407
1.10645e+06,820167,563783,346231,247136,454385,3007.3,237.828,47657.5,235450,16933,11717,5830.95,0.00917523
2.02953e+06,1.4999e+06,440173,307785,213818,339384,7201.67,-1173.38,126180,344101,109827,28081.2,6608.59,0.00951091
1.90066e+06,1.34627e+06,518133,429149,291706,397418,10065.3,-580.178,38671.9,615848,75537.6,41247.1,9970.79,0.0204764
1.6741e+06,1.28168e+06,320496,250116,176575,256553,4781.33,-382.81,41385.6,169813,11352.3,7604.27,4985.03,0.0344631
832168,583015,395594,270249,189795,313620,5420.69,-607.6,69153,103847,10619.7,9133.46,5632.3,0.0363652
1.7597e+06,1.41546e+06,372028,231428,171431,307925,6033.57,468.157,26260.1,122210,11657.8,9840.98,4899.6,0.036589
1.83533e+06,1.51964e+06,372855,209033,160306,318106,2592.12,-411.46,115354,141317,17359.7,10365.4,5531.01,0.0406172
2.13429e+06,1.41782e+06,473427,311522,203677,364340,8973.27,-181.703,3547.2,300051,19430.6,18335.3,6953.35,0.0497924
1.28439e+06,968927,560042,421001,309419,460999,3618.09,-1287.13,34159.3,223154,43974.3,6997.65,7331.49,0.0541562
1.09474e+06,815029,563642,437387,323872,463391,4182.38,1201.58,153802,164573,14528,16372.1,5137.04,0.0547157
2.13597e+06,1.54467e+06,460614,325308,246809,383316,3393.68,-114.921,159390,235748,50698.5,21496.9,7509.3,0.0558346
1.69943e+06,1.29188e+06,528584,401160,274394,413428,3786.77,-196.607,77476.8,214870,11415.3,15266.6,4610.17,0.0576249
2.14412e+06,1.34989e+06,1.1271e+06,765462,438356,750850,14800.1,3100.13,298640,344485,31173.4,48759.5,14682.7,0.0626601
1.37199e+06,930403,679895,586722,411925,522401,6439.83,509.524,159985,286528,31395.7,15817.5,7439.46,0.0652336
1.91618e+06,1.47646e+06,436950,329234,237434,356204,6284.23,-133.564,52883,216303,13664.9,26150.1,4077.86,0.0698213
1.77879e+06,1.25905e+06,613723,439139,281306,452199,8505.46,-9.01392,43307.2,369868,57515.2,28971.5,9351.04,0.0843673
1.67573e+06,1.28119e+06,303714,229323,164433,244854,5394.21,-878.637,35604.8,188730,8465.35,10031.8,4295.08,0.0929831
1.83625e+06,1.35619e+06,454339,333372,227425,354374,3435.75,894.091,205355,204591,32721,15941,6638.31,0.0951091
1.64476e+06,1.28738e+06,382814,228362,153916,285497,8518.92,-455.969,78468,166052,10234.6,14477.9,5198.87,0.0964518
2.12488e+06,1.54391e+06,414435,307970,222757,330503,4094.01,-147.966,102260,263652,30183,16959.1,6851.78,0.106298
1.62511e+06,1.17879e+06,488207,335419,228252,380135,7021.93,-1113.14,17978.9,224352,18938.8,13938.8,6539.84,0.111334
1.59889e+06,1.09224e+06,1.04744e+06,1.2255e+06,913802,724274,7259.99,2302.39,189503,392404,29070.9,23134.1,8512.68,0.118047
1.28207e+06,955289,551191,416899,286576,425333,5307.92,-645.382,90875.5,239001,22415.8,19151.8,7671.83,0.121516
1.85084e+06,1.37191e+06,570404,390892,261247,423071,9315.74,-533.227,15778.5,310433,17105.1,17392.9,7525.24,0.128229
1.2994e+06,834434,666415,439968,273112,485864,8603.19,276.408,56700.3,345409,54413.3,24363.5,11491.5,0.128901
1.6681e+06,1.08283e+06,388636,303856,189271,289299,6267.18,-1339.48,13082.9,270776,43213,12676,6432.68,0.132593
1.57021e+06,1.2228e+06,301369,241077,183929,255188,5022.4,-1289.31,39320.9,208433,25753.8,11399.2,4894.63,0.135726
1.94375e+06,1.46606e+06,388298,282820,209048,314919,2547.58,-882.595,94978.2,150579,61040.9,13294.1,11213,0.139083
1.39088e+06,1.00211e+06,385734,319661,205691,290101,6332.09,-416.223,20543.1,257422,10838.1,14240.8,4901.78,0.156315
1.8769e+06,1.49364e+06,330333,232646,178297,275236,3825.73,-487.647,39310,216177,23568.6,21749.3,10051.1,0.159112
1.16604e+06,788272,752737,497736,343026,592486,8044.88,-307.146,33685.8,263612,31648.5,15538.5,7557.11,0.17735
1.52188e+06,968392,953488,669510,405631,649226,6607.51,1134.94,65125.9,371648,88632.5,17582,12580.1,0.182162
1.60074e+06,1.12802e+06,441556,329669,209752,331513,6866,-70.8342,31598.5,252439,18481.2,20028.1,4585.11,0.185742
1.24838e+06,857988,737776,559587,349917,538211,8348.91,-156.2,176182,364210,36481.1,19274.9,9513.97,0.192008
1.53562e+06,1.14271e+06,375316,285656,196483,298141,6341.18,-1231.58,304690,222929,14414.9,14427.8,5468.74,0.193687
1.64873e+06,1.26009e+06,345610,251827,170891,277108,8336.46,-884.056,38344.8,242026,13581.9,29501.5,3249.8,0.195141
1.51872e+06,1.05866e+06,771768,644693,410421,539597,7858.94,-516.551,37059.8,407824,28923,26077.8,6688.01,0.195813
2.45422e+06,1.67754e+06,481123,395510,269637,370133,5544.71,-2030.73,199516,352591,65583,19898.4,7368.99,0.20275
1.4511e+06,1.08641e+06,518863,406492,287792,403623,6059.22,-95.7693,101202,235661,17804.5,16370.5,6407.73,0.203757
2.50892e+06,1.5813e+06,897748,604907,378386,655066,7555.76,-958.632,22305.4,630816,66233.4,30939.8,17846.6,0.204205
1.81534e+06,1.26858e+06,331345,235667,157644,257632,6343.58,-1949.18,73140.4,371717,78272,23021.7,5448.63,0.210135
1.43155e+06,1.013e+06,589787,378292,248078,438974,10235.2,173.632,589.728,283328,28070.8,14495.5,8280.04,0.215954
