"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.89843e+06,1.34135e+06,879898,642664,406052,640756,8049.73,1773.73,141435,161246,28790.3,18366.2,8072,0
1.83436e+06,1.33589e+06,798180,545475,361606,619353,3071.17,2538.19,135814,174387,26188.8,8312.91,6575.63,0.00201684
2.55246e+06,1.43167e+06,1.46236e+06,1.14157e+06,623012,897221,6958.61,4094.14,226199,284253,43021.6,16393.3,11773.2,0.00358549
1.34187e+06,1.01511e+06,678762,412263,280856,518512,4372.93,269.858,273849,135563,11969.6,12634.5,6037.81,0.0084035
1.68535e+06,1.26106e+06,353982,244758,176748,293600,2903.2,-281.987,13845.7,198191,7801.56,6267.71,4114.21,0.0180395
1.79077e+06,1.44215e+06,327945,237681,181140,280036,2295.69,445.991,78648.3,217310,9920.32,3308.77,5511.41,0.0190479
1.35228e+06,949800,878934,560125,364237,659406,3814.63,1024.2,33241,165792,24498.1,14288,12539.9,0.0190479
1.99553e+06,1.61356e+06,310053,169591,133371,265863,4428.95,2385.96,37768.7,142251,16022.1,4429.02,5021.44,0.0212889
1.99013e+06,1.46628e+06,417848,281582,204441,346465,2690.28,75.6814,155794,245169,11322.5,4653.23,3803.83,0.021625
1.83216e+06,1.41452e+06,378885,290125,208677,309749,1967.82,1167.69,39084.3,86610.1,9523.96,3782.48,4428.4,0.0375356
1.85227e+06,1.35651e+06,586319,448188,280768,423610,3395.29,32.5866,75486.7,140053,14468.3,7086.4,5946.13,0.0434741
2.20132e+06,1.68498e+06,332844,219661,148965,252416,1209.95,254.874,136430,88169,11089.8,4480.13,4698.5,0.0450427
1.82818e+06,1.41672e+06,556144,427003,290637,429041,3981.66,1452.16,32782,91795.6,13007.6,7238.55,5265.37,0.0462753
