"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.52046e+06,1.06697e+06,837809,746354,510678,639360,4130.3,837.104,23804.3,137601,12273.2,19121.3,6523.48,0
1.67475e+06,1.27854e+06,554915,420298,290105,441987,3485.21,372.821,48810.1,109964,9313.87,6751.11,4197.57,0.00345354
1.62886e+06,1.13152e+06,604440,434408,287620,451748,3540.55,-722.535,273182,149715,24907,13672.1,5440.49,0.0153738
1.91866e+06,1.4695e+06,607687,440350,295973,474475,4836.2,66.9381,201894,131081,13826.6,9917.21,5456.12,0.0314161
2.09074e+06,1.55815e+06,771892,523373,342070,586040,3125.01,2670.9,73278.8,111045,23638.7,14379.4,6242.54,0.0373206
1.61284e+06,1.26173e+06,558795,315952,213891,432058,4468.23,189.867,36960,164036,10074.8,9755.6,4735.37,0.0412197
1.68054e+06,1.25382e+06,707133,591104,433320,576159,3997.56,1222.22,68625.2,261962,38490.3,6408.37,4408.46,0.0512461
1.76175e+06,1.21982e+06,953101,696530,446839,694908,7127.19,1380.38,179016,188521,30409.1,20672.8,5956.56,0.0626094
1.91645e+06,1.38983e+06,394127,306108,228900,323935,4459.79,-45.4702,16941.1,234206,25320.5,8176.12,3041.08,0.0651717
1.00621e+06,658882,524175,391993,259332,409769,2354.32,1294.58,50733,66475.6,20565.1,9470.22,3968.59,0.0687367
1.13766e+06,784163,1.13312e+06,691127,463506,863874,6190.21,-520.442,1.09919e+06,165947,31713.1,19308.5,6805.13,0.0688481
1.74582e+06,1.18365e+06,591447,467147,305334,421485,6270.49,-164.445,33961.6,160431,19640,8275.28,3208.35,0.0690709
1.77393e+06,1.34524e+06,587193,434292,320355,488503,4590.7,-268.298,37260.4,142851,9609.21,9312.28,3985.42,0.0777605
1.72644e+06,1.2699e+06,625555,428933,285966,491674,2882.01,-246.621,18493.5,104824,9602.26,8671.55,5342.52,0.0837763
1.07515e+06,758065,673722,400542,288337,518642,4795.3,181.995,63383.2,136905,28099.2,12414,6261.89,0.0861158
