"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.51047e+06,1.05854e+06,575385,381832,230865,395200,8267.18,4232.14,86227.8,207644,23287.7,23039.6,8571.97,0
1.5869e+06,1.1225e+06,604064,450997,310673,472179,8282.75,386.725,196261,269056,58371,18200.7,8009.07,0.000669838
1.45488e+06,1.01376e+06,656206,449777,302101,507379,9861.51,3606.95,94506.8,123733,15845.1,8904.53,10237.7,0.00435395
1.52181e+06,1.13452e+06,571921,429344,297650,441096,8862.18,1306.93,215550,215404,26006,16928.9,8513.06,0.00446559
1.69271e+06,1.31839e+06,299761,181882,134375,241947,3354.35,201.432,2.00542e+06,107623,8541.78,7196.36,4393.31,0.00814969
1.56883e+06,1.07554e+06,645986,474971,303569,482206,12628.3,1352.55,52712.8,218042,13662.9,20022.2,8423.9,0.0128386
2.02845e+06,1.27503e+06,824397,566111,310323,519475,25384.3,1458.63,163251,663776,49509.7,39158.6,19409,0.0145132
1.69065e+06,1.28901e+06,339337,227487,153186,262001,6677.65,808.516,112401,104046,10245.5,7572.4,7636.61,0.0152946
1.16064e+06,795984,732882,488037,313739,543225,6581.6,957.013,2.20085e+06,206977,15021.2,15139.3,9159.73,0.0161877
1.94625e+06,1.22744e+06,808020,650280,411823,593780,8933.17,1209.58,169897,250013,39893.1,16267.3,11194.7,0.0161877
1.95253e+06,1.24814e+06,724098,543959,356098,531756,15775.1,5836.69,57368.2,349751,24299.9,41776.6,11841.3,0.0209883
1.77336e+06,1.34577e+06,355860,259216,184595,283124,9695.62,2255.88,72819.6,106090,11787.7,7343.47,7973.41,0.0300311
1.9029e+06,1.36244e+06,474130,393133,268578,363471,14017.5,2238.68,95655.8,172402,13527.3,13858.2,8568.11,0.0394088
1.81824e+06,1.31674e+06,548385,357516,228447,399668,15644.4,5205.4,226163,261297,20200.1,23794.1,10522.2,0.0424231
1.58887e+06,1.09980e+06,602155,456728,295883,440154,18573.1,3921.94,103346,248626,29404.4,25988,9622.03,0.0432045
1.53767e+06,1.10414e+06,441882,316375,212929,340437,4206.91,501.776,834384,199456,15441.4,17556,7786.85,0.0438744
1.57975e+06,1.10105e+06,696385,481849,322053,519653,11283.2,3081.4,130838,181554,22435.9,12632,15385.9,0.0564897
833358,513177,696689,460861,299076,545606,10232.8,2175.27,103956,119858,23781.4,9730.86,7185.34,0.0605087
1.82559e+06,1.28276e+06,468927,335265,236459,378486,6777.16,1369.21,58112.8,180893,20263.6,15411.8,7758.87,0.0668721
1.52963e+06,910163,1.09128e+06,762739,453956,762709,20719.6,5871.1,102589,300286,22949.2,34493.9,14780.1,0.0695515
1.66033e+06,1.20718e+06,579110,421115,306138,461914,7566.1,5787.64,231604,236932,21001.2,19080.1,9887,0.071561
1.7382e+06,1.28311e+06,375967,277433,192172,295169,19001.1,4855.2,51170.8,254236,44382.4,17615,11373.7,0.0766964
2.33991e+06,1.60254e+06,585962,378848,243568,437836,13386.8,3122.56,86390.7,235077,53633.6,22414.7,22913.7,0.0772546
1.67954e+06,1.30755e+06,443468,288703,201033,366004,6545.31,-1982.51,1.97917e+06,101896,5617.5,8089.11,6167.59,0.0800456
1.99718e+06,1.32164e+06,642150,435967,280851,475976,12833.6,-229.151,415476,328428,44227,32657.3,9117.08,0.0820551
1.79854e+06,1.3311e+06,505147,328643,238732,414377,2623.22,-1333.81,1.87447e+06,99138.9,6956.77,6806.08,4109.62,0.0903165
1.75572e+06,1.30611e+06,473321,317283,229954,388679,6031.39,332.06,115717,183889,29182.7,18174,7520.1,0.090763
1.2365e+06,877533,529654,401785,272123,418791,13175,2104.82,49655.1,255862,19604.7,21724,8324.35,0.0945588
1.4779e+06,1.14392e+06,468423,325907,234813,374857,5737.77,1367.19,69430,144082,17161.6,14732.7,9024.83,0.0976847
1.75044e+06,1.2788e+06,647176,397737,265118,470403,10769.1,1914.58,49305.9,230507,34145.8,22053.9,16628.3,0.10148
1.70478e+06,1.14895e+06,607483,439451,294160,468450,9007.05,2768.09,175056,206700,40138.5,15354.8,8272.95,0.104495
2.24193e+06,1.38717e+06,676326,459971,274423,472259,18597.1,5241.99,246062,344821,26392.4,26057,12015.3,0.113203
1.69232e+06,1.22203e+06,545737,351495,236262,431348,7412.47,103.515,278201,204079,21924.5,14097,6957.45,0.133074
2.40793e+06,1.59669e+06,666409,457894,279952,461354,14052.7,3954.12,108845,258603,44775.8,23186.6,17646.5,0.139438
1.60597e+06,1.17891e+06,502227,401529,295545,400514,9469.12,2617.75,105408,90252.7,10076.1,9691.19,8187.68,0.139996
1.33174e+06,942247,342625,246077,159960,265965,6643.53,-20.7251,89480.2,68694.4,8559.1,8487.46,18005.8,0.142341
1.75706e+06,1.33859e+06,304050,205159,156127,262157,3833.98,-459.65,214024,146870,39834.3,9227.81,8582.82,0.145132
1.79262e+06,1.38505e+06,410173,288791,192888,311843,9183.57,2203.11,209046,184747,14912.5,17940.8,8526.87,0.14636
1.85106e+06,1.33774e+06,408524,267760,178644,317281,9775.37,2502.84,52333.1,193886,21785.1,17419.3,8376.68,0.154174
1.62747e+06,922084,1.19743e+06,791549,463420,845337,14486.6,2563.08,247815,285984,26617.9,52100.5,7607.59,0.155961
1.96845e+06,1.43295e+06,497165,363164,259201,401870,7211.19,3020.51,105987,198380,44227.7,16920.7,9163.8,0.170809
2.45197e+06,1.63135e+06,798497,638811,392557,556050,12307.3,1889.31,220294,236192,43571.4,18523.7,14719.3,0.180075
1.20606e+06,855824,448335,295721,214036,374369,6666.8,579.618,164266,168160,8450.27,12726.3,5906.7,0.183424
1.33109e+06,922411,349700,247937,166071,274781,15721.8,2406.51,71672.7,179966,14087,17977.3,4880.51,0.187555
1.82433e+06,1.23216e+06,523061,357656,232982,402776,13154,3743.6,155379,187595,12871.7,17561.8,6445.98,0.192802
2.26223e+06,1.58165e+06,560243,346898,226557,422608,4791.25,1340.15,141055,154773,26458.8,11917.4,7267.37,0.205305
1.96585e+06,1.30272e+06,717712,527092,318576,509300,14939.1,2048.71,209920,318393,20359.7,27703.5,12012.1,0.209101
1.91985e+06,1.47279e+06,456013,362133,247941,349876,11515.9,911.758,548204,131753,13168.5,11064.5,7912.92,0.212562
1.30833e+06,991958,255378,213593,153700,215433,2738.5,-291.987,91137.1,81590.2,10365.7,6739.09,2974.74,0.213455
1.24234e+06,813379,793179,591399,397201,623633,7971.22,2040.23,312369,196575,26009.5,20361.7,6693.82,0.218367
1.05612e+06,744620,509375,279643,189706,385746,7239.63,314.133,82815.4,114451,12128.5,9890.64,7795.44,0.230759
2.46081e+06,1.59895e+06,582391,397809,244910,417408,14317,3177.38,85659,193122,19966.7,14476.7,10314.3,0.232992
