"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.81959e+06,1.37886e+06,253210,231891,172659,212246,2390.81,-785.639,33416.7,1.78301e+06,35110.3,17722.1,6498.94,0
1.7968e+06,1.32063e+06,764806,530720,357431,598340,3840.04,-57.1922,410973,224132,28286.8,15825.1,9367.36,0.00168091
1.49287e+06,1.14854e+06,251386,189656,137640,205906,1628.31,-654.798,65500.2,107990,7923.91,8595.19,4883.95,0.00179298
1.60672e+06,1.18415e+06,593070,400061,282104,483831,6647.72,-1267.03,75096.7,249247,32400.2,16233.4,8549.25,0.00448244
1.45635e+06,1.06606e+06,507888,357461,266784,404158,4839.42,4044.11,43311.3,156887,11996.8,11594.6,8050.43,0.00504274
1.71596e+06,1.3049e+06,358655,243074,181282,303271,3194.36,-533.246,60077,158678,11464.2,7998.08,8163.3,0.0108699
1.38116e+06,1.04139e+06,399241,363139,286220,334489,5265.23,302.26,281770,210191,26522.4,12989.5,5837.18,0.0161368
2.01087e+06,1.47024e+06,401158,267907,177575,309881,8005.99,-816.557,40762,426322,22975.7,38820.7,9759.03,0.0196107
1.18579e+06,799192,556392,425061,279509,417809,5946.84,32.7188,6783.21,179463,21307.9,14691.8,9066.24,0.0218519
1.55093e+06,1.02959e+06,873523,649340,432768,650729,4732.21,-639.106,71678.2,285614,60482.5,18593.7,18483.1,0.0227484
2.0337e+06,1.58999e+06,362178,215174,155276,294108,2344.28,-469.95,67320.3,235319,27780.2,13492.3,9293.73,0.0231966
1.3394e+06,936842,864878,672688,443847,638235,5216.29,147.934,178917,217345,29107.1,38560.5,9800.79,0.0290238
1.79156e+06,1.40713e+06,534144,445306,315544,417923,6497.22,900.907,12112,174632,10597.2,9235.97,13591.1,0.0304806
1.58645e+06,1.16618e+06,335937,226530,153849,265716,3641.35,-1833.16,1.20948e+06,199350,7325.08,7795.23,4485.37,0.0305926
1.66745e+06,1.21563e+06,402089,295706,198583,307244,3656.03,970.335,27521.5,138802,14166.1,7215.24,5667.62,0.0360836
1.70185e+06,1.21493e+06,537999,437295,296596,403719,8146.9,-147.434,74125.6,238098,27577.3,24424.3,10215.5,0.0389972
1.96589e+06,1.58362e+06,293517,184472,139625,241359,5989.81,-124.749,33619.8,160511,7127.87,8451.19,9674.21,0.0425832
1.79388e+06,1.39652e+06,401026,277992,205588,321430,4054.84,0.0469971,69930.3,269729,25174.4,7129.19,11503.9,0.0447123
1.26637e+06,937804,654610,382209,263110,499341,2836.39,6457.64,1.1532e+06,210184,22398.7,24426.6,11144.4,0.0621938
1.98238e+06,1.38633e+06,410464,262261,177996,321102,5414.22,-1495.55,87489.7,291742,53381.1,24756.9,18148.2,0.0638747
1.96908e+06,1.57156e+06,317768,227558,168161,259943,4400.68,-1314.43,69073.8,311520,130127,24683.8,11644.4,0.0645471
1.89414e+06,1.50045e+06,297541,195448,139071,240509,4099.37,477.42,36186.1,246614,17204.7,12558.5,5253.64,0.0673486
1.90168e+06,1.25288e+06,575970,399453,259979,435389,8586.56,-1450.35,91244.2,427834,55628,26858.2,12947.1,0.0681331
962117,639169,649664,484439,311712,486537,3058.25,-403.834,62380.2,194601,19884.2,23882.5,8001.07,0.0714949
824212,533028,462422,337856,228753,353978,2857.96,-815.613,30857.3,129269,14406.3,18123.7,7731.65,0.0766497
1.86833e+06,1.39516e+06,444496,324106,222398,341394,7344.01,-515.336,27701.1,177047,8197.79,10486.7,9996.63,0.0887523
1.9414e+06,1.38525e+06,386289,322179,228488,300013,3789.33,-520.198,24542.7,310234,12908.6,6640.3,6555.19,0.0923382
1.88478e+06,1.36172e+06,760740,599089,392726,576246,6592.31,-636.571,77264.4,213676,25016.3,20706.9,15626,0.105001
2.02961e+06,1.55788e+06,278152,225140,169182,233607,2978.73,-1074.95,21439.7,135983,27373.6,13223.5,7974.4,0.106906
1.25168e+06,883494,726000,527099,340098,540151,2993.13,3154.9,38123.6,170348,20272.6,19995,11413.3,0.11094
2.59196e+06,1.76053e+06,595281,429447,283735,447440,3197.01,-1676.54,54537.3,354595,104456,18660.8,16081.6,0.117664
2.60565e+06,1.57596e+06,442601,329848,209546,313271,5595.59,-678.177,185456,270336,86611.6,31414.8,26029.4,0.119233
1.75682e+06,1.35436e+06,358029,223144,162807,297739,3761.75,-506.831,89309.5,161542,6910.09,18759.4,4534.63,0.13324
1.75249e+06,1.32324e+06,372691,261590,202909,318975,3238.46,-109.706,34079.1,154634,28083.4,9313.14,6649.58,0.138956
1.03333e+06,725878,528145,414631,299531,412720,2976.63,-269.352,8445.44,104442,9723.03,11566,6578.66,0.139628
2.09049e+06,1.39581e+06,497351,413625,282227,376878,2851.09,646.669,61161,261944,21137.5,9975.9,11710.5,0.159351
1.45534e+06,1.0779e+06,627868,469180,327519,501069,3236.28,-574.803,73438,195430,19260.1,16871,9348.51,0.161592
743422,511124,528739,429131,296900,403486,3978.21,-658.422,62021.1,108089,20688.7,9504.58,8120.45,0.164281
1.06441e+06,702262,589856,395216,251959,437151,4256.92,-691.42,71775.6,169650,14104.9,19110.8,6912.03,0.166523
1.71531e+06,1.24477e+06,429683,329323,236035,350611,4818.88,-1221.56,17161,317613,37009.5,24978,7797.96,0.168428
1.86266e+06,1.36433e+06,642061,387863,244215,472669,6742.76,-920.444,332005,241876,17509.5,20676.3,6289.08,0.168988
1.3997e+06,1.01753e+06,521272,395229,272751,404037,6206.09,-1725.74,70340.1,210970,16246.4,27987.3,8270.64,0.169212
2.37943e+06,1.50759e+06,1.36391e+06,991037,609271,967088,20953.3,-1231.2,181138,797880,95008.8,26963.5,21104.3,0.178625
1.78034e+06,1.46313e+06,200536,161822,131513,173617,2239.56,72.0403,84221.9,169228,16823.8,4572.2,8251.98,0.179522
1.40941e+06,1.09095e+06,323827,218644,160335,277969,3799.03,-1670.77,53472,221759,14214.7,7886.11,7098.5,0.181539
1.50288e+06,1.01868e+06,807986,536855,358837,624811,4407.15,-1343.4,66801.5,226130,29271.7,24375,11483.5,0.182547
1.32166e+06,940815,721039,527217,372158,572248,6052.8,-1300.57,12744.1,198486,50399.1,10567.8,7881.2,0.187254
1.57846e+06,1.23854e+06,308358,222677,171761,265049,3286.15,-674.186,37011.4,193142,6939.93,6252.14,8025.79,0.190728
1.29326e+06,877752,911598,599827,405176,724883,3389.19,-770.987,206292,144475,19788.2,21790,9143.9,0.195995
1.57782e+06,1.13285e+06,636940,452534,299830,483771,6817.08,-485.644,66546.7,268572,17084.8,21053.8,8575.56,0.197451
1.5e+06,1.10258e+06,554874,412495,285636,428976,7373.52,-1226.84,11744.3,296672,27968.5,17064.8,7682.22,0.200365
1.82771e+06,1.35323e+06,450966,347992,261780,375129,4893.21,-1245.74,67927.7,247966,25887.1,21982.6,11878.6,0.216614
2.25982e+06,1.67587e+06,484575,331165,238176,395730,4249.12,-21.678,85285,244293,23884,4550.72,14339.5,0.217174
1.87578e+06,1.44541e+06,476096,352200,248342,383416,5134.7,-253.968,339017,148846,12464.2,9677.21,9564.87,0.223001
1.69244e+06,1.15246e+06,835403,639205,426504,632430,5988.32,-727.734,38428.8,220028,26759.8,14781.5,9220.17,0.227708
2.16848e+06,1.52218e+06,575901,406615,294098,470451,2822.78,-702.451,34697.4,126105,26186.2,10235.4,9619.39,0.22782
925731,616068,441124,319982,214251,338751,1430.9,-1398.37,62052.7,98414.7,23670.9,14428.2,5602.16,0.22838
2.03604e+06,1.51614e+06,354546,259444,189951,293129,4272.21,-2525,18330.5,223453,60990.4,15569.3,12018.1,0.229501
2.35566e+06,1.74104e+06,359286,266153,177086,274655,2446.42,-168.82,29721,239724,15243,6287.65,17722.7,0.240819
2.08911e+06,1.61649e+06,502474,374376,293188,427831,2893.74,-392.384,98182.6,93627.9,8733.71,5533.98,13724.4,0.247767
1.52295e+06,1.14441e+06,606566,337820,223934,458320,5724.51,-589.57,16385.6,214934,13636.1,19133.9,11055.5,0.250008
1.42254e+06,1.01105e+06,822459,561205,377308,652900,5210.8,339.69,428206,216711,21283,21709.7,8383.94,0.256508
906910,616827,417446,344166,235883,327927,2169.83,-1145.46,51921.9,197556,13501.4,16991.2,6651.83,0.259309
1.79946e+06,1.40519e+06,536987,351844,235475,415299,6056.27,107.407,41922.4,214733,9644.17,14270.8,9879.8,0.261999
1.63765e+06,1.29433e+06,305640,234858,175346,255248,5594.21,-1073.89,15221,106157,7702.58,7243.32,5336.74,0.263007
1.8901e+06,1.36481e+06,566429,398584,283554,448549,6318.14,459.389,685732,203315,12052,22696.9,7326.95,0.26749
2.0428e+06,1.6061e+06,368826,218652,161520,302958,3411.07,-796.723,38748.5,189175,31947.4,24046.5,8771.17,0.269843
1.49044e+06,1.09786e+06,663561,513626,365635,511875,5546.2,-141.617,67038.8,221825,31735,13339,11773.3,0.271636
2.16345e+06,1.59917e+06,310021,215490,144375,246022,3283.28,-1950.87,52287.2,135383,65333.8,37288.3,4728.52,0.276118
1.44769e+06,1.0776e+06,630173,385651,257417,489035,3030.62,957.061,24994,149419,14153.5,10997,8132.19,0.277799
1.71727e+06,1.31868e+06,477945,350177,246592,370438,7373.37,981.651,40229.8,209087,21163.2,11485,8996.34,0.279928
1.69887e+06,1.27103e+06,297581,223158,165858,257075,2702.5,-588.087,82170.4,172035,8587.68,9523.08,6173.94,0.282506
1.9293e+06,1.42378e+06,478261,364886,278160,392047,5208.3,608.503,85597.3,261717,22564.5,14142.7,11401,0.299875
1.64932e+06,1.32177e+06,347965,269214,193762,277289,1915.25,-24.535,47302.1,157197,21695.3,9641.89,7756.05,0.30066
2.27291e+06,1.66082e+06,638355,469535,321876,500818,4768.09,-593.261,11328.6,319996,27335.2,13587.4,43181.3,0.30559
1.84262e+06,1.43428e+06,305630,231571,168923,245847,5613.51,-2408.03,9003.29,223216,97677.3,38421.8,10135.2,0.309736
1.19725e+06,934738,457203,292704,222235,377423,3466.66,2626.98,32339.4,116736,13217.5,18204.3,10104.4,0.318925
2.08246e+06,1.50794e+06,589546,440530,307572,452382,7080.64,-881.543,15650.5,200910,12790.8,9133.41,8444,0.327106
1.81753e+06,1.37581e+06,412068,311368,220184,330151,4000.13,-172.267,306604,162149,14682,10029.8,7292.93,0.329571
1.71329e+06,1.3011e+06,371748,264891,194108,311404,4177.43,-1234.15,16733.2,184447,9238.85,22408.5,5680.53,0.333157
2.81288e+06,1.90062e+06,660526,481166,292472,469952,6206.43,291.271,39267.2,443266,35089.5,14484,28008.7,0.333381
1.85344e+06,1.33231e+06,429121,341743,208232,300163,5690.16,548.29,171895,179661,18831.3,14802.3,8063.94,0.339545
1.76625e+06,1.43586e+06,282123,199851,150503,234083,4110.42,-726.785,32452.5,161055,21100.3,12293.5,4920.43,0.339657
1.73543e+06,1.27293e+06,866075,597833,382288,647867,13775.9,-2107.87,38095.3,265059,45798.2,17788.4,15112.7,0.339769
1.23842e+06,862449,749702,501680,332200,552326,4824.3,2839.75,46830.4,206778,26119.1,19004.8,17058.7,0.341674
1.62042e+06,1.26535e+06,351931,273922,210051,288471,3092.19,206.637,78457.6,131676,6723.52,7405.05,9309.09,0.343803
736233,495754,678952,568089,387483,510531,3207.74,3043.62,133504,149337,17173.6,22077.8,9664.73,0.355906
1.72519e+06,1.32184e+06,726956,593611,430459,595227,5668.04,-476.646,185895,206844,11609.2,17448.6,11657.9,0.357362
2.26218e+06,1.67124e+06,368775,235444,165932,291695,4697.03,-528.579,7679.59,287698,27453.8,37963.9,7142.69,0.365991
1.09092e+06,744260,618935,396788,265517,475239,4332.8,-632.395,78376.7,133332,18232.6,26443.1,10954,0.368456
1.79116e+06,1.40626e+06,452146,357691,266837,376500,4305.81,1796.31,148516,149659,25622.8,7618.38,10555.1,0.371258
1.87937e+06,1.49166e+06,314866,244888,165329,237462,2363.57,-886.709,179740,146876,8428.13,12050.4,6066.72,0.375628
1.68046e+06,1.23463e+06,671338,579934,365231,486604,5164.56,1029.04,29856.5,161687,12288.6,8455.97,5485.74,0.376077
1.49582e+06,978858,635103,479222,305633,463912,11849.6,468.294,23179.6,328331,17062.2,22813.7,7451.73,0.377645
797038,503630,663650,462586,291087,496393,2948.81,38.1638,303308,136084,17176.7,19031.1,9095.7,0.378318
817440,542932,679004,581586,390284,511478,5289.15,-106.31,53066.3,172181,26910,29638.7,11555.3,0.378654
1.75659e+06,1.40565e+06,389730,269403,200251,326871,2649.1,-838.161,43628.8,180785,14557.4,16174.5,7170.02,0.381456
1.19143e+06,799701,811270,657322,435465,603221,6401.15,3313.61,37222.4,217446,26468.5,17481.7,9009.99,0.384481
969068,615570,663142,461460,299132,482534,4438.9,-1020.02,36528.2,116882,18030.6,15412.6,9861.5,0.387843
1.52424e+06,1.08621e+06,737520,614161,429034,579271,4466.56,-247.39,146585,201046,15455.3,28947.7,9001.31,0.391317
1.31311e+06,933433,624069,508818,348874,487024,5777.94,158.776,35839.6,265822,14539.7,27299.1,9305.65,0.394791
1.58281e+06,1.148e+06,824775,603130,431498,653443,5101.5,-536.611,47602.2,302824,17561.8,15025.5,13301.4,0.398041
1.86915e+06,1.25496e+06,1.02253e+06,721148,456278,730316,6764.22,103.04,9120.88,252396,41036,24119.8,16510.7,0.412496
1.14032e+06,824503,612112,470543,326557,479899,3404.32,3855.58,261406,197492,19848.8,23565.7,7602.55,0.417315
