"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.49948e+06,1.00704e+06,439602,320941,203032,320791,13075.3,-717.714,249279,233194,17588.1,17542.8,6935.45,0
1.89266e+06,1.13693e+06,725454,507979,293175,488882,23298.9,-1127.76,555479,497466,39205.6,40266.1,12606.9,0.00569607
1.3042e+06,830974,973061,663325,381245,653404,9952.59,-224.085,537503,461154,37452.8,32129.1,22913.3,0.0620984
1.67423e+06,1.14901e+06,540753,389380,219054,371973,21460.2,-1678.77,1.17378e+06,327691,23975.5,28829.1,7429.19,0.0717035
2.60704e+06,1.54435e+06,1.27243e+06,830988,412461,741539,24095.3,3499.8,1.54399e+06,937012,58680.5,59987.2,27392.6,0.0746074
1.74606e+06,1.11515e+06,564154,411938,245877,382297,13617.8,357.681,914922,273901,24090.4,26953.4,10052.8,0.120399
1.52921e+06,1.00192e+06,1.04277e+06,557062,314606,687337,25019.2,1390.39,455688,427671,25628.1,38632.6,15038.4,0.17736
2.23561e+06,1.53576e+06,645259,410810,252076,449962,14735.7,1307.17,1.78538e+06,410169,27879,36182,11779.1,0.184731
1.94712e+06,1.31141e+06,837563,482829,280144,568790,19824.7,-160.398,555027,317342,29659.6,34213,12740.2,0.193108
1.36348e+06,1.0886e+06,358873,206638,160831,308779,4065.2,-2492.87,2.02135e+06,106565,2531.55,8025.77,3599.46,0.224827
1.66389e+06,1.18645e+06,375353,277600,191653,301007,10024.7,-1327.35,886305,252332,12596.7,17317.4,5379.42,0.242809
1.04865e+06,689318,842506,569559,356781,607268,5496.43,-1785.37,1.89912e+06,354420,41152.1,21514.5,10418.7,0.270619
2.48217e+06,1.66392e+06,1.08091e+06,704382,385753,681214,32664.5,2372.07,1.06465e+06,598191,35519,58457.7,20427,0.317305
2.67e+06,1.60019e+06,688302,505960,283428,431063,30437.7,2789.25,467299,391485,32573.3,32611.2,17527.9,0.31764
2.20122e+06,1.25533e+06,995493,685941,390249,663335,34916.6,1291.41,1.65093e+06,433748,34904.1,41232.5,14988.7,0.320097
1.86816e+06,1.25876e+06,762854,501087,298001,561694,11439.8,-2303.93,3.45407e+06,405867,12738.2,21165.9,8522.46,0.337967
1.50833e+06,1.03917e+06,668722,439782,260277,479412,12219.8,-1058.52,623866,327714,18221.5,23493.9,9706.21,0.341764
2.15141e+06,1.49073e+06,721909,536923,307951,478616,24113.3,-256.024,487116,487533,25438.4,34600.5,12760.7,0.351481
1.16951e+06,865506,499978,349459,236785,398412,7889.2,-1367.2,232544,201007,12291.9,11405.9,6410.82,0.356842
1.54553e+06,1.15356e+06,319710,220676,155149,258991,6517.94,-1178.07,913767,136027,17380.3,14999.4,3801.55,0.360751
1.47701e+06,915600,678650,451190,290147,511020,12367,-1574.63,1.53311e+06,495935,30645.2,34863.2,9694.5,0.401406
2.07137e+06,1.24591e+06,859462,618901,337351,551789,28375.1,-899.107,569979,597632,42917,43411.7,15351.8,0.425307
1.62692e+06,1.14365e+06,382992,258422,172668,301145,13679.8,-1497.33,563989,258497,16750,17446.7,4883.66,0.43346
1.45536e+06,1.0848e+06,389824,246516,165469,306796,10770.3,-1825.7,1.40855e+06,384389,12030.1,15865.8,5365.04,0.480816
1.53107e+06,1.30514e+06,539005,722376,695798,513312,1365.87,-275.444,1.69619e+06,84640.3,3410.64,5830.35,3898.56,0.483161
815715,586815,611107,388670,249929,454625,5660.51,-963.509,1.62974e+06,196251,26602.9,21883.3,7728.48,0.494218
1.36606e+06,1.11881e+06,352313,262709,212904,308961,4752.94,-1880.79,1.70077e+06,108671,9397.01,6082.83,6969.88,0.495558
1.54633e+06,1.28516e+06,282031,174237,141267,249394,3680.9,-2454.57,2.11467e+06,101873,3306.85,4028.96,2921.21,0.500584
1.55589e+06,854914,1.2318e+06,859435,450719,771306,15405.9,956.812,488070,419809,51321.7,49215.6,14508.9,0.509408
1.19094e+06,774525,644249,505779,320141,463929,8860.93,-940.182,994261,335397,27483.1,19866.3,9909.85,0.552966
1.914e+06,1.30829e+06,501666,369289,238064,366130,17566.4,55.7551,296689,337217,20648.4,22170.7,9491.16,0.559109
2.07305e+06,1.40015e+06,541700,395747,255789,398748,81766.3,-2001.48,590431,265672,17837.4,25669.8,13755.9,0.559332
1.76097e+06,1.21464e+06,765413,605991,358656,511663,17234.3,309.31,536895,465650,33893.3,69590.8,13974.4,0.572065
1.10704e+06,789852,624641,438510,282255,467588,7363.79,-912.69,1.00489e+06,330397,24345,19553.9,8684.88,0.572511
2.00404e+06,1.20803e+06,849552,633579,378612,561157,13301.2,1176.7,167273,402065,48100.8,31950.8,16782.5,0.605236
1.41793e+06,1.085e+06,601904,342851,241420,478066,3575.39,-520.366,2.56836e+06,182535,19695.2,12149.3,5935.68,0.614729
1.58981e+06,942109,1.08684e+06,882338,492408,680330,11968.8,726.12,955629,576149,39944.5,46637.6,15778.4,0.618862
842717,528347,792999,581552,361462,566912,10237.6,323.56,457320,364086,30189.7,21897.1,9719.73,0.620202
1.9745e+06,1.17246e+06,914013,614782,339840,549491,35286.3,3688.35,449546,513651,38626.1,40179.2,21378,0.683864
2.39437e+06,1.59497e+06,1.03877e+06,624500,334196,633018,10711.2,1748.15,525105,489164,37807.5,39890.2,21623.8,0.760258
1.89585e+06,1.29229e+06,674121,496684,298937,473546,11331.5,1669.71,1.07498e+06,415856,24627.1,36993.9,12747.5,0.801471
1.13026e+06,851854,652434,599217,462821,529673,3948.99,-2034.81,1.76874e+06,310613,20521.4,9938.87,6430.69,0.80605
1.8998e+06,1.29822e+06,681454,487588,293819,473493,14412.1,1601.68,506056,346189,30168.6,33503.1,14338.4,0.808396
1.36023e+06,897732,1.26643e+06,831838,494324,898562,21749.8,1416.98,3.32415e+06,421017,47840.3,41218.7,16513.7,0.809624
2.40189e+06,1.39476e+06,848299,584510,324369,526105,21554.4,3076.69,851499,594325,28933.7,48195.7,24918.5,0.816437
1.82664e+06,1.36828e+06,491315,302596,205129,379489,12196.5,-356.676,254233,300846,32911.6,13721.9,7216.92,0.848045
1.05821e+06,614803,647396,463034,272150,453371,5599.38,-74.616,487155,227648,20167.9,17458,8215.69,0.86491
2.7739e+06,1.6729e+06,929588,668025,361329,579585,25780.6,989.283,936889,699922,59098.3,56551.7,22209.3,0.872281
1.74132e+06,1.15269e+06,640752,442849,267564,467460,14742.9,-854.922,530135,309662,22322.5,30748.5,9213.63,0.878982
1.48665e+06,1.14842e+06,347684,287807,210408,275942,7164.79,539.769,571278,251934,11841.9,17101.4,5792.5,0.881328
771720,473409,551764,410641,260315,408336,9474.66,-647.818,730298,191798,16609.8,20927.7,8109.67,0.884678
1.64919e+06,1.04805e+06,726180,477300,273393,475122,13127.8,249.388,439988,445678,45922.7,30552.6,12457.6,0.887024
985314,651242,614340,423402,276976,459420,6131.85,-791.628,888921,291046,20296.6,19205.9,9368.88,0.891938
2.08594e+06,1.32924e+06,717669,554696,307171,481148,29134.7,1117.52,207145,477826,49496.8,41093.7,13564.6,0.904894
2.51282e+06,1.54442e+06,692877,470289,255277,452444,13168.3,431.728,238617,482040,42631.4,40828.7,13102.2,0.908133
1.32698e+06,843311,578012,467735,298950,412563,14164.4,212.802,418360,477112,17779.3,23968.3,9146.44,0.914946
1.58541e+06,1.27142e+06,307460,167908,126519,250991,3230.93,-349.792,1.55972e+06,117125,6336.54,8042.62,4360.04,0.920083
2.19673e+06,1.2123e+06,1.14086e+06,802686,418629,689488,30005.5,270.815,702212,698057,35585.8,58275.2,18336.2,0.938735
1.93771e+06,1.29388e+06,517703,386760,233145,368486,24226.1,-1116.94,876452,310416,15032.8,36911.4,9307.32,0.982182
2.02614e+06,1.1657e+06,1.09836e+06,918647,515061,693782,30404.6,869.961,820430,401083,45830.3,43062.1,25371.1,0.986649
1.3949e+06,1.14933e+06,347454,174847,123358,286651,2958.88,-930.454,2.17974e+06,118667,1620.52,7668.84,4212.37,0.996813
1.38171e+06,1.14335e+06,359651,183127,143717,303216,3545.43,918.638,1.95211e+06,114489,4417.65,8104.86,4214.95,1.00564
1.96582e+06,1.28738e+06,787378,500487,285778,509877,27150.1,1230.79,487354,431646,27440.4,38651.6,15500.6,1.01926
768302,487280,531300,394889,239039,366560,2245.99,811.029,441125,192262,10363.2,36034.8,8018.77,1.02485
1.58026e+06,1.00755e+06,844287,638275,391938,587691,5660.93,738.504,903915,359362,45297.9,24442.8,11462.6,1.03021
2.19649e+06,1.45468e+06,709935,592267,374654,505647,14116.4,1603.57,612478,275403,28572,21363,12699.6,1.03613
1.0091e+06,880457,176195,118558,109333,160712,800.002,-560.912,1.11929e+06,1824.56,454.716,513.482,21649.3,1.04316
1.802e+06,1.20169e+06,530581,410738,266038,381781,23462.5,780.664,339647,299734,19687.7,22232.7,9961.29,1.05791
1.24851e+06,732211,685025,450836,270107,456213,6250.79,1120.07,1.49094e+06,189494,11700.5,20947.9,9537.46,1.0617
1.92957e+06,1.35692e+06,555745,418126,272645,416944,10773.2,358.364,651458,281570,27944.1,24778.8,8975.61,1.07231
1.9813e+06,1.17688e+06,770056,593275,312196,461726,23440.6,1572.55,272790,534022,66523,56848.5,19381.5,1.11654
1.13417e+06,827460,470068,299439,218666,383973,4577.66,-1732.65,1.75082e+06,128249,5651.09,12925.9,4427.89,1.11732
1.15435e+06,674137,1.03016e+06,821827,490350,696103,11186.4,1190.33,656422,234354,22387.3,26611.6,13673.5,1.13754
2.66945e+06,1.63738e+06,946922,753356,412640,602688,12809.7,2533.15,529676,477897,53517.6,50685.8,21504.5,1.14067
2.40486e+06,1.39318e+06,1.22902e+06,863420,420317,716401,28949.9,-1330.02,798159,775632,112430,65664.5,21051.5,1.15072
3.12973e+06,1.93993e+06,751976,437405,239699,473207,24091.1,3592.32,2.56875e+06,552093,22348.9,93230.4,22694,1.15977
1.83586e+06,1.29314e+06,634744,384923,232105,441367,14094.8,1711.69,1.02802e+06,259269,9319.64,24500.1,11136.5,1.16959
1.05323e+06,745562,569465,393032,269857,454804,6884.92,-1543.52,1.52412e+06,212201,15280.2,21106.2,6092.57,1.1773
2.25513e+06,1.37895e+06,1.58017e+06,1.09587e+06,576803,963376,21516.7,3757.45,778912,547096,46661.6,46040,23958.5,1.20701
2.6864e+06,1.79056e+06,1.12189e+06,712360,396088,691331,20624.6,6634.92,1.44695e+06,621250,38603.5,51303.6,23544.1,1.21036
1.93314e+06,1.14787e+06,926049,684399,380594,592830,16579.9,649.245,514053,583945,42142.7,41545.4,17823.8,1.21862
1.54235e+06,1.1064e+06,558678,371048,233483,419610,9366.34,-308.871,1.21051e+06,220952,19011.3,18205.1,8152.03,1.22052
1.65771e+06,1.05795e+06,806400,640560,370803,538324,12573,857.226,358439,404430,36064.4,22394.3,12244.4,1.22812
1.09316e+06,770861,592807,430767,285700,453570,6509.02,1489.57,467764,277494,9744.67,16207.4,8736.46,1.25068
1.27006e+06,887482,559928,446664,293299,414896,10729.2,-621.113,515524,332845,26094,19545,6135.74,1.25146
1.66763e+06,950914,1.20342e+06,847990,448896,747566,20312.8,1825.4,608720,408746,34179.3,33871.4,16524.7,1.27503
1.73401e+06,1.02218e+06,1.02983e+06,657284,356037,661841,14754.9,811.179,476595,384033,13955.7,40315.5,14457.2,1.29401
1.60127e+06,806389,805829,555063,303578,517351,36151.9,168.729,739493,388444,31952.4,30923,12188.9,1.29904
1.97379e+06,1.2609e+06,635136,443859,262983,451031,18597.5,246.728,487834,447101,30495.4,29263.3,11689.1,1.31032
2.11876e+06,1.46395e+06,751704,458418,258806,485939,15826.9,2390.17,479748,528928,36538.3,49662.3,22175.9,1.3111
2.46825e+06,1.4906e+06,1.09058e+06,734672,376919,647187,22482.6,3960.67,496750,513825,30648.7,47547.9,24456.8,1.32026
2.75981e+06,1.72469e+06,1.44875e+06,1.03481e+06,515854,850174,37618.4,1493.95,1.04774e+06,1.12994e+06,86624.4,144666,25706.1,1.33579
2.26522e+06,1.47845e+06,715422,483525,277464,465705,16681.4,2967.72,414109,451470,29254.9,42041.5,18259.3,1.33646
1.70271e+06,1.2311e+06,541755,392954,260720,401604,4498.69,-621.678,253379,328869,56739.6,21124.8,6970.97,1.35388
1.34057e+06,1.05482e+06,438670,324385,250461,364032,2576.04,-646.596,1.60426e+06,88514.3,8201.25,8427.13,4853.81,1.35444
1.94298e+06,1.39686e+06,561304,428440,278427,402379,21105.1,534.88,932434,261147,15076.9,24771.7,9930.04,1.40157
1.09816e+06,691663,730311,480409,283048,490663,16096.6,3114.52,400298,369316,30909.5,33619.3,13717.9,1.41475
1.7024e+06,1.12802e+06,585885,450120,264915,393253,14379.4,834.252,488913,341462,23724.8,27831.3,10602.8,1.43005
1.55516e+06,943390,705165,480690,283878,483123,12412.1,-651.836,400651,559605,38636.3,36218.2,12671.8,1.44837
2.51904e+06,1.59629e+06,846559,580915,300920,529742,24022.7,-402.468,1.46713e+06,686912,34759.3,46795.1,16226.8,1.4525
1.37733e+06,907731,551359,377662,220347,389421,6174.94,-37.5168,811567,317549,23454.5,36270.3,8636.48,1.45585
2.81528e+06,1.69125e+06,663555,439698,248222,426590,30306.9,1754.14,437006,481504,45485.6,37786.3,19178.1,1.45585
3.17321e+06,2.04776e+06,727432,482314,267814,464176,17075.7,2524.49,960600,436509,53424.5,30526.4,19220.9,1.45596
2.20793e+06,1.2977e+06,1.08322e+06,740840,397068,672249,31144.9,1290.48,562840,478857,36143.9,35286.6,19931,1.45842
2.04138e+06,1.32529e+06,785894,577043,337432,533143,24284.4,1336.48,568120,450844,26738.3,33083.4,14244.4,1.46612
1.38478e+06,941579,620210,400381,253988,437204,7996.74,3413.64,931218,275436,13805.1,24976.1,15613.6,1.48567
1.49806e+06,1.03859e+06,694660,513711,342157,520685,4543.98,-961.762,1.6376e+06,241527,12861.9,20259.8,7200.58,1.50052
1.99165e+06,1.33141e+06,692807,459196,297545,496279,21977,1133.04,951240,435243,27960.5,34125.7,15632.2,1.50086
1.34724e+06,1.00589e+06,362770,236079,158339,275707,8247,2031.03,438829,157210,9296.35,20509.6,7321.61,1.51404
802887,524838,748816,517392,324147,559708,8188.28,4019.69,727826,282558,26186.3,22764.3,6900.73,1.71865
1.50284e+06,946618,497110,330339,196983,330363,12329.8,1610.03,478272,449827,26820.4,45405.4,13298,1.7344
1.8826e+06,1.11162e+06,787993,578323,317660,526884,17666.6,-1036.28,664826,465941,59850.2,63246.9,15380.5,1.7468
1.23042e+06,752419,914485,586521,346916,612947,10400.7,4250.93,998244,379247,44517.1,37880.9,20548.1,1.74735
1.89171e+06,1.24484e+06,980688,691774,427455,677874,7913.46,4578.07,2.03683e+06,418897,72419.1,27549.2,14824.2,1.75998
2.31275e+06,1.54339e+06,625375,418572,238795,401544,18174.5,1439.93,481956,463658,36934.7,39523,19116.2,1.76601
2.48128e+06,1.59194e+06,819328,505919,273466,524137,22750.1,832.298,878978,498706,39499.2,36983.9,19033.3,1.76902
2.2213e+06,1.37993e+06,855900,641956,363141,564899,22193.6,439.195,781185,557622,30009,45038.3,13544.9,1.7946
1.45932e+06,1.10527e+06,526780,318499,223540,430353,11845,-447.828,358575,190035,10836.4,16677.3,5366.66,1.79862
2.66666e+06,1.7025e+06,769162,540462,290591,483866,36062.3,1609.95,599951,393711,28796.7,36514.9,15148.9,1.80041
1.59494e+06,1.06062e+06,499336,395431,258397,378108,13270.8,767.798,454857,166767,6702.15,16190.1,7960.8,1.82587
2.05762e+06,1.2464e+06,616203,537716,342343,430654,15060.6,1659.03,482857,313140,20031.2,24537,13404.3,1.84419
1.68651e+06,1.0773e+06,1.07931e+06,764558,432371,699413,17212.4,1229.09,602923,489202,33950,34699.4,12463.8,1.84776
2.12662e+06,1.38556e+06,753635,567482,349251,533678,22491.6,941.635,185017,400693,53835.2,32343.6,12491.8,1.84888
1.96401e+06,1.15666e+06,756196,509654,274319,507401,35569.5,-359.279,870498,481416,35104.3,34967.7,13116.6,1.85513
1.59069e+06,1.40111e+06,174761,82940.8,66005,151855,704.18,26.9422,1.80985e+06,89390.2,-1069.43,13723.3,2501.37,1.91221
1.97547e+06,1.38895e+06,618706,429356,268157,436560,16580,-1183.4,588063,473440,22741.2,23828.5,9848.99,1.91667
2.12453e+06,1.41199e+06,651517,378205,215344,427387,27249.2,717.515,280316,379487,29821.9,28006.1,13950.3,1.93879
