"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.1499e+06,835926,615547,380652,255218,479521,5896.41,-910.775,2.88671e+06,171681,32701.2,13338.3,6577.09,0
1.04565e+06,764119,408464,237460,164321,314448,2779.37,-1373.5,2.40646e+06,146090,9408.26,12031.7,4142.7,0.0266666
1.39436e+06,1.22036e+06,237184,137661,121293,217679,2963.21,-1468.17,2.49499e+06,149854,6163.17,3810.18,3284,0.05099
1.7864e+06,1.25384e+06,605285,332127,202746,436559,14811.8,1322.28,1.04274e+06,376521,17570.2,39833.7,11030.2,0.0631518
1.88345e+06,1.26845e+06,688843,472418,301927,511167,8988.38,-2074.01,1.876e+06,309532,79765.4,30849.1,8147.91,0.106108
2.84406e+06,1.65186e+06,1.65813e+06,1.17287e+06,580509,959454,37224.4,3429.13,2.04733e+06,718475,71639.7,61057.3,38713.2,0.129762
1.90966e+06,1.22918e+06,623493,430446,261950,427131,22906,3106.31,573623,310974,25732.7,27050.8,13201.4,0.186666
1.87425e+06,1.34353e+06,708361,422486,260034,508225,15538.6,2122.51,973418,290168,20138.9,30327,10165.7,0.195034
1.45024e+06,963218,998995,765358,461403,690554,12794.6,-44.8309,803370,445882,31498.7,44530.4,13426,0.21813
1.07913e+06,743103,533656,399252,260869,413922,11465.5,-1176.37,933606,185554,15748,21156,18070.2,0.227503
1.51983e+06,1.12509e+06,710534,456806,286310,532900,4156.2,-1836.13,3.23119e+06,281449,17265.4,15022.3,5071.12,0.229399
1.65719e+06,975612,796421,542502,296072,524069,25936.6,-1158.91,859632,539862,30017.4,54379.7,12140.5,0.233193
1.48907e+06,1.20042e+06,262397,133180,103255,227548,1184.89,-1981.4,3.25591e+06,126596,19831.9,4870.91,3148.15,0.253611
1.57599e+06,1.14019e+06,660505,460259,298626,488647,9826.49,-53.3883,555583,321335,24388.6,26646.7,9095.82,0.265661
1.56103e+06,912024,656987,530309,285619,414779,19452.1,881.915,448128,379828,35625.2,36521.1,14488.2,0.276707
1.57077e+06,1.25819e+06,344256,225270,179501,296525,5514.06,-1580.23,1.63381e+06,192691,8539.05,12361.4,3168.34,0.313862
1.82941e+06,1.08728e+06,1.07601e+06,856167,492092,705903,19632.9,991.225,484141,515863,39315.5,37376.4,19044.6,0.314643
2.37084e+06,1.55286e+06,766594,618376,357193,507658,13784.6,129.959,876655,411391,24722.3,29891.3,14448.5,0.329706
1.46996e+06,870869,734144,514917,274503,473076,20329.5,-767.075,755689,631862,42627.9,51738.6,15475.5,0.33216
1.93167e+06,1.29153e+06,765675,590864,362558,535714,20527,512.089,953151,425338,23926.7,35279.9,10277.6,0.355814
2.10709e+06,1.35589e+06,756402,594045,333890,481380,22216.3,500.864,651607,504547,30667.8,37350.3,18140.1,0.363067
1.22427e+06,789778,563062,390467,234760,392784,12522.2,-457.25,396955,391733,29024.7,31968.4,9440.89,0.37958
2.52881e+06,1.45277e+06,1.17837e+06,894981,447620,704758,31258.6,1258.84,928435,593886,63893.8,59190,23318.8,0.41852
1.28714e+06,950102,525531,372316,265811,420271,7796.72,-1941.72,2.46068e+06,288436,20144.1,19959,4377.61,0.447753
2.20949e+06,1.25079e+06,1.29604e+06,956960,476528,758852,14779.5,1321.38,513824,450480,54103,54753.3,18724.6,0.482006
1.48622e+06,1.09076e+06,316675,218527,148513,249755,12065.1,-991.562,430143,164323,15896.7,18228.8,3830.69,0.504098
1.25406e+06,802311,651487,473772,287057,455275,10145.1,75.6071,419703,316331,20913.1,21428.3,10465.6,0.506776
1.23871e+06,920203,660407,403369,261124,498606,6659.67,-2116.1,2.66351e+06,228913,17969,18354,6521.18,0.509789
2.3692e+06,1.39444e+06,879173,677156,374480,564203,15150,1219.59,497136,471929,26095.7,37514.1,14479.9,0.543931
1.35623e+06,1.00566e+06,589049,490335,343642,462403,5724.79,-228.742,1.15479e+06,224015,17053.5,14538.5,7444.29,0.549063
