"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.43405e+06,872746,714078,528306,319485,486900,18000.3,5104.11,677130,324571,17069.2,36942.4,15125,0.00325356
1.67137e+06,1.13424e+06,519970,384720,238832,376315,14646.2,3006.25,247017,351998,26826.3,39487.5,9154.24,0.0205671
1.69377e+06,1.11501e+06,511873,346955,217555,372347,11841.2,-988.387,1.42247e+06,243168,17444.2,29251,8338.41,0.0325356
1.39504e+06,976206,680073,480015,293932,488327,17500.9,769.506,809313,263086,31663,34315.3,9867.16,0.047409
1.67254e+06,989461,876237,652588,371914,588740,17078.4,2816.1,940154,319816,36290.8,46732.1,13930.2,0.0747156
1.65899e+06,1.18049e+06,463836,328629,225025,364366,7093.33,820.984,365856,148207,29270.6,15508.6,6278.1,0.113294
1.34983e+06,936527,853143,587066,338191,581372,7940.15,2732.11,544753,366879,27605.5,39292.1,14644.4,0.165118
1.04041e+06,728977,747545,571814,356116,540919,6864.77,4737.59,361617,115535,21067.5,81691.7,8163.82,0.167442
2.46184e+06,1.63122e+06,864127,556160,321983,567918,14823.5,6157.81,907251,452195,42060.8,50619.5,19790.2,0.178248
1.0748e+06,771616,497784,390692,284533,404799,5348.5,201.611,460689,74640.3,15652.6,11770.8,8486.3,0.213573
1.32428e+06,984607,418937,261792,175854,311681,17082.1,3982.53,255572,161442,21967.9,20738.3,8784.56,0.270626
1.68011e+06,1.0524e+06,850982,579206,317060,552949,19547.1,3666.88,952649,275231,37420.8,35618.5,12023.2,0.309669
1.56105e+06,1.09134e+06,595987,510700,327477,426964,12252.1,6033.67,306233,324145,30509.7,30037,8819.81,0.317687
1.60233e+06,943649,1.11095e+06,814569,449567,700781,32708.2,4775.61,991095,435265,38812,61575,15809.4,0.330468
1.23892e+06,917289,692162,339712,217938,530426,4791.52,5093.5,1.98439e+06,194804,10577.7,16670.6,6026.28,0.38392
1.70543e+06,1.16747e+06,410236,297250,198716,314999,6913.3,641.944,335042,231966,35651.8,19742.8,6741.93,0.404719
1.58851e+06,1.02586e+06,696106,463713,268691,480687,13392.2,4060.15,514718,276256,48562.1,34319.5,11298.8,0.406346
1.50744e+06,1.03545e+06,850046,600383,383540,611171,12066.2,264.062,2.63722e+06,189956,43251.9,18908.1,8967.84,0.444459
1.65369e+06,1.11308e+06,623032,477322,305626,444831,16266.7,5739.16,484542,362912,26310,34538.9,9946.38,0.451896
1.9974e+06,1.33386e+06,525653,425978,274352,378044,11375.3,3319.92,199778,246688,34642.3,35064.1,9023.22,0.468861
1.50503e+06,1.2353e+06,442700,355973,246167,323091,2644.17,358.005,2.00897e+06,100976,6876.76,9456.45,4874.6,0.534164
1.33578e+06,876400,608450,436331,257789,421666,11577.6,3130.99,292806,203656,20830.6,31094.5,9252.18,0.553686
1.83947e+06,1.31887e+06,622489,431534,284068,462840,8680.9,1930.24,973776,275788,36404.5,30225.2,11462.8,0.560541
2.17854e+06,1.53026e+06,872913,576173,347281,608136,22638.7,4262.08,1.15792e+06,362456,29666.8,53120.3,16020.3,0.583316
1.41851e+06,1.02384e+06,634838,467927,310474,486996,8404.53,1935.15,563946,251390,19249.4,25416.6,7699.05,0.588313
1.1158e+06,724063,740027,501111,308644,529021,9126.06,1622.55,930053,312184,25400.4,28026.7,9119.59,0.687082
1.35622e+06,838010,852747,583427,354154,614239,6723.25,1513.75,1.847e+06,178492,17127,26925.6,9867.03,0.720198
1.49181e+06,1.02581e+06,583212,407899,259003,423093,11295.7,853.305,1.00134e+06,267398,26180,26774.2,9247.36,0.790731
1.64813e+06,1.07201e+06,631938,401615,233961,418274,10298.4,4685.18,332339,298017,32346.6,36305.9,14273.6,0.830122
1.57447e+06,1.01070e+06,507010,341168,213765,364110,12430.4,3391.71,440202,310233,25580.2,39889.1,8231.29,0.917619
1.46397e+06,921623,941052,707998,408151,624493,18528.8,4986.07,620896,406825,33123.2,38047.8,18244.9,0.97293
1.40291e+06,864694,693186,528110,300973,457870,15030.5,4174.49,-19.3851,322804,21444.1,43913.7,13191.6,0.991057
1.31038e+06,957293,368514,259973,191491,305217,2436.51,480.191,1.68034e+06,118969,5349.9,17685,4876.18,1.01964
1.39198e+06,774451,849587,613076,318132,543402,11284.7,-298.919,646537,417066,37051.7,70148.4,9254.96,1.03963
2.30399e+06,1.57126e+06,672401,375063,220925,450435,16206.1,5064.07,1.16486e+06,298513,18975.7,37746.2,14565.7,1.05555
1.6104e+06,1.01353e+06,925128,712276,409921,605995,21106.5,5678.85,799146,467221,52959.3,54256.8,18037.1,1.05578
1.60857e+06,1.17113e+06,550015,354545,202830,370716,4984.53,3505.87,2.92538e+06,213545,16227.7,16609.2,5522.06,1.05845
954662,567064,867136,603116,376069,623364,9472.33,-401.737,1.45495e+06,318206,27632,64020.9,9873.16,1.08855
2.02922e+06,1.36744e+06,632603,455456,284886,465601,11238.2,4128.42,437198,387350,24678,50247,8739.25,1.0997
958252,645358,562027,418873,255201,402283,7282.36,3226.37,517247,245211,25086.5,31595.4,8988.58,1.11829
1.70764e+06,1.22514e+06,478157,277717,170501,328198,9835.16,4581.74,523446,272572,24630.8,34238,10412.8,1.12422
1.23230e+06,788416,611419,519196,331257,449210,7074.37,2536.04,461345,259153,25861.1,23566.3,9401.5,1.16431
2.0347e+06,1.30272e+06,779580,656417,399594,527831,18445.2,4850.4,960560,357537,27064.4,43739.3,14401.1,1.1793
