"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.38603e+06,809687,926684,695918,390062,596805,14585.4,2899.86,290405,258934,36614.2,29991.3,13093.5,0
1.85815e+06,1.47179e+06,330790,256074,182612,263256,10384,1454.04,103784,169035,19594.9,12834.2,6051.48,0.00256452
1.52679e+06,1.13923e+06,246102,204452,140154,199465,6767.17,631.268,51918.9,143526,12916.6,11981.9,4535.92,0.0196242
1.61457e+06,1.10458e+06,543618,387809,264945,426917,3834.43,1025.61,53169,189107,22995.3,15817.1,9181.37,0.0216312
1.73929e+06,1.25287e+06,320820,230048,162199,262914,4230.71,-1403.13,194853,106792,38438.5,12193.6,10433.6,0.0249762
1.61848e+06,1.07592e+06,408173,312296,203531,309986,4644.54,3989.41,42165.3,187728,26767.9,16729.7,7477.75,0.0406978
1.67534e+06,1.22404e+06,599791,405416,280277,472549,10255.9,0.395935,377262,118751,29126.4,12305.3,8117.88,0.0450464
1.71403e+06,1.38875e+06,264773,189525,141161,220981,3287.94,-101.249,107251,77102.1,17153.5,6581.7,4819.82,0.0456039
1.78734e+06,1.38889e+06,291726,186992,139996,241316,6404.16,4699.54,129177,133466,30778.1,15788.3,5939.75,0.0468304
1.8268e+06,1.39348e+06,425360,248951,170506,327389,13101.3,3737.97,93782.1,190891,16111.1,16977.7,6224.21,0.0471649
1.81205e+06,1.22712e+06,744054,580103,371030,535187,34209.9,623.519,259102,175849,79021,15684.6,15038.9,0.0486144
1.72616e+06,1.30121e+06,541921,343140,250662,449671,5855.69,393.265,49432.4,211447,55681.5,22424.4,10458,0.0509559
1.79147e+06,1.16326e+06,831568,559382,344622,604136,13484.2,3689.97,54462.1,224320,21704.9,21769.5,10124.6,0.0516249
1.54205e+06,1.06914e+06,415396,298583,206670,333355,10250.6,4479.11,32419.3,215199,39854.3,19110.6,5961.48,0.0577575
2.52697e+06,1.70645e+06,694093,515252,336538,508966,4626.34,-1447.06,222124,223351,205153,28571.1,10978.7,0.063667
2.38615e+06,1.4869e+06,787438,535747,319304,548249,14060.3,2481.23,247795,249232,63300,21747.6,14591.4,0.0694651
1.43085e+06,992719,488976,329928,221128,379212,3757.32,2266.78,103695,215727,25539.1,18546.2,5722.96,0.0899812
1.93065e+06,1.49448e+06,306884,222653,164435,248619,5235.83,1212.64,49795.4,120174,24839.6,9743.01,7282.58,0.0941068
2.02668e+06,1.5216e+06,402316,252653,173937,325050,3179.62,281.792,127788,142514,35123.5,14471,5751.76,0.0989013
1.40778e+06,1.00067e+06,680239,484806,322974,509267,6645.95,764.673,230293,190094,33301.4,22284.3,13473.4,0.108267
966971,651529,659534,516270,340739,515791,7826.33,3734.64,81547.3,218240,30669.3,23569.9,12003.4,0.11518
2.2715e+06,1.32045e+06,1.01517e+06,834427,476430,667161,14578.1,4575.24,538684,321332,97724,32378.9,33349.4,0.115961
1.29631e+06,984851,383770,284832,209302,300182,3434.56,5871.69,47461.3,111804,21690.8,19469.7,7874.39,0.118191
1.60499e+06,1.20285e+06,473289,350295,242466,376855,6257.49,473.151,109851,190635,18510.3,17108.3,6138.82,0.118302
1.75895e+06,1.3908e+06,522160,323197,232278,415377,7732.26,1665.48,107614,110641,12836.5,11836.2,7365.13,0.120532
976011,684938,846834,650992,438224,640088,6682.49,154.5,380975,235155,40406.9,20893.6,11090.1,0.123655
1.40257e+06,1.00549e+06,429921,302480,208828,342896,10257,2086.1,93601.2,149120,12371.5,12948.8,9045.01,0.125662
1.98234e+06,1.31502e+06,754560,595083,385173,546811,7688.12,2647.26,54301.1,167804,43761.2,17160.7,10333.7,0.126108
1.3919e+06,987939,564615,412992,277169,439098,5842.58,914.214,378478,242310,23078.7,20408.3,8613.41,0.126331
1.83646e+06,1.27752e+06,406439,316417,205486,304844,11004.9,2880.18,138605,233871,25668.5,16695.6,7626.75,0.126442
1.1713e+06,868129,632153,440167,291923,480064,6873.08,1802,202123,203684,17602.8,17308.5,7821.34,0.128561
1.01123e+06,651418,618203,469260,298819,448842,5253.13,981.506,92193.3,118720,30829.8,17066.2,8904.58,0.129341
1.35175e+06,953313,587181,414890,280698,459549,9048.53,2988.38,46188,143544,21715.2,15151.3,6565.29,0.135028
1.76211e+06,1.23023e+06,593329,462002,325086,463733,7228.43,2238.13,55157.4,192995,66790.5,14833.3,9086.44,0.141718
1.76397e+06,1.301e+06,522204,356088,230611,381976,12468.7,5369.48,50205.1,212243,15862.9,19321.2,8499.41,0.148073
2.40134e+06,1.65908e+06,637485,446159,298670,484677,7108.79,932.009,241174,177638,40803,15997.2,21922.1,0.148965
1.36422e+06,819840,733973,595693,378302,535790,12701.3,3846.43,58728.7,252826,53079.2,27417.3,13858.9,0.156882
1.10634e+06,781485,557360,433234,302894,441251,6689.67,-651.072,218482,105949,15566.9,9716.72,5785.45,0.159
1.87132e+06,1.23089e+06,523620,389124,228265,359816,15631.6,1241.89,165563,270893,20541,40813.9,7319.27,0.160338
1.66107e+06,1.24524e+06,499855,356025,234186,374352,4812.07,3517.27,117395,140183,15309,12589.3,9671.4,0.164241
1.83466e+06,1.30091e+06,505625,415896,291264,398985,6441.83,1886.45,62424.2,192592,36837.3,14684.3,9372.18,0.170931
1.65458e+06,1.09351e+06,639270,489278,294983,440781,7151.91,3827.77,50645.3,125121,25245.4,11763.3,8405.04,0.180185
1.50634e+06,1.20975e+06,399194,274044,205792,332838,3190.37,-1823.57,1.67958e+06,116212,12001,9293.88,4191.47,0.183308
1.26376e+06,890977,652624,503696,327593,488170,7765.13,2124.81,103564,223557,19779.7,15856.3,12456.1,0.189217
1.16654e+06,758092,471961,323802,212136,333653,12003.9,1596.95,84057.3,135340,15820.1,17033.1,9589.26,0.193008
1.77798e+06,1.15243e+06,737634,535458,335602,528486,15205.4,5197.9,101181,281112,49050.5,30088.7,9025.29,0.195796
3.29754e+06,2.18287e+06,620412,417894,252133,414692,14748.8,6152.48,95929,168582,35618.1,17354.9,14271.9,0.200813
2.13343e+06,1.47607e+06,716377,522373,324769,507633,13235.4,3453.92,220148,174511,21327.8,14747.7,13642.6,0.201482
1.28264e+06,988614,587990,394623,283033,477570,4601.74,-1491.09,1.88157e+06,144325,12637.2,13749.4,8933.84,0.202151
1.94007e+06,1.2838e+06,519876,419220,263812,371322,15669.7,3580.29,71991.4,186270,34494.9,18167.3,8225.01,0.208953
1.69955e+06,1.29613e+06,445117,317442,238365,370234,5622.01,1907.98,128597,93993,11791.7,8193.72,7120.24,0.21174
2.7882e+06,1.70452e+06,653029,436955,261190,452952,9938.62,1448.51,99773.7,212533,65134.5,20209.4,6774.53,0.229469
1.76787e+06,1.17694e+06,441296,336494,214801,326839,3902.82,257.816,470418,117299,31732,10142.8,7012.38,0.230361
2.58719e+06,1.74113e+06,746244,556022,363468,561526,6440.06,4175.34,109545,156776,46014.6,14240,11574.6,0.238166
1.79836e+06,1.34548e+06,447574,374498,266782,349160,11955.1,1589.14,201583,119648,10391.5,11225.1,6006.57,0.242068
1.38538e+06,930049,643569,497774,328450,481527,9349.64,3503.28,98075.3,157151,17058.5,13472.8,10330.4,0.247644
1.9605e+06,1.45408e+06,415537,315183,217875,318599,11203,3756.77,56270.1,176556,26942.5,17712.7,10343.2,0.248536
1.68662e+06,1.28026e+06,457434,304792,209909,363952,4680.64,1022.57,194210,174757,56007.2,21028.5,12159,0.254557
1.22275e+06,800779,1.04093e+06,704312,419433,712008,7883.82,6604.64,382070,284389,45240.9,25167.6,13322.2,0.256341
1.69460e+06,1.2646e+06,445745,314283,216735,355936,6383.78,1870.61,228859,161742,11751.1,11867.1,6581.92,0.268829
1.7387e+06,1.19789e+06,495513,350627,244352,398826,7193.38,4274.54,90336.5,233954,42687.5,12456.5,8006.26,0.275296
2.02344e+06,1.45233e+06,628778,439839,308443,486443,7043.41,1992.95,62096.5,272361,83385.1,20863.7,10504.7,0.27786
1.55905e+06,1.17708e+06,367263,310924,208745,284347,8059.31,5700.17,116667,104220,23640.4,10070.9,5821.76,0.281763
1.9043e+06,1.3295e+06,668090,435851,287926,493265,8242.76,2887.26,85172,274943,49198.2,24314.9,10138.5,0.282209
1.78458e+06,1.27837e+06,532284,406604,270344,403881,5056.41,2203.77,240345,161091,12906.7,16608.8,8529.12,0.285665
1.15722e+06,810830,426750,355072,249963,325785,6474.14,822.977,34805,207449,49573.5,17451.4,6937.58,0.289345
1.92076e+06,1.45795e+06,331529,198085,143352,266398,2441.68,253.685,121138,84840.1,35934,14281.8,11760.6,0.289679
1.53199e+06,1.15129e+06,400218,329491,239524,323595,5946.25,341.156,271762,97603.4,11723.8,10106.2,6257.27,0.291909
2.2213e+06,1.47501e+06,629972,422470,253514,453205,10530.2,1656.63,479810,215844,14679.4,21625.4,9919.15,0.309527
1.56468e+06,1.1415e+06,447426,342820,247148,357784,8008.39,1037.31,114653,154521,32837,15503.9,6632.67,0.310865
1.80414e+06,1.30601e+06,525191,366815,246031,396319,13419.8,3743.04,44392.7,181531,24671.9,17296.6,12616.4,0.311868
1.84525e+06,1.33435e+06,460917,333835,222676,345100,10782.9,2591.8,120261,194399,18341,14050.8,8906.49,0.3209
2.11192e+06,1.44045e+06,692776,504331,313686,493670,9659.01,3954.72,152667,191819,19240.5,30403.6,13922.2,0.336175
2.1888e+06,1.46167e+06,805665,697684,418621,553531,22795.7,3691.89,97712.7,226234,27602.9,23621.2,12170.5,0.336287
1.48301e+06,1.04659e+06,491309,321662,216050,388851,8066.12,509.279,253734,134089,12663.8,16954.7,6267.77,0.336844
1.87715e+06,1.39279e+06,371931,223669,149487,279799,7208.68,83.425,200706,144275,15557.5,17588.9,7052.47,0.338963
1.91996e+06,1.42540e+06,354631,201584,139793,278051,4682.64,4174.71,54656.3,83250.5,22305.9,7301.72,9079.76,0.347994
1.64691e+06,1.03855e+06,690400,492734,298488,475564,14109.2,6188.78,110946,316336,31875.6,30183.9,12059.3,0.358475
1.77333e+06,1.23944e+06,569003,398957,251405,416485,11231.4,1654.73,66143,217862,25503.1,18923.2,7533.36,0.360705
1.53403e+06,1.11908e+06,447494,323756,209061,334610,7294.36,5021.37,94351,171036,13814.7,13602.1,9817.86,0.362266
1.31314e+06,914460,676926,470316,313224,509410,10443.3,492.718,226135,148129,33478.2,19636.8,9441.84,0.362824
1.91123e+06,1.41303e+06,475831,342546,238723,378966,4787.18,1502.85,197428,94079.8,12774.2,7512.38,5785.84,0.36996
1.46549e+06,965039,607545,467124,280138,436330,12468.3,2979.24,27631.6,278084,36515.2,72913.4,7889.71,0.370072
1.80843e+06,1.28906e+06,543513,369005,254150,425134,7619.21,3084.96,63591.3,164966,22811.6,15288.5,8503.97,0.371967
1.74536e+06,1.13951e+06,726010,569384,374906,537589,8535.52,3687.57,45643.5,176212,29512,17586.7,9936.31,0.377319
2.07849e+06,1.47133e+06,491477,385183,268575,386247,13821.7,858.286,801477,145340,24271.4,21379,7059.17,0.378546
1.53826e+06,1.08898e+06,490434,419587,281170,366094,7948.73,1676.33,185341,179950,11684.3,19258.1,7785.49,0.378992
1.23723e+06,845668,739414,497353,341078,559259,6482.48,2316.88,52662.1,241575,34227.1,23924.8,13166.9,0.379884
1.80721e+06,1.38818e+06,436693,294640,224281,359504,4483.68,-1217.29,107131,200756,15341.3,148880,6233.53,0.381779
1.90064e+06,1.37832e+06,667504,514085,341425,490831,14254.5,1801.97,98583.2,226621,26827.5,21914.4,12068.5,0.400288
1.98838e+06,1.32156e+06,789960,595684,380210,585809,7297.77,3673.8,100849,259119,20743,23194.4,15778.5,0.406644
1.71857e+06,1.34381e+06,441430,268077,195341,359579,5741.69,173.189,496882,132130,16090.2,13565.4,6148.69,0.407313
1.95675e+06,1.28742e+06,795350,618133,399303,584425,5406.12,2039.78,212920,168998,43888.6,20859.1,9293.56,0.419578
1.66899e+06,1.08817e+06,657115,490344,303497,472932,5690.9,6644.06,180765,205713,37374.7,22830.6,7516.55,0.420024
1.76038e+06,1.23514e+06,390175,316073,234492,322087,5185.89,3096.17,56207.7,181428,25847.9,14910.6,9582.62,0.425376
2.43327e+06,1.63538e+06,670655,537498,339953,488395,10805.2,4424.16,108787,274483,47632.3,25204.4,11502.2,0.428275
1.29137e+06,884630,600595,473157,303475,448893,7464.87,1488.05,179016,200125,16352.8,24436.6,12571.8,0.431955
1.10801e+06,782606,651976,442048,299145,504338,7370.25,2121.2,48861.9,141440,25640.5,13300.2,7311.03,0.434296
1.80529e+06,1.31885e+06,473731,395972,276440,367806,14247,3579.15,47497.3,198544,23616.3,16534.5,11238.8,0.439648
1.63142e+06,1.23502e+06,377056,280685,205188,301586,3350.58,1134.04,109241,160244,17659.7,15329.4,7756.49,0.44199
1.72713e+06,1.26799e+06,283712,216642,150713,225272,9034.83,757.7,40885.2,176261,18492.7,11909.7,7535.03,0.447899
1.06584e+06,689047,734613,494358,327753,563191,4337.72,2668.01,89766,151107,39356.5,12336.2,7701.02,0.450129
1.69527e+06,1.23467e+06,452874,328027,212637,339967,14006.5,1713.71,35016.1,164469,17175.9,11676.7,10066.3,0.450798
1.25272e+06,766913,1.16781e+06,904285,535929,792018,10217.5,6210.59,1.87022e+06,269709,30510.6,23552.2,8531.65,0.456262
1.54532e+06,1.16034e+06,601693,432598,286650,456668,9553.62,2857.42,201834,156235,27067.8,17626.3,9300.89,0.456373
1.643e+06,1.06694e+06,626247,436641,279950,484507,7789.17,2287.17,136980,252634,30629,20253,6949.5,0.466743
1.53783e+06,1.14134e+06,551406,416320,289339,418159,6541.61,1690,460898,167376,18585.9,13627.3,5199.32,0.487036
1.65218e+06,1.12383e+06,561323,416972,261616,410793,5801.01,4570.8,365646,251911,20394.9,23865.3,6771.13,0.49027
2.17058e+06,1.3243e+06,1.11714e+06,813104,481478,776045,17157.6,6010,183259,310781,33387.8,37024.4,14834.1,0.492946
2.22672e+06,1.58033e+06,749214,613155,389963,550173,10605.4,835.365,391441,153023,26557.7,13625.1,12726.2,0.494953
2.00829e+06,1.33354e+06,542181,374970,245216,420869,6096.19,1620.83,189061,139006,39107.5,16708.5,9362.48,0.499747
1.63494e+06,1.23738e+06,530310,320043,214705,398199,10212.9,2498.82,104792,231738,20226.7,19283.6,10280.9,0.502869
1.47246e+06,1.08109e+06,524385,394130,272941,407727,8996.85,478.167,111519,180637,27979.2,18023.4,6604.32,0.505099
957854,666004,406633,298922,205166,329002,5391.25,-487.523,154763,106236,15988.1,15040,4678.76,0.505434
1.47216e+06,1.04369e+06,294303,207524,142069,234884,4789.38,756.119,34283.7,118623,51487.3,11295.3,6067.57,0.512681
1.79911e+06,1.33631e+06,449720,298100,194120,352163,3316.42,-318.158,214669,126955,36423.5,7749.67,8735.85,0.513796
1.79237e+06,1.26707e+06,574095,480524,321716,436030,11766.5,1485.14,93913.8,234608,20443.1,17682.5,10828.5,0.518033
1.42826e+06,1.00839e+06,827556,572178,377753,613517,8176.83,1570.54,71927.9,237932,24475.3,15902.4,9088.09,0.520486
1.59855e+06,1.24122e+06,472118,301757,214634,381187,4953.19,-1071.33,2.41242e+06,104357,10905.7,7361.24,3254.59,0.523385
2.39581e+06,1.53549e+06,760678,597182,380225,556086,8926.86,2536.47,35059.5,435086,73310,38438,12134,0.524835
2.58721e+06,1.6242e+06,928330,711616,424770,625972,8338.34,3183.7,238982,401314,55011.6,31232.5,14036.9,0.525392
1.53636e+06,1.12964e+06,582898,444652,310817,456885,8685.67,1622.49,224941,220123,20446.1,19640.2,8176.07,0.527288
1.59163e+06,1.18362e+06,451530,297409,210081,360754,4801.39,2390.18,63289.1,189648,28191.1,16220.2,14173.2,0.534647
1.2311e+06,801897,966650,696568,436803,684024,11168.6,4434.6,798050,287719,32216.7,36171.7,11748.3,0.535985
1.71123e+06,1.2232e+06,499880,351055,239560,383365,12363.5,1874.71,365629,142601,20198.8,15539.7,7186.49,0.539107
2.39752e+06,1.75898e+06,655665,472164,305851,479127,14267.4,2853.27,123272,160073,24151.2,15590,11025.9,0.539218
1.42632e+06,837513,1.04979e+06,784088,478345,755907,10724,932.467,103443,260499,36455.8,22358.6,10886.5,0.540222
1.73652e+06,1.27377e+06,403819,271606,181013,321268,8642.63,187.4,48751.2,190426,15386.7,16593.2,5675.37,0.543009
1.76606e+06,1.28073e+06,490127,343800,225591,373976,12617.4,4578.96,161424,190850,11484.8,19115.1,9899.63,0.554383
1.60212e+06,1.08002e+06,601046,422454,284745,458278,5685.2,1780.3,93746.6,108912,11646.8,14926.5,8674.68,0.556947
1.75749e+06,1.24043e+06,585836,438270,300257,446531,6280.68,1394.7,128104,142144,16462.7,12354.2,6658.19,0.558285
1.90707e+06,1.41179e+06,508888,420827,284995,380915,9929.71,2336.56,205397,227544,25229.6,18068,9350.51,0.561853
1.6858e+06,1.2639e+06,635006,425953,304474,505240,10384.2,1263.67,422784,189769,14719.3,13616.1,8333.45,0.563414
892254,651349,560516,395771,257978,412494,4879.02,460.315,85007,150443,19710.5,12963.7,8579.4,0.571331
