"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
919987,593521,822690,497003,318631,604566,7783.34,3178.25,154025,172246,32227.9,28014.9,7859.9,0
1.90421e+06,1.44006e+06,483526,311710,229669,403965,4059.39,-217.28,112793,178853,15232.2,9586.92,7601.6,0.00208376
1.98785e+06,1.41427e+06,600684,444424,303763,458312,6580.35,484.122,96031.5,169844,13404.7,14963,11338.1,0.00382022
1.38957e+06,1.04948e+06,750722,499975,342271,575985,4524.08,1292.15,39783.3,134663,33943.3,10930.6,6795.05,0.0159755
1.751e+06,1.34334e+06,362338,291587,210774,293631,4354.16,37.6014,41079.2,103625,10843.2,10043.8,3413,0.0169016
1.74501e+06,1.182e+06,767827,532122,335385,555492,7875.66,3851.05,12422.2,221497,36817.5,17223.2,7314.31,0.0278992
1.56653e+06,1.10948e+06,832423,534541,352321,618756,6479.81,165.204,166586,338774,60713.5,29195.8,5406.98,0.032414
1.95175e+06,1.46714e+06,425123,317386,229958,347861,2636.93,1443.05,18256,135170,32419.3,16734.7,5699.68,0.0342662
913843,597423,607189,465630,306762,464402,3289.74,1177.02,78709.2,104297,34002,12781,6221.38,0.0421382
1.50063e+06,1.04531e+06,453608,344471,235805,343753,5507.85,772.436,55366.1,131847,11395.5,11842.6,5367.02,0.0430643
1.48301e+06,1.09484e+06,331900,249117,180421,274557,2966.32,-1.69183,8577.5,114532,17559.4,11083.8,3306.89,0.0431801
1.80492e+06,1.35406e+06,468679,317439,228426,373217,6837.98,-706.059,373645,112728,13997.9,11378.6,4996.44,0.0441062
1.52362e+06,1.15938e+06,642179,490198,348322,514536,2286.84,-709.737,1.72328e+06,125081,15486.8,9252.02,6092.13,0.0474634
1.73167e+06,1.34547e+06,494974,373688,261122,385639,3414.92,1377.34,112396,176776,21894.3,14923.7,15914.8,0.0517466
1.91302e+06,1.39417e+06,371068,281017,208003,303020,3030.26,-855.976,116705,193007,32027.5,18522.4,7711.4,0.0535989
1.71521e+06,1.15952e+06,750546,545472,356825,549582,6958.23,184.974,147102,186227,25055.2,18555.8,5922.75,0.0551038
1.86874e+06,1.343e+06,606285,468072,305993,456840,5556.87,978.407,24608.6,171536,25681,22825.5,7530.49,0.0730473
1.24047e+06,875320,601688,311975,200214,440083,3114.57,1064.39,96949.2,114431,23979.6,11846.2,6142.09,0.074668
1.7294e+06,1.31511e+06,468375,335942,229727,356751,5769.92,550.686,46949.3,174782,27423,23050.1,6112.45,0.0834661
1.37606e+06,1.008e+06,465924,333414,237545,371407,4920.37,429.445,23825,120069,20198.7,11640.2,6475.41,0.084971
1.62885e+06,1.16203e+06,431319,317107,198508,317947,5082.42,3337.13,16981,124516,21840.2,10645.7,12199.3,0.0979366
1.2865e+06,886034,558784,442257,272785,402320,9649.05,2612.49,35552.3,210364,60732.8,20411.7,6370.82,0.0979366
1.42338e+06,996438,688760,507598,330543,515738,8643.87,-365.064,45956.4,196978,25167.6,80598.1,10549.1,0.101873
2.39161e+06,1.36157e+06,771224,518084,285187,508281,18370.9,317.874,81406,380567,219727,72004.6,12382.3,0.103493
1.75977e+06,1.2899e+06,425195,273855,190395,340937,3610.74,-219.083,73239.8,278140,23943.2,11880.9,7229.9,0.104188
1.13212e+06,759721,653110,587057,398138,492384,4793.64,1681.15,189366,120848,27788.4,13868.9,6039.52,0.107545
1.37052e+06,927330,570906,459026,309127,439957,9386.96,690.944,62218.2,133161,33554.1,21986.3,4374.45,0.111481
1.47422e+06,1.03981e+06,414488,289577,197053,322432,6578.13,-507.252,8570.75,123681,14584.8,11874,3928.66,0.122826
1.70978e+06,1.22702e+06,742334,421821,265853,546583,8043.06,1040.4,162477,181664,21611.7,23759.2,8983.23,0.123289
940102,703104,485912,292174,199236,374773,3902.45,-59.4142,92775.2,129201,12969.5,11800.2,6520.68,0.128846
1.1911e+06,731203,755430,450124,269284,525992,7491.25,2117.31,45223.5,189034,38835.7,17066.9,8864.38,0.134171
1.83927e+06,1.29903e+06,516681,363745,234091,377557,8713.52,2219.28,86093.9,316742,54021.1,32758.7,15497.3,0.135213
1.39941e+06,1.0781e+06,317118,234044,173676,268943,3571.05,-842.372,39057.8,87911.2,6007.21,8382.37,3312.35,0.136602
