time,replicate,genotype,counts,cohort number,condition
0,1,WT,11663,11537,0uM
24,1,WT,13029,13013,0uM
48,1,WT,29053,11024,0uM
72,1,WT,115745,10526,0uM
96,1,WT,113153,8239,0uM
120,1,WT,102297,6415,0uM
144,1,WT,55909,4105,0uM
0,2,WT,12330,12164,0uM
24,2,WT,13622,13622,0uM
48,2,WT,32907,12656,0uM
72,2,WT,127531,11776,0uM
96,2,WT,129043,9149,0uM
120,2,WT,106519,6906,0uM
144,2,WT,55549,3778,0uM
0,3,WT,12365,12262,0uM
24,3,WT,13757,13750,0uM
48,3,WT,33264,12618,0uM
72,3,WT,112376,9819,0uM
96,3,WT,126189,9289,0uM
120,3,WT,111160,7224,0uM
144,3,WT,65684,4600,0uM
0,1,BaxBak KO,15691,15503,0uM
24,1,BaxBak KO,17727,17686,0uM
48,1,BaxBak KO,42718,18779,0uM
72,1,BaxBak KO,140775,16121,0uM
96,1,BaxBak KO,189683,18463,0uM
120,1,BaxBak KO,172038,16079,0uM
144,1,BaxBak KO,165353,14863,0uM
0,2,BaxBak KO,17125,16956,0uM
24,2,BaxBak KO,18434,18399,0uM
48,2,BaxBak KO,41855,18573,0uM
72,2,BaxBak KO,158623,18357,0uM
96,2,BaxBak KO,188931,18446,0uM
120,2,BaxBak KO,172113,15831,0uM
144,2,BaxBak KO,160629,14548,0uM
0,3,BaxBak KO,18479,18333,0uM
24,3,BaxBak KO,20965,20943,0uM
48,3,BaxBak KO,41703,18338,0uM
72,3,BaxBak KO,152736,17560,0uM
96,3,BaxBak KO,192797,18473,0uM
120,3,BaxBak KO,178518,16538,0uM
144,3,BaxBak KO,196557,17861,0uM
0,1,WT,11663,11537,0.1uM MCL1i
24,1,WT,13029,13013,0.1uM MCL1i
48,1,WT,25517,9537,0.1uM MCL1i
72,1,WT,109466,9032,0.1uM MCL1i
96,1,WT,83277,5148,0.1uM MCL1i
120,1,WT,69397,3930,0.1uM MCL1i
144,1,WT,31296,1982,0.1uM MCL1i
0,2,WT,12330,12164,0.1uM MCL1i
24,2,WT,13622,13622,0.1uM MCL1i
48,2,WT,31896,12051,0.1uM MCL1i
72,2,WT,113901,9563,0.1uM MCL1i
96,2,WT,102179,6527,0.1uM MCL1i
120,2,WT,73321,4056,0.1uM MCL1i
144,2,WT,32631,2004,0.1uM MCL1i
0,3,WT,12365,12262,0.1uM MCL1i
24,3,WT,13757,13750,0.1uM MCL1i
48,3,WT,31856,11935,0.1uM MCL1i
72,3,WT,100249,8314,0.1uM MCL1i
96,3,WT,89128,5785,0.1uM MCL1i
120,3,WT,86485,4717,0.1uM MCL1i
144,3,WT,39116,2413,0.1uM MCL1i
0,1,BaxBak KO,15691,15503,0.1uM MCL1i
24,1,BaxBak KO,17727,17686,0.1uM MCL1i
48,1,BaxBak KO,41291,18128,0.1uM MCL1i
72,1,BaxBak KO,154242,17606,0.1uM MCL1i
96,1,BaxBak KO,179993,17232,0.1uM MCL1i
120,1,BaxBak KO,170738,15639,0.1uM MCL1i
144,1,BaxBak KO,163022,15246,0.1uM MCL1i
0,2,BaxBak KO,17125,16956,0.1uM MCL1i
24,2,BaxBak KO,18434,18399,0.1uM MCL1i
48,2,BaxBak KO,38300,17197,0.1uM MCL1i
72,2,BaxBak KO,127603,16610,0.1uM MCL1i
96,2,BaxBak KO,195093,18619,0.1uM MCL1i
120,2,BaxBak KO,165256,15165,0.1uM MCL1i
144,2,BaxBak KO,189136,17124,0.1uM MCL1i
