"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.08566e+06,1.42525e+06,922666,703110,438419,640152,6390.38,6295.9,290291,91041.9,31439.9,20521.8,8080.62,0.0447101
1.6273e+06,1.13455e+06,611795,425331,293423,484562,7486.36,1344.02,1412.01,129928,33920.3,12208.3,4486.23,0.0626852
858975,736100,313504,228208,200364,298423,648.949,700.92,5249.99,11885.5,3642.96,359.452,8724.95,0.0791813
1.46269e+06,1.08571e+06,581978,369479,235838,405022,12183.9,678.8,195.341,102998,23401.5,9396.73,7373.68,0.100456
1.4265e+06,966730,682710,451589,284305,493945,11693.2,943.039,2115.89,171944,27127.4,11327.6,6769.86,0.116269
1.37253e+06,888058,684800,498742,307835,504084,9636.74,1584.47,1835.51,111048,31268,11647.4,9038.24,0.118772
1.90325e+06,1.32261e+06,1.09258e+06,794271,510912,788913,9503.85,2684.9,10608.7,117497,43975.1,17599.8,14100.4,0.123778
1.84377e+06,1.32881e+06,857403,574874,381957,653749,6177.15,5082.02,100310,84511.4,24830.5,14450,8104.57,0.127418
1.53198e+06,1.0743e+06,630285,460281,291390,473949,7478.65,-301.118,31594.7,109342,26617.8,16868.3,7264.14,0.137998
1.83279e+06,1.22924e+06,790091,531916,301389,515259,4942.43,674.673,2216.64,119809,47098.7,11930.7,14220.8,0.16644
1.78456e+06,1.18698e+06,1.23493e+06,900125,527552,839279,13262.2,-181.123,18780.9,249966,67628,17756.8,11618.9,0.17338
1.87244e+06,1.42397e+06,362793,267986,200990,299644,2957.83,5983.9,2082.73,90579.3,13155.2,2597.07,4585.21,0.202845
1.73146e+06,1.27039e+06,892265,590991,364257,642097,6363.96,1961.4,36304.3,91268.7,24774.8,20277.4,12470.3,0.21718
1.58642e+06,1.04787e+06,754724,550801,329320,526916,6714.75,1697.44,6782.92,90538.8,17332.1,10291.2,13334.6,0.234245
1.82866e+06,1.32658e+06,1.02044e+06,714968,448118,746070,4617.38,3105.37,45041.1,102847,24469.2,10710.4,14433.5,0.236861
2.01965e+06,1.38571e+06,813976,599856,371494,586603,11595.6,188.984,15478,154182,53857.3,19239.9,11424.8,0.248693
1.46421e+06,1.01202e+06,559778,434446,280570,421006,8583.76,-222.64,2161.08,140331,24282.2,14228.8,5565.31,0.289194
2.00277e+06,1.43454e+06,851333,609569,397077,620213,7442.78,2469.97,273467,103065,25227.7,20513.1,9756.3,0.31718
1.92755e+06,1.3811e+06,530786,380272,251065,396272,6961.41,885.436,44008.2,112124,21458.9,12722.5,5825.02,0.34949
1.79722e+06,1.28325e+06,777953,566504,368178,576258,7069.42,921.806,6713.01,106968,23935.5,11960.3,7587.81,0.350741
2.13182e+06,1.50193e+06,1.24692e+06,793154,529181,967562,2525.08,4547.3,5076.31,27984.7,9382.27,1242.31,6550.65,0.365189
1.94666e+06,1.37444e+06,788349,582554,374533,584106,8203.48,895.539,10839.9,119715,22778.5,13407.7,7379.16,0.365645
1.68334e+06,1.14365e+06,1.14739e+06,879424,512637,797511,10412.8,1479.33,135247,129139,42036.5,17343.5,17584,0.403529
1.68684e+06,1.22193e+06,478979,321544,232978,390680,6443.43,280.441,4102.84,57876.7,17222.2,8831.45,4485.24,0.419683
2.13014e+06,1.43698e+06,1.50675e+06,965359,637499,1.15001e+06,3595.5,5155.78,12702.1,30576.4,16108.4,1182.45,6290.77,0.449035
1.69461e+06,1.12697e+06,912707,709642,460737,680284,7230.24,1237.17,273.553,144652,42975.6,13602.8,9033.07,0.460184
1.96091e+06,1.26292e+06,499079,394044,240187,356327,5528.36,400.757,38348.7,131485,29376.3,14681,3807.49,0.46246
1.87755e+06,1.24997e+06,1.03188e+06,805957,522145,746893,7596.33,1856.41,4361.66,118157,33101.5,14158.2,19551.2,0.466441
2.01111e+06,1.47021e+06,915249,650743,441595,676644,3666.76,5127.57,10177.5,36844,28265.4,1566.7,5018.5,0.471902
1.7028e+06,1.34734e+06,402234,301912,214226,314739,4692.05,826.259,281075,60518.1,16107.3,12176.7,5543.37,0.484871
1.69273e+06,1.1966e+06,645956,445184,292376,494508,6576.98,1227.22,97688.6,99427.7,27516.7,15464,5298.62,0.498751
1.19554e+06,818247,725523,503665,294061,507428,6758.29,1144.48,11639.8,83326.4,23507.5,13817.6,13456.9,0.513996
1.69624e+06,1.16729e+06,747526,422215,260831,528763,8392.24,1619.3,10610.2,121759,40945.3,12590.4,7200.36,0.565077
1.92342e+06,1.32951e+06,681463,517265,326030,489967,6300.07,3366.56,2083.83,107500,24142.4,10053.6,9346.96,0.572016
1.81971e+06,1.30554e+06,600433,422239,262028,433693,6328.43,551.669,1473.23,123929,15227.6,8148.59,5006.2,0.577932
1.88532e+06,1.32431e+06,1.13222e+06,705870,451078,839579,4629.5,4348.16,172349,119371,34702.5,30652.7,12404.8,0.596817
1.95791e+06,1.33131e+06,669788,341242,215933,483764,11296,486.115,3742.81,120284,15753.3,13896.2,6765.71,0.614679
1.14492e+06,833625,883895,630685,390840,653501,3196.17,3951.15,4871.99,33187.6,11677,1909.6,13658.8,0.637659
2.26311e+06,1.27996e+06,876634,590966,348970,585606,2960.24,1855.99,12482.4,100760,15935,3857.06,15351.6,0.639366
1.49914e+06,1.03338e+06,879318,455667,259708,584518,8195.46,1239.39,81579.3,104388,22789.6,17903.9,13087.7,0.649377
1.96486e+06,1.36634e+06,835464,638278,379042,575881,6365.85,3686.41,83110,106220,31646.4,17914.8,9238.7,0.690447
1.71665e+06,1.18395e+06,743559,501861,318530,533610,8791.38,444.211,21321,165124,32610.1,17924.7,10586.1,0.690674
1.72029e+06,1.20538e+06,979363,747824,505672,755018,7159.08,1647.97,36189.8,101982,38400.4,15319,10417.4,0.715362
2.13838e+06,1.38261e+06,953251,682550,433010,682887,7635.05,1552.24,79457.1,104571,27853,19309.1,11988.4,0.721278
1.40138e+06,992274,1.11024e+06,833554,520862,777058,10331.7,4104.93,323094,111745,46195.4,23568,8005.95,0.721846
2.30315e+06,1.45394e+06,763757,622519,389365,527078,6630.61,1689.64,70817.3,93539.5,17877.3,20476.5,10469.2,0.732199
2.28979e+06,1.51815e+06,871288,615324,373922,631078,9632.96,-812.539,5885.8,139607,108249,32750.9,7546.04,0.75006
2.23428e+06,1.42552e+06,555141,397808,241874,397307,10372.3,92.9465,1695.18,140577,61036.4,12077.8,6541.43,0.757114
1.88346e+06,1.37094e+06,708991,504575,325262,512920,6171.92,128.771,135471,127129,47387.3,16703.7,9660.29,0.763144
1.67699e+06,1.14143e+06,1.1006e+06,784465,497439,786294,5363.91,2053.98,52798.7,107209,61914.3,19851.7,7639.24,0.778729
1.69775e+06,1.20203e+06,665095,508193,328999,491127,5456.32,245.562,15476,106651,37547.5,13646.8,6768.53,0.784418
1.83277e+06,1.31252e+06,922328,670366,426924,659370,7212.8,283.846,83291.8,110202,35575.5,25596.3,10739.4,0.795681
1.8622e+06,1.3732e+06,763543,561480,354256,561244,4941.84,378.926,124527,76047.6,12231,15107,7987.29,0.804213
1.32829e+06,807659,769440,543334,316687,512546,7946.84,2175.94,12870,93989.1,38276.8,7999.42,11432.9,0.835613
1.75038e+06,1.19272e+06,798997,539328,339413,599871,5286.23,3998.7,66898.3,81451.8,23540.6,15315.4,8082.19,0.856091
1.69167e+06,1.19841e+06,818698,575313,383776,613050,7345.61,1392.24,2983.47,150501,20356.6,8649.8,19014.7,0.857228
1.54287e+06,1.05186e+06,603736,451032,290234,439034,5871.4,88.6779,6634.25,126878,21894.1,20551.4,6027.85,0.861324
1.83664e+06,1.25427e+06,697452,486353,328600,514914,8625.07,1553.09,1520.07,139380,29009.8,10783.5,9189.68,0.868605
1.60324e+06,1.09825e+06,817166,686131,449558,600507,6389.76,2622.92,36910.7,108412,25026.4,15704.8,10260.7,0.91377
