"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.25589e+06,1.46221e+06,734468,528582,343817,562283,4012.57,5031.12,9761.57,44491.6,26933.4,2194.86,3883.3,0.0181248
2.09558e+06,1.51944e+06,637552,457738,288532,467621,4166.91,582.875,20954.7,100366,82573.3,8081.38,7034.52,0.0191443
1.33442e+06,871352,636180,474760,280534,443269,5130.76,503.987,7826.58,113211,38688.2,13988.2,6993.61,0.0381754
2.09004e+06,1.45077e+06,995853,784318,502142,723572,7255.23,1137.14,6363.25,115761,21645.6,16259.7,9676.73,0.0717063
1.82967e+06,1.29355e+06,507040,340429,218296,382852,7072.68,588.893,1238.34,133791,20531.3,10661.8,7221.49,0.0724992
1.95637e+06,1.20804e+06,1.41504e+06,1.0568e+06,608993,969422,9077.96,-1754.91,32965.2,228730,157104,15837.1,17991.6,0.090624
1.78992e+06,1.25116e+06,772159,568106,393835,609833,4836.73,846.227,308824,91032.1,30995,16464.7,9184.01,0.125514
1.43726e+06,1.02672e+06,579140,445686,318124,458225,4798.06,2855.59,1988.17,90307.4,20259.2,10523.9,10946.9,0.148963
1.78822e+06,1.23955e+06,885593,623103,362067,609847,6519.64,440.81,70424.9,110191,35220,20910.4,11487.3,0.166295
1.38507e+06,982199,1.05498e+06,775258,529694,810802,6049.9,2423.13,74772,104471,25546.5,24811.7,11192.3,0.17615
1.65126e+06,1.0209e+06,1.17799e+06,752460,428716,841626,8573.76,2116.19,6409.22,155813,33635,13395.9,7437.43,0.181701
1.70778e+06,1.14168e+06,975121,700534,412743,678487,5958.85,974.868,2936.67,115201,20948.6,11927.6,7579.1,0.181814
1.81242e+06,1.24419e+06,700464,465043,301806,537559,5802.65,956.527,38408.5,107592,49012.7,10710.7,6575.35,0.182381
1.6375e+06,1.11707e+06,970357,731200,451940,679308,4969.71,2577.82,12042.1,117677,29394.2,20302.8,8289.72,0.21931
1.5822e+06,1.1446e+06,544444,375212,236291,389490,7889.36,315.233,1298.69,150987,30622.8,11141.4,10341.3,0.249669
1.6896e+06,1.1942e+06,607374,448878,285713,447227,5711.89,975.245,5402.06,115695,17156.4,15274.3,9846.76,0.251482
1.68789e+06,1.17363e+06,713325,513205,341024,526133,8564.99,860.571,2147.32,123430,21555.6,12342.6,7006.09,0.256239
1.22279e+06,810084,733868,525645,347949,561391,5306.69,732.584,1909.57,123346,17349.2,10230.8,7744.17,0.267454
1.67658e+06,1.26277e+06,682842,422003,264431,507268,6124.1,254.914,329734,76209.6,19897.9,14865.9,21323.3,0.267567
2.34534e+06,1.52528e+06,1.17695e+06,849169,503172,803919,9819.3,2389.31,39442.1,172151,35155.4,26574.4,13209,0.271759
1.38008e+06,962664,928201,723743,482305,687366,6886.92,1644.68,67006.8,118584,32532.2,14422.3,10878.5,0.27629
1.66664e+06,1.17998e+06,999892,672320,431485,719165,6969.88,36.0208,322756,122306,35870.4,22176.9,10970.9,0.278442
1.84059e+06,1.26799e+06,825298,642280,394225,585690,7703.73,1418.79,3728.87,113420,36514.2,15608,6447.36,0.279235
1.53679e+06,1.05683e+06,813549,550629,353646,613156,5139.07,823.407,88340.5,101239,19285.4,13665.7,8445.7,0.281954
2.47592e+06,1.74871e+06,501281,327740,221129,368203,6319.65,5014.41,456321,119490,25513,11896.9,9141.42,0.296227
1.49282e+06,1.0273e+06,910000,661155,431452,680408,5406.28,1502.48,129701,90163,27364,19563.9,13222.4,0.34675
1.82626e+06,1.34001e+06,413586,335982,251688,342788,3440.36,2050.17,44606.7,71117.2,13592.7,10310.1,4869.04,0.351508
1.81488e+06,1.29033e+06,790990,642000,414919,579506,4794.26,1170.9,92240.8,118588,19447.4,19170.7,9353.61,0.35434
