"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.16927e+06,1.45831e+06,884618,566546,328538,589622,22645,3770.2,62497.5,357374,38626.6,36218.8,14634.4,0
1.65424e+06,1.25972e+06,367237,246922,171267,283861,10342.8,376.231,53604.3,166889,12293.6,15661.6,5497.9,0.00614753
1.76026e+06,1.23536e+06,417736,316870,207982,303913,16421.6,1533.11,53020.5,223509,16693.4,20025.3,9800.52,0.00869934
1.77047e+06,1.35511e+06,452165,341880,234247,347194,6624.82,1683.45,430042,136556,17341.2,14011.8,8458.05,0.00997524
1.8601e+06,1.26291e+06,620112,423880,265012,449872,12303,224.948,65502.3,281201,18973.6,26821.9,8322.5,0.0147309
1.57839e+06,1.12232e+06,338774,238054,158462,266313,8515.28,-175.781,38560.1,207080,12996.4,15326.1,5601.43,0.0212264
1.61722e+06,1.17254e+06,598412,422750,285742,454671,8619.88,4423.21,97054.4,216030,16649.5,23488.4,9385.11,0.0223863
1.56173e+06,1.17439e+06,568436,396141,267235,431597,9124.77,710.742,531848,194827,25139.1,20590.6,9667.63,0.0231982
2.39597e+06,1.48768e+06,773686,505696,309612,549739,24637.8,772.537,166774,369169,30550.2,24845.3,11664.3,0.0236622
1.53484e+06,1.11181e+06,482944,387677,265977,377183,6977.94,572.237,160496,144519,17618.8,15963.4,7915.62,0.0286498
1.93564e+06,1.40892e+06,454248,335704,223494,340604,8039.15,1888.17,55415.8,226015,30989.5,25082.3,9449.04,0.0321296
2.58052e+06,1.68025e+06,738286,621691,390501,519238,25544.4,2329.62,61398.9,276492,39261.8,31868.9,14371.3,0.0372332
1.4223e+06,1.03354e+06,402918,309426,207892,309228,6811.27,-100.6,181785,145921,12031,13640.8,8069.43,0.0376971
2.24329e+06,1.44655e+06,704118,568575,365733,507135,23163.7,2805.84,63350.3,308860,34191.2,23736,10280.4,0.0416408
1.34972e+06,987701,542602,417948,302827,423837,8216.73,424.53,45084.5,175861,19861.1,19846.4,7290.48,0.0439607
1.78713e+06,1.37748e+06,389119,256600,182036,303256,6418.49,1915.64,151492,172887,12311.5,15155.1,6491.68,0.0455845
1.44422e+06,1.03281e+06,526961,386361,264343,409236,9281.42,285.095,136202,191925,19110.2,15890.6,10988.7,0.0482523
1.72634e+06,1.2232e+06,585279,459302,300450,431071,12465,1479.53,81183,298110,22208.4,25423.6,11857.5,0.0488323
1.69195e+06,1.22008e+06,383550,260761,181849,313748,7625.39,51.0908,66867.2,147191,11778.8,12703.3,5303.81,0.0516161
1.3685e+06,977377,779963,587950,428241,609677,11165.7,-807.24,871299,211354,24882.1,28595.6,8997.91,0.0569517
1.59541e+06,1.13697e+06,427053,322342,215951,330169,9363.78,-1449.51,363592,201972,31788.3,16440.2,6448.18,0.0570677
1.71226e+06,1.21087e+06,528561,358515,228505,378994,14920.3,791.299,57250.9,275797,19703,24893.7,10891.1,0.0574156
1.65957e+06,1.27933e+06,437844,247158,167468,330141,14662.5,-334.037,182056,189323,15915,17492.7,7909.11,0.0604314
1.55605e+06,1.10057e+06,643872,444611,299452,492695,8088.55,-546.812,397906,163360,16651.9,18981.8,10178.2,0.0613593
1.71695e+06,1.27757e+06,471526,357355,250730,366299,9938.57,743.553,63914.7,174603,14638.6,16282.3,9533.99,0.065883
1.6475e+06,1.17387e+06,567477,382577,253021,432548,11278,727.764,64294,245963,24206.6,17423.4,8898.81,0.0666949
2.11666e+06,1.48906e+06,703083,500492,300550,485076,31048.3,3388.12,103502,288026,28987.1,60553.7,11589.5,0.0668109
1.64207e+06,1.23958e+06,409727,308841,200334,311085,11003,1002.94,212089,191320,15505.8,14121,10281.1,0.0810778
1.87302e+06,1.34686e+06,542469,414782,265386,389647,11791.8,3612.66,56176.4,254513,16152.9,20499,10137.7,0.0844416
1.90752e+06,1.37736e+06,583678,409737,255673,417971,17550.2,191.543,216178,244807,29404.9,22401.2,11974.5,0.0932569
1.49123e+06,1.0897e+06,743473,651794,374020,474047,7645.17,372.197,104405,268957,30790.8,22466.5,7676.71,0.0951128
2.14391e+06,1.63387e+06,481833,350538,233668,367651,10701.4,1173.81,152753,180529,14862,13179.6,8284.71,0.0981285
1.57148e+06,1.10886e+06,518666,289260,184474,379081,15804.3,497.135,105105,212298,31407,20225.6,8210.25,0.0989405
1.61953e+06,1.15764e+06,459328,339148,220584,346018,6689.84,-38.9031,48179.9,216608,35521.1,17235.2,5633.19,0.106596
1.5188e+06,1.11874e+06,652760,443789,301687,514439,10422.8,0.893188,525449,227595,13311.4,24265,17107.8,0.115991
1.82603e+06,1.42007e+06,376955,274053,198011,302420,5843.75,535.254,105316,192188,8828.33,16290.1,7778.75,0.12585
1.63831e+06,1.12507e+06,626547,467508,292168,450534,11387.7,1701.66,125993,229358,22322.3,18455.5,11555.2,0.131998
2.02721e+06,1.27576e+06,945445,644385,358131,618206,19184.4,1776.07,212700,373424,32785.8,40981.3,12490.9,0.132462
1.83932e+06,1.28401e+06,706742,421610,247119,488154,14609.4,1139.18,156681,274712,32067.1,22038.1,13875.6,0.13339
1.45584e+06,1.11368e+06,372082,270206,198407,310369,5326.56,-354.331,256693,127788,8897,10642.4,5220.66,0.135594
1.64062e+06,1.20255e+06,565044,423395,272445,418550,8112.01,53.5376,299545,222969,21702.9,16488.2,8514.81,0.136754
2.42287e+06,1.66238e+06,747197,588940,357858,525341,11593.1,3427.28,625974,270271,26780.6,22214.6,11441.2,0.139537
2.49584e+06,1.85804e+06,410953,326623,241028,332537,3297.91,2113.23,67337.6,136624,15569,6721.36,5774.12,0.139653
1.50002e+06,1.03298e+06,562052,407873,250078,403429,14446.7,-710.822,160272,235906,34447.6,23990.3,7784.09,0.143597
1.8278e+06,1.36215e+06,417257,333415,227742,319563,11344.5,658.849,121976,213819,13162.5,13588,8095.9,0.147657
1.67435e+06,1.20117e+06,634955,450264,308452,496753,8819.04,1461.39,307848,189637,18945.5,16736.5,9872.09,0.147773
1.82823e+06,1.21058e+06,458054,336826,232921,354917,8232.06,1224.91,90375.5,169664,25152.6,14544.5,6211.06,0.151253
2.271e+06,1.57135e+06,603901,504957,363554,483735,2916.54,2655.32,144669,206231,43980.3,13965.4,7234.59,0.154152
1.91686e+06,1.34199e+06,633242,524820,352242,479402,15828.9,894.958,57345.1,244388,22506.4,18717.3,10774.3,0.159256
1.50569e+06,1.08851e+06,422118,296611,203711,337703,9092.06,-301.459,48081.9,215458,18595.6,16801.3,6257.19,0.160416
1.41725e+06,1.04308e+06,217596,163621,115356,181576,5132.95,5920.4,175202,85750.6,5315.52,9012,3163.25,0.163432
1.46453e+06,998326,730624,445728,267810,502893,13893.6,1818.16,402370,280908,29183.2,29946.1,12091.3,0.169579
2.15764e+06,1.32869e+06,867321,579719,345695,606971,16957.5,-483.527,206374,275675,35954.2,29428.5,11728.9,0.170507
1.70161e+06,1.11493e+06,636269,433114,268241,453906,10067,1128.57,56179.3,248804,29750.3,25757.1,7266.18,0.172479
1.83155e+06,1.44437e+06,353124,221136,159270,284325,4624.47,401.628,128826,113986,14988.1,9856.66,7840.64,0.173407
2.18936e+06,1.56334e+06,305064,218727,148528,236206,3438.1,16.2695,143775,176734,8745.14,7300.31,4855.89,0.173871
1.67087e+06,1.17198e+06,648079,458289,302604,500352,10404,-84.8504,113821,250988,31055.7,22902.8,9567.62,0.174915
2.01769e+06,1.49485e+06,460395,343723,252949,366323,4653.17,603.477,133777,179101,41755.7,13959.4,10609.5,0.183266
2.18263e+06,1.4923e+06,691910,436993,251932,465263,18780.1,1114.58,122629,343297,35240.4,27298.3,12114,0.190921
1.89517e+06,1.35274e+06,515258,402098,267589,386886,18809.9,1982.17,115513,246667,27957.1,18942.8,12194.9,0.198693
1.82592e+06,1.22898e+06,538750,393055,243115,383197,8012.18,2722.78,113969,224751,19518.8,18531.7,9818.22,0.202173
1.85061e+06,1.27729e+06,492797,383969,261895,372300,12540.3,2444.27,137774,258569,31474.2,20550.3,9877.88,0.206696
2.34304e+06,1.72032e+06,506959,312833,198005,362090,15316.6,845.634,198868,225080,24530.3,15417.5,13155.6,0.20774
1.76032e+06,1.28112e+06,480645,355643,250399,378445,9090.43,-182.156,102249,229065,17315.3,15650,7867.22,0.211452
2.74841e+06,1.86573e+06,765638,533112,325158,538171,14767,4404,120170,288902,30392.3,23605.4,23926,0.21702
1.65591e+06,1.31058e+06,436792,356334,280290,364537,2488.83,4116.38,95514,48730.9,12476,3131.68,17681.4,0.227575
1.90155e+06,1.36632e+06,413401,339875,237268,321365,11045,497.912,155184,175915,21917.6,12406.5,11489.6,0.227575
1.61797e+06,1.19603e+06,702139,445932,285130,506169,11072.1,523.944,202250,273511,28720.4,23402.7,10688.7,0.259704
2.13797e+06,1.43457e+06,517199,434725,263274,353373,11336.1,401.197,242750,203723,11432.4,20895.4,12178.6,0.260632
1.82803e+06,1.3428e+06,605190,402651,255288,444515,14969.6,639.984,68671.3,286874,32893.6,21255.9,9396.67,0.2633
1.90013e+06,1.30294e+06,363062,269375,168756,266118,10611.8,375.779,55774.2,231918,21266.8,21380,6711.55,0.267244
1.80182e+06,1.39565e+06,497771,301044,209485,391422,14026.8,-409.105,455945,183916,21363,15463.7,7583.4,0.270375
1.78887e+06,1.32344e+06,480140,303417,198672,356162,12832.5,17.7924,129371,188810,14188.3,35541.7,8253.29,0.275247
1.80014e+06,1.36346e+06,495695,350142,254591,401571,9227.34,-1074.53,627215,144837,13817.6,13795.2,6402.35,0.277567
2.19423e+06,1.52953e+06,465197,369502,212351,305803,16693.6,2734.11,44193,241819,23790.6,27411.5,12363.7,0.277799
1.93573e+06,1.43079e+06,503478,416590,276740,377728,10847.7,644.464,115261,237199,17471.5,18303.6,7453.24,0.281511
1.46628e+06,1.10148e+06,447668,252269,181757,357323,5099.57,-169.19,93065.7,118087,13191.2,11269.7,7755.49,0.283482
1.91792e+06,1.34035e+06,584555,423104,267626,439106,9254.14,933.063,108206,159214,11966.3,16168.1,7834.73,0.284062
1.74997e+06,1.30396e+06,634887,491271,333585,488177,7634.89,1589.28,1.71116e+06,193811,21091,16172.9,9496.72,0.284526
2.13584e+06,1.49248e+06,610271,436322,292861,454072,10064.2,935.192,75246.4,250181,17134.6,17948,9545.18,0.286266
1.64973e+06,1.1459e+06,400030,306749,197693,294929,10135.3,-60.4132,104480,225261,12759.8,22300.6,7736.54,0.286498
1.96171e+06,1.32449e+06,592593,426759,270284,441496,7903.08,-1125.42,241168,263127,55627.8,30946.7,11113.6,0.28673
1.648e+06,1.2238e+06,457969,303522,205408,359861,9565.96,-178.368,124185,181300,11605.4,19725.4,6481.2,0.291254
1.5759e+06,1.18981e+06,573759,354936,248067,466649,5565.53,-282.442,374201,180189,28981.7,15533.8,7905.81,0.29253
2.15321e+06,1.3109e+06,751080,620252,372022,505723,13959.7,2169.53,106283,290857,37375.8,26505.6,15902.3,0.296821
