"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.82707e+06,1.22978e+06,840546,578318,355173,624463,11621.4,-409.948,1134.46,193345,27622.4,13553.2,8623.34,0.00981959
1.75812e+06,1.32253e+06,805278,509275,324674,601909,11850.9,902.433,611798,150721,32878.8,28826.3,15124.1,0.0111898
1.85249e+06,1.45662e+06,555390,380664,275866,452054,5096.84,1591.59,1.56477e+06,82791,10824.5,13727.1,6362.76,0.0198675
1.7656e+06,1.36542e+06,322650,211289,147311,258498,4959.92,-535.061,47495.7,79557.8,10959.9,7273.59,4711.07,0.0216944
1.52983e+06,957366,1.61423e+06,1.65722e+06,687799,889036,8056.68,1090.89,13894,208849,65740.3,22013.6,22564,0.0223795
1.64918e+06,1.05565e+06,1.0133e+06,859803,514826,682264,5700.22,3519.15,78029.1,141558,29949.7,20984.6,14770.8,0.0272893
2.04758e+06,1.41956e+06,851608,633220,407881,636760,5233.59,404.345,126880,134272,21957.8,22793,12783.1,0.0304864
1.63457e+06,1.17414e+06,647354,519028,334475,471978,3975.2,1181.31,135600,117786,28395.6,17100.1,5291.47,0.03905
1.82783e+06,1.15238e+06,995550,718987,440182,687700,6364.11,1335.74,37971.8,173588,15891.7,26622.8,9470.33,0.0538936
2.34223e+06,1.52544e+06,844443,635180,372968,569401,5973.52,567.794,174855,176957,22056,23757.3,10779.2,0.0659968
1.84981e+06,1.40933e+06,636452,546493,385891,487511,3588.51,1282.31,158618,77513.2,18556.6,12384.3,9047.97,0.0667961
1.83838e+06,1.3528e+06,605672,430888,305160,495180,4984.32,-2.50839,196393,96852.5,11216.1,11606.3,5895.51,0.089404
1.88752e+06,1.35925e+06,832457,685046,463718,621111,7979.1,18.0329,1023.28,157061,22982.2,31035.6,7379.45,0.104133
1.62851e+06,1.13374e+06,947718,813717,501634,665843,5865.41,4244.15,621946,151404,35469.8,28859.8,10475.5,0.10813
2.26396e+06,1.51386e+06,1.01138e+06,706219,460191,743418,7914.88,1995.02,9436.98,201233,30274.3,16485.1,14477.2,0.128911
1.96342e+06,1.36562e+06,744034,492382,295627,520942,12388.3,691.141,5.90698,145424,31925.1,22668.4,8229.72,0.134848
1.56924e+06,1.10155e+06,1.04538e+06,763784,489038,766383,6659.85,57.7574,11254.7,169971,39834.2,14021.3,24006,0.144668
1.3461e+06,937556,997980,721196,471286,753684,3416.95,2318.15,49938.9,122206,33244.6,14599.7,8067,0.153346
1.87623e+06,1.35135e+06,697129,547308,370920,508447,4650.99,105.021,155224,89859.2,14133.5,15380.2,10737.4,0.155172
1.45679e+06,911239,895363,673322,405102,614043,9922.38,445.909,5174.44,216861,39645,19497.8,9012,0.156314
1.89724e+06,1.2942e+06,757836,586018,401457,594112,6178.87,-1171.75,1003.74,183694,90329.3,9549.26,9885.39,0.163051
1.55308e+06,1.22334e+06,551331,402404,310386,475836,2548.06,3603.46,3570.63,44204.7,18110.5,1965.6,11379.5,0.168646
2.17344e+06,1.50786e+06,768218,607816,381363,549223,6021.26,3490.24,154840,166407,22769.9,21050.2,8317.9,0.184289
1.87939e+06,1.32990e+06,868988,620731,389559,625558,11562.2,1182.94,85727.6,128041,18904,26732.2,9532.38,0.194222
