"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.98004e+06,1.40807e+06,498650,448886,318524,384033,8186.62,-139.678,60175.2,224027,35270.1,15194.3,10041.9,0
2.40806e+06,1.54028e+06,828519,611276,352801,558840,37932.8,-1846.19,185678,550112,36749.5,70581,14795.6,0.000668745
1.54736e+06,1.09999e+06,631681,491226,361000,516801,8195.5,1300.51,117017,241020,17460.8,18799.6,15959.4,0.00479267
1.53851e+06,922785,1.03383e+06,744193,330951,562844,16224.6,3899.5,217475,335730,42376.5,33857.8,16032.5,0.00546141
1.67452e+06,1.16663e+06,638278,489016,311173,476297,12020.3,132.577,52037.2,389134,18658.6,21482.2,8129.57,0.00880514
1.88058e+06,1.40374e+06,522764,409851,282334,396739,16069.8,-101.014,107952,260368,17774.8,16833.8,8612.43,0.0237404
1.51202e+06,1.14426e+06,444284,321857,232144,347337,11350.5,-132.213,59960.2,237560,25563.8,14595.4,8557.99,0.0247435
1.70966e+06,1.23456e+06,380621,261881,181838,298350,12105,-872.481,93609.1,232061,22200.8,16438.4,7901.92,0.0247435
1.91249e+06,1.32158e+06,657194,477131,301161,476631,19526.3,-387.554,214848,383333,24653.3,24507.9,8718.31,0.0250779
1.48781e+06,1.20974e+06,604964,366070,264946,474653,4878.58,1821.81,242407,48631,10567.6,1815.22,7937.28,0.0259696
1.66559e+06,1.25705e+06,547854,398861,285301,436153,14704.5,-861.662,244244,285455,31330.3,16928.1,7417.8,0.0276414
1.4636e+06,1.28262e+06,305169,188637,158462,276780,4904.17,2245.73,391382,100508,9418.65,6066.95,10240.3,0.0294248
2.48716e+06,1.67794e+06,625313,582405,362603,430200,25762.9,605.043,107527,342160,21476.3,21964.3,10763.7,0.0343289
1.55573e+06,1.06998e+06,563650,450275,310070,429483,12490.2,-566.347,51712.7,339838,20450.8,20163.9,6687.06,0.0347747
1.61011e+06,1.20486e+06,452358,327890,224018,349866,9398.41,-922.933,67135.4,294597,18056.5,39146.1,8309.51,0.0416851
1.5223e+06,1.09176e+06,485950,320487,200655,347879,15598.4,8.08521,21394.2,322564,26939,25705.8,9161.6,0.0456975
2.18206e+06,1.41692e+06,847677,585826,375376,651032,12842,661.348,93183,442249,39614.8,26502.6,18319.9,0.0502673
1.16809e+06,832004,592833,478061,333512,470435,10395.7,-1296.3,69265.4,202500,14738,18052.8,6500.24,0.0557287
2.30757e+06,1.64898e+06,431570,302355,212874,334264,7535.53,-1530.2,111294,201414,70103.6,17833.9,5875.92,0.0559516
1.40356e+06,963052,658351,524668,351409,500717,13527.7,-234.079,108823,297410,24371.2,22461.5,5369.88,0.0658713
1.04301e+06,708543,624356,433616,288597,490208,11650.6,-1685.19,368014,266942,25005.8,23064.8,7715.68,0.0702182
1.60554e+06,1.21176e+06,357526,278727,189394,285055,8709.91,-1102.9,160121,211756,13585.9,12539.6,4629.18,0.0720015
1.88021e+06,1.4119e+06,485243,376406,256292,366710,12890.6,-413.527,143316,249688,15359.6,17312.1,10165,0.0819212
2.42732e+06,1.5665e+06,589740,477217,301205,424657,29815.6,924.398,52618.2,384998,21141.6,25512.2,10233.8,0.0819212
1.50897e+06,1.06317e+06,549387,391678,252451,411707,17756.8,-979.055,180539,265380,27888.3,24761.9,7143.89,0.0861566
2.04537e+06,1.41066e+06,530619,436791,273715,380860,13749.9,279.002,118732,276222,21789.9,20698.6,7055.82,0.0867139
2.04689e+06,1.49006e+06,498389,361586,241945,374002,19309.3,653.711,110804,299508,17336.7,16100.1,7241.13,0.0871597
1.5001e+06,1.06268e+06,668467,463088,302667,503516,10398.6,1213.22,101855,296794,31571.4,22771.9,6503.43,0.0891659
1.73805e+06,1.28233e+06,539322,366393,239615,408221,18980,-1335.65,238426,304534,24668.3,23147.1,7510.2,0.0915065
1.87412e+06,1.35680e+06,667780,493097,320515,501129,14071.1,1803.98,111730,251956,26992.8,22180.9,6716.01,0.100423
1.811e+06,1.18691e+06,525992,353637,214779,377699,15112.8,-476.224,49828.3,373488,41923.3,32417.4,6543.95,0.104993
1.68737e+06,1.2022e+06,509519,403635,277250,397399,12154.1,-571.513,65170.3,358468,25015,21159.3,5707.23,0.106553
1.78833e+06,1.24282e+06,768123,509693,307111,526082,18068.1,-761.705,225779,358595,29455.7,28668.5,11210,0.116362
2.28753e+06,1.54632e+06,861222,639319,407060,618086,23349,-279.485,36246.3,476146,55624,31538.8,11388.6,0.118033
1.65772e+06,1.29067e+06,431700,279206,203453,352385,10553.8,-802.97,173345,225740,15262.5,17409.9,4621.41,0.119594
1.85051e+06,1.36059e+06,464027,361321,271594,373875,10696.2,-399.619,47819.2,224856,20250.8,13705,5545.24,0.122046
1.46951e+06,1.01106e+06,595085,448669,306633,456242,12357.3,-56.4428,46201.9,290771,26242.4,26735.2,10224.7,0.127953
2.31491e+06,1.57056e+06,828859,545601,341088,610124,20307.5,248.672,55759.2,482326,28585.3,49075.1,7312.76,0.135755
1.37552e+06,975294,791740,623709,401321,579560,14806.3,947.222,227888,262067,28011.8,33778,12308,0.139656
1.61933e+06,1.16415e+06,437374,305133,214768,335003,9139.53,-280.973,102098,145604,21973.5,20279.6,7031.38,0.146121
2.04913e+06,1.44994e+06,504581,369688,235074,369026,14035.3,-428.305,191636,343937,32720,24256.3,9159.38,0.148461
1.69801e+06,1.30409e+06,495603,400434,231169,364625,13949.9,-486.109,193784,267685,23455.5,18833.5,6743.94,0.160833
1.97275e+06,1.45602e+06,463151,390893,284531,367724,6973.68,381.443,127878,225512,26079.2,17960.5,6269.75,0.169861
2.39591e+06,1.55475e+06,745197,573402,351189,525007,33633.9,-1307.84,57087.1,494333,43229.5,52258.2,8938.42,0.171087
1.95105e+06,1.50441e+06,243654,189527,143250,205573,4111.51,-39.4378,86821.6,143409,10481.9,9031.84,2941.26,0.173539
1.73511e+06,1.3131e+06,396726,303209,210176,312482,7367.05,-202.557,53974.1,210451,30113.6,20008.4,9630,0.1751
1.87087e+06,1.37658e+06,481482,405839,278333,376837,14470.2,-109.146,47580.9,328387,19331.3,21770.7,9770.68,0.187471
1.88794e+06,1.18144e+06,702039,482583,293950,503337,30925.7,-2197.67,314220,483144,30379.6,67339.6,8812.5,0.188475
2.7445e+06,1.9028e+06,482006,385116,262394,375024,9746.54,6.88055,53534.8,257278,12706.1,30337.2,9969.3,0.200512
1.37754e+06,994929,429950,311612,212144,340112,8123.56,-1087.58,48762.3,238107,34593.2,14485.3,5032.54,0.208425
1.64514e+06,1.1315e+06,508098,391352,247313,371870,18507.9,-1385.73,43767.4,288608,25445.5,24130.4,6580.24,0.211658
1.87274e+06,1.33759e+06,553990,468329,303475,405550,11699.3,65.1173,119638,345719,21864.5,23048.6,11134.2,0.21411
2.01956e+06,1.2879e+06,781579,609476,384592,563801,19433,1103.98,106014,372093,33377.6,27554,17927.2,0.219125
