"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.5507e+06,1.24194e+06,453897,235954,163595,358291,5810.88,296.27,993788,139527,15093.1,13176.1,8471.98,0.00847242
1.78901e+06,1.36841e+06,343916,257227,189682,281511,6291.51,-263.075,114672,174106,10386.2,17685.6,4776.15,0.0117053
1.57565e+06,1.19006e+06,446725,295036,202860,351745,9873.43,188.598,62089.9,228284,17231,33143.9,5692.41,0.024191
1.39372e+06,1.00705e+06,578542,436503,311006,469898,7962.08,-640.275,118232,74630.7,15912.3,8503.88,6152.53,0.0282042
1.84696e+06,1.39929e+06,456844,314051,226889,360766,4828.5,9.5625,85065.8,217593,45792.2,15564.9,7128.32,0.0356733
1.50536e+06,1.05064e+06,880376,593356,384628,659969,17676.2,-1492.02,1.51876e+06,374762,40145.2,29610,8683.36,0.0360078
1.35719e+06,978152,575531,433262,297117,452771,9393.56,-124.567,46329.6,148762,15551.5,12130.1,6407.49,0.0370111
1.78674e+06,1.27280e+06,740240,545826,355441,550594,13710.4,-401.244,211233,168676,26615.4,19378.7,14943.4,0.0449261
1.65101e+06,1.19431e+06,648420,478482,329405,498021,14234.7,2000.19,236828,313040,24422.9,25013.9,7217.84,0.0508345
1.83384e+06,1.36831e+06,476154,352120,248793,366471,18934,-310.618,106202,292214,15993.9,30511.9,8779.79,0.0550707
2.06159e+06,1.55528e+06,353281,242078,171853,279437,14448,-467.923,60214.8,124350,21657.2,9125.04,5729.41,0.0585266
1.34124e+06,970813,570830,440738,313224,458074,7842.31,1145.66,168457,292576,23887.9,17299.3,7899.12,0.0628743
2.03593e+06,1.40356e+06,483780,348127,236964,375972,9769.89,-1199.78,53032.2,254784,42326.2,17619.3,8345.47,0.0711237
2.08059e+06,1.36394e+06,886645,751751,453068,583835,26575.7,795.942,42258.5,486299,30904,38310.6,18510.7,0.0711237
1.90619e+06,1.29944e+06,603082,458327,293330,443227,18492.8,124.026,54027.9,323895,41483.3,43903.1,12949.4,0.0764747
1.76618e+06,1.35795e+06,427532,281125,192113,329955,13868.7,-11.0737,36551.9,250648,20971,12002.6,6921.34,0.0778125
1.76572e+06,1.35809e+06,460502,308873,221824,363798,18584.9,-532.024,52979.4,318067,15252.3,17217.3,7818.2,0.0848356
1.8564e+06,1.31761e+06,522425,419936,279989,384997,11108.2,40.7456,57601.2,232309,26409.3,28082.7,8291.08,0.085616
1.66934e+06,1.27310e+06,419827,295581,203056,333006,9362.92,-404.795,109925,227174,17532.1,14306.3,8775.25,0.0859504
2.68501e+06,1.69253e+06,747105,503545,309990,537604,37356.9,-301.509,115892,473177,27617.9,27881.2,11664.2,0.0876226
1.81978e+06,1.20843e+06,694474,567740,373623,511664,15586.4,446.169,66907.4,295078,19561.3,23014.6,10476.4,0.0947573
2.4846e+06,1.73075e+06,598453,351424,215559,409612,21660.5,934.64,57291.2,180498,20790.5,18461.1,10833.5,0.0972098
1.88272e+06,1.47137e+06,338145,243224,164888,258036,11110.4,217.831,105933,219292,10314,17269,8208.99,0.0994394
