"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.00852e+06,1.3017e+06,484897,356824,234095,369822,8253.88,92.2028,51822.9,308839,12127.8,19149.2,7331.99,0.00345083
1.97182e+06,1.25376e+06,743839,531409,323123,532474,15247.2,-139.799,104348,397890,28448.5,25483.9,8059.06,0.00389609
1.64304e+06,1.2406e+06,430098,286694,194813,332726,7778.44,10.0494,48743,258651,16724.6,16109,8912.83,0.00423004
1.91909e+06,1.39978e+06,457755,346456,240361,350583,11309.7,-542.001,116646,291928,25216.4,13446.5,10934.6,0.00578848
1.90106e+06,1.40545e+06,484380,375019,258054,369811,6166.1,636.582,113475,288078,16975.4,11998.8,5921.1,0.0058998
1.52936e+06,1.12146e+06,551013,382491,247768,418363,8057.56,-256.081,164009,259723,23368.1,19937.4,6281.14,0.0110204
1.27191e+06,906807,577150,327855,226928,449090,5324.34,458.389,107541,218911,16803.3,10888.6,4855.49,0.0129128
2.03134e+06,1.28473e+06,614301,474250,291907,447593,14170.7,-1660.61,20238.8,493603,41950.2,52693,8812.85,0.0214842
1.60862e+06,1.16887e+06,319590,242121,169363,257705,8142.47,-1084.54,79437.9,260817,18501.4,12045.3,4707.4,0.0262708
2.30395e+06,1.52206e+06,924954,801246,469743,621312,11897.2,1696.3,121022,370745,25143.7,25932.2,13999,0.0360667
1.76312e+06,1.18566e+06,683118,519304,318284,487885,9766.6,778.174,208608,362726,22140.5,22118.7,10211,0.0380704
1.85262e+06,1.40713e+06,473893,291951,203254,362524,9426.2,-68.6779,62566.1,230870,22244.7,14809.3,6801.09,0.0396288
2.84186e+06,1.87365e+06,714820,548509,348961,519899,16292.6,426.743,209198,396456,34548,24301.9,11899.9,0.0418552
1.86661e+06,1.3437e+06,425093,296735,184638,307121,10341.3,381.573,58190.1,326924,24805.5,21758.7,5482.75,0.0427457
1.60773e+06,1.14903e+06,572572,455784,319327,452018,9219.92,757.421,108019,318927,10962.4,19831.1,8353.22,0.0454173
1.46335e+06,1.02994e+06,583641,408967,263410,434454,8894.84,-292.299,86555.6,315082,19471.9,22219,5615.59,0.0461965
1.30074e+06,862364,643482,447374,255489,423761,10390.6,691.18,58467.8,375031,32867.3,21557.8,11084.1,0.0489795
2.2864e+06,1.74005e+06,394293,267775,207645,326099,2390.44,2020.01,54823.5,191041,83627.5,16502.1,5832.77,0.0532095
1.86625e+06,1.2728e+06,593363,428848,284182,447897,9117.18,252.661,68302.2,432241,46849.8,24790.2,8409.93,0.0576622
1.16985e+06,790928,583491,392212,256717,432744,9675.38,175.886,50302.4,268803,27260.5,17281.7,6942.53,0.0577735
1.81668e+06,1.40657e+06,429462,315717,217623,326501,9882.08,-237.063,104878,200138,20251.9,15752.9,6027.79,0.0585527
1.69689e+06,1.14826e+06,554145,436334,280350,401889,13521.9,261.009,71510.5,400891,22755.2,23522,7838.79,0.0596659
1.56246e+06,1.12472e+06,467890,301119,205270,358442,9132.72,1328.35,473144,274981,12788.7,18452.9,8036.59,0.0599998
1.64176e+06,1.21296e+06,343781,241340,172608,281298,4412.82,-778.524,46598.9,249714,18682.1,11751.8,4149.26,0.0612243
1.80927e+06,1.38252e+06,363462,256024,179781,292531,5952.35,-255.25,61859.2,239760,14088.9,15478.9,4796.73,0.0669015
1.46449e+06,1.06662e+06,512052,423446,308581,411620,6405.22,-115.788,138439,249838,14029.4,17827.4,6176.98,0.0734692
1.59363e+06,1.25166e+06,451123,323509,230895,360016,5323.5,-2018.46,530583,251277,24586.6,13733.8,4935.04,0.0789237
2.18406e+06,1.53316e+06,594308,376513,219549,397158,15553.6,424.55,41869.8,434340,34976.2,37078.4,6798.59,0.0805935
1.98921e+06,1.40129e+06,561096,419720,275494,422930,10478.7,52.3494,114303,345727,15740.3,44910.1,5701.84,0.086382
1.6127e+06,1.18456e+06,538393,422219,279003,410200,9325,230.01,221643,278802,10541.7,19052.6,6350.12,0.0880517
1.5143e+06,1.05602e+06,575424,442995,300766,433777,9051.88,-137.057,66902.5,269781,22023.9,18117.9,7211.99,0.0917252
1.46782e+06,1.05712e+06,373739,270948,184907,295371,8247.39,-2132.45,95581.4,274801,21857.4,14758.1,5683.85,0.093061
1.62648e+06,1.12354e+06,571772,438732,290644,428596,8891.82,-2022.48,217465,375398,34026.4,18884.7,6325.38,0.0971797
2.18192e+06,1.41877e+06,633474,519099,296974,437699,26771.4,-395.156,55722.6,492518,28039.6,32785.4,10352.7,0.0999626
2.03581e+06,1.4655e+06,582076,392269,244914,409177,14796.4,1518.6,90214.1,387853,29176.9,29850.7,8147.08,0.100964
2.32696e+06,1.56062e+06,653293,535801,336399,461841,15946.1,53.3381,78182.2,371397,25536.3,42237.8,9328.36,0.103191
2.00379e+06,1.32276e+06,684531,463447,298616,505675,14756.9,-1662.32,210704,437700,23009.6,26882.6,6151.22,0.108979
991700,652030,570759,392125,248282,416830,7787.32,-782.817,96775.5,298657,28263.3,30007.7,7669.51,0.109202
1.76469e+06,1.19728e+06,669528,500448,300507,479486,8178.59,591.787,90926.2,340345,23750.9,23406.6,7960.44,0.113989
1.69955e+06,1.23064e+06,430883,319983,205203,322393,8875.92,-565.949,226742,258516,12615.3,15321.9,5318.23,0.114434
