"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.69958e+06,1.28401e+06,559321,457782,311197,419425,11365.2,-255.668,49061.2,206347,23441.7,19141,7057.12,0
1.7852e+06,1.33697e+06,395563,292079,199344,305037,8523.5,-151.372,25886.3,176132,33122.3,12600.7,5865.28,0.00904256
2.33414e+06,1.5238e+06,676458,500999,320783,476780,14592.3,898.418,12496,304032,25882.5,34549.5,10944.4,0.00937747
1.63883e+06,1.22599e+06,390673,282625,204925,321429,9870.75,-1163.21,37428.4,161675,24172.1,9706.9,4901.08,0.0255648
1.78588e+06,1.24495e+06,728162,456842,269700,494567,12468.7,485.956,101272,246901,30809.7,19188.7,21401.1,0.0271277
1.72385e+06,1.23129e+06,596075,433270,294817,461045,8974.93,-683.01,78604.2,241619,26971.7,22766.7,6344.14,0.0274626
2.21182e+06,1.39983e+06,695763,543074,326889,490878,17490.2,557.253,4533.58,338133,34933.8,18980.3,9100.75,0.0277975
1.80474e+06,1.30960e+06,665144,539137,364215,495555,12383.7,-612.022,162514,212461,22108.5,17419,8025,0.0289139
1.82749e+06,1.36907e+06,432268,303190,201042,333123,6101.81,-79.4924,21232.1,164269,24308,11910,5433.95,0.0302535
1.68021e+06,993560,1.27558e+06,787892,432624,824875,23585.2,380.726,23355.9,399064,78048.8,29563.6,16683.5,0.0315931
1.82004e+06,1.26098e+06,688619,478278,319199,528279,8323.07,503.748,92588.3,208193,29001.4,21297.5,5279.2,0.0317048
1.68715e+06,1.18209e+06,662168,477221,304745,479316,8263.55,607.116,180760,213516,21305.9,19890.7,9122.43,0.0338259
1.71247e+06,1.24175e+06,714704,513560,335755,537726,11567.6,460.808,22371.2,324215,16320.4,17799.4,7642.17,0.0349422
1.81673e+06,1.17601e+06,706668,524793,306462,497135,11894.1,1248.25,647526,325780,25466.9,263952,5489.9,0.035612
2.01041e+06,1.48364e+06,622231,451962,298111,469879,6120.83,-25.2255,95846.8,151132,15697.1,12488.3,8124.94,0.0376215
2.34048e+06,1.43559e+06,760747,578570,363766,548690,11176.3,1709.95,2582.8,326823,23843.4,20559.5,10639.3,0.0382913
1.91604e+06,1.29596e+06,556571,405777,241171,391130,10522.5,-136.603,59789.4,235091,21451.5,21625.5,6420,0.0394077
1.43487e+06,976245,680011,510285,324982,493559,12225.5,1397.81,74123.1,383367,40964.6,25423.9,5938.97,0.0526924
1.97653e+06,1.43143e+06,608552,428007,279943,451013,8298,-378.827,49797.2,333095,16457.4,18816.7,8136.12,0.0552601
1.75739e+06,1.28872e+06,539647,393368,282642,431754,6882.5,-634.241,52756.9,203233,19728.8,18987.6,6404.07,0.0554833
