"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.65988e+06,1.72272e+06,645651,446280,267381,446303,18806.8,1962.6,10871.3,338825,58109.8,29378.2,12924.5,0
1.72801e+06,1.15838e+06,581082,411188,243106,400530,7904.07,-1101.53,172635,250631,38894.6,27855.2,9654.09,0.00635487
1.7391e+06,1.27331e+06,486808,358880,250585,373164,7943.15,-175.422,23271,249108,20460.2,33500.4,5569.29,0.0156085
1.67948e+06,1.11627e+06,608355,510400,343491,457912,8639.96,844.265,19860,356125,32453.3,25240.6,5615.63,0.0191761
1.87073e+06,1.32904e+06,544846,400191,260441,407023,7307.88,-484.255,24195.5,115837,14378.8,18559.6,7726.4,0.0257539
1.6817e+06,1.18796e+06,611656,467972,302529,454071,6356.35,1151.77,216977,189562,16711.9,19301.8,7351.51,0.0358994
1.54832e+06,1.1579e+06,307838,236751,169149,254054,4826.34,-1752.38,9768.07,98209,10978.8,7227.85,4680.61,0.0364569
1.49717e+06,1.02255e+06,597155,458547,297511,434915,9933.15,-575.337,77562,196953,41681.3,21745.2,5271.35,0.0427003
1.82874e+06,1.20427e+06,927075,617132,379214,649705,13332.2,-217.513,85004.1,250012,49408.8,27489.4,8859.32,0.0496126
1.75543e+06,1.25774e+06,669020,469339,309045,510122,7612.35,268.191,57601.6,239545,20219.5,18945.9,6447.87,0.0634372
1.84721e+06,1.35694e+06,695594,466416,291926,493082,10577.8,334.158,37428.7,253446,35799.2,27522.3,9320,0.0646636
1.58877e+06,1.11944e+06,531501,441937,314209,415218,8362.58,359.404,22649.6,166023,16157.7,16471,6609.89,0.0666704
1.65261e+06,1.01637e+06,1.10427e+06,840647,465869,724233,19453.8,-1247,46778,499437,42161.2,49344.1,9071.98,0.0683427
1.74221e+06,1.20123e+06,603991,459407,287771,437878,9351.59,-1141.08,48311.9,210726,41148.7,15277.4,7203.21,0.0689002
2.64815e+06,1.58461e+06,1.16942e+06,900516,472140,707258,28002.6,161.463,90568.7,535632,64890.1,47848.5,14359.4,0.0712414
1.84099e+06,1.39087e+06,482661,427589,302991,378472,9406.2,-440.73,64632.9,169774,12909.4,15744.9,10135.8,0.0877418
1.62762e+06,1.18495e+06,592226,433920,296880,451931,6227.41,889.827,93495.2,230576,21735.8,15340.9,5764.56,0.095323
1.54882e+06,1.14074e+06,504481,346391,233288,402669,5052.96,-492.178,165497,211253,17531.7,18216,5096.97,0.0998941
1.77556e+06,1.25991e+06,647526,444705,286970,494358,9146.08,350.567,9918.63,251801,26754.1,15305,11262.4,0.101678
1.70976e+06,1.24265e+06,626260,566210,329328,443589,10838.2,58.7123,12529.4,264005,28316,18919.7,8221.38,0.11684
1.74945e+06,1.22983e+06,792480,550113,365613,601380,7474.9,593.497,23320.5,163529,19131,16934.9,8063.52,0.119293
1.52416e+06,1.12539e+06,513808,352697,225146,374229,8233.32,52.5708,89671.3,177996,16296.1,13861.4,6678.62,0.121411
1.5972e+06,1.12443e+06,685680,501517,303723,482125,8970.67,823.398,332347,193160,24476.9,24456,6566.62,0.121969
1.77635e+06,1.30073e+06,559089,431408,295778,434392,11796.7,-335.466,105604,234426,23579.9,22537.9,6102.2,0.124422
1.87526e+06,1.00057e+06,856396,623168,326607,525983,8396.41,1736.36,50199.8,188506,30814.7,21664.3,9042.57,0.126094
1.83895e+06,1.33085e+06,517880,358615,232577,393359,7448.43,-326.936,427435,169124,9703.3,16613,6173.56,0.126651
1.53375e+06,1.11109e+06,312904,234824,152533,237098,4824.87,-1257.08,35209.6,107993,15439.6,11794.8,5612.45,0.135571
1.56713e+06,1.19087e+06,391061,323386,229993,310861,5614.02,99.4072,22779.7,132378,9698.39,9571.38,5322.11,0.148392
1.71024e+06,1.19756e+06,819928,529379,330666,600236,11097.5,522.269,220957,283563,29109.3,33739.3,8432.66,0.151068
1.71332e+06,1.30625e+06,489558,358936,243638,367320,10777.4,-23.3892,21935.9,216072,15628.5,17819.9,8072.67,0.159875
1.40988e+06,986407,466107,334797,223234,359343,9548.07,-318.72,16452.7,189209,15863.8,19346.5,5922.94,0.164892
1.47454e+06,1.11927e+06,386803,321375,230007,311719,6882.14,-254.922,18039.5,115407,20707.4,11048.8,6518.21,0.166899
1.25489e+06,920681,491552,374687,260104,387537,4609.67,-1076.14,184248,145363,21532.3,23189.5,5330.57,0.177379
1.62699e+06,1.20133e+06,330934,243753,164275,258195,4445.55,-513.589,9648.41,172662,10978,13417,4889.46,0.182507
1.31277e+06,899100,587324,438726,274951,442547,5781.47,-1369.06,76331.7,174548,24834.8,19383.7,7358.65,0.186521
1.78967e+06,1.32445e+06,455973,360066,255311,356221,9347.23,233.453,12904,217373,16105.5,15271.3,6512.8,0.193991
1.89109e+06,1.41521e+06,582672,424593,288684,446474,11785.7,263.744,74536.1,164709,32018.5,19420.3,7854.42,0.195217
1.65862e+06,1.23452e+06,664600,484231,331174,504616,5190.05,1090.9,208204,232236,21478,20637.5,7048.02,0.196332
1.6617e+06,1.16076e+06,614781,488673,327419,457491,8659.49,133.298,26228.6,249001,19964,14494.2,6828.54,0.20369
1.66311e+06,1.26389e+06,412461,274471,187907,322223,7683.34,-363.714,5447.4,165298,16793.6,10255.6,4395.61,0.210714
1.61819e+06,1.12083e+06,681710,404089,257031,488446,8287.91,162.189,162075,216390,23545,26680.8,9731.33,0.218964
1.21419e+06,811910,551881,351243,230427,398559,8081.02,-104.064,10134.2,230362,26404.4,21873.9,6807.09,0.223647
1.50085e+06,1.06665e+06,549971,409752,287047,435371,8777.68,-529.954,20862.7,219511,14380.1,15058.7,7072.41,0.224985
1.6668e+06,1.27157e+06,536410,328247,221596,420496,5958.35,-923.19,56019.2,128999,22591.8,14711.7,5619.04,0.230671
1.7021e+06,1.29341e+06,486742,356143,252152,388575,3332.11,-408.18,103329,151708,7921.64,9474.67,5635.81,0.239032
1.74573e+06,1.21197e+06,799910,682402,433234,578485,8728.04,2884.77,400695,206532,25265.3,21933.5,10313.1,0.256759
1.58631e+06,1.08542e+06,613924,466231,313533,469135,7327.47,661.766,91762.5,108564,21044.7,17411.8,10145,0.262445
1.93294e+06,1.34359e+06,595133,425566,287559,454325,7004.16,-528.693,132263,200586,19003.4,14685.7,7604.93,0.262668
1.87335e+06,1.30245e+06,474857,373523,238087,340989,14082.3,248.799,5825.61,304063,20585.7,23582.1,6928.51,0.265121
1.62228e+06,1.15577e+06,436262,303567,196145,334374,7683.87,-934.736,46560.5,146573,24283.5,13899.1,5130.22,0.265678
1.5971e+06,1.20106e+06,596326,384484,264961,478655,8783.36,-1389.65,401042,228386,28656.8,14999,6875.43,0.267685
1.7202e+06,1.1637e+06,600452,405846,249029,440877,8081.49,-840.051,74385.7,192098,23280.8,28048.1,7807.34,0.269134
1.92742e+06,1.33235e+06,599949,479873,305963,437539,8849.41,482.032,13614.7,235339,28029.6,21519.6,8314.76,0.273817
1.58172e+06,1.17606e+06,556901,351097,247098,438771,6379.69,-1556.19,1.62424e+06,159545,13366,15034.1,7200.32,0.293996
1.77081e+06,1.32917e+06,554450,438437,320779,439012,4468.79,102.354,26028.5,251807,20687.7,15389.6,6570.5,0.300351
1.75057e+06,1.24799e+06,515456,368826,238912,372604,8567.02,1262.77,18993.5,235232,30897.9,27557.9,7099.9,0.30548
1.92444e+06,1.38474e+06,503810,366651,234385,366814,10382.6,-527.654,8843.07,167181,18018.4,17911,8915.23,0.307709
