"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.30293e+06,872013,725358,543989,324175,500557,12180.2,1011.41,1.88931e+06,297503,14798.3,34217.7,10298.1,0
2.1099e+06,1.44265e+06,761121,534312,323262,535845,12487.5,2681.17,1.36484e+06,399780,22892.3,34858.3,14932.8,0.0117319
1.73723e+06,1.11679e+06,680926,474299,279645,473845,18963.1,5362.21,953268,455615,18198.2,41857.9,12413.1,0.0127375
1.341e+06,865367,684760,502668,312675,478242,11081.3,4619.51,235400,351756,21404.3,51585.7,13995.9,0.130168
2.55867e+06,1.51847e+06,1.04464e+06,711197,405496,716847,17525.6,-1134.79,1.73403e+06,222405,22803,25721.2,10295,0.182682
1.6389e+06,1.34527e+06,379958,264218,194044,312231,10229.8,-2465.2,2.10054e+06,137281,11003.3,12226.9,5075.46,0.237543
1.82573e+06,1.21037e+06,521879,369341,238112,397366,11066.5,2232.28,976821,279568,19543,21077.2,8628.1,0.250951
838470,563712,714067,427637,285405,525919,12110.6,1288.46,928032,271508,17132.3,20731.3,8468.18,0.29542
1.63485e+06,1.14228e+06,620165,414968,267905,473314,12378.2,1731.81,1.32073e+06,193538,14287.6,19858.9,6152.1,0.324582
1.73031e+06,1.2926e+06,522694,346443,229934,389633,8366.59,1950.94,964746,173784,16782.4,18085.7,9137.9,0.347599
1.43974e+06,1.10612e+06,349832,248199,172025,270169,9391.15,604.066,699377,136780,9962.86,16120.7,5543.05,0.34961
1.64548e+06,1.24847e+06,492778,304212,207626,379069,10213.5,2149.73,351283,196098,14286.1,18752.1,6692.63,0.355867
2.02833e+06,1.30427e+06,637436,460223,284076,450614,16438.9,4474.28,558962,335752,21625.6,28892.6,13769.5,0.404471
