"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.69011e+06,1.17236e+06,633291,489696,328999,470877,13227.1,5183.34,112719,227789,18819,24873.2,10318.2,0
1.94465e+06,1.4124e+06,501641,390015,259007,372362,15144,4183.03,62215.8,199598,18526.6,19931.5,14274.3,0.00625247
1.78613e+06,1.37967e+06,448056,301595,205863,352748,6819.28,-131.022,415848,151111,8994.56,13704,6285.75,0.0108302
1.63824e+06,1.24145e+06,372561,259628,183095,293990,5072.83,42.4962,78395.7,215498,28983.2,21051.5,7521.41,0.0129515
1.76204e+06,1.32914e+06,430440,234315,153471,320664,11188.3,1581.54,119824,152006,13983.1,15136.7,8819.44,0.0237817
1.45347e+06,1.06662e+06,382757,296862,208061,304646,9694.82,955.483,61455.3,161427,10744.1,14997.3,6037.51,0.0264613
1.57314e+06,1.12549e+06,627456,477922,327342,478969,13606.8,3365.91,122372,177589,12600.6,23627.4,10280.5,0.0270196
1.74511e+06,1.26721e+06,514795,333823,216645,393336,11397.7,2870.11,57762.2,290470,20426.5,35015.8,6537.3,0.0273545
1.64861e+06,1.28946e+06,362936,197263,147158,295457,9944.02,2254.57,51684.9,142771,10833.2,17374.8,6923.34,0.0345002
1.66262e+06,1.19786e+06,606913,408969,282279,465120,11596.4,2525.79,61563,220045,21117.9,25583.9,6295.99,0.0486799
2.02611e+06,1.40423e+06,642546,460303,293401,473903,18999.8,3113.07,65201,233307,22595.8,22267.5,9078.2,0.0510246
1.45668e+06,1.13635e+06,319230,192955,138034,256107,5619.81,-739.709,217261,102731,9791.53,31811.7,7108.72,0.0518062
1.50307e+06,1.13546e+06,434020,278227,201920,350187,4865.81,468.238,226759,177783,14731.6,15627.9,5693.26,0.0560489
2.30553e+06,1.57058e+06,747486,600498,391823,539872,11150.3,3138.66,125410,259895,28051.2,57460.3,9513.74,0.0571654
1.74554e+06,1.21114e+06,380401,290454,179564,281160,8890.75,4155.75,45838.4,204102,18012.8,18705.3,6735.5,0.0614082
1.75806e+06,1.25674e+06,569080,469640,320240,434025,16042.5,2356.22,245758,204592,17594.4,20018.3,8734.77,0.0655393
1.5853e+06,1.1285e+06,507167,359797,244126,392672,8170.92,566.895,200561,161613,13517.4,19631.5,8802.76,0.0770393
1.71689e+06,1.2967e+06,551553,422201,280189,411570,7584.3,1795.78,72942.7,206005,17493,19135.5,6425.73,0.0780442
1.48084e+06,1.04566e+06,644018,465988,304558,487686,7929.76,1081.42,125633,197916,14397.8,17737.1,10764.8,0.0791607
1.87888e+06,1.2424e+06,620372,467207,280818,438962,21556.2,6346.44,84172.9,322545,22091,66161.3,9207.54,0.0817287
1.78615e+06,1.34734e+06,456507,333598,223874,351828,10050.9,2499.5,109577,187444,17920.9,14775.1,10001.9,0.0938987
2.09979e+06,1.54925e+06,345918,249127,183383,286101,3615.13,1579.78,72306.7,134379,19033.1,9683.22,5090.01,0.0998162
2.45148e+06,1.63607e+06,449824,266247,183078,348535,9939.58,2012.9,546529,227966,10738.8,13704.8,8901.24,0.110646
1.86942e+06,1.40622e+06,519069,340548,230431,397369,10439.8,3161.62,167364,172015,13833.6,15762.8,9661.42,0.117234
1.53768e+06,1.02327e+06,665392,471308,288062,463756,15059.9,3053.66,67384.3,239252,26404.8,22269.9,10163,0.125943
1.63849e+06,1.19623e+06,656294,415324,277839,480341,11294,6018.35,203919,240658,26637.3,23910.8,9909.91,0.131972
1.4765e+06,1.04171e+06,513180,325172,214375,375430,16876.2,2595.58,140570,179588,19660.4,23945.5,8127.33,0.144365
1.50738e+06,1.07301e+06,334012,244252,170855,268281,6505.86,984.471,45727,166343,12971.1,14538.5,5530.78,0.159215
1.6447e+06,1.16865e+06,511908,343309,228375,400480,9353.38,2849.93,59628.6,191975,18796.2,17111,6553.58,0.159996
1.52478e+06,1.15126e+06,465223,317891,221415,362744,8773.05,2293.66,104759,156807,17538.3,16066.7,7814.2,0.163681
2.25578e+06,1.48966e+06,755057,564495,348037,530244,10367.4,2698.74,103556,293222,39077.4,23402.5,12257.6,0.165802
1.70259e+06,1.26223e+06,436294,339222,234195,337958,6782.58,4667.24,106404,135376,13430.1,14604.8,5983.95,0.177079
1.59045e+06,1.09153e+06,513995,397241,247247,362385,9669.72,1846.51,83642.4,196159,22773.4,22532.3,7645.89,0.180205
1.43683e+06,1.08325e+06,404431,292735,193700,311853,11750.6,4574.17,61516,218040,15046,24463.5,6487.96,0.183555
1.92178e+06,1.22207e+06,934080,662339,408299,680719,15306.7,1738.27,180117,348130,38894.7,30122.8,10913.8,0.185341
1.48751e+06,929681,757604,514374,273927,489638,12037.8,1509.82,336600,223638,31741.6,59042,10523.6,0.186123
1.89067e+06,1.34072e+06,414553,240960,161276,316360,15278.7,5550.43,33459.4,227335,22506.4,21523.5,9321.69,0.189919
1.72657e+06,1.3088e+06,716839,478535,322455,550465,8764.15,-220.012,621769,257462,21416,41948.2,6328.91,0.19472
1.50045e+06,1.04497e+06,662035,450444,303000,510009,12004.5,1815.43,531093,200170,25149,20902,7205.97,0.201754
1.46433e+06,1.07349e+06,449075,349028,247941,359202,6222.89,377.363,129469,139634,18822,15138.3,7765.24,0.20689
1.57189e+06,1.1557e+06,672513,426510,272111,493823,14415.7,892.994,404845,215293,21563.4,25097.7,7137.17,0.209234
1.39371e+06,1.04704e+06,538400,381840,272953,423704,15071.9,2506.48,118739,222187,22486.7,18908,13165.3,0.21571
1.69375e+06,1.19996e+06,697137,542012,340708,501120,12362.7,823.419,277599,289867,28394.9,23130.5,11410.6,0.217385
1.71347e+06,1.23808e+06,575108,441060,296605,433084,11019.6,2365.67,162615,262750,19530.6,26445.9,7768.93,0.223526
2.1811e+06,1.42072e+06,668396,477141,277894,447868,22366.6,5224.57,96261.7,307147,35381.9,28378.3,9993.94,0.224307
1.93895e+06,1.48117e+06,416779,239281,165136,329809,10989.8,3179.5,63256.3,132649,17990.4,10025,7757.6,0.225535
1.83783e+06,1.25659e+06,1.1824e+06,940099,579683,814018,20364.5,3457.43,243135,371836,45419.1,32473.3,17212.5,0.228773
1.506e+06,1.13374e+06,510079,329754,217770,390222,5763.75,2835.41,477829,131058,12280.2,14967.4,6983.1,0.235026
1.62292e+06,1.19898e+06,515704,350879,229462,390884,9946.48,3349.52,81747.5,243639,20209.2,22875.2,7940.76,0.237147
1.89172e+06,1.32132e+06,497018,363701,249172,393736,8905.84,2158.31,55167.6,133280,28557.4,17787.8,7799.57,0.23804
1.69925e+06,1.27685e+06,528307,384056,262155,415550,7284.42,1180.97,429481,175913,19944.9,15511.6,6893.98,0.239269
1.41536e+06,994165,499416,365370,251989,392679,9103.26,-87.8451,451449,189274,14992.4,18613.5,6930.84,0.252667
1.48127e+06,1.05563e+06,483291,338149,217923,372836,16707.5,79.9996,169877,169609,26533.3,31110.2,7634.44,0.252778
1.7206e+06,1.24228e+06,429187,323166,213363,330586,12178.7,2307.01,85441,190192,20695.8,17266.6,5803.17,0.2664
1.84621e+06,1.34198e+06,459366,365172,240481,346563,11814.4,5108.57,73271.8,215476,12492.6,18342.9,19605.2,0.275778
1.67817e+06,1.25974e+06,420311,279237,197579,326891,11228.9,1409.76,61357.9,171733,17464.5,29151.1,8168.74,0.276337
1.68039e+06,1.14609e+06,539013,409424,271118,407928,14801.5,4225.91,45523.6,235829,17218.8,22149.3,8205.41,0.287613
2.03941e+06,1.37483e+06,673312,383050,242507,491147,13151,4502.97,69506.3,277006,41294.4,25949.2,9265.49,0.29074
1.65884e+06,1.27104e+06,419293,275521,187371,327343,8533.07,1349.15,211352,150467,13888.6,14894.5,7057.12,0.294759
1.73932e+06,1.28446e+06,576656,381386,254422,426651,11076.7,1822.42,110310,157117,28727.7,15235.1,8069.66,0.297215
1.39819e+06,929423,691914,530876,352893,528065,11495.3,6550.74,50492.8,197857,24225.9,16699.5,8239.57,0.300342
1.82715e+06,1.34852e+06,438780,297248,198608,341292,7478.65,2003.71,53581.4,156384,11035,20370.4,6766.02,0.309497
1.60525e+06,1.12831e+06,355098,265313,172578,271904,7178.15,330.501,104594,157022,16661.9,12817.1,5249.49,0.312735
1.63129e+06,990107,697565,473469,274130,477664,19444.9,4144.59,42323.5,380863,39542.5,53100.8,10310.2,0.320774
2.50767e+06,1.64296e+06,825191,637664,382065,565583,21806,5627.07,115435,365102,55539.1,36051.9,14231.8,0.321332
