"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.86573e+06,1.46232e+06,316067,235771,167455,249091,11426.5,3966.51,53189.8,152118,13456.8,9853.14,8800.09,0.0025662
1.4905e+06,1.07337e+06,371381,291916,197410,290866,9613.62,457.914,165399,177981,20794.6,18117.5,5981.34,0.00312407
1.16323e+06,799045,693861,468374,278874,477260,7803.42,2809.56,131557,215333,18115.3,18370.6,12989,0.00758702
1.32762e+06,1.00566e+06,355623,256264,174539,276212,3553.56,1403.26,38604.5,251621,15604.2,12878.5,5726.35,0.0159551
1.83295e+06,1.22814e+06,855691,533365,318017,596111,15118.8,3570.69,109398,315306,42763.8,28708.2,13732.4,0.0217569
1.67583e+06,1.24787e+06,434793,308051,210864,335873,10015.8,3586.34,61303.3,210203,19794.4,19403.8,6200.61,0.0273356
1.80939e+06,1.23262e+06,409168,285043,191911,319232,9422.61,3234.22,41295.8,225820,26982.9,31614.1,7107.57,0.0292323
1.71818e+06,1.12219e+06,420461,314182,205455,319798,5856.56,-116.438,44240.6,145129,23426.9,14485.3,7245.78,0.0305712
2.61739e+06,1.85769e+06,764192,411247,247116,521576,18872.8,5552.68,108832,312015,34351.3,28365.4,12433.7,0.0388277
1.39897e+06,1.00772e+06,494520,380640,272506,393407,10357.4,525.843,196084,171095,20900.7,14445.8,6933.69,0.040055
1.43052e+06,1.03418e+06,510466,396440,270552,388408,10822,2692.34,51726.2,183293,13121.4,13559.7,8617.37,0.0419517
1.87108e+06,1.44391e+06,460385,329022,228535,356150,4385.39,6407.84,106855,120949,11527.3,8664.49,17393.3,0.049204
2.02535e+06,1.4287e+06,704044,506083,334516,519553,12437,3461.77,125285,287672,20924.9,18471.7,12154.4,0.0527744
1.60057e+06,1.06903e+06,509271,333831,221961,408289,10741.1,3636.99,43059.1,228009,21176.8,20782.8,6340.85,0.0531091
1.83693e+06,1.26973e+06,777077,484578,315396,584869,8523.31,2017.27,215102,314727,15522.7,40659.1,7877.39,0.05601
1.54701e+06,1.14476e+06,363056,271382,195061,295367,5736.54,597.551,37779.8,128636,32172.8,9934.27,7017.08,0.0621466
1.63741e+06,1.23617e+06,615352,405660,259115,456133,8599.13,3271.91,890981,160187,19555.8,31920.7,13032.1,0.0737503
1.78051e+06,1.31849e+06,418454,304639,211042,333381,8472.5,1340.96,110992,147162,10844.3,14355.4,10350.7,0.0744197
1.67912e+06,1.19145e+06,611948,342222,219010,441310,13227.7,4786.71,104641,260447,26898.8,23391.9,10050.1,0.0745313
1.84206e+06,1.31968e+06,385373,285069,188069,294650,8836.29,1778.64,90433.3,181534,16742.7,14544.9,7881.84,0.0765396
1.85411e+06,1.36152e+06,393007,311891,226027,316529,4263.9,1035.01,103992,245261,15705.1,12777.2,11543.9,0.0836803
1.71405e+06,1.33467e+06,408845,236570,164573,321625,7131.09,395.628,132126,163376,14063.8,17036.2,7754.73,0.0862465
1.7723e+06,1.32009e+06,334112,237728,165750,267016,7633.31,-60.1204,65343.7,118097,11326.8,9356.04,5910.7,0.0879201
1.90082e+06,1.41788e+06,231398,206705,143842,186309,3229.21,172.234,85022.2,159784,13873.5,4902.26,3230.22,0.0993007
2.26721e+06,1.62468e+06,498002,325494,215368,373123,12558.6,4151.01,45975,212183,19761.9,16447,15042.9,0.100416
1.74918e+06,1.32931e+06,402431,261344,181727,318465,8802.35,1527.95,98984.4,157674,15413.2,12355.6,8767.46,0.104545
1.23982e+06,867898,555596,416884,282639,440091,8748.07,24.2952,351493,185914,28303.2,20145,8558.17,0.105326
2.29538e+06,1.64842e+06,493276,303847,197663,367229,19672,1636.04,214850,170397,22678.6,17810,10810.9,0.110012
2.02747e+06,1.44387e+06,582870,409550,275506,442500,11220.3,5896.24,107094,245102,19151.6,20398.5,9990,0.110458
1.70488e+06,1.08734e+06,687622,467707,285641,493279,21056.7,5923.63,55954.4,305947,31554.9,26866.3,10252.7,0.115256
1.03252e+06,777014,453838,243843,172235,366877,6011.73,111.174,54379.3,109664,13227.7,8400.78,6191.02,0.11983
