"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.11063e+06,865166,455548,328542,251440,387801,4083.92,-64.4056,549115,135738,8326.54,13300.2,5350.73,0.0223934
1.2582e+06,804819,830181,556368,332071,582913,13859.5,1381.75,519618,401259,18918.5,26459.6,14833.2,0.0489295
1.18912e+06,882649,562359,421320,294986,427980,3435.44,478.596,880889,180841,13274.6,12402.9,7217.93,0.0652767
1.51966e+06,927306,793677,559665,339771,548036,8855.43,662.579,916459,177224,46759.1,20886.2,10399.1,0.0857666
1.94517e+06,1.27987e+06,718925,551179,357488,504822,16396.6,610.856,201684,365441,32234.4,29774,12671.2,0.119469
1.82109e+06,1.18597e+06,642202,419568,239454,436591,22277.8,-792.862,448924,387071,24222.4,31875.9,11830.2,0.162688
1.97586e+06,1.31443e+06,936976,637440,392290,640621,20486.7,1886.5,942466,456853,36799.2,38287.3,18881,0.1628
1.51681e+06,805572,1.01918e+06,764702,453551,673801,17246,2359.04,923816,396160,35155.2,36583.3,19500.4,0.204675
1.13375e+06,755362,591588,462970,275916,420001,10766.5,-1689.72,385343,320907,31995,29310.2,8705.99,0.231547
2.14953e+06,1.45044e+06,612115,397739,243908,410193,16239.4,2448.18,377202,444127,27702.4,37825.9,15424.7,0.37744
2.59292e+06,1.66252e+06,846316,560800,292590,516986,39324.3,2394.58,811739,495327,54097.8,58205.6,24146.2,0.395019
1.66948e+06,1.01423e+06,1.05265e+06,747175,354860,584464,26383.9,4141.03,885150,384435,32168.6,52576.8,20828.2,0.40644
1.38678e+06,943730,792849,582189,375288,581650,14549.8,-75.4812,493533,447543,29795.4,30382.9,9066.12,0.417748
2.05477e+06,1.36006e+06,820723,633209,377794,557245,13382,163.938,2.38564e+06,328992,27620.2,31118.1,13768.8,0.436671
1.6964e+06,1.34005e+06,354006,268206,199530,295055,13418.1,-1646.45,605932,227504,19916,12095.2,6534.31,0.442045
2.01191e+06,1.13011e+06,871484,625584,298193,478561,23462.3,5019.13,499180,538422,55913.3,61921.5,24822.2,0.448763
