"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.57018e+06,1.12378e+06,529848,377866,266208,418894,7779.94,85.8886,192826,261607,18469.1,24019.9,6350.67,0.00946415
2.64539e+06,1.54929e+06,1.13513e+06,838783,458432,707433,46848.9,-17.4583,136675,677507,78517.1,82817.2,22104.6,0.0120033
2.04253e+06,1.44947e+06,528662,340096,232145,406134,6161.88,749.869,123472,240938,63834.7,32466.6,12816,0.0125804
1.60074e+06,1.09504e+06,506828,345317,217646,378739,9871.39,2594.91,56801.5,333303,13025.4,24352,6909.16,0.0165046
2.69694e+06,1.77894e+06,631267,493891,288765,425743,39836.9,-388.495,52555.8,312799,39076,25649.5,11687.5,0.0195054
1.85185e+06,1.34215e+06,512701,383683,253368,384338,8043.31,207.42,267863,189525,23693.7,18659.6,7193.89,0.0260841
1.67868e+06,1.31356e+06,444661,296912,204326,350605,4977.11,120.255,212243,185715,15389.2,19869.2,6445.49,0.032432
1.89087e+06,1.18058e+06,870282,639324,336689,551920,27954.7,285.655,417106,391409,46316.1,45093.9,11986.6,0.066249
1.48386e+06,1.1253e+06,643362,428347,296694,500439,14325.2,-351.507,119942,172291,18846.3,18080.6,7912.98,0.0734049
2.01642e+06,1.2828e+06,771585,602462,362504,522069,19688.1,376.364,107973,337618,40534.5,28097.8,12104.1,0.096719
2.02144e+06,1.42228e+06,451289,307605,205948,345812,18843.7,-701.532,46932.5,168387,20657.4,16720.8,10015.2,0.096719
3.09477e+06,2.0062e+06,799035,639041,386830,539970,17381,751.346,57926.4,397301,43829.7,32043.1,12312.2,0.108838
2.34348e+06,1.48979e+06,811666,689401,424164,560418,14346.6,495.032,102526,315425,49592.5,45495.4,13374.8,0.110454
1.85218e+06,1.32272e+06,457037,309092,191060,327280,13065.5,-650.877,29308.9,262428,20623.1,18265.2,7424.02,0.122572
2.22221e+06,1.60318e+06,489369,350977,244741,373193,7871.68,-105.348,25782.8,226248,42844.3,12893.5,15046.4,0.130767
2.37561e+06,1.48922e+06,711796,496772,292777,491337,15604.9,5.88293,44423.2,317285,55474.4,27204.6,11570.5,0.144963
1.78521e+06,1.31013e+06,496851,371933,239815,364510,16710.7,718.001,60958.4,246807,17110.2,20720.2,8193.41,0.151888
2.03317e+06,1.36750e+06,736475,509581,338020,559806,11874.2,-145.365,60469.6,400605,27838.9,47949,8445.24,0.168739
2.40963e+06,1.55269e+06,782296,646169,406524,539961,24623.7,1772.37,104912,272511,19781.1,51429.4,15232.3,0.172548
2.56419e+06,1.69109e+06,738741,537629,332145,508672,13266.7,542.865,95499.7,292783,70383.3,37053.3,13031.1,0.177049
2.22611e+06,1.55588e+06,663522,464043,293629,490548,15081.9,104.21,425512,204386,20856.3,20489.9,9769.96,0.18432
2.25973e+06,1.36059e+06,688688,507676,304253,464752,21623.8,192.956,62092.2,242512,58071.7,24257.6,11113.5,0.188013
2.03646e+06,1.32528e+06,611564,458580,275480,432009,22003.5,-452.565,83916.4,246164,30308.6,23455,9719.13,0.189052
1.88767e+06,1.10761e+06,655886,477818,278559,453228,17293.1,-438.827,42914.8,349484,54149.9,34945.9,9039.62,0.190553
1.59408e+06,1.11004e+06,632417,433812,301902,506952,11888.2,-556.461,205892,179975,23890.7,18244.6,12144.1,0.193092
