"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.56627e+06,1.12682e+06,637367,486387,321841,485541,7713.64,-45.137,107963,125135,28682.3,21226.7,6669.16,0
1.18701e+06,806093,311749,297787,208993,252060,5360.61,-767.597,38842.4,79029,21057,31348.8,4290.47,0.0175814
1.71247e+06,1.1821e+06,517304,353062,233014,400867,6188.67,599.874,9688.11,141829,41578.2,20174.2,6782.12,0.0492741
1.70826e+06,1.20699e+06,727115,511260,329923,556639,4327.57,4145.38,504055,123773,15550.4,25470.4,7464.33,0.0613034
1.99704e+06,1.39423e+06,581327,359377,219166,418938,13704.9,516.785,47327.8,198579,50891.8,51459.5,6445.7,0.0829332
1.64735e+06,1.20371e+06,378352,300858,201281,292911,8073.17,-282.735,11147.8,94655,18930.5,14122.4,6099.08,0.115089
1.66751e+06,1.25419e+06,592469,453532,314332,458010,3301.39,151.335,26696.5,98031.6,38985.7,11047.6,5060.32,0.121797
1.60523e+06,1.04905e+06,563539,463853,277443,397375,18727.6,-1609.57,25320.3,167574,68820.3,49360.9,4574.45,0.142617
2.05382e+06,1.36839e+06,770120,566888,353232,552584,18075.6,4629.96,55725,192412,39552.2,27697.5,8948.57,0.173616
1.92816e+06,1.20067e+06,880216,671572,410306,614096,10696.8,3623.94,18258,225048,41006.7,29133.4,8333.31,0.17778
3.02104e+06,1.7497e+06,1.62591e+06,1.22996e+06,616875,957036,27226.8,3951.52,55590.5,342788,82170.2,53339.2,17479.5,0.181366
1.94106e+06,1.4289e+06,691783,500511,336278,530884,6212.7,809.057,233558,116192,19567.2,25219,7835.94,0.201145
1.30534e+06,889830,627928,457629,282471,459448,7191.56,-408.675,132888,117562,43220.9,32198,4510.78,0.20982
1.24794e+06,856083,280731,245211,154500,204943,10772.1,-844.206,3836.8,102577,20340,15588.7,4297.96,0.218032
1.54323e+06,1.1189e+06,400242,307942,214748,312799,8308,-262.619,6269.57,120304,25636.8,15235.5,5576.97,0.220924
1.29695e+06,853422,652092,547561,348738,469074,7979.93,329.312,21719.1,121163,33771.1,28100.2,7041.76,0.260019
1.43284e+06,1.04213e+06,298528,230224,149248,223978,7865.23,-861.181,57555,86895.6,17242.8,13564.6,4524.19,0.268925
1.77166e+06,1.25611e+06,867536,646465,390625,607718,7167.8,3308.82,54765.1,149828,32951.1,25675.3,8200.49,0.276097
2.00711e+06,1.30922e+06,648184,468475,283267,465475,16155.7,808.169,7340.64,293661,42049.7,30280.4,8272.94,0.280492
2.00479e+06,1.5786e+06,403878,227652,152706,308603,11552.4,147.43,17883.3,203057,17380.1,16415.7,5436.91,0.281765
1.75388e+06,1.11072e+06,563303,520619,308832,395858,11399.7,-225.801,46468.7,187565,48237.8,38013.9,7538.59,0.294025
1.94873e+06,1.45698e+06,497553,376183,260279,390113,4279.87,26.4346,207844,87980.3,27956.6,11624.6,6448.32,0.296339
1.42649e+06,964735,468578,359108,221045,342654,5341.83,269.854,17527.1,114180,30777.9,19899.5,7310.09,0.311144
1.87252e+06,1.1989e+06,862102,667291,389856,582267,10812.9,3619.12,50217.7,235109,36194.7,35245.1,8959.9,0.327569
2.03385e+06,1.21814e+06,1.27805e+06,917615,530254,838272,13585,3329.07,55122,280646,73719,43435.1,16414.8,0.335897
1.24022e+06,855317,425213,345954,221802,323611,6406.87,-420.464,24726.1,97639.4,32805.3,17474.4,6166.97,0.337169
1.20003e+06,809955,704317,506833,312173,499177,7273.93,-582.896,43199,182927,112048,23323.1,9144.84,0.406453
2.31137e+06,1.40767e+06,1.1318e+06,829444,435105,695385,17199.7,1559.72,21737.7,380859,82342.8,45907.2,11077.3,0.453299
1.50744e+06,1.10386e+06,658406,418530,285496,516069,1917.69,-1955.24,2.05482e+06,198432,15337.3,15710.8,8071.9,0.472846
1.07654e+06,692975,455343,381125,233485,324448,8135.52,74.6308,22925.8,105644,20837.7,23596.4,3716.02,0.502804
1.70306e+06,1.34858e+06,389864,260303,172898,288604,3425.98,36.8086,47026.6,75160.6,14305.8,11017.4,5998.97,0.537735
1.71619e+06,1.24803e+06,543516,339464,228068,409991,8152.85,1239.47,6393.74,142157,23563.7,16612,6952.03,0.543634
1.98726e+06,1.32162e+06,642470,461866,273373,446163,16134.8,346.675,26880.3,215533,63813.1,31590,9172,0.550921
1.5795e+06,1.10789e+06,798806,512612,318396,569689,10346.4,-22.3704,194057,160452,35349.8,45222.8,5567.03,0.559249
1.19371e+06,806332,534419,396612,267222,409034,6058.87,897.853,68616.9,135772,20442,21434.5,7307.66,0.567577
1.16696e+06,782010,351271,305271,188768,261984,5806.56,-1611.62,21057.3,123783,56768.7,16310.8,4265.23,0.573592
1.50437e+06,1.03202e+06,636664,538889,344352,478193,2953.23,-421.015,761151,265109,21347.4,16016,6375.32,0.584118
1.30916e+06,901535,484964,367294,235139,365070,6893.01,-879.326,142675,111852,23024.4,24432.8,5573.26,0.587588
1.53295e+06,1.05536e+06,704345,555470,353427,508910,9661.67,767.977,31636.4,146291,30261,24568.1,10115.1,0.624948
1.95983e+06,1.35001e+06,1.01696e+06,726775,451360,721100,12837.1,2313.49,113811,178945,81930.9,51362.2,8691.75,0.635127
1.21603e+06,832640,406847,321963,207579,311882,7508.68,-504.167,23441.2,153180,17993.1,45319,3099.66,0.642992
1.59606e+06,1.19117e+06,582056,321302,206639,449064,8225.21,110.95,13314.4,100926,17792.6,13748,5507.39,0.695274
1.36587e+06,819091,641677,494520,296032,457233,12801.7,2026.38,4017.02,173063,77020.8,25467.4,6051.4,0.723149
1.20503e+06,778525,656226,456535,287029,482916,14034.9,-88.5291,2077.91,199595,37002.4,36809.7,6864,0.761551
2.03777e+06,1.3125e+06,273307,242045,165737,212935,4765.25,1251.51,71624.9,74502.2,16509.7,6246.97,3258.46,0.763748
948033,615879,500907,452443,289343,371454,3498.93,909.739,14414.1,101343,27663.6,13072.7,7161.44,0.768491
2.08052e+06,1.31235e+06,571800,434222,272265,406152,5322.88,-544.743,35824.6,195370,61183.1,21094.7,7922.65,0.772423
1.52316e+06,1.12567e+06,652834,453826,287276,468983,7536.84,30.2039,405558,138317,22448.8,28048.7,6431.62,0.786882
2.10564e+06,1.22374e+06,2.11605e+06,1.66323e+06,919215,1.34224e+06,9713.82,4947.56,30404.1,311096,58646.5,35458,27204.5,0.800183
