"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.98176e+06,1.1858e+06,987651,652063,367976,681047,2546.99,3324.3,1.11983e+06,142783,8063.89,22546.8,6586.32,2.72504
1.59829e+06,887991,1.39438e+06,1.00792e+06,497143,836019,1579.64,3133.02,1.04714e+06,126016,12600.3,17621.2,8024.87,3.01224
2.10907e+06,1.27257e+06,854947,492771,310582,590695,3087.36,6629.78,275327,141982,20737.3,14025.4,6983.73,3.31524
2.20639e+06,1.50584e+06,742644,624858,405828,560981,2803.13,-1681.13,990031,146826,12132.2,19087.1,4041.19,3.36026
1.4725e+06,1.05905e+06,985396,544622,351507,695481,1969.03,3728.32,1.33979e+06,145543,15869.3,20979,8478.73,3.41907
1.5771e+06,1.10661e+06,727103,373528,241722,529873,1661.47,4057.6,60609.6,149297,36800.2,19741.5,7766.65,3.659
1.3305e+06,951529,687630,585228,418948,546998,1425.41,1711.36,919399,112728,13761.9,14612.1,3730.9,3.70717
1.86309e+06,1.42285e+06,438390,267916,197738,350092,1551.8,4944.63,1.79241e+06,85466.8,9876.32,17527.9,4243.21,3.92145
2.24767e+06,1.61026e+06,701854,570162,387689,525923,2038.88,2148.52,205950,151206,19152.8,18500,8060.57,4.40758
2.29363e+06,1.57926e+06,391332,280539,193274,298869,9436.41,6226.24,1.25177e+06,178693,21299.5,21603.7,6318.89,4.45776
1.57316e+06,1.01043e+06,1.2231e+06,885153,525819,845766,4825.98,3040.84,39930.1,268069,34605.3,36375,8283.67,5.26526
1.15583e+06,735162,771498,532398,333521,564389,1974.21,1298.3,1.27345e+06,99835.8,9199.02,16586.1,5507.6,5.73683
1.74063e+06,1.35694e+06,293610,144284,107460,242792,1433.47,845.426,380044,62360.9,7310.22,8412.17,4340.98,5.87819
1.67948e+06,1.16277e+06,604011,404023,271037,468610,1924.57,-480.197,633192,118942,15839.7,16845,5048.9,6.03188
1.50237e+06,1.0233e+06,1.00967e+06,844973,497134,676127,2215.49,2614.59,601659,170171,18885.1,22306.6,8408.98,6.29264
1.06964e+06,602555,1.59059e+06,1.42512e+06,999770,1.20078e+06,3737.37,3944.87,9954.86,160219,25402.5,21982.6,10897.8,6.33061
2.02664e+06,1.31556e+06,411501,257539,164699,310975,1929.15,1285.62,838260,134488,13435.4,18593.7,5367.83,6.50692
1.79267e+06,1.29001e+06,731534,429088,265170,514796,15622.6,4730.03,546818,287974,18115.7,34808.5,11306.8,6.69499
1.28337e+06,948035,535026,270387,199163,435662,1346.19,-203.925,1.03683e+06,94924.7,3102.98,14359.1,4134.35,6.73722
1.24798e+06,844550,591296,470709,338262,477329,1394.11,1972.79,19728.9,115724,11759.2,16946.3,7430.06,6.77642
1.6374e+06,1.13051e+06,550278,414807,268719,418996,2309.49,-407.143,74623.2,162910,23818.2,34362.1,4652.52,6.82022
1.56021e+06,1.03831e+06,860838,563275,342328,607015,3362.09,424.518,1.34308e+06,150724,26221.1,18608.1,8667.93,6.821
1.46427e+06,976740,883205,672407,536212,779939,2452.89,5533.54,227502,109840,14818.7,16918.7,3768.08,6.84845
1.82093e+06,1.39912e+06,507618,386538,280571,407008,1521.27,2434.01,356211,125060,19189,18063.4,5934.3,6.87275
1.35797e+06,1.0009e+06,396550,301488,210803,315405,1367.68,233.512,1.48575e+06,79364.4,14730.6,15593.9,4729.35,7.11179
2.03879e+06,1.3072e+06,1.08781e+06,820597,537794,796930,2693.39,2077.87,2.16484e+06,228941,18088.6,25653.4,9574.26,7.26894
711825,454145,748580,688826,465667,568986,2170.92,3162.27,66217.2,97241.8,15817.8,11630.5,8184.01,7.39697
1.70314e+06,1.25860e+06,483539,355685,258198,397766,5433.11,2312,52072.3,140920,6748.67,20956.1,8434.68,7.49991
1.51657e+06,1.16062e+06,475519,245246,183153,391404,1489.05,1443.84,1.29128e+06,93571.4,3495.26,13876.2,4846.04,7.58426
1.61526e+06,1.00256e+06,939988,751280,501668,681307,1709.08,5720.75,1.09094e+06,140777,19612.8,17663.7,4545.6,7.9912
1.92732e+06,1.42532e+06,474644,239278,155779,357913,1975.45,1714.35,48271.3,98150,12902.5,11547.6,5216.9,8.0005
1.16925e+06,843634,524831,370122,228171,389664,1746.01,-910.776,1.1953e+06,121760,12211.2,10477.5,3638.45,8.00879
1.3002e+06,975898,534670,274221,184046,414909,1940.67,572.429,1.54625e+06,121951,9315.3,17402.8,6194.24,8.11677
2.43587e+06,1.82624e+06,533176,291926,190766,403701,1957.05,2997.66,1.06314e+06,126095,10213.5,16721.8,8798.67,8.16784
1.44275e+06,850560,1.46324e+06,1.19116e+06,861818,1.16046e+06,3951.02,2769.98,17361.5,212971,22063.7,26305.2,8208.98,8.74236
1.13311e+06,748639,580595,444245,281717,428074,2474.99,1720.05,9672.32,160732,17626.8,20060.4,6641.81,9.06999
832047,540165,794354,593090,384617,600054,2552.12,1332.72,18617.8,193165,36943,16498.2,8254.41,9.2211
1.37347e+06,1.09299e+06,253954,167951,126096,215704,1600.97,-991.223,1.21332e+06,53958.6,2656.93,9281.33,2826.21,9.67027
1.9021e+06,1.35774e+06,775994,624390,416912,580144,3017.81,1155.29,947553,118524,14607.5,13766.8,7191.1,10.0805
3.00599e+06,2.0125e+06,476892,284570,194761,355993,4330.77,2413.95,1.39578e+06,195329,27609.2,29423.5,9195.26,10.573
1.56491e+06,1.11334e+06,660989,383764,249606,484992,2256.78,2356.16,43494.5,145434,19720.7,21421.6,7660.16,10.7821
1.47334e+06,1.18072e+06,347171,223581,178687,304661,877.18,-1060.5,1.90029e+06,42758.9,2326.83,6828.41,3862.02,10.9332
1.60049e+06,1.05688e+06,959497,646498,446079,765730,3444.72,2107.87,69519.8,122511,14752.1,21925.4,17922.7,11.1501
2.07448e+06,1.34716e+06,1.15012e+06,618456,344984,730396,2206.67,6405.02,636334,190804,32254.4,41283.4,11782,11.3053
1.1551e+06,861335,511283,275494,209549,423174,1953.68,4764.57,1.34548e+06,107374,8043.32,12540,4308.56,11.7354
1.53615e+06,997476,950692,510479,373831,783672,2114.74,3194.04,646745,183108,17704.9,18770.3,6556.06,11.9036
1.55146e+06,955729,927117,677153,460664,713080,2150.48,355.318,1.1353e+06,160527,12224.6,17439.1,5807.72,12.1301
2.28499e+06,1.69866e+06,402409,291832,205728,322779,2987.33,-515.151,41211.8,319420,66477.9,44560.3,17705.1,12.1584
2.04426e+06,1.49815e+06,1.07401e+06,793579,559718,831693,2578.18,3524.14,1.70358e+06,174674,15413.5,16177.1,5646.59,12.3019
939863,684797,638133,328636,210658,470096,1938.21,5045.09,1.37839e+06,118459,11691.6,15753.7,7241.16,12.4659
1.86107e+06,1.20886e+06,609182,384422,239574,430204,1880.71,1955.76,678986,100566,27555.9,11636.4,6013.77,12.9593
990938,626042,835321,616636,404387,618807,1668.82,192.875,1.22569e+06,110414,12393.2,13834.2,5819.47,13.1795
2.15361e+06,1.45709e+06,633840,553073,419789,518878,2163.96,2268.74,390516,124056,19179.5,22276.3,7073.37,13.3329
1.34837e+06,945660,896102,649425,444733,688920,2137.29,693.122,1.2747e+06,157523,98518.1,16455.1,6694.32,13.7911
1.32351e+06,840492,1.36492e+06,1.07955e+06,590882,878334,2134.7,2925.54,1.18428e+06,165582,37111.9,20599.2,9408.13,13.9768
1.39388e+06,954011,1.02666e+06,762926,551098,826239,1718.67,2480.37,629079,115369,8935.66,15936.9,4874.17,14.0422
2.54281e+06,1.63358e+06,579078,432543,259290,424365,3175.93,283.866,246828,270513,47987.7,33347.3,7698.65,14.6064
1.43217e+06,1.09293e+06,488440,238044,168158,396319,1342.46,2862.17,1.41311e+06,103480,9626.92,11989.6,4447.29,14.8312
1.2844e+06,925680,595140,353972,252050,464996,2182.07,1210.83,1.30213e+06,136946,10107.5,14704.7,6484.42,15.0255
1.59693e+06,1.05756e+06,867633,588567,352737,609237,3206.52,4500.74,1.29594e+06,198782,28795.9,20106.1,7530.8,16.1098
1.79876e+06,1.08909e+06,659208,461196,286530,477009,1777.6,4310.11,217113,116809,24707.5,25147.5,8637.26,16.2582
2.00416e+06,1.31018e+06,1.00979e+06,762182,450592,694099,1478.84,3830.9,1.31555e+06,136370,16131.8,21826.3,12202.5,16.8549
1.31805e+06,713532,1.35779e+06,1.07611e+06,581626,860669,1987.78,4602.48,986624,87109.3,12285.7,11047.9,3271.79,17.3864
1.21193e+06,862840,660773,489418,356334,537589,2080.34,693.224,895869,125373,9672.01,11661,4780.04,18.131
3.18802e+06,1.9695e+06,763498,537430,317822,544381,1320.77,4800.07,1.68046e+06,107920,14428.4,11865.6,17807.1,18.1878
2.01868e+06,1.47499e+06,575403,395420,290078,470014,1516.52,1084.48,2.96404e+06,85573.3,17875.8,21664,5114.44,18.414
1.12119e+06,755944,528102,419070,260230,395380,1693.29,5139.24,15034,94823.8,15921.8,14020.2,5031.45,19.038
1.57697e+06,1.05487e+06,600475,335371,219542,453244,1613.1,458.097,1.66308e+06,123968,24327.4,15886.1,8251.33,19.1325
1.30592e+06,938805,477653,313928,216334,371499,1336.92,2789.47,17336,107913,24991.1,13710.8,4936.93,19.304
1.21403e+06,785773,918441,749174,454932,631930,2422.8,4560.33,329743,144574,28625.9,15975.3,7520.47,20.0371
1.19444e+06,865686,442100,372735,276953,358418,1611.86,-361.699,1.28614e+06,93458.3,8577.32,11252.2,4440.8,21.2036
877281,703937,216537,126593,106530,195712,3088.29,1388.33,1.62071e+06,-1394.19,-504.047,423.756,17388.2,21.679
2.3396e+06,1.71738e+06,675224,399632,262259,504486,2426.85,3849,1.83295e+06,128631,14841.8,16538.4,8947.14,21.8923
1.2474e+06,888146,256145,128729,99817,208092,1253.49,1241.67,556435,55715.4,5667.67,6053.37,7750.14,21.9773
