"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.30762e+06,855977,1.14795e+06,910557,582089,789353,2216.11,3738.39,1.36953e+06,182133,24068.7,24717.5,6767.47,0.0917577
2.10407e+06,1.48236e+06,500854,262417,200230,419594,2589.47,1337.64,745459,234030,27519.2,16988.5,7264.06,2.44945
1.47434e+06,1.01766e+06,413388,318909,241545,332728,2342.72,527.96,1.38343e+06,91138.8,14571,20116.4,6105.07,3.39067
1.66478e+06,1.28267e+06,383910,247930,203296,345123,1454.23,84.1054,1.03171e+06,61537.4,3224.4,8234.55,3633.88,3.73451
1.12018e+06,705197,651990,457298,279294,471314,1602.96,1885.22,259133,151078,12632.6,14215.8,5454.63,3.91578
744358,499312,528988,290344,188988,384951,1420.29,4406.3,226058,74877.9,23253.9,11284.4,7270.23,4.10647
1.24761e+06,736912,509016,448781,279371,357183,1568.29,4613.14,259194,102842,16243.6,14480.2,5729.85,4.1245
1.28484e+06,966279,679638,602060,444089,542915,1550.15,5354.81,1.61122e+06,100740,10161.1,13269.4,5327.4,4.30264
1.58038e+06,1.19003e+06,481320,316141,223287,381028,1565.05,-489.699,1.626e+06,85214.4,14174.5,10445.8,5366.79,4.45423
1.44366e+06,992570,764277,555843,368197,590509,1836.03,167.948,1.90037e+06,119132,10549.7,15389.6,4513.36,4.68592
1.47547e+06,915528,1.05487e+06,806729,593557,865046,2237.81,4307.05,309982,138415,15854.9,12570.8,5124.84,4.90697
2.05925e+06,1.44863e+06,383634,192229,137083,299279,1668.97,923.263,398996,77648.6,8261.19,12204.2,6070.11,4.924
1.41774e+06,912730,540355,476427,289805,373087,2452.84,2061.08,34619.7,133324,17547.2,17214,8243.6,5.71127
1.75856e+06,1.27149e+06,548261,366316,266163,444541,1340.11,1368.98,1.57233e+06,97504.3,4428.38,15571.9,4801.85,6.21947
1.33718e+06,1.00522e+06,741992,537434,347581,554617,1804.72,2525.03,9309.84,108053,37937.7,27926.5,7637.12,6.42954
2.37053e+06,1.5396e+06,481793,310460,216258,378168,2727.05,707.652,1.34641e+06,161970,22817.1,23222.4,7035.3,6.62
1.78458e+06,1.39501e+06,355648,165888,123646,301413,957.049,1387.32,1.66062e+06,61384.3,5024.32,20743.5,6234.39,6.76957
2.10197e+06,1.18466e+06,764459,582839,337990,521420,4191.11,809.018,1.56654e+06,214939,20985.2,23230.4,8757.48,6.88261
1.19894e+06,784687,949725,691763,433019,679120,2761.27,1370.67,274659,138240,18344.1,15247.7,7810.24,7.01392
3.04415e+06,2.1044e+06,675102,486523,302454,476311,2726.89,4675.16,1.54599e+06,221417,25427.3,26445.6,14283.2,7.36571
1.68325e+06,1.14173e+06,524125,401766,274062,404603,2115.45,4291.89,86444,144470,17813.2,13926.7,7015.69,7.68793
1.82079e+06,1.25385e+06,863228,566310,333166,592088,2321.23,3701.89,319253,159036,19157.8,17100.1,9846.83,7.93363
1.76933e+06,1.16844e+06,724904,649207,455720,565284,1788.9,2585.51,18396,119497,19822.3,16857.3,6787.15,8.37684
1.35436e+06,931017,326849,253656,180414,263552,3188.91,-360.642,412350,143553,12686.1,15927.9,3834.73,8.63139
1.34181e+06,1.02787e+06,517069,431256,308445,409369,1370.61,118.483,1.61137e+06,94794.9,10921.1,9302.73,8128.42,8.82263
1.4697e+06,1.06032e+06,441021,376257,273147,351075,488.786,1488.77,504360,85996.7,5088.75,14904.6,5994.52,8.90117
1.44958e+06,1.16926e+06,454038,231387,169859,375405,5176.26,3114.56,253307,96760.1,14154.8,18782.5,6920.3,8.96178
2.49265e+06,1.77244e+06,339792,188375,130585,260590,1548.75,1796.95,1.64581e+06,74083,22584.5,19072.8,8478.09,9.40388
