"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.13529e+06,803050,619303,452203,321613,491171,1900.33,-708.79,1.35022e+06,126679,29048.2,15965.7,4780.1,0.0146239
1.49139e+06,857912,1.29967e+06,950399,505049,831513,5899.1,4622.6,469292,385922,43962.5,65419.5,11722.9,0.340174
1.28749e+06,879947,590108,405012,262820,441455,2561.78,-258.552,1.52221e+06,163964,21193.8,31309.4,5563.42,0.35851
1.63338e+06,1.26625e+06,410898,358658,271973,335019,7652.79,416.643,486310,110506,16724.2,16420.9,4460.45,0.467739
1.24223e+06,797926,654085,456350,287999,479530,4514.58,1975.37,250261,200576,38208,30596.6,8315.88,0.514086
1.19121e+06,819361,885875,655833,375249,603852,5665.55,2011.44,623485,247870,31018.6,35885.1,11864.6,0.627702
1.57667e+06,1.14954e+06,558288,419659,304931,448130,2612.65,-1286.81,2.16823e+06,161375,12733.2,19396.1,6261.95,0.682598
1.45382e+06,1.07972e+06,387175,241832,170000,296781,1278.88,692.567,1.99082e+06,95583.7,11173.9,14325.1,6168.03,0.761679
1.11698e+06,633235,1.27691e+06,930712,582910,906111,3433.35,935.802,1.8319e+06,240088,48063.5,42061.5,14915.7,0.949877
1.64641e+06,924667,1.24534e+06,879496,473545,771916,5853.26,2068.89,1.1627e+06,529401,37618.5,54675.4,15072.2,0.995211
1.02965e+06,697280,568592,429258,285783,446529,1554.52,-977.48,1.69697e+06,91206.7,17039.1,16671.1,5415.88,1.01265
1.45674e+06,1.02776e+06,650777,388431,240978,484733,2310.24,369.42,1.76791e+06,180066,27220.1,24668.3,5861.9,1.01445
1.13117e+06,730732,827273,624979,389874,588601,3206.16,6022.81,966650,346355,34084.1,31419,8999.05,1.04279
1.50497e+06,996640,801394,508509,315920,601627,2932.42,-364.275,2.12116e+06,174340,26159.1,21858.8,8010.99,1.07182
1.31601e+06,975019,475445,335490,229062,375765,1864.94,322.701,1.12856e+06,101377,9229.52,19415.3,4964.23,1.07452
1.1405e+06,753872,758784,561188,348428,545086,3845.52,-1441.13,1.67319e+06,286005,28959,25450.8,8162.82,1.09825
1.09126e+06,680986,868869,636608,399244,636497,3306.51,4550.1,2.13648e+06,273337,23355.5,21555.4,7284.03,1.3103
1.41996e+06,914208,1.26879e+06,874829,564236,913248,2564.18,1737.39,1.71273e+06,180699,33723.5,27204.7,11457,1.33179
1.87009e+06,1.24647e+06,1.19223e+06,794046,497626,843979,4696.32,2737.09,2.0135e+06,342050,39698.7,46849,13227.8,1.38747
1.20226e+06,797058,811130,529289,349046,601218,3280.02,708.733,2.11211e+06,195101,22153.4,26178.8,8575.62,1.65869
1.01661e+06,695227,695227,516407,371741,555161,1443.63,1937.26,1.73451e+06,86986,10215.5,20791.5,5438.68,1.66622
1.4101e+06,992638,850624,556672,343882,587730,3868.52,2089.19,643712,216076,36338.2,34865.1,9714.54,1.70897
1.2256e+06,802160,679279,493509,270840,443550,2961.99,327.194,1.42217e+06,215938,27622.9,29937.3,8048.03,1.74857
1.70798e+06,1.15071e+06,1.08071e+06,775402,499452,788815,3825.16,1526.07,1.98728e+06,283777,36459,40226.4,11813.6,1.80054
1.64606e+06,1.0553e+06,1.02241e+06,712543,389160,670460,3265.83,618.489,1.55661e+06,421905,28475.9,40214,9758.72,1.94554
1.54159e+06,1.04567e+06,747019,552676,349823,554558,2885.12,-534.18,1.88599e+06,192909,29840.7,29433.3,9052.27,1.99987
1.54891e+06,1.03005e+06,1.15002e+06,825054,521834,840827,2975.84,3441.28,1.91694e+06,240288,30511.8,42993.8,14522.3,2.16118
1.20499e+06,886345,731048,474951,295673,529526,2315.37,3892.19,2.23456e+06,232053,20001.9,21323.2,9886.01,2.19268
1.15087e+06,760531,653029,511944,358154,490947,2828.48,-865.127,1.60131e+06,163230,16505.2,28819.1,5844.71,2.32632
1.55093e+06,1.06572e+06,1.00472e+06,576528,360003,730878,2698.08,2773.61,1.76108e+06,219442,11065,33987.5,9182.38,2.45985
1.36268e+06,949253,572964,380409,264209,444870,1893.2,883.334,2.47618e+06,180865,24372.5,26040.2,6287.51,2.49191
1.7882e+06,1.12518e+06,1.05365e+06,770492,446018,706146,3476.05,1218.45,2.66395e+06,360295,39461.3,42480.2,12637.4,2.52914
1.04312e+06,712032,626294,452578,326075,516514,2150.1,-794.93,2.01919e+06,106688,18104.9,15312.4,5508.44,2.54534
1.2842e+06,889975,688018,431710,275471,493882,3740.84,2544.3,1.816e+06,286256,27716.3,25484.1,13177.5,2.55749
1.34883e+06,834093,828082,524884,354712,596505,2662.39,2715.69,1.7766e+06,203991,29130.4,28163.7,9931.3,2.58269
1.19848e+06,761488,718051,563938,359367,523026,1816.33,1711.52,1.9768e+06,182570,10261.9,23688.2,6435.79,2.62499
1.7929e+06,1.16605e+06,982275,681496,435073,707195,3617.08,2723.24,2.26453e+06,347467,28780.6,35305.4,10996.3,2.64962
1.2795e+06,842196,877865,598739,371961,625443,3294.79,1057.27,492886,232505,48187.5,29268.5,8527.55,2.7584
1.46608e+06,1.03757e+06,377037,311012,212253,281371,5249.6,2624.05,441362,127497,21271.7,15902.9,10330.1,2.82837
930027,607633,1.021e+06,660405,445416,787734,4384.55,853.859,995814,297584,23873.8,31635.3,8504.6,2.94637
1.06273e+06,631514,1.23017e+06,980677,597706,855907,4748.72,1745.75,948001,450238,42638.1,52048.9,14560.6,2.99621
1.1832e+06,633966,948556,533193,261897,556347,1994.35,2461.55,1.88365e+06,181493,31624.2,33432.5,10277.7,3.01061
1.32206e+06,940480,618598,294958,193909,477410,2111.44,5780.07,1.6355e+06,154829,19864.5,26773.4,6696.21,3.02208
1.27403e+06,764380,803490,552328,355065,609433,2731.78,35.5087,1.72677e+06,177768,18288.3,26786.7,6767.38,3.02939
1.21592e+06,873183,1.04391e+06,782551,561872,845328,1943.65,375.303,1.87143e+06,176223,22069.1,23111.7,10897.2,3.03378
1.14108e+06,714273,1.25091e+06,858989,514169,848047,3676.85,1972.26,1.26586e+06,337939,35014.7,39581.8,12044,3.06381
1.61318e+06,1.17114e+06,835075,648673,427511,624466,4023.89,4128.78,1.04042e+06,407006,23731.3,39627.9,11412.7,3.12557
1.29512e+06,771245,1.28019e+06,932699,553185,861798,3035.97,-409.795,2.38529e+06,294477,27833.4,33162.9,12761.7,3.20758
1.08826e+06,710854,848500,470481,291262,591450,4894.19,5976.27,420456,166798,19345.4,23328.9,10934.7,3.2375
1.28949e+06,802985,1.44423e+06,1.06268e+06,641710,981576,3646.81,2345.33,1.84521e+06,323483,47842.1,36254,14377.3,3.23953
1.02207e+06,639284,711525,518718,358848,551794,2217.64,-1241.5,1.6641e+06,161920,15627.7,17540.8,5639.23,3.31186
1.97306e+06,1.22744e+06,829983,628455,362015,549014,18538.9,6678.94,974083,256294,16909.3,39479.7,18375,3.35505
1.3184e+06,956758,761110,528233,369538,607537,2256.21,-969.648,2.09564e+06,177157,19710.1,20876.6,5706.44,3.3645
1.43109e+06,829114,1.15373e+06,740788,443801,793819,3410.4,1292.23,1.87793e+06,408332,41637.9,42312.4,11631.5,3.39578
1.15163e+06,724639,974145,531602,340665,719522,3053.31,5654.29,847181,250923,39229.2,33447.3,9480.04,3.47013
1.28254e+06,867330,896302,719399,519875,701364,2509.98,-62.6572,1.54964e+06,287281,24075.5,24026.6,7012.39,3.50962
1.13217e+06,701060,816841,592773,362527,566679,2336.49,2634.83,861696,269116,21541.6,36446.9,11290,3.53088
1.44688e+06,950239,710034,523289,377946,577142,2161.69,150.491,1.58038e+06,145049,18525.1,17763,6790.56,3.58577
1.1814e+06,885627,487295,320943,217089,370908,1961.1,-328.916,1.58689e+06,113808,17804.4,15677.1,6792.19,3.64584
