"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.86872e+06,1.58985e+06,705242,249462,175257,154539,680439,240209,623112,3033.32,-4844.6,1.83607e+06,9359.33,11547.9,2867.32,309.195,10.6254
1.88128e+06,1.65864e+06,680539,201009,113013,100730,673164,189813,635391,2962.99,-1586.37,1.66384e+06,10289.3,9165.06,3843.73,806.059,10.6649
1.6593e+06,1.45492e+06,684284,272533,174903,155636,674277,250093,653835,2379.2,-575.619,2.32405e+06,10009.1,10300.3,3773.5,2053.54,10.6684
1.92237e+06,1.79774e+06,641595,183299,96121.4,88471,651884,173089,635392,2695.49,-1277.03,1.89967e+06,8160.3,6291.53,2659.12,986.723,10.7313
1.8476e+06,1.70586e+06,649854,145547,86139.6,83900,616016,137057,637167,2619.82,-2276.6,1.83191e+06,9065.37,3770.06,2371.04,754.33,10.7408
1.64489e+06,1.46486e+06,673739,226648,105846,95737,663355,214069,635256,2842.81,-435.947,2.42708e+06,6697.45,7747.53,2357.98,1110.5,10.7446
1.81617e+06,1.65687e+06,657686,153914,101989,96505,634096,146224,631555,2255.57,-1810.21,2.08072e+06,7390.97,6755.68,1333.15,598.225,10.7664
1.74921e+06,1.58052e+06,664039,221115,145980,141561,618728,212455,624458,2438.79,-4076.71,2.06413e+06,9910,6423.02,1971.85,90.4159,10.7736
1.49528e+06,1.2867e+06,697266,303879,206542,181704,682016,281506,647686,1532,705.033,1.55201e+06,18679.7,6511.92,3345.41,1538.42,10.7835
1.78277e+06,1.64849e+06,648872,174351,80798.4,76566,633166,164860,634543,3872.63,-1050.07,2.31911e+06,17238.7,7966.41,3642.33,125.009,10.8074
1.75869e+06,1.62856e+06,647943,236731,206261,213779,578899,231001,614882,2478.25,-1532.78,2.18664e+06,9534.28,3731,608.314,1086.72,10.8278
1.70242e+06,1.545e+06,661135,222123,179036,177808,604144,216508,615560,2083.4,-2257.47,1.60944e+06,8938.37,5685.75,2945.9,837.395,10.8374
1.45759e+06,1.27667e+06,685029,219038,117779,107928,654762,209843,626291,4819.74,23.5502,1.91918e+06,32865.2,5783.35,3574.89,566.571,10.8433
1.91134e+06,1.69000e+06,678580,216299,147322,141836,623209,209248,620217,3775.17,-7053.41,2.0455e+06,12117.4,7898.31,2675.8,0.967773,10.8642
1.83916e+06,1.69467e+06,651157,164937,95711.8,86542,663574,156202,633552,2347.72,-2058.89,1.54679e+06,10621.8,7589.58,3682.27,594.095,10.8695
1.44263e+06,1.3029e+06,664348,174817,107363,103006,625379,163471,641644,1581.25,-1963.65,1.42136e+06,10641.9,5069.06,4653.74,932.779,10.9064
1.69105e+06,1.53912e+06,659225,218851,115337,106495,649814,202463,648565,1756.25,-2622.05,2.24854e+06,8681.85,5119.83,3658.49,275.605,10.9141
1.86629e+06,1.6161e+06,692887,218509,124688,115267,649037,215010,609764,2960.07,-6381.56,2.27236e+06,5678.68,8088.57,701.427,706.828,10.921
1.61888e+06,1.3817e+06,702996,220624,141349,131508,644900,210139,629937,1828.69,-219.193,1.70108e+06,8342.96,6351.21,1969.33,1191.45,10.9784
2.06153e+06,1.80683e+06,684580,289040,159191,144113,662774,272457,636519,3333.54,2660.55,3.20146e+06,18476.7,6124.58,2077.94,766.711,11.0205
1.68345e+06,1.54959e+06,651830,235794,153530,137454,670175,217136,651557,2583.68,-2404.25,1.78967e+06,6787.85,6557.23,1289.83,1252.35,11.0244
1.85831e+06,1.61627e+06,689849,191754,141720,131338,647427,177873,646823,3608.52,-6366.34,2.23648e+06,8685.63,4574.3,2754.69,-40.3597,11.0292
1.84077e+06,1.58459e+06,697004,213878,141193,126275,670884,202723,633014,2785.83,-2240.17,1.74353e+06,12702.5,5765.58,2589.1,1088.93,11.0359
1.83962e+06,1.57433e+06,701106,200875,143911,123816,697380,185713,648987,2808.82,-5950.94,1.78185e+06,8295.38,5501.67,2476.97,440.954,11.037
1.82617e+06,1.58604e+06,690838,296651,169403,149234,681091,279894,635921,2426.54,-935.592,1.99669e+06,9409.86,5142.48,2965,935.323,11.0626
