"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.55949e+06,1.15184e+06,812346,602422,317767,221401,861153,462713,781161,11779.3,2197.84,25046,31854.9,13753.4,13526.6,4356.99,10.7213
2.09436e+06,1.46185e+06,859607,586341,510582,364937,839458,453808,775228,9746.03,125.006,14321.3,81799.7,20287.4,12609,2856.87,10.7284
1.56292e+06,1.23479e+06,759442,331701,203709,159880,764483,288203,690558,4376.63,114.275,80244.1,14957.9,13241.6,6748.07,1849.89,10.7317
2.56775e+06,2.0697e+06,744382,341599,245253,208872,704506,304507,673086,8143.69,436.847,10823.3,72381.8,7847.27,5047.56,3172.63,10.7443
1.90508e+06,1.54178e+06,741386,464726,395715,301122,788481,381189,731489,8406.08,-317.892,101141,40297.1,9302.56,12591.9,4083.09,10.7446
1.62149e+06,1.21982e+06,797572,663206,557233,431920,774078,549207,724542,14776.7,1785.53,7696.69,127314,34485.9,14715.1,3214.96,10.7523
1.62839e+06,1.38494e+06,705471,374288,266172,215820,739983,322905,695476,8276.64,-740.323,10129.1,56133.1,9637.45,7285.57,3641.48,10.7594
1.63716e+06,1.20992e+06,811866,410758,223466,168072,797750,335898,733719,3985.69,17.3772,42340.7,107130,17238.7,8985.84,4198.24,10.7634
2.08341e+06,1.73377e+06,721001,339807,278907,236367,707986,299405,680964,4285.33,1232.06,15677,62939,5996.89,6182.92,5366.54,10.7646
1.5721e+06,1.1883e+06,793792,477883,399776,311620,769738,389871,735448,8404.19,1584.45,17718.5,90150.2,32873.6,9474.59,2635.17,10.7776
1.41260e+06,1.10616e+06,766224,376851,326763,260860,751583,318702,709474,7506.35,472.697,17101.8,76525,6559.79,7608.29,1299.56,10.7897
1.49718e+06,1.0851e+06,827853,683928,411204,300383,821359,566783,724011,8901.42,29.8197,26846.9,66015.7,12020.1,11849.7,5848.04,10.7944
1.35721e+06,995490,818014,535403,267619,197885,811439,428650,749426,12743.7,355.319,16764.5,65024.5,16273.3,10802.7,2403.35,10.7956
2.63076e+06,1.79257e+06,880555,581700,393858,288113,820216,476848,731932,13464.3,98.0785,18708.4,140588,26208.7,17638.2,6899.41,10.7993
1.85069e+06,1.151e+06,964743,780967,674081,442411,914192,578744,809650,14614.9,-16.416,3270.4,175555,62442.4,25186.1,5268.59,10.8057
2.32121e+06,1.67182e+06,833059,655784,552392,391311,846987,501039,785309,10268.4,-370.149,39230.5,118181,14486.9,14733.9,3253.95,10.807
1.98986e+06,1.49217e+06,800122,582576,480092,381058,755935,468026,746850,22311.9,1185.27,45006.5,283655,47239.1,13331.9,3424.97,10.8082
2.34248e+06,1.79759e+06,781873,308533,244891,189674,774670,259674,712893,5731.05,-1611.4,21599.9,105001,28940.8,15304.8,1335.66,10.8177
1.41406e+06,1.04952e+06,808402,705242,488935,344589,851336,553338,764714,10242.8,-408.104,173821,40967.1,28628.1,16163.7,2924.72,10.8286
