"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.98352e+06,1.62095e+06,734207,279292,209417,172612,727936,239685,699148,3224.49,461.849,2.21018e+06,37679.7,13661.9,4140.32,1864.13,13.1424
1.41147e+06,1.19073e+06,711230,235161,135961,116355,701099,217362,649132,1932.27,2727.27,1.7222e+06,12629.1,19644.9,2668.97,1304.6,13.1597
1.73694e+06,1.46882e+06,709522,218856,179615,161517,667229,201134,652866,3500.91,-1644.96,1.74939e+06,12354.2,14686,2263.57,1638.6,13.1634
1.69144e+06,1.43081e+06,709293,206047,154688,128540,722053,182785,676357,3315.88,-7.27869,1.27955e+06,20409.4,20623.3,3069.97,1872.24,13.2034
1.69684e+06,1.48253e+06,686736,237438,133996,109078,737065,214318,664726,2848.17,2066.3,1.77947e+06,13330.7,10943.7,4911.36,1616.29,13.2861
1.93069e+06,1.53569e+06,754327,336555,203538,164762,741208,291372,693041,2733.62,1525.78,1.44949e+06,8945.9,10824.4,3582.77,1517.91,13.3243
1.81339e+06,1.47402e+06,738140,322507,341488,327228,626147,314366,615538,2725.98,-1677.44,1.21494e+06,13797.2,16870.5,4366.7,941.494,13.3703
1.59514e+06,1.29004e+06,741904,323673,243230,199776,730507,285913,679240,2168.47,2756.54,1.57272e+06,16487.5,19516.3,2954.03,2229.07,13.3778
1.83428e+06,1.59757e+06,688902,227355,153347,137411,669584,210312,648622,2721.24,1340.14,1.71132e+06,15616,11742.9,2133.06,1338.75,13.3782
1.32615e+06,1.06761e+06,745296,490898,492093,429143,688013,446914,659050,2671.34,2173.09,1.60559e+06,14211.7,13466.8,3535.77,1944.51,13.3846
1.31139e+06,1.08824e+06,723035,283436,164082,135025,729119,256747,662369,1162.43,2675.68,1.28202e+06,15225,18893.4,3404.44,1487.82,13.4127
1.96616e+06,1.58717e+06,743271,384777,251824,203883,741084,348963,661579,2190.12,669.275,2.52308e+06,19527.9,13451.7,4011.77,1561.71,13.4182
1.64243e+06,1.42626e+06,690943,217508,197812,168103,706040,195818,666459,2438.74,-122.787,1.23438e+06,12655,12869.9,1989.56,1501.89,13.4793
1.66921e+06,1.45795e+06,686942,278445,174786,154206,680074,263379,634321,2188.71,1135.86,1.50251e+06,10303.7,6809.47,2597.92,2133.93,13.4821
1.54521e+06,1.32612e+06,699126,159156,92158.7,82129,673273,145014,658512,2271.72,741.44,1.7716e+06,9826.54,11642.6,1958.01,999.506,13.4975
1.42884e+06,1.22876e+06,697697,178206,124781,104267,718049,158022,676639,3593.99,-250.227,1.41159e+06,17837.4,10938.6,2851.56,1517.85,13.5513
1.63178e+06,1.37545e+06,711816,248163,168357,143088,705959,229286,649399,1573.61,2632.88,1.87204e+06,11815.1,9940.55,3273.56,1885.09,13.5555
1.48913e+06,1.18206e+06,755864,262095,134427,110389,730652,235531,667669,3661.81,1830.68,1.509e+06,8230.63,17229.7,3311.46,1567.22,13.628
1.667e+06,1.45573e+06,687078,232714,155847,139766,669035,211063,661549,1963.1,-558.716,1.54184e+06,13620.8,14408.6,1881.64,2934.58,13.6529
1.50675e+06,1.32242e+06,683633,224038,142650,121617,703765,203564,660347,1875.27,2836.19,1.6834e+06,21590.2,936.239,3010.41,1700.8,13.659
1.41064e+06,1.15103e+06,735331,373133,254522,220026,694070,329775,678887,2000.39,2927.18,1.39864e+06,12986.9,11309.7,2892.23,1710.62,13.7059
1.45434e+06,1.19489e+06,730280,217063,121955,97337,751748,185587,701763,1969.49,3537.07,1.64329e+06,17099.5,12607.5,4858.95,1923.74,13.7288
1.75057e+06,1.44662e+06,726068,214745,163783,145042,677525,199877,644632,2470.82,-827.215,1.41141e+06,8850.5,15847.3,3297.34,1572.51,13.7472
1.25986e+06,1.05945e+06,713503,206703,94743.7,84542,672402,192866,643046,965.264,4649.55,1.88958e+06,5552.67,8501.53,3118.19,1330.83,13.7677
1.70513e+06,1.48866e+06,687245,212826,115581,98754,702234,187118,682434,3349.67,1709.15,1.59091e+06,12800.8,11583.5,3448.59,1838.83,13.7847
1.79024e+06,1.5613e+06,687979,207571,155853,141868,659148,189494,657239,3249.35,109.046,1.19726e+06,9616.63,11360.1,1915.26,1366.96,13.7894
1.83314e+06,1.56898e+06,701020,267738,210127,195990,643279,252501,636207,2966.3,3020.14,1.61624e+06,11929,11264.7,2933.96,2868.87,13.7926
1.59454e+06,1.29731e+06,737466,280611,189353,163971,692876,258384,651614,2152.33,-1509.27,1.36163e+06,14290.4,11125.3,2803.86,1440.15,13.8086
1.55752e+06,1.36712e+06,683564,239574,127197,113890,670103,217032,662319,2991.98,1783.82,1.83522e+06,13348.2,15335.4,2674.12,951.756,13.8169
1.62128e+06,1.34886e+06,721180,274598,210532,181160,697278,255563,644691,2873.32,-1532.72,1.35221e+06,16332.5,12271.4,2862.45,1343.46,13.8496
1.68449e+06,1.43939e+06,702168,218686,161705,139220,696902,197342,664895,2020.07,1513.04,1.1711e+06,10498.8,7938.16,2805.16,2055.13,13.9342
1.79455e+06,1.49579e+06,719840,396378,352610,287201,736647,318095,747659,2851.41,-669.463,2.26244e+06,11382.1,14408.6,2893.65,1689.54,13.9343
1.72226e+06,1.39661e+06,739901,228691,156676,125526,748893,207047,662722,2794.27,3464.02,1.49742e+06,14921.8,11528,4111.44,1344.08,14.0543
1.55182e+06,1.30738e+06,712178,261146,154926,129816,716058,246235,636333,3073.19,2398.65,1.64058e+06,9377.83,7006.98,2105.77,1845.51,14.0811
1.55925e+06,1.34383e+06,696179,295081,207154,180176,689840,274806,644268,1869.09,1821.44,1.31471e+06,14949.7,7640.45,3511.43,1771.22,14.1332
1.3829e+06,1.1741e+06,706704,188531,96335.4,81943,705383,171625,659102,1143.19,2372.3,1.51682e+06,6310.3,7242.67,2492.35,1472.41,14.1609
1.60962e+06,1.33124e+06,725466,202477,152133,131913,691968,190269,638498,4163.33,-2524.37,1.89612e+06,17908.2,4469.55,1896.71,934.329,14.1973
1.24778e+06,1.04557e+06,716037,185179,73609.1,60149,734268,169928,653850,1817.36,2662.53,1.92655e+06,6377.65,2374.5,3527.76,1668.15,14.1974
1.77825e+06,1.5362e+06,694539,248955,168818,146468,691555,220926,676123,3020.86,3490.07,1.67586e+06,18037.6,8215.54,3251.1,1923.86,14.2249
1.4527e+06,1.24645e+06,699284,191501,109538,92231,712590,170709,673078,1170.05,2570.89,1.78159e+06,11441.8,4053.48,2527.59,957.279,14.2257
1.35634e+06,1.15199e+06,706428,240989,131830,119629,661194,229077,631201,1291.42,2289.17,1.45277e+06,7574.31,9392.34,3236.85,1190.72,14.2379
1.48797e+06,1.20649e+06,739982,223885,161670,135559,715570,200799,668982,2212.24,-1608.27,1.22483e+06,10710.5,17922.3,2623.13,1673.75,14.2632
1.53529e+06,1.35139e+06,681645,263754,133646,111733,717669,233438,677921,2640.51,1778.63,1.55204e+06,10845,10318.1,4037.77,1954.51,14.2781
1.39298e+06,1.17682e+06,710206,309806,169303,151434,670798,296765,626367,1114.83,2177.76,1.28124e+06,8763.36,10316.8,3342.25,1582.01,14.2817
1.23274e+06,1.0119e+06,730947,238645,101578,85679,711339,220190,650290,1793.41,2793.16,1.61267e+06,12733.7,5685.21,3130.81,1892.13,14.2833
1.55766e+06,1.28382e+06,727985,258957,158749,134749,706867,238044,652713,2550.57,1552.18,1.89424e+06,10258.3,17310.1,1953.69,1314.49,14.3128
1.7948e+06,1.47103e+06,732058,226597,163065,144314,677958,212096,641021,3793.08,-3162.4,1.42984e+06,10903.9,10021.6,3151.46,1128.14,14.3218
1.3988e+06,1.15309e+06,727854,204829,83986.7,69520,724856,192525,638345,1856.97,2625.59,1.92952e+06,10639.8,9204.24,2780.29,1338.73,14.3575
