FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.71E+06,1.41E+06,730966,456014,327704,257169,764564,367797,743912,1472.82,17778.1,30208.1,14351.9,7075.07,10968.2,2502.74,10.7091
1.83E+06,1.48E+06,744728,394841,364359,296860,736425,337280,702397,-778.247,38642.4,89515.2,9964.96,8361.62,9451.02,3624.82,10.713
1.45E+06,1.08E+06,810685,599214,310190,218199,852954,453787,792284,-585.831,19108.2,57709.8,14034.1,10337.3,14992.8,2137.14,10.7142
1.81E+06,1.42E+06,764527,515132,383362,289757,793827,420181,735586,-972.892,18297,74882.8,16614.9,9368.6,12225.9,2619.45,10.7148
1.35E+06,940924,858675,800582,515835,351953,879382,602776,796895,655.213,115350,40176.9,27243,8205.81,13834.2,3395.4,10.715
2.11E+06,1.56E+06,808734,520701,410333,302427,814079,425683,733927,585.942,156821,259865,6056.94,12022.2,8538.89,1921.45,10.716
1.96E+06,1.59E+06,740453,441133,305362,235230,778884,365830,723504,-1121.17,16643.9,110142,10001.5,8538.08,5789.35,2302.53,10.7239
1.84E+06,1.56E+06,710600,286215,244694,204022,719610,251818,681958,-85.367,32700,21126.5,8709.85,6874.43,5235.45,1640.14,10.7268
2.37E+06,1.93E+06,735568,240955,203208,176313,691525,210334,687348,-309.618,17316.5,54624.8,7454.6,3657.55,3736.66,2763.8,10.728
1.83E+06,1.45E+06,757178,567488,384364,284185,811508,456856,745295,-909.604,33252.1,63849.5,13822.9,9578.97,13402.2,2794.07,10.7308
1.26E+06,997066,759597,326945,166482,131614,758955,289961,676528,-415.998,35095.3,42905.4,3312.44,3590.75,4678.9,1167.59,10.7346
1.31E+06,961225,814933,560455,433786,328827,791515,443318,758536,25.7883,17067.8,64106.1,17708.8,11069.1,14144.9,1963.79,10.7404
1.41E+06,1.13E+06,747317,507501,418358,323605,775683,427396,712455,1644.7,4976.91,47309.2,10447.9,7382.82,8820.95,2338.74,10.743
1.48E+06,1.15E+06,772502,448675,389972,295469,791904,369845,727886,796.663,36343.6,58860.9,9323.5,5624.16,9903.04,1140.04,10.7446
1.26E+06,901997,837119,670040,594392,438575,813168,520647,772163,1723.6,3823.19,23106.2,13087.6,6408.52,9376.08,2818.89,10.7453
1.80E+06,1.34E+06,805169,581186,543748,403546,808455,459859,758301,522.675,41371.8,32062.1,11266.5,7937.24,14043.2,839.842,10.7545
2.55E+06,1.77E+06,862896,674847,495461,349594,850348,507134,798424,967.076,74620.4,232271,14992.9,6627.36,10896.9,1275.05,10.7608
1.53E+06,1.20E+06,768321,471538,301546,219915,822715,381100,742385,766.199,15676,41751.1,8586.28,5252.93,6301.23,1975.94,10.7679
1.42E+06,1.08E+06,790410,604209,537776,411586,783956,484567,748143,-404.45,14762.7,63116.7,14824.8,11272.4,12770.9,2333.89,10.7679
1.30E+06,1.02E+06,763123,490629,603107,534717,676740,435742,675577,44.0667,121107,34269.1,6599.3,3142.58,6837.76,1337.98,10.7781
2.09E+06,1.66E+06,757414,422573,278888,207644,805864,337061,752219,-1170.05,4045.47,136109,34014.2,13817.2,8307.8,5046.37,10.7806
2.17E+06,1.51E+06,863617,597256,381886,282612,810764,461881,775858,1016.01,21612.5,137471,18843,18244.1,11665,3127.12,10.7806
1.88E+06,1.46E+06,774059,553916,469824,356042,791745,455378,729832,377.768,16520.3,58273.6,9555.29,9751.18,6701.45,1403.63,10.7837
1.54E+06,1.28E+06,722211,387223,243556,193204,756370,331716,700399,-399.508,37646.1,96423.7,5463.76,8824.42,6430.83,851.745,10.7897
1.87E+06,1.34E+06,836092,815379,686470,497406,828060,614731,795840,1511.03,49006.5,32094.1,11660.4,7884.09,15800.5,3289.61,10.7918
1.38E+06,1.14E+06,728038,325283,241542,192204,754018,269721,723598,-961.061,3396.22,50018.7,5729.34,6792.56,7504.84,1153.25,10.7922
1.96E+06,1.54E+06,764227,511841,457667,349788,785047,410978,747252,-1123.3,86779.7,69340,14471.4,7827.37,13051.2,2412.6,10.7942
1.77E+06,1.32E+06,805312,638875,537666,375785,858468,499107,768022,454.141,23969.3,79410.5,14542.1,10018.1,10678.7,1940.81,10.799
2.01E+06,1.66E+06,726566,380968,251923,202252,747353,321900,710098,-1095.01,4671.56,149816,9718.69,8304.96,6828.19,2487.17,10.8015
1.40E+06,985290,849526,835264,658642,459992,859113,609189,822665,676.43,40018.2,30638.1,17355.9,10261.1,14400.1,2655.43,10.8117
1.64E+06,1.23E+06,801311,794375,476002,337928,845154,613720,776616,474.434,79698.4,28828,13169.2,9661.3,12729.4,5469.86,10.8151
1.97E+06,1.61E+06,734295,448480,413591,341728,726175,381812,704766,2000.77,42143.5,36541.6,11802.1,4988.92,7272.87,1570.79,10.8194
1.98E+06,1.57E+06,758999,399172,352228,284361,743200,341806,700700,272.09,144610,20825.4,12798.8,6585.7,6454.2,2264.58,10.8207
