FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.40E+06,1.09E+06,769162,478000,373673,289574,774254,382361,750077,1185.07,7283.23,43504.8,6923.67,6725.42,8582.47,1855.49,19.2497
1.75E+06,1.44E+06,732955,472215,357636,287055,747527,387399,731362,534.412,17632.2,35812.2,8643.19,11250,8396.85,2328.94,19.2501
1.05E+06,741863,848251,622925,387975,287513,809650,493679,757081,1693.71,5175.43,62140.3,25886.8,9197.26,8299.4,1838.78,19.2535
1.64E+06,1.23E+06,798034,709258,453133,308011,882695,535142,795219,-154.255,1787.35,63701.4,22685.1,11503.6,14486.1,3048.68,19.2555
1.74E+06,1.50E+06,697340,394310,434338,402891,646832,359048,658926,851.505,17884,73063,3752,7674.4,5419.67,1091.27,19.2565
1.38E+06,1.05E+06,785307,477963,384274,300404,767514,390507,734373,-85.2922,28894.9,47445.7,10974.8,7657.54,8111.35,2278.53,19.2592
2.28E+06,1.81E+06,753338,339599,263413,225345,701360,311744,653612,103.639,30084.2,75072.9,4885.46,3009.52,3808.02,1216.08,19.26
1.09E+06,792026,824304,543776,456279,316990,863647,412774,790421,-231.685,8639.72,45097.8,14606.7,7965.03,10581.4,1795.67,19.2609
1.89E+06,1.51E+06,750482,440647,372004,289119,772010,361971,730412,-832.948,65210.5,68099.7,11956.1,9265.21,12130.2,1301.85,19.2622
2.06E+06,1.67E+06,741295,460020,325710,251056,778416,376787,732541,1504.46,16006,177909,10053.6,10162.8,9974.16,1375.75,19.268
1.92E+06,1.57E+06,733724,557117,367869,274888,802951,453589,736946,710.056,30458.7,35668.6,6683.45,8214.23,15325.8,2779.31,19.2704
1.92E+06,1.50E+06,765349,582113,555806,410621,812144,461823,756280,805.729,20405.8,64018.6,7505.65,6348.94,12932.7,2322.7,19.2704
1.92E+06,1.60E+06,719825,407677,265760,209955,759477,340620,718120,-128.89,148445,27797.3,8999.02,6296.19,8756.73,2613.8,19.2736
1.80E+06,1.60E+06,678392,241217,177485,163663,650671,229773,629884,118.911,33960.4,9406.26,5722.96,1250.6,2548.69,1026.57,19.2753
1.60E+06,1.26E+06,765840,548752,401465,262654,917096,406600,809766,1186.62,42807.6,51995.7,14406.3,8292.11,12872.9,2332.68,19.2769
1.61E+06,1.30E+06,740973,357891,268350,195640,822992,276279,777238,328.369,54801.7,57427.1,11000.8,5142.55,7107.7,2491.18,19.2785
1.25E+06,849601,886030,843235,639433,427522,897403,628589,804884,522.784,2077.91,48811.8,21733.7,10728.2,12705.7,3255.56,19.2797
1.28E+06,909494,841171,800914,480194,325507,885131,605917,793093,1156.44,47622.7,33022.6,21586.3,8466.26,16915.4,5553.95,19.2887
1.79E+06,1.41E+06,761428,566937,455522,343092,796617,456238,745581,418.177,19939.8,40308.2,9187.45,11191.9,11962.8,1908.66,19.2893
