FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.18E+06,829669,856125,565355,315964,217506,871600,434783,780190,315.877,8545.89,47204.9,12326.6,7144.17,14599.2,3033.56,10.7128
1.20E+06,981773,731840,324995,241966,193681,749582,271719,717641,-1142.12,11126,35366.5,10879.2,4607.86,7635.16,815.387,10.714
1.57E+06,1.27E+06,743652,428989,273312,198441,826376,335977,766104,144.47,24072.1,42674.2,12473,7471.41,11419.5,1780.88,10.7209
1.85E+06,1.58E+06,699267,273853,175261,144914,725646,235093,698923,-1067.03,20028.6,77637.5,5985.78,3023.91,5001.05,1190.5,10.7232
1.50E+06,1.06E+06,847404,840365,482341,343393,842780,649464,776362,289.365,17084.2,68471.6,14862.2,10057.8,18741.8,2537.01,10.7238
2.04E+06,1.63E+06,753251,404379,365277,290904,753397,337494,718908,1153.02,30913.6,48544.3,5406.04,8130.26,7586.04,2210.15,10.7353
1.99E+06,1.75E+06,681144,204929,150187,125797,716332,174596,704238,156.363,16382.1,70362.8,3051.42,3575.74,4533.09,1329.64,10.7427
1.46E+06,997901,878091,845427,706842,529259,801319,683771,741851,1431.9,28707.4,62767,51335.5,9155.84,15525.3,915.976,10.7503
1.50E+06,1.19E+06,756912,234778,141499,124109,684070,219423,641989,-466.904,9935.09,42847.5,3102.65,2738.4,4549.24,1130.26,10.7544
1.50E+06,1.23E+06,731956,490945,290141,218036,798422,413511,712356,1730.87,45353.3,26472.3,11809.3,7428.52,18862.1,721.796,10.7547
1.61E+06,1.13E+06,855635,737324,433417,288142,902508,538303,821832,613.549,74777,24285.8,20798.8,7371.13,19292.2,2627.97,10.7558
1.90E+06,1.33E+06,855618,729465,655271,507202,775160,601664,727447,-205.622,72821.9,37702.9,16242.1,6267.33,15468.9,2624.22,10.7565
1.93E+06,1.63E+06,711334,193551,161668,133457,726834,168952,687360,305.158,44794.3,20922.2,3100.46,2520.41,3468.98,2237.12,10.7632
2.00E+06,1.52E+06,787122,619244,494631,368527,805311,507569,732011,-634.18,12917.8,50608.2,19997.1,8314.69,11785.7,2922.07,10.766
1.58E+06,1.22E+06,780222,328641,196072,149614,786311,282745,697393,-82.0336,4222.33,60299.9,11746.5,3559.91,7500.79,908.982,10.7689
1.60E+06,1.21E+06,794705,560546,456939,341066,803843,447518,751540,-90.7172,2903.48,44594.9,4870.69,6822.1,9586.81,1971.97,10.7712
1.85E+06,1.44E+06,771012,394345,243813,188419,776396,319375,740844,90.2184,13105.3,48411.5,15796,9679.53,9786.75,1920.87,10.773
2.06E+06,1.46E+06,845202,677083,512881,343334,896295,507247,800891,107.509,33174,39711,16333,16960.1,27720.6,1672.96,10.7733
2.03E+06,1.47E+06,824864,439292,252129,187110,808493,367693,716836,-1727.25,19343.5,130176,32139,15430.4,17546.5,1639.36,10.7741
988465,778449,761872,325215,165788,133774,743587,288977,675241,-816.824,11871.5,19644.1,10861.4,2671.38,4588.93,747.1,10.7764
2.43E+06,1.89E+06,769939,385551,253349,193587,785226,304142,760600,485.259,6254.59,103597,18644.1,10101.8,13126,1359.42,10.7783
1.65E+06,1.19E+06,831794,708888,567565,417646,815377,567153,749943,-277.308,17449.4,44765.1,11385,7688.93,14901.8,1743.86,10.7847
1.20E+06,927809,778162,396321,213412,142473,898747,316688,750873,1028.59,17022.7,26796.2,10859,5201.82,7523.43,1252.37,10.7918
1.94E+06,1.68E+06,694236,252030,211159,178721,708902,222867,678512,-1211.38,102734,23338.1,14388.9,3053.58,3283.59,2194.73,10.8051
1.96E+06,1.67E+06,706398,344758,247788,213210,697308,297669,694915,955.395,33456,101017,6598.66,4235.1,7725.81,1938.04,10.8163
1.48E+06,1.12E+06,796809,379961,256266,185916,827037,304249,749310,-655.593,4052.64,36814,10134.4,5198.28,5583.02,2793.06,10.8196
2.17E+06,1.68E+06,773795,553028,482939,363430,797302,458471,723746,-1081.28,63382.1,45679.3,9272.79,11066.7,11222.8,2625.12,10.8219
1.73E+06,1.33E+06,777869,659940,396188,305171,778950,532848,743108,311.571,67479.1,43615.8,13638,10880,17217.5,1098.01,10.8227
1.26E+06,923990,815377,592155,342088,248721,825234,470411,755282,-1099.84,9231.54,56855.1,23577,8226.74,10436.8,737.062,10.8269
1.41E+06,1.09E+06,778724,781967,521493,383574,815738,593830,790092,75.8217,15198.7,42592.8,12820.7,8088,14280.9,3270.42,10.8293
1.63E+06,1.19E+06,821989,545292,493415,363861,813632,430886,759309,-1973.31,139342,51040,12576.7,8531.88,15874.9,2391.37,10.831
1.06E+06,773694,824821,385575,331896,254630,782067,314343,735964,-1446.85,64744.7,66376.3,9149.79,7635.74,12475.8,2253,10.8325
2.44E+06,1.95E+06,748948,267507,224988,187956,718215,226247,709420,346.093,15676.6,80551.1,6536.44,5139.99,5356.39,2271.97,10.8354
2.19E+06,1.58E+06,829582,654896,403171,294793,820585,508657,772500,1406.23,97848.2,49506.9,9688.64,5382.47,10969.9,2748.44,10.8401
1.50E+06,1.13E+06,795928,616415,448682,348729,771973,495689,746131,-945.733,8500.56,61245.6,11395.6,9189.4,14095.3,1827.53,10.8483
1.87E+06,1.56E+06,719996,503838,416808,322487,775488,406906,742930,-316.72,35645.8,52213.7,14347.2,8136.63,16401.8,1515.32,10.8508
1.56E+06,1.24E+06,752866,373762,271062,210552,772432,321990,696473,-229.425,2620.2,51140.4,10697.1,6643.95,6477.63,2204.73,10.8538
1.59E+06,1.19E+06,798314,614352,423829,328892,773194,487703,755811,763.595,13924.5,50099.8,17340.8,9027.23,19983,2737.47,10.8544
2.15E+06,1.61E+06,798176,660269,400447,282614,850165,497018,797076,1353.74,39185.3,88403.4,10420.6,6587.07,12200.9,3790.7,10.8587
1.66E+06,1.32E+06,756560,621444,393494,309662,762433,510035,731060,-472.19,60676.7,39537.3,9814.88,6277.52,10916.3,2756.2,10.863
1.43E+06,1.14E+06,748191,379288,326504,259499,754927,323915,702570,-50.8419,6682.18,72331.2,3722.59,8988.91,9282.53,1789.26,10.8649
1.78E+06,1.34E+06,796210,662602,556474,419634,795656,529394,750975,1199.26,33415,28855.9,13712.5,5840.48,10802.4,1764.82,10.8656
1.66E+06,1.31E+06,760627,355384,231695,194861,713415,305229,698592,-554.483,8199.04,44317.1,6595.75,3355.79,9515.5,1810.26,10.8696
1.78E+06,1.48E+06,721104,337436,317138,260110,731548,288872,700870,958.05,17683.8,54579,5647.04,4532.83,6152.79,1025.7,10.8722
1.55E+06,1.08E+06,861178,921041,605966,417817,870188,701788,787452,596.681,14560.6,91441.9,48904.9,13606.9,18825.5,2646.52,10.8741
1.25E+06,807491,930355,898619,535608,345447,930287,632090,852998,-1677.24,2974.67,215789,70321.8,14201.4,14214.6,1953.93,10.8747
1.51E+06,1.15E+06,791796,507445,373622,285506,785179,421282,722715,-707.209,163076,35237,12657.2,8122.81,10613.2,2601.35,10.8774
1.89E+06,1.45E+06,781684,330315,204640,172656,711149,274699,721476,-859.636,1131.25,135222,15503.9,9277.65,12186.5,4079.48,10.8787
1.96E+06,1.54E+06,765055,474348,439136,335565,785188,389091,731470,694.999,66307.9,86927.3,7034.99,6798.32,14579,2232.53,10.8791
1.47E+06,1.19E+06,740059,394598,351711,281620,749330,331636,713912,-513.087,35113.9,47184.3,8399.37,6305.15,8651.31,1432.84,10.8825
1.88E+06,1.36E+06,826930,651812,369146,260739,849460,494047,791599,-276.856,22781.4,79289.7,12910.4,9349.61,14775.1,1833.75,10.8865
1.83E+06,1.45E+06,760027,367250,323529,270775,716895,329632,668472,920.326,42828,34512.7,7581.06,3691.46,5757.75,1531.87,10.893
2.81E+06,1.97E+06,855827,686369,472261,314456,901100,500854,822239,-2080.71,2892.14,98248.5,97654.9,24046.1,24319.7,2535.63,10.8959
1.68E+06,1.46E+06,690985,298689,181351,142080,765841,252783,708961,-831.431,21306.1,32838.7,5013.92,7728.05,4717.61,971.976,10.8978
