FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.15E+06,727611,944221,354874,252149,187360,807479,262607,810810,3190.57,1.20E+06,43392.3,12896.6,11929.9,11881.1,3674.8,9.66261
1.54E+06,1.12E+06,828032,355809,239094,170942,839213,268548,794962,2329.72,495394,42294.9,13661,10317.8,14011.9,2999.25,9.73984
1.41E+06,757123,1.11E+06,783729,620091,392616,947629,523594,898095,6054.12,1.10E+06,50814.8,25382.5,25431.1,22624.4,6240.51,9.78976
1.78E+06,1.41E+06,758270,395557,298602,222090,806706,308912,768291,2362.3,916725,37105,14986.5,13206.3,9122.65,2352.29,9.79933
1.77E+06,1.38E+06,771015,391620,278798,219020,763760,330135,711746,4070.19,1.47E+06,26978.7,12491.7,8425.26,10601.1,2124.51,9.80557
1.36E+06,817210,1.00E+06,375712,260711,176621,885662,275146,819300,3945.65,1.25E+06,34172.2,18214,9640.52,12631.4,3773.78,9.83912
2.01E+06,1.16E+06,1.04E+06,714448,328243,184290,1.07E+06,466017,919856,9451.81,1.05E+06,82722.4,21205.4,20642.8,24978.8,5999,9.84439
2.58E+06,1.56E+06,994421,996553,791673,477054,995702,630616,948171,6233.62,1.15E+06,118505,39314.2,34810.2,32153.7,6868.8,9.86547
1.73E+06,1.23E+06,843001,662924,619437,345074,1.08E+06,403189,986521,5064.79,988061,44877.2,26523.6,12252,17768.6,4694.06,9.93341
1.86E+06,1.10E+06,1.02E+06,760979,529736,315609,1.01E+06,505404,903411,3784.84,440673,72760.5,28207,23654.6,23513.5,5236,9.9703
1.24E+06,1.03E+06,721895,329246,155405,128023,728332,296546,666161,3026.96,1.79E+06,17964.7,6542.35,1873.77,2858.69,1182.5,10.0711
1.35E+06,819685,987925,637077,476591,320725,891588,443223,862424,5654.07,469871,59765.6,17038.6,15638.8,19840.4,5232.87,10.1162
1.30E+06,1.04E+06,751603,375225,218798,175682,747251,311013,723877,3054.89,1.61E+06,23860.3,4313.43,4115.02,4413.54,2145.38,10.121
1.73E+06,1.45E+06,714266,228126,175266,150228,700001,209396,653669,2979.17,1.23E+06,27562.7,5205.57,2491.54,2990.51,1196.7,10.149
2.08E+06,1.30E+06,956103,859242,611737,390472,939996,568952,906131,10315.1,1.17E+06,57044.4,23546,19498.9,24393,9455.66,10.1679
1.93E+06,1.32E+06,876505,512359,408222,297471,823385,397789,772810,1962.93,920158,48491.5,15491.1,18617.2,13161.7,3957.9,10.1707
1.89E+06,1.30E+06,872704,512635,419654,279238,901712,366688,838809,2760.89,1.29E+06,65412.4,11036.2,14631.8,16673.4,4019.99,10.1787
1.49E+06,970380,920787,535041,450627,299407,903039,379636,845612,4527.82,1.15E+06,63674.5,21915.8,9894.08,17166,2730.29,10.2024
1.60E+06,1.22E+06,786974,396739,229886,176032,783560,320152,743533,2544.24,1.24E+06,43934.6,12284.1,9903.48,5994.78,2561.02,10.2394
1.92E+06,1.37E+06,839313,570582,456074,341446,801427,454992,752429,3201.01,1.03E+06,71129.3,17427,14629.7,13543.7,3749.14,10.2532
1.80E+06,1.30E+06,831338,547400,411457,313825,786662,445561,737138,3708.07,1.29E+06,37932.3,21129.7,13617.1,9859.32,3669.2,10.254
1.10E+06,660235,995432,663488,363867,225404,968572,439909,904943,6869.66,1.04E+06,56345.2,28201.5,11919.2,15438.7,4434.51,10.2573
1.72E+06,1.16E+06,887844,579024,492554,352451,838506,448888,773945,4157.1,842128,34778.4,24882.4,10903.3,11786.3,4139.38,10.2941
1.82E+06,1.40E+06,781456,391491,341182,263309,777448,319219,735841,1436.32,1.26E+06,39640.3,14415.9,10262.8,9332.81,1984.47,10.3002
1.84E+06,1.31E+06,845121,618275,437266,293435,894098,453382,818218,3721.44,1.19E+06,64010.8,18864,15682.7,14783.7,4477.2,10.3278
2.21E+06,1.50E+06,885396,792275,671617,459844,876319,565455,840677,3688.68,1.16E+06,58805.1,17107,18142.4,20954.8,6613.08,10.3322
1.38E+06,1.13E+06,732264,395785,242044,190067,764080,326456,727422,2109.39,1.05E+06,32662,15820.3,8263.77,9930.5,2473.43,10.3359
1.75E+06,1.14E+06,919351,615206,345405,228556,906748,445990,827650,5917.36,1.16E+06,58629.6,20017.7,20113.8,17382.9,4413.76,10.3468
1.93E+06,1.56E+06,743256,343122,292793,230378,762553,285995,719849,3750.69,1.52E+06,30103.5,16006.9,6450.31,8406.68,2142.42,10.3498
1.51E+06,1.18E+06,764697,488684,295200,229986,770133,402271,728887,3238.21,1.69E+06,51698.7,12007,6741.98,8284.14,3164.7,10.3727
2.64E+06,1.74E+06,907536,774673,627773,426321,883522,531812,874001,9816.48,1.42E+06,69994.7,24102.8,27123.7,21472.8,7170.86,10.3961
1.59E+06,1.11E+06,859707,593468,402299,276010,874530,429678,828715,7065.41,1.20E+06,45243.1,19137.8,15668.4,15151.8,5286.94,10.4205
1.97E+06,1.31E+06,904802,675125,546473,344551,951626,456982,886414,6426.93,1.16E+06,68554.3,27668.2,21235.3,22227.9,5355.31,10.462
1.81E+06,1.27E+06,852812,676855,494766,374009,793724,504118,805591,5317.03,1.27E+06,94990.8,20831.1,19153.5,19574.5,3997.69,10.4635
1.72E+06,1.53E+06,674621,213847,123781,102117,727289,189930,675555,2688.05,1.55E+06,11486.7,973.771,1152.82,2875.29,1044.66,10.4677
2.24E+06,1.56E+06,859781,606142,416949,276390,905132,416466,873265,5838.16,1.11E+06,50395.9,14295.7,21891,17383.2,4146.03,10.4711
1.48E+06,951717,931815,743087,358262,234597,916283,540941,824216,5455.17,1.25E+06,37130.9,21457.6,12268.8,16306.6,5481.78,10.4835
1.71E+06,985231,1.04E+06,601309,306628,198013,929115,437038,825524,6978.11,785951,46860.8,17670.2,18713.6,18628.3,6257.05,10.4947
2.09E+06,1.28E+06,974997,948292,578103,329465,1.05E+06,610432,932086,4803.09,1.14E+06,49273.1,18531.9,25498.2,25628,6859.17,10.5094
1.44E+06,1.02E+06,852331,734887,532168,418905,762227,610806,721886,2730.13,1.04E+06,53900.8,17237.5,17484.7,11286.9,2944.43,10.6442
1.02E+06,645382,949812,515694,335003,219388,916194,374404,826424,3235.32,618943,30363.7,13368.8,8432.58,11348.5,3031.8,10.6596
1.64E+06,1.27E+06,777027,498404,378273,290727,780676,400116,747389,2887.25,1.35E+06,21071.1,17743.3,6705.39,7276.7,3657.43,10.6819
2.43E+06,1.66E+06,879768,693556,496892,307056,970947,453522,917560,6554.85,948558,62625.1,28378.6,34386.7,28625.8,7160.38,10.7028
2.10E+06,1.56E+06,809822,500226,294742,227129,778610,410358,731399,4564.02,1.38E+06,39732.2,16009.3,12300.4,11360.5,2540.21,10.7171
1.43E+06,1.02E+06,840355,590414,472537,337391,840338,434971,814418,3868.38,990407,38706.7,14061.5,11200.2,13312,4658.22,10.7271
1.59E+06,1.19E+06,798683,422926,263590,192465,821730,349849,725330,3333.12,1.35E+06,17747.9,10020.6,7306.67,5458.11,2787.62,10.758
1.77E+06,1.32E+06,803692,497972,322053,233429,827796,390453,765222,6401.03,980633,47974.1,18080.6,17615.9,16518.4,4672.7,10.7827
2.06E+06,1.28E+06,966020,770576,649382,422994,921122,529846,872604,5373.22,1.25E+06,53018.3,16659.6,15947,22367.7,6374.18,10.7995
1.64E+06,1.22E+06,807442,396832,259327,203409,764943,315412,754883,3581.08,1.18E+06,32400.2,13217.2,7054.5,8796.89,3400.8,10.8092
1.69E+06,1.21E+06,837604,536563,393492,294527,801608,395471,814062,6777.27,1.34E+06,41658,17350.3,14884.4,18574.7,6797.16,10.8233
1.80E+06,1.20E+06,902494,559808,458917,315956,871483,404787,829782,4028.33,1.02E+06,45755.1,21806.5,21139.2,16308.9,4062.11,10.8376
2.18E+06,1.43E+06,916047,768295,604391,398689,909567,539416,854586,8028.29,1.23E+06,62556.8,30876.8,17102,20352.3,6551.74,10.9068
1.63E+06,1.34E+06,727917,343619,226290,192824,704135,312704,659318,3702.9,1.09E+06,47329.7,9327.5,3792.11,4020.31,1470.47,10.9354
1.41E+06,1.12E+06,753231,499673,340346,262738,777229,409073,732886,3361.2,1.34E+06,47983.1,8636.68,7935.47,8942.77,2797.17,10.9481
1.48E+06,965015,921661,560204,287063,183924,936460,391659,858202,8758,1.32E+06,39243.6,22842.7,9313.94,11884.5,4080.61,10.9773
1.76E+06,1.26E+06,838606,544592,444774,326833,816516,412380,792364,3947.5,1.34E+06,37132.6,16818.9,13371.1,14349.1,4009.71,11.02
1.92E+06,1.38E+06,836049,444176,260983,184572,848395,335204,795054,4871.25,1.24E+06,51382.9,18018.2,18040.4,14826.5,3452.55,11.0345
2.58E+06,1.58E+06,978248,673168,556141,355427,938827,470416,858603,7135.61,826922,54784.4,25645.2,17987.8,23577,6510.81,11.0373
1.44E+06,1.03E+06,835218,467536,308125,232920,793726,388419,722214,3793.22,1.14E+06,61078.9,8298.1,16464.6,14342.5,2226.03,11.0688
1.59E+06,1.17E+06,818363,630067,375334,270213,833419,485626,778459,8033.1,1.03E+06,40205.2,10376.6,15592.6,12972.7,3747.12,11.0703
2.41E+06,1.53E+06,942288,662575,511865,337907,908886,443851,895672,9475.06,1.31E+06,67693.4,15944.6,24965.1,21845.5,6300.96,11.0986
1.78E+06,1.44E+06,742555,399734,303573,240238,758179,333143,719932,2841.91,1.44E+06,46254.5,7387.91,9769.5,11674.6,1944.42,11.1435
1.92E+06,1.36E+06,845208,485937,253470,179778,845944,379154,768981,5712.56,1.29E+06,31194.8,14410.1,11176,10975,3249.1,11.2171
1.42E+06,1.15E+06,743002,434273,359961,277410,778546,340576,765068,3678.11,1.11E+06,26857.5,10332.1,5887.67,7003.24,2316.95,11.2316
1.37E+06,785627,1.05E+06,562946,460168,291879,945942,369861,913228,4506.93,776803,37867.1,23752.7,13074.9,16956,5627.51,11.2651
2.42E+06,1.64E+06,885901,468060,366576,249506,881524,332392,844895,10155.9,863250,46697.7,28190.4,18495.6,13809.9,5222.92,11.3174
1.84E+06,1.22E+06,900430,705341,586158,380547,924183,496654,852112,4975.32,1.08E+06,44197.1,15243.1,18847.5,14835.9,6266.25,11.3197
2.73E+06,1.82E+06,898940,656652,406464,280991,867922,478973,822575,4526.27,978243,47770.2,16687.6,22041.7,15380.7,4074,11.3325
1.96E+06,1.37E+06,854410,499270,396432,292850,812222,398688,751369,2122.32,1.24E+06,41105.7,12022.2,11644,11571.6,2726.45,11.3351
1.40E+06,878238,959546,492908,320267,204054,941711,323195,915066,5217.13,963964,36982.8,16855.6,17251.3,17799.4,5796.51,11.3636
1.70E+06,1.33E+06,765344,418261,254107,177451,859191,316493,792929,2654.49,1.10E+06,33635.4,12852.4,11363.9,9844.49,3028.34,11.4089
1.41E+06,818063,1.04E+06,811390,454759,291043,937510,573947,848221,8636.28,1.23E+06,53405.8,23127.9,16223.2,19369.5,4276.75,11.421
1.38E+06,874425,947820,695953,379445,242542,938671,507851,822233,8301.64,1.21E+06,57805.6,16431.7,16157.9,17881.6,4139.71,11.4426
1.28E+06,842838,910302,354884,238035,157266,908149,256443,830322,7194,1.53E+06,42608.1,10903,8437.56,9455.67,3416.96,11.4964
1.98E+06,1.55E+06,767166,356746,282790,212712,797671,283669,754567,3746.92,1.23E+06,27417.6,16630.6,12886,6321.91,2839.79,11.5348
1.56E+06,1.23E+06,762205,467684,291987,219282,798936,362188,774764,2359.56,882455,37301.8,10536.7,7956.38,11831.7,4054.04,11.5384
1.44E+06,1.25E+06,693900,341450,347169,300987,692060,297102,689562,4951.18,1.22E+06,9792.75,3253.07,592.321,2092.45,1144.26,11.5496
1.54E+06,1.14E+06,812430,584158,291374,217041,805490,480088,730064,5567.91,1.96E+06,44950.2,15126.7,10815.9,11443,2627.51,11.5867
1.68E+06,1.43E+06,705141,537380,366881,337189,652834,498222,647157,1828.59,1.29E+06,41712.7,14401.3,9510.26,6644.03,1169.96,11.5876
1.40E+06,777071,1.08E+06,636091,396010,248198,957323,414305,921193,7013.78,1.25E+06,56228.6,21733.7,13718.5,18097.2,7418.3,11.5917
2.03E+06,1.26E+06,964619,615407,475295,322838,883345,447093,825878,4260.69,1.42E+06,43838.9,13410.3,19822.2,19258.8,6100.43,11.5937
2.06E+06,1.42E+06,871124,600560,465562,338457,825326,460884,781837,7802.05,1.18E+06,49789.2,15101.3,27486.8,16116.4,4295.82,11.5998
1.32E+06,957792,823904,585324,325038,228299,854244,456301,769655,4303.43,1.09E+06,20099.3,10815.1,6414.79,9031.83,2514.93,11.6084
1.61E+06,1.20E+06,805082,666567,402993,281704,858334,478977,834989,3530.96,910471,68173.2,23634.5,8965.88,12650.5,5486.21,11.6251
1.69E+06,1.35E+06,753960,478143,305381,226727,808148,379233,756489,3582.84,1.67E+06,42401.9,17173.1,11467.5,13511.4,2586.67,11.6394
1.57E+06,1.15E+06,818178,429117,311241,228751,816366,326409,788796,1770.89,1.06E+06,35491.9,6615.88,12335.7,8472.95,4047.39,11.6638
1.65E+06,1.10E+06,904025,680135,487440,338355,864370,491787,829792,4519.78,993334,53566.6,14465.5,15900.3,23354.1,5364.8,11.6658
1.29E+06,902787,858208,626406,353982,221071,960729,442536,849295,5054.51,357291,40306,28070.7,12357.6,13766.2,4604.46,11.6774
2.17E+06,1.39E+06,932101,686967,517947,348733,891135,511766,805408,3690.35,614666,54222.3,18675,23463.4,20513,5563.95,11.6825
1.98E+06,1.34E+06,888518,719129,444189,290836,916370,501023,861193,6303.61,880274,55069.5,20797.1,19207.8,21048.9,8649.02,11.6848
2.00E+06,1.44E+06,834203,467671,381915,269303,850897,343690,816441,3205.86,1.05E+06,56650.9,17746,19964.2,13546.1,3613.97,11.737
1.67E+06,1.13E+06,886718,434802,339827,231486,880814,316939,823127,3524.23,1.37E+06,41386.4,18568.9,15639.7,14935.8,3329.1,11.7404
2.43E+06,1.68E+06,868744,660701,446061,275173,972613,413964,957621,7250.66,1.41E+06,66287.8,22939.4,24627,23576.4,7828.19,11.78
1.84E+06,1.34E+06,824434,556013,439294,356336,739685,450414,740669,3239.06,1.08E+06,62644.9,15546.3,11780,13647.7,2904.93,11.8092
1.56E+06,1.13E+06,827557,530076,349502,265575,789612,421470,754610,2918.99,1.18E+06,50866.2,11319.3,12485.9,9977.08,5127.46,11.8704
2.05E+06,1.20E+06,1.03E+06,771410,550202,279631,1.18E+06,425606,1.09E+06,8636.79,1.28E+06,158683,42831.6,29428.2,43121.9,4484.49,11.8938
1.76E+06,1.37E+06,773909,340675,250929,200930,749303,279171,732186,2482.78,1.10E+06,34929.3,12373.9,7475.85,7458.89,1240.78,11.9074
1.68E+06,1.14E+06,882935,416075,367216,200335,1.10E+06,215023,1.16E+06,8233.63,11653.6,3790.96,7348.69,2408.02,1330.27,3276.4,11.995
1.65E+06,1.15E+06,865686,600271,455572,333131,820528,437682,822886,6652.59,877730,40241.2,16044.8,17311,11090.6,4433.9,12.0671
2.11E+06,1.39E+06,911132,659154,481513,308232,937306,455252,868733,2172.03,1.27E+06,59058.1,15333.9,24952.4,21854.6,5081.37,12.1467
1.35E+06,949932,850990,567672,273735,188906,869433,432846,786893,6080.13,1.09E+06,37137.9,12183,11382.2,13386.2,3261.29,12.169
1.55E+06,1.21E+06,766332,509987,487048,457372,638930,462616,661439,6638.59,1.47E+06,30163.3,7217.09,4461.24,5878.1,2838.32,12.2424
1.54E+06,1.03E+06,895473,651965,331731,214744,926866,470416,831559,8656.64,591128,48371,18405.7,13858.2,17416,4061.64,12.2461
1.75E+06,1.39E+06,753506,416386,252274,199946,757026,354747,704254,3128.33,1.23E+06,39958.2,7813.4,11338.1,12222.9,2456.81,12.2841
1.74E+06,1.13E+06,919166,631291,495396,348525,852844,470195,805569,2570.34,1.17E+06,41943.4,21528.3,17467.3,17470.2,4146.65,12.2911
1.37E+06,966231,852652,627190,368410,246695,896029,457933,821767,5455.85,1.37E+06,46327.1,18220.9,7666.79,13498.3,3426.09,12.2968
1.77E+06,1.37E+06,776390,432725,272280,221455,737703,374961,692432,3989.81,1.36E+06,39858.6,10714.6,11498,11297.2,2766.32,12.3205
1.27E+06,820970,931816,794991,597457,388371,923019,575592,828702,3749.58,944517,36645.2,13983.4,20247.6,22522,5146.22,12.3264
1.35E+06,880758,921576,712325,366828,251973,873494,518215,824745,6306.45,1.39E+06,34503.3,20581.4,20939.4,14629.7,5712.06,12.3273
1.44E+06,1.13E+06,764660,431358,292995,231448,759553,343863,752668,3217.59,861733,51167.8,17004.4,9694.27,11391.9,4260.13,12.3818
1.60E+06,883909,1.09E+06,1.14E+06,715019,410676,1.04E+06,733226,929181,8544.99,1.09E+06,89532.2,23852.4,21998.4,25757.5,8113.64,12.3881
2.00E+06,1.28E+06,935719,1.01E+06,538533,306712,1.05E+06,616025,983084,11078,780275,112053,34457.8,26612.3,28694.6,7233.03,12.3948
1.29E+06,942566,819537,425430,214613,157507,817536,356427,716157,3884.82,1.36E+06,26876.4,8490.63,6947.21,6855.26,1579.22,12.3971
1.88E+06,1.38E+06,819985,664387,409503,289116,849839,500540,796404,8550.55,1.31E+06,32732.8,7870.37,13368.8,14114.9,4812.55,12.4113
1.90E+06,1.17E+06,973599,651591,556001,372786,894885,473196,826201,4557.82,354832,47612.6,22833.5,16334.1,18776.7,4679.73,12.4508
1.79E+06,1.46E+06,737675,397429,263616,209879,753621,339828,701701,4321.23,1.56E+06,35311.1,9239.09,7004.69,7089.12,2358.25,12.455
1.33E+06,981623,811311,506738,383743,253500,908268,382890,794073,4658.57,1.13E+06,32120.6,9484.32,6222.05,7652.18,2484.46,12.4701
1.22E+06,728019,1.00E+06,551142,304541,198080,922479,410210,806136,3606.65,942886,39960.2,16431.7,11026.2,14022.3,3942.55,12.4898
1.96E+06,1.33E+06,885171,678538,486871,274308,1.06E+06,434730,936496,6509.23,655512,66921.1,23825.3,22853.9,21976,6954.14,12.5242
1.80E+06,1.46E+06,739123,316257,194337,153361,760312,258289,734659,2315.24,1.42E+06,24531.3,9664.94,11593.6,6867.99,1827.1,12.5276
1.17E+06,845996,832955,431831,295502,219587,807429,324682,798008,5731.31,955578,33188.5,11046.7,10791.3,8802.38,3929.32,12.5359
1.88E+06,1.35E+06,836680,831360,539208,349358,926054,586235,850880,10768,1.07E+06,72526.9,20674.8,19280.3,19505.1,5644.16,12.5576
1.17E+06,785304,896943,763618,493300,300790,984009,503747,909526,9398.61,1.07E+06,48730.1,19919.5,16704.3,17174.6,5856.09,12.5669
1.93E+06,1.46E+06,792157,431593,280138,214918,782079,340251,761072,3065.25,631540,50994.2,17433.8,14442.2,14023.1,3464.14,12.5769
1.62E+06,952820,1.02E+06,905332,643115,383434,1.01E+06,605371,897300,7139.3,1.19E+06,49707.8,14476.4,17292.3,21385.1,5042.71,12.5793
2.18E+06,1.32E+06,996143,831178,647005,405520,957296,548073,909927,6621.99,762355,54093.6,25270.3,21223.5,22382.8,6796.5,12.5868
1.93E+06,1.57E+06,739240,273727,221502,181982,730298,234127,701483,1726.63,1.49E+06,34831.3,13773.5,7345.61,7547.65,1833.27,12.5972
2.22E+06,1.45E+06,921277,953410,850998,547533,932544,616307,928184,6681.99,948144,115367,31772,21843.5,23491.2,7858.56,12.649
1.25E+06,863131,866528,460838,364700,251976,868415,341033,810781,4892.8,884233,24504.2,13924,8802.89,9664.13,3669.13,12.6688
