"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.25209e+06,1.55662e+06,868072,595033,455108,306715,890288,432478,825521,34412.8,2997.49,418990,64466.3,28273.1,25325.1,8979.85,12.1493
1.48559e+06,1.04527e+06,852746,496785,350840,247133,851783,370430,804662,7367.73,1835.79,313513,31389.2,19924.7,13481.4,6223.19,12.1995
1.91845e+06,1.30294e+06,883438,660408,496337,325612,914592,473625,836621,16242.8,6237.38,582310,58400.7,22601.8,19922.3,9096.87,12.2062
2.42465e+06,1.47145e+06,988682,969787,597797,358529,1.00042e+06,627600,927139,53200.9,3895.3,386133,90976,56198.4,41689.5,9992.09,12.2096
2.02229e+06,1.7241e+06,703770,267759,212414,180750,705108,243867,658784,6551.43,5059.95,1.29888e+06,19685.5,14601.2,4885.4,4835.06,12.2251
1.75326e+06,1.00896e+06,1.04261e+06,785472,604951,372028,975654,521764,903250,19272,3937.79,1.13526e+06,200991,51514.2,23224.2,7202.15,12.2365
1.32047e+06,948968,834886,406699,316671,246718,770120,331156,736872,10122.5,1775.63,142929,38157.2,18116.5,12297.4,4258.34,12.2375
1.8433e+06,1.127e+06,981350,1.01779e+06,640946,390714,984270,642144,950997,35225.4,6767.37,582132,88480.7,50825.3,40924.7,14135.1,12.2471
2.5083e+06,1.48304e+06,1.0148e+06,1.07878e+06,685065,401913,1.02271e+06,719651,899423,41161.6,4832.51,330331,65982.3,35103.7,38130.9,10533.6,12.2488
2.7364e+06,1.77449e+06,925244,959132,629109,375295,1.00578e+06,621646,925734,60638.1,3327.68,538250,96060.3,41164.8,40886.7,13198.4,12.2567
2.06203e+06,1.28563e+06,962346,794911,572305,359712,954605,536849,888419,29629,3943.66,259603,51012.1,30300.1,29340.3,11918.2,12.2639
2.65266e+06,1.57045e+06,1.01347e+06,1.00543e+06,601414,366807,983755,665219,906857,50764.6,5251.52,336202,83468.1,37403.8,39528.4,9866.53,12.2763
2.58518e+06,1.73928e+06,891809,662262,478105,315719,908602,467668,849656,30047.6,2296.75,295375,63278.3,26969.2,27815.7,6751.36,12.2798
1.54871e+06,906233,1.02538e+06,791401,498797,304808,981857,546742,868491,24642.7,4788.48,516140,75272.7,22321.7,28670.2,6742.04,12.2834
1.73847e+06,1.21181e+06,860767,548823,371519,259515,858954,418716,786438,16496.4,2072.58,322313,48126.7,25217.1,17878.6,5955.28,12.2882
1.41617e+06,1.06806e+06,795555,656159,466048,326974,855202,477195,825020,14506.5,2991.71,308378,52832.2,25331.3,16669.3,6478.43,12.2916
2.16593e+06,1.51061e+06,860289,599851,476426,322356,886769,438208,821324,30004.1,525.375,220599,83660.1,20283.7,25014.8,9488.99,12.2996
1.91464e+06,1.4805e+06,775940,461540,316337,233706,812140,361195,766689,10118.4,2876.48,1.22037e+06,25025.2,16090,13799.5,4755.61,12.313
1.6144e+06,927951,1.04385e+06,1.0371e+06,520576,293695,1.0635e+06,667027,932884,22559.3,8647.59,591259,59497.4,25397.4,37358,10550.2,12.3187
2.79069e+06,1.71349e+06,977198,944246,723221,442073,981586,617958,916806,36509.7,3655.83,268467,83746.9,36563.5,36149,10107.9,12.3281
2.0956e+06,1.53738e+06,817857,489228,369319,260970,849107,364491,805333,15786.6,2387.66,114912,32380.2,35592,15639.7,4987.51,12.3344
2.00748e+06,1.22687e+06,981760,976887,531682,308089,1.03545e+06,621954,942404,34467,4307.04,607588,54450.1,34857,38749.7,9338.23,12.3525
1.63509e+06,1.05433e+06,930502,751100,634813,423421,899549,534872,842557,20889.4,1876.21,296061,94278.2,20794.7,27640.6,8879.73,12.3589
2.16466e+06,1.46963e+06,883757,657528,503982,336046,899844,443773,889006,33378.1,2859.23,228075,96976.7,33550.5,28352.4,10805.9,12.3694
2.12835e+06,1.3832e+06,923233,639116,500219,342070,877397,483630,792899,24841,1152.81,590136,54697.2,28481.6,21513.5,10090.8,12.3812
2.28035e+06,1.53627e+06,890604,782929,634715,414569,918614,558862,840560,21583.9,4007.89,384427,64153,21360.9,21620.1,6217.42,12.3938
1.35699e+06,784587,1.03773e+06,1.00775e+06,891927,545625,980813,656113,921568,15407.4,3674.75,330086,52675.2,21399.4,24422.3,6261.06,12.4329
2.06057e+06,1.48237e+06,834031,499979,392763,294616,799881,381234,786885,18352.8,945.135,227129,61734.6,19581.4,22633.8,8787.21,12.438
1.44573e+06,968040,896075,679865,331640,216347,919745,487668,836469,23250,4164.83,762994,42683.3,25107.8,27340.2,6125.28,12.4404
1.31051e+06,1.06193e+06,740449,581465,464702,325227,857313,420076,830514,15872.3,3624.42,200758,59866.6,21898.6,19989,8148.04,12.4491
1.71236e+06,1.10542e+06,929434,684522,432495,280049,926613,494652,830308,25725.8,5581.78,256507,62375.3,26427.2,28078.5,8006.39,12.4697
1.4429e+06,843572,1.02628e+06,657772,464002,285303,975809,445051,886783,19369.5,2990.31,311207,63209.2,17165.7,27790.6,7432.49,12.4821
1.42685e+06,887670,964445,702345,576066,383316,901709,507396,830529,25621.7,950.296,303156,62296.1,22622.6,24327.3,9783.57,12.5092
2.08944e+06,1.4761e+06,849309,458846,385962,277028,835934,348975,788904,21060,696.676,312606,58552.4,20805.7,18849.1,6295.27,12.5169
2.65245e+06,1.8098e+06,879362,822815,646200,432264,896952,569906,866264,18809.8,3805.72,416919,59242.1,21973.6,27114.6,8775.03,12.5178
2.88095e+06,1.87223e+06,923269,802677,676454,456951,888218,581427,828318,32248.3,1675,806285,61848.7,27843.6,25673.3,6341.97,12.52
1.82713e+06,1.1988e+06,914479,600035,353004,225465,939402,417195,862956,22781.7,3003.02,158994,41945.5,19501.8,21500.6,8744.06,12.5236
1.42728e+06,881028,972009,1.10654e+06,659510,415097,953286,766869,865762,24113.7,2897.65,464714,69624.1,25288.2,24183.9,7517.88,12.5279
1.93493e+06,1.33884e+06,867136,504883,371198,258698,860922,360081,841282,15672,3082.71,79759.7,50199.4,24819.5,18571.8,8333.91,12.5319
1.03771e+06,604695,1.02966e+06,693088,356980,220647,970728,473496,878260,14727.5,2279.04,280190,41884.6,16255.9,23197.9,8477.46,12.5388
1.63497e+06,1.26376e+06,776242,429883,274405,216520,760405,363591,709395,11649.3,1185.44,466290,27722.8,6125.21,10249.4,2864.2,12.558
2.19128e+06,1.60181e+06,820803,539982,475274,359429,793382,425181,762004,14220.4,203.863,325162,44045.6,10553.8,18058.8,3837.1,12.5592
2.51342e+06,1.64937e+06,914321,815967,486206,310522,939463,544516,899111,20561.2,6828.17,289091,52739.8,34248.5,27586.6,7295.47,12.5675
1.92603e+06,1.25532e+06,920580,650892,399444,273925,874934,474333,823336,20464.5,4380.66,213675,92153.3,23622.1,21398.6,6647.72,12.5698
1.77427e+06,1.1177e+06,952459,597958,311964,203244,920953,427754,838741,17796.3,2745.49,260819,39792,20572.9,20285.7,7703.48,12.5734
2.05294e+06,1.36596e+06,901754,916915,735368,465789,947254,614143,895800,20456,5345.11,261706,71245.8,36784.2,30263.2,8814.86,12.5856
1.70729e+06,1.07579e+06,952203,760800,609591,409442,893300,543014,840641,16609.8,4672.7,266805,41278.4,19779.3,21109.3,12610.3,12.6041
1.64899e+06,1.07811e+06,917712,756893,566669,381370,891526,544661,833796,17525,2183.39,274556,56851.7,20652.3,18389.4,13388.4,12.6075
2.10729e+06,1.38968e+06,909833,853891,487030,325608,897452,630658,812381,26070.8,7441.05,603705,58594,21135.8,28019.4,9247.41,12.6361
2.15062e+06,1.47084e+06,877303,581163,448176,321738,835790,459049,759609,26968.1,2488.54,470764,49665.6,20591.7,19536.8,4409.48,12.6408
2.64819e+06,1.72862e+06,919184,792038,465758,297889,938116,537069,884846,32336.7,4898.7,1.30244e+06,81291.5,24150.6,35986.4,8978.66,12.6445
1.91002e+06,1.23386e+06,928802,743423,629923,433434,871999,529845,841858,26917.8,2136.63,587434,84602,24498.6,24817.2,10302.3,12.6583
1.51198e+06,998077,908933,872814,660019,445052,889809,607700,861755,15596.1,8759.4,234954,57406.9,26531.2,21048.5,9188.92,12.6629
1.75597e+06,1.12146e+06,939472,737313,527144,320111,988052,507724,871316,26545.1,1632.39,190071,76085.1,27173.3,33603.9,7416.68,12.6692
923582,572411,968097,573535,452983,285682,951372,387735,887517,9412.31,1394.51,476742,45603.1,16042.8,14311.8,4497.49,12.701
2.20887e+06,1.48704e+06,891252,556280,378333,259635,874302,400899,832548,27435.9,1516.99,461421,57084.9,20629.3,29177.4,8032.11,12.706
1.98936e+06,1.28643e+06,927849,603792,337087,222060,910801,437877,827345,27445.8,5468.27,326801,62490.3,22070.5,26884.8,7451.58,12.7144
2.15113e+06,1.42619e+06,904986,835146,439903,266783,989351,562447,890906,29500.8,3306.73,296613,68820.3,24749.9,35268.9,11975.8,12.7163
2.17807e+06,1.4233e+06,918174,562456,463731,318992,872243,418215,806939,22879,4729.95,287028,53572.7,17473.9,20844.5,7819.17,12.7225
1.872e+06,1.15549e+06,972055,1.09073e+06,638703,380537,1.00706e+06,711700,919541,21352.2,7390.13,282544,66789.7,33159.5,24995.1,8446.91,12.7319
1.09918e+06,801089,823263,741376,606990,438031,831434,557650,797678,9932.4,3446.36,1.69281e+06,68342.7,24521.7,20992.1,8383.42,12.7456
2.06498e+06,1.37143e+06,903425,1.11377e+06,581036,339920,1.0256e+06,735781,908231,21831,5051.71,270605,60868.2,29093.6,32661.4,11376.3,12.7935
1.10858e+06,707592,940016,788422,476676,328961,869421,589610,802315,13565.9,5550.4,515991,40812.5,19396.4,17465.7,5951.63,12.794
1.76122e+06,1.07968e+06,978744,960437,572246,355013,967141,631069,913152,22140.2,5016.94,280534,53403.1,38570.5,26163.9,11315.3,12.814
996287,701635,851970,442266,253764,185685,819983,356686,743958,7035.29,1531.32,265149,29531,11648,10394.4,3856,12.821
1.79611e+06,927565,1.16183e+06,914681,584514,326207,1.07511e+06,556046,986984,32097.6,4332.6,165789,76926.8,37551.8,31018.4,8036.39,12.8367
2.56455e+06,1.52068e+06,1.01187e+06,1.1063e+06,685401,412126,997852,732082,906703,54799.9,3910.03,574198,90002.9,41551,48427.8,12268.7,12.845
1.78152e+06,1.28352e+06,832799,467615,406670,296988,821589,361837,775402,15555.4,264.365,553856,44649,12974.5,17132.2,6513.61,12.8481
2.54821e+06,1.71489e+06,891557,699459,428111,272895,941264,491577,853733,33185.2,4317.79,252647,77773.6,24327.1,27150.9,9906.21,12.8539
2.86284e+06,1.88751e+06,910040,823104,662938,438075,907979,557493,885863,45801,3402.36,502688,96186.2,31894.1,37101.4,6866.06,12.8674
2.20412e+06,1.3802e+06,958174,982221,596384,369786,967669,649523,907332,38727.4,2923.44,354540,107530,39865.3,36865.7,14715.5,12.8717
2.01595e+06,1.37363e+06,880564,526711,343493,231926,888627,371208,851347,22111.9,1867.6,136309,50283.2,26416.7,25428.5,6305.64,12.8775
2.19375e+06,1.39409e+06,944163,672352,382182,251178,912934,502573,802692,33343.5,1704.19,258990,60082.3,16473.3,25402,5289.34,12.8822
2.20156e+06,1.45752e+06,906290,877043,513161,324248,949571,598231,879636,35723.8,7203.27,310135,52162.9,32942.7,33083.4,8461.06,12.9476
2.49748e+06,1.70131e+06,880785,598683,393901,261237,904698,416627,862185,31421,6630.92,186721,48032.4,15803.7,28951.4,8754.78,12.9488
1.19712e+06,789855,909375,492787,335306,226575,887934,342915,862232,21400.2,2136.22,242091,74390,32364.5,21774.6,5022.21,12.9639
1.535e+06,1.06152e+06,867625,632911,420324,287427,877420,456268,832288,21653.6,2874.71,242190,54781.5,19891.5,23842.9,6780.6,12.9815
