FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.44E+06,1.09E+06,793732,441298,387244,293572,791446,351753,752741,678.475,116318,58973.3,15588.4,17161.6,24328,1751.19,12.1918
1.58E+06,1.24E+06,762985,484332,342100,241390,850324,378073,768633,-544.067,301160,95628.1,19312.6,20923.4,38579.8,2445.46,12.2251
1.36E+06,964864,848493,592872,302523,217289,835355,465396,764344,1834.74,184955,53466,23497.5,12258.2,25476.1,2544.03,12.2322
988219,658158,900895,706839,398872,274291,872516,532622,796256,1183.73,252203,63937.4,20275.4,13626.6,33217.3,2771.56,12.2434
1.59E+06,1.14E+06,833884,742949,470212,328488,858866,555094,803052,4454.54,252867,76788.9,16581.1,20480.4,33396.7,2882.84,12.2629
1.48E+06,910222,973089,817857,494505,343579,863565,621568,789478,2572.6,285661,76504.3,28711.6,14642.8,26913.3,4626.45,12.2678
1.84E+06,1.26E+06,880151,715272,524498,371632,846803,539877,794928,3352.2,294414,65554.4,40972.5,16978.9,39152.2,2868.77,12.2819
1.71E+06,1.07E+06,960343,969473,558259,345048,970750,650055,894822,5074.12,253522,149605,37479.9,45359.3,68876.4,5895.11,12.2936
2.04E+06,1.50E+06,816430,503734,398081,271992,878146,388026,778918,-116.933,238440,74310.5,18866.4,11713.9,35789.1,2514.91,12.3166
1.58E+06,1.20E+06,789558,597390,314722,239245,789287,504096,711043,4486.04,1.28E+06,53161,13667.1,10902.3,19404.3,2213.53,12.3194
1.55E+06,1.06E+06,874253,778816,456839,332999,823136,609818,766277,3207.72,434396,54753.2,41105.2,9820.3,23319,3833.79,12.3324
1.70E+06,1.12E+06,912972,969975,757807,449431,1.01E+06,598318,972702,3458.05,362123,108594,22030.8,38726.1,51943.7,8934.27,12.3328
2.08E+06,1.45E+06,859663,720633,406878,268888,907912,523252,826332,3292.91,262412,90615.4,31008.3,21837.5,48035.6,4915.11,12.3346
1.76E+06,1.24E+06,851820,586322,359127,251074,858218,444934,790664,1303.29,88352,86420.6,21269.2,40428.5,39144.2,3686.74,12.3371
1.79E+06,1.13E+06,954828,657341,362073,236524,918486,469770,839569,5586.71,96669.6,59291.6,25422,19160.8,34742.1,4197.55,12.339
2.54E+06,1.76E+06,867299,744312,564574,395257,857024,544787,819747,1290.02,245689,110404,30187.3,33702.2,49753.4,5405.18,12.3492
1.25E+06,864009,870195,554597,304840,224921,813191,448680,741638,2229.12,320045,66737.8,22258.4,13694.1,30537.4,2503.62,12.3581
1.50E+06,1.13E+06,793099,501860,268212,204956,785180,415423,724842,2963.42,1.16E+06,67556.8,14252.2,14957.9,25044,1878.24,12.3753
1.86E+06,1.41E+06,792183,529637,388464,293014,795451,418663,759041,-108.474,195242,96112.5,21989.4,13931.4,24732.8,4324.42,12.3764
2.20E+06,1.53E+06,862257,649664,392469,272070,865517,483411,806350,5943.72,173457,113337,37293.3,26868.9,50221.8,4496.1,12.3766
1.54E+06,1.12E+06,824676,682122,504480,352947,857601,521324,785065,1521.07,230270,55053.7,18401.9,10375.7,25184.2,3594.07,12.3985
1.96E+06,1.38E+06,850743,730830,469576,305094,923472,537386,815983,4436.2,250121,134441,26433,37925.4,58269.2,5859.62,12.4015
1.23E+06,862674,858779,813762,454690,305229,893800,575643,848194,3264.07,133452,94136.7,26828.6,32720.4,48978.3,2873.08,12.4033
2.30E+06,1.61E+06,857527,772197,504041,334070,905274,545197,849818,2594.6,265609,89667.1,32672.5,31516.1,59819.5,3240.73,12.409
1.65E+06,1.09E+06,908675,615386,385092,253341,912033,460618,801600,1977.1,114067,62008.8,24446.7,18053.7,32387.7,5706.85,12.4371
1.47E+06,885707,997302,795133,487193,316050,924903,589268,809615,4322.03,123971,93194.9,31938.5,17672.3,30876.3,5313.35,12.4604
1.81E+06,1.30E+06,835155,653097,534057,399114,802864,498083,786733,3219.92,265302,82731.4,16718.3,11487.8,31256.2,5438.75,12.4708
1.64E+06,1.32E+06,744648,440383,338257,268020,757235,371327,711583,2491.41,1.25E+06,70104.5,19825.5,8711.24,19042,2658.96,12.4838
1.76E+06,1.25E+06,844689,626682,377140,258502,875366,480092,783202,1323.08,109357,99800.8,31351.3,18335.8,36114.3,5960.3,12.5036
1.95E+06,1.41E+06,829723,565639,337408,245582,824348,453323,748657,-56.562,224691,56481.1,21458.7,14140.4,28255.3,2712.23,12.5259
1.25E+06,920768,816777,793302,520822,347178,900096,556041,856018,4370.8,138197,79392.2,37555.9,14081.5,25064.4,4430.06,12.5303
1.98E+06,1.30E+06,912134,892052,544431,351650,928932,608765,879208,2204.78,120785,103617,67746.9,16267.4,46504.2,5482.13,12.5308
1.98E+06,1.26E+06,942058,909263,540658,336788,963201,646641,843680,5854.07,305921,119785,43617.6,31873.4,47449.5,4672.26,12.5404
2.36E+06,1.58E+06,895854,791290,573971,378653,909493,545181,870856,6399.51,166283,136488,40886.9,20662.4,61920.4,7369.82,12.5607
2.07E+06,1.37E+06,903701,834083,622601,427330,874174,613708,815453,7421.15,240907,95729.5,30669.5,27594.7,45396.1,6865.98,12.5651
1.35E+06,909151,887833,811911,402241,250945,961744,553535,880065,4047.75,264488,79683.7,23811.9,30934.3,42810.5,4461.86,12.5747
1.24E+06,906252,817657,579885,376016,265871,848568,449599,773870,3277.69,116300,76896.9,19476.5,15270.9,28366.5,2720.17,12.5834
1.66E+06,1.32E+06,752502,567760,465843,358556,779531,451216,754973,805.677,245849,60028.5,17744.1,9858.97,20302.5,2529.06,12.5841
1.70E+06,1.31E+06,780222,561441,312824,223195,840944,434571,775165,2284.43,931550,46964.7,12476.7,7133.64,19549.2,2294.02,12.6084
1.99E+06,1.41E+06,845914,645066,378940,262958,864640,494730,782325,4760.67,77266.6,73827.7,35647.6,16071.4,40286.5,4829.45,12.6135
1.66E+06,1.19E+06,839260,570886,348627,255499,818697,458721,746710,2781.99,263203,66451.6,17554.4,17106.6,32224.8,2831.77,12.6247
2.86E+06,1.85E+06,924555,873655,591742,389824,910784,643653,814403,3190.7,99883.9,112646,47153.9,27596.6,56830.1,8011.5,12.6463
1.79E+06,1.19E+06,904446,657398,442735,287402,924284,474457,831348,1332.77,222507,84076,26789.6,19381.9,31367.8,4214.12,12.6493
2.15E+06,1.55E+06,834395,604540,385213,268496,860825,462479,784303,905.659,167483,81737,51257.7,19768.6,42003.1,4375.75,12.6507
