FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.24E+06,895199,829107,533841,360749,254663,849945,411123,779097,5806.02,1.17E+06,99273.7,8573.54,14887.9,22166,4084.19,9.74778
1.91E+06,1.22E+06,933851,939025,463928,294994,943601,659736,854001,975.027,124478,94417.5,71645.5,26779.9,55938.7,2669.02,9.77861
2.10E+06,1.32E+06,954020,798762,580494,365881,951939,532717,899646,1311.84,233598,169958,35769.9,47732.5,82117.2,6432.07,9.78681
1.80E+06,1.04E+06,1.04E+06,840184,569299,312133,1.09E+06,509200,990004,3657.35,189539,163403,34286.3,41374.7,90876.5,7360.55,9.79959
2.08E+06,1.49E+06,835203,566429,364199,245142,891400,414858,819214,687.179,225130,81369.3,19245,24364.9,37446.1,2957.63,9.82278
2.24E+06,1.48E+06,909155,760148,636114,441978,863546,564098,808527,943.1,441167,106609,15226.6,36041.4,53905.8,3422.47,9.8364
2.06E+06,1.47E+06,844012,609911,526068,372816,846640,450815,811744,1375.33,154725,63932,15511.8,24885.4,40043,4726.69,9.84376
2.51E+06,1.71E+06,883469,707184,564381,366946,922829,487873,869715,4768.34,230532,109898,24022.1,52470.6,48285.3,9684.13,9.85501
2.76E+06,1.83E+06,907962,910865,626369,394843,951824,608043,898817,2797.04,244725,145412,36789.4,46310.6,69445.8,6368.32,9.8564
1.50E+06,1.24E+06,727839,351964,247154,197727,749986,288462,732085,456.953,924065,32802.4,12388.3,8877.19,5886.38,2287.4,9.8689
1.47E+06,952198,927914,707588,479880,326874,880854,519770,816809,1498.45,119494,58142.4,19860.9,19837.4,31686.5,3805.79,9.87362
1.44E+06,873145,986745,992033,602348,394098,917053,684508,869558,10099.5,138950,110406,32355.4,17289.3,43934.9,5165.91,9.88098
2.25E+06,1.54E+06,876159,691055,520462,345343,904253,494476,838530,1860.28,253742,98787.5,19300.7,35564.3,46729,4711.01,9.94016
2.44E+06,1.80E+06,814340,569371,403171,295364,818999,441617,773572,1644.34,290686,63485.8,37668.1,15515.2,34540.2,6635.67,9.96488
2.09E+06,1.49E+06,844188,579825,407966,281040,870978,437575,795052,2993.91,114067,89309.8,28422,30630,41882.3,3271.39,9.9703
1.63E+06,1.17E+06,834652,582876,467786,323844,866687,424580,823697,22.5374,450690,43642.2,21728.9,17823.8,28694,6069.15,9.97419
1.85E+06,1.27E+06,871925,624225,413280,290011,855029,460335,813614,2400.4,133711,91231.4,14022.7,22584.4,47667.9,4824.35,9.97683
1.97E+06,1.45E+06,812010,493443,387756,278691,834808,380937,777205,1559.36,76843.6,101320,28387,20503.3,41676.3,1784.72,10.0077
2.54E+06,1.68E+06,905574,831062,689828,457944,903815,603166,826700,1869.35,219328,80719.5,27572,38486.5,45961.7,7611.11,10.0095
1.95E+06,1.27E+06,923625,699047,546250,367850,890989,489292,857215,2395.02,646070,41535.2,33124.2,21270.7,33449.4,6737,10.0121
1.68E+06,1.02E+06,989108,838852,442246,274050,968244,574040,876787,4341.32,200031,100829,24724,26239,55002.5,7009.08,10.0121
1.30E+06,778951,1.00E+06,605828,311167,201350,927242,437881,830127,3445.35,239714,76910.4,14673.4,21710.1,40530.3,3434.35,10.0124
1.29E+06,904734,857341,769676,621604,470590,792543,621384,743188,1308,208798,59365.3,17939.9,7956.32,22597.9,2842.71,10.0136
1.11E+06,754810,881045,719080,556952,397181,841357,570359,756450,521.63,133622,73489.9,15917.7,14970.8,25645,5054.89,10.0353
1.38E+06,972903,850229,707881,817364,621398,789218,541326,784608,4653.05,994534,56067,15681.7,9009.14,21227.2,3133.52,10.092
1.51E+06,1.12E+06,807913,509875,435537,319566,817741,398350,767981,1309.47,192822,77668.8,17165.6,10043.6,34054.8,2646.05,10.1048
1.96E+06,1.23E+06,953620,990603,868790,574217,907800,694229,856146,3493.8,212813,87185.4,18787.3,22274.2,44499.4,7119.19,10.1421
1.88E+06,1.31E+06,859493,646656,433902,284243,915910,456070,850732,1945.12,128262,101456,15119,29992.1,50336.3,4702.44,10.1466
1.73E+06,1.32E+06,785827,523235,443164,336209,790872,422719,742670,1861.94,376019,53259,10863.3,6957.95,21961.5,2697.15,10.1566
1.69E+06,1.29E+06,786894,463808,371790,275709,809092,361517,769770,545.181,74386.3,58589.9,16035.6,16938.7,27787.3,3828.09,10.1621
2.36E+06,1.58E+06,897418,572845,380867,253351,901991,403822,851135,6763.33,291426,97408.3,18191.2,34450.4,51461,5828.01,10.1641
1.95E+06,1.56E+06,751034,417629,283759,235650,722492,363051,690198,658.164,175813,84734.5,24090.3,13175.3,25448,4007.96,10.1667
1.68E+06,1.18E+06,856759,465785,392625,285783,824314,357826,781025,1218.5,114502,74285.5,26495.2,18479.3,31148.4,3231.74,10.1778
1.32E+06,906587,875776,554541,430291,300783,858342,425355,782228,-702.26,76263.8,68656.9,17306.8,16331.3,28767.2,2513.36,10.1896
1.86E+06,1.16E+06,965653,932577,507998,318022,958421,638877,875828,2717.47,128502,117761,39206.5,48432.4,63944.4,5441.85,10.1935
1.46E+06,1.10E+06,801516,550779,440152,351429,751477,443474,745179,1116.94,205291,61200.4,11708.7,9934.17,20365.2,2587.03,10.1961
