"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.89565e+06,1.44954e+06,784657,532366,463201,359109,773916,436398,731946,10596,636.306,13403.9,77392.8,32182.8,11229.3,2768.14,16.5944
2.00247e+06,1.58414e+06,758448,491171,435977,325987,802443,388852,757879,12431.9,800.307,51933.1,34076.3,16793.8,12268.4,5336.24,16.6058
1.88851e+06,1.19404e+06,948974,652778,533902,369970,865857,483636,809838,13240.9,1467.41,15437.8,52004.4,36483.8,24306,4365.46,16.6083
1.60885e+06,1.14502e+06,843050,606330,357578,237249,904310,445468,816665,4822.05,2254.32,92887,32631.4,13922,4615,3590.46,16.6211
1.70365e+06,1.32582e+06,770984,518711,459686,340489,810046,410424,758305,12313.5,663.462,14864.1,53170.3,21368.3,9903.98,4336.72,16.6281
1.48407e+06,1.05129e+06,846996,469993,418607,317659,790672,380992,740162,7370.33,2703.97,19382.4,72381.2,19602.5,10166.8,2859.65,16.6394
1.71991e+06,1.46496e+06,704419,285019,178628,153090,700088,253163,675500,3963.54,132.325,63449.2,63660.8,12522.6,6188.01,2835.71,16.6434
1.96101e+06,1.42699e+06,824538,512806,369801,272071,815526,408991,752300,14335.9,-771.697,30338,51100.3,31759.4,10312,3668.71,16.647
1.32141e+06,1.0569e+06,750166,376343,263096,206899,762970,309184,730328,5619.84,-705.241,39442.7,45373,31023.2,9006.59,2518.65,16.6632
1.75892e+06,1.22991e+06,858072,711959,439178,309285,851986,559912,762933,6667.86,150.82,48708.4,79545,42410.9,10869.4,3190.74,16.6688
1.06802e+06,807030,794037,485320,440666,353970,746956,404323,720197,7664.99,1686.52,20228.7,40289.8,15938,12118.2,2902.37,16.6727
1.64844e+06,1.47257e+06,671658,267146,178126,158451,674504,249438,642595,2488.51,952.275,1.38761e+06,26010.9,7156.34,2723.3,969.24,16.6757
2.52584e+06,1.89819e+06,798395,537983,370018,269334,824296,419474,769511,8475.16,1719.18,46554.9,144504,26058.2,15524.8,4563.22,16.6805
1.60523e+06,1.17802e+06,817590,576571,339530,241366,844020,440473,785389,16826.4,1102.65,56960.7,44174.2,24795.6,16667.6,2321.63,16.6961
1.91599e+06,1.33969e+06,858106,689400,436823,305923,856732,529845,780681,15085.8,3243.33,17799.1,50770.6,17783.1,17814.8,6284.58,16.7078
2.46616e+06,1.58492e+06,933610,675670,451650,295394,917384,481104,842650,14387.9,657.948,18762.5,275765,43644.8,17595.4,7031.22,16.7091
1.84133e+06,1.52219e+06,725796,398983,279268,215116,778933,330116,725168,8405.42,-14.2066,101775,37108.6,17032.5,12225.2,3433.17,16.7129
