"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.45129e+06,1.05019e+06,829158,604563,556757,411716,811371,473117,766698,8907.97,-177.051,4060.73,26067.3,33521.2,10472.3,3098.74,9.57629
1.70113e+06,1.23643e+06,825506,752428,547563,368044,892659,528005,855024,13079.6,1786.85,34136.6,55382.9,34795.4,26524,5563.94,9.58368
2.02733e+06,1.44073e+06,844294,656597,569440,332455,1.0277e+06,433600,908575,12304.8,329.176,8900.07,45266.7,27124.8,17322.6,10138.6,9.58909
1.76477e+06,1.25216e+06,845627,793511,500380,346723,865901,578278,823318,12673.8,2030.19,12290.8,39439.4,54250.2,28774.3,4231.18,9.5916
1.49829e+06,989670,908358,1.18206e+06,664116,379045,1.05125e+06,748529,947507,21048.9,2707.55,29740.4,98740.6,54929.5,31374,8202.57,9.59767
1.98879e+06,1.46815e+06,812773,565595,371275,271252,821247,460058,737639,10355.3,-21.8157,13846.7,41624.8,23180.7,14145.6,2794.38,9.5986
1.60689e+06,1.09811e+06,877996,740984,511162,357731,857340,560703,792916,11454.8,-350.383,42561.6,48620,60160.4,18184.2,2064.49,9.60572
1.97792e+06,1.60338e+06,740160,449577,295170,224016,790578,355737,758275,12183,970.171,49175.6,38745,16993.4,16204.7,2822.42,9.61576
1.93247e+06,1.49294e+06,776647,499429,408630,302735,809877,408924,732795,4797.69,2067.75,57837.9,25176.2,16729.3,4464.25,2066.37,9.61681
1.59696e+06,1.17555e+06,815089,545230,409244,293244,837345,407511,802771,12059.6,-61.6431,11857.1,53779.7,28465,17721.4,2598.28,9.62235
1.95989e+06,1.44024e+06,816486,561200,432298,310687,834856,425924,790564,17074.9,696.152,3855.07,104752,40828.4,18104.6,2018.73,9.62328
2.01219e+06,1.55916e+06,774337,574980,486489,352199,828774,446409,772808,10488.2,-796.591,21537.2,51253.6,20425.2,14799.6,4344.38,9.63014
1.97292e+06,1.4418e+06,821023,907238,786844,553007,853708,656134,829621,17898.2,2669.16,44098.1,43258.4,38465.8,21230.5,9203.25,9.63173
1.52074e+06,1.10086e+06,828849,784519,670964,479863,838945,600447,783935,14950.7,1674.68,92466.8,41065.4,35926.5,17442.8,5977.65,9.64057
1.98881e+06,1.47734e+06,807729,753222,683394,478858,856279,558213,809607,13712.6,881.174,18712.6,58997.2,36159.7,19539.9,4265.41,9.64083
1.84933e+06,1.4885e+06,745447,727578,609427,463946,788144,581832,750297,3924.97,4266.16,16646.7,17991.5,17060,4084.45,1702.75,9.65258
1.74233e+06,1.40781e+06,742572,563624,413239,298919,829467,436404,774911,11009.8,2612.4,121230,29866.4,22865.8,12468.6,2486.91,9.65271
1.98941e+06,1.42102e+06,839997,599037,539740,383407,844649,469829,765007,16515,923.299,53959.8,28897.2,42026.1,15956.9,5475.6,9.6642
1.93486e+06,1.43711e+06,807810,749238,522027,356510,878562,548797,819142,14066,567.289,17540.5,53975.5,30796.9,14786.5,4809.25,9.66855
1.63794e+06,1.16833e+06,841172,603712,320429,223813,859008,476018,760953,7143.64,2727.1,83030.3,30085,25075.4,15210.7,3458.4,9.67436
2.00532e+06,1.46687e+06,820243,791328,739168,548749,808204,603762,786397,13174,1980.75,28028.9,41858.9,23562,20646.4,3812.76,9.68518
1.18382e+06,898052,790928,542675,430673,305661,845393,406164,801658,12317.8,1116.05,5941.98,38498.1,20173.1,17219.2,4104.64,9.68716
2.07747e+06,1.60455e+06,776842,775658,479896,322197,893670,565148,823492,15120.9,1328.71,22524.1,45207.7,30305.4,25869.4,5437.36,9.69561
1.78997e+06,1.21074e+06,887044,1.0079e+06,915956,619742,886778,718291,841912,13694.8,3293.67,107027,40127.9,33838.1,24152.9,4678.26,9.70907
1.70276e+06,1.22452e+06,834334,447800,291525,215922,810085,368519,729080,10296.4,-137.643,7708.74,42969.5,31277.7,18010.8,3108.82,9.71303
1.59138e+06,1.10462e+06,864394,827625,726843,517522,842681,631066,786883,12495.6,2533.79,29926.1,82165.9,48279.4,18085.3,3179.47,9.71752
1.77333e+06,1.36382e+06,780159,935909,612924,372095,988335,644798,870886,18361.6,643.764,26187.6,78584.5,36835.7,25171.5,3873.99,9.72967
1.68314e+06,1.22469e+06,824604,643873,508954,351374,869082,480522,803967,12810.5,1270.64,40902,34399.9,17311.2,16590.8,3055.62,9.73099
1.9945e+06,1.5902e+06,752546,615207,410972,283455,869920,467262,789973,11574.4,833.732,13851.5,51151,26191.7,15214.9,5379.92,9.73376
2.0186e+06,1.47686e+06,820091,476343,365931,269049,816054,349229,818390,20855.4,-333.092,5733.65,46467.8,28835.3,23591.1,4343.7,9.74273
1.9305e+06,1.41795e+06,816882,608545,480863,351556,820688,485357,752286,10290,310.769,38397,31146.2,21809.8,14342.8,2256.02,9.75158
2.15418e+06,1.48071e+06,872898,780724,734489,521386,845234,562136,833312,14121,1942.84,11034.5,59455.4,26216.6,18816.9,4845.91,9.7554
1.94462e+06,1.51519e+06,770052,567112,386150,289431,800501,453726,749940,8479.96,408.243,6626.94,43095.2,55681.9,21456.2,1493.86,9.77639
1.79435e+06,1.35697e+06,793393,579906,398050,295751,807537,450745,771930,11366.5,578.604,3659.63,48601,26128,16020.9,3249.51,9.78392
1.77166e+06,1.3351e+06,796192,653976,591706,430915,823884,507768,772765,14145.7,744.942,13433.3,57305.8,33982.9,14362.2,4098.68,9.7855
1.79885e+06,1.39322e+06,774684,523524,412123,315750,783132,411739,762897,10375.2,-384.124,15297.4,36271.7,22839,19581.2,3783.19,9.80952
2.2892e+06,1.66828e+06,823318,809791,617275,387493,955798,550257,882996,19062,2828.21,63094.7,39850,22076.3,22877.2,5273.75,9.81084
1.74445e+06,1.32818e+06,788049,756940,568372,375088,909182,516451,879394,16423,-224.065,100039,69202.9,49653.5,18337.3,5286.55,9.81216
2.31263e+06,1.52036e+06,912664,796310,637052,431091,886660,585710,815738,24598.1,1896.91,793.085,107638,43229.3,27631.4,2969.69,9.81705
2.0524e+06,1.64272e+06,749636,416354,371338,302905,735553,349024,715745,9331.99,409.51,42203.5,27736.9,15582.7,12420.3,2453.98,9.821
1.00398e+06,671033,897699,677528,477850,293626,976445,459268,885140,6535.78,1281.5,12807.3,51268.7,25389.6,16724.1,4754.83,9.82167
1.56406e+06,1.16874e+06,802944,631941,523934,355962,883129,479751,790336,9349.84,-343.913,35769.5,39643.5,16356.3,17782.7,2855.07,9.82431
1.56064e+06,1.16054e+06,806857,594749,364955,248570,880930,439865,811270,10236.8,1426.72,94834.4,39483.7,21934.4,15332.1,3350.31,9.82576
1.55194e+06,1.16752e+06,797561,564737,390872,282472,830254,426780,793950,12073.5,-294.452,4540.09,36010.9,24167.2,15322.5,5062.41,9.8346
1.93987e+06,1.49977e+06,776068,650507,480687,341261,845136,496953,785395,14759.5,705.385,49051.6,42502.4,21868.3,18268.7,2734.8,9.83579
1.89339e+06,1.4302e+06,794322,637218,526526,377730,836353,490984,778704,16760.3,75.0085,164661,42257.2,32833.3,17675.8,3301.45,9.83843
2.18057e+06,1.42214e+06,919982,518750,311551,206793,903952,381565,815720,9442.36,172.794,25278,30746.7,54758.2,19463.8,3900.02,9.85889
1.88862e+06,1.31937e+06,858876,579164,524731,355221,886318,424529,818551,11741.8,1076.28,4956.33,57661.7,33947.5,18505,2719.75,9.86747
1.63188e+06,1.22769e+06,797533,605770,343928,258241,799086,480943,755727,11439.1,1456.52,44221.6,35205.3,17605.9,14805.3,2576.59,9.87288
1.7534e+06,1.38524e+06,759467,516024,412575,319427,774966,422160,733406,10047.7,237.424,165134,35714.2,18892.7,14436.3,5841.84,9.87776
1.80673e+06,1.45306e+06,746036,579188,395531,285125,832333,467133,743927,11143.2,1983.22,54859.2,51636.4,20013.8,12445.7,5544.11,9.88634
