"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.93972e+06,1.25865e+06,924671,704055,558180,390316,858044,529627,797605,18062.4,1635.02,2542.28,50762.2,16340.2,17090,5418.71,25.4665
1.53669e+06,1.1495e+06,802101,549275,347732,261130,798985,440414,748307,9580.74,677.642,2345.41,39187,14105.4,10592.4,2662.19,25.4771
1.76616e+06,1.27327e+06,832262,685243,615236,459795,802839,550312,747114,9103.23,3288.48,25441,29372.3,16846.7,10694.3,3258.03,25.4925
2.02846e+06,1.36956e+06,888661,695337,536596,341380,943106,480233,868749,36095.5,1956.63,2529.35,228670,54901.8,22038.6,4675.56,25.5068
1.5772e+06,1.16530e+06,812079,753074,598903,435897,824373,574163,786962,14728.5,3167.85,6113.61,33728.1,41911.3,13963.4,3039.55,25.5182
1.48369e+06,1.10234e+06,807566,774504,655468,475850,826480,588073,790212,9000.07,884.439,57211.9,49713.4,23656.1,15523.5,4422.11,25.5357
1.7006e+06,1.30332e+06,782896,604735,487053,352251,829613,460752,787498,12497.4,2443.97,47502.9,49287.1,15043.1,13443.4,4011.15,25.5486
1.95881e+06,1.45785e+06,806175,745487,552772,430339,770702,598260,747655,5948.42,3623.35,12431.2,17979.2,11220.5,2088.01,1522.88,25.5633
1.6477e+06,1.16285e+06,850172,801596,460238,305029,905300,579881,829407,10897.2,4002.98,14670.1,57940.4,18295.2,13977.3,5562.68,25.5696
1.84819e+06,1.41739e+06,782361,653160,463884,338011,823435,523547,748540,9373.59,1687.27,25385.9,37056.6,25953.9,19644,3800.92,25.5734
2.41848e+06,1.84348e+06,787146,436587,315754,226054,838085,346532,755925,9045,4607.06,36479.5,28977.7,10314.4,10285.2,2541.1,25.5759
1.87674e+06,1.43298e+06,785802,753562,556938,388356,860455,580585,778761,9489.54,1278.53,15478.6,43273.8,16138.8,13463.5,8962.25,25.5766
1.9945e+06,1.51922e+06,787707,650657,521474,391424,799348,524627,744137,8286.4,2662.02,42001.9,49758.3,24753.5,10782.8,4005.67,25.582
1.58474e+06,1.19814e+06,793599,451114,370495,265186,838268,337152,802808,10788.3,2125.06,91702,44719.3,19810,21305.3,2375.15,25.601
1.91718e+06,1.44481e+06,796168,678692,583302,429498,814861,524987,775668,14327.7,2696.13,27379.3,33147.8,24585.7,17412.7,6276.53,25.6098
1.62034e+06,1.03436e+06,939915,914065,756773,500425,907356,663845,826156,14542.6,2470.26,12906.7,61964.8,46403.2,15060.8,7091.07,25.611
1.52788e+06,1.18057e+06,776511,685901,416788,297020,841939,523723,785798,10260.8,218.255,28010.6,40007.1,22733.1,13769,4835.78,25.6176
1.63627e+06,1.22388e+06,802170,615836,518713,394230,789458,508124,727188,11895,-157.937,1946.13,77644.5,33191.8,9518.99,5035.19,25.6373
1.63288e+06,1.11424e+06,879278,713951,580095,403835,861879,543987,787464,19635.1,945.213,4126.2,84222.7,39446.8,15027.3,5165.17,25.639
