FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.61E+06,1.15E+06,837080,757487,412676,299118,827785,598223,759737,893.252,21440.2,30655.6,27182.5,8487.44,7314.56,2855.11,10.29
1.83E+06,1.44E+06,764437,515822,398705,298747,800754,391581,790368,3051.83,81791.7,35029.2,20349.7,12145.9,15080.6,5089.84,10.3062
1.45E+06,1.02E+06,853740,644121,465695,329670,847566,489538,789463,2781.44,395994,33013.8,30028.2,12603.9,15676.9,4461.76,10.3096
1.86E+06,1.39E+06,803841,649857,466977,310434,902564,446162,873930,4668.66,48617.8,60777.9,17051.3,14553.2,17768,4737.11,10.3137
1.96E+06,1.48E+06,796564,644562,443720,309396,860489,465703,830437,3109.68,50827,38053.7,25505.5,12380.6,18410.1,5403.81,10.322
1.39E+06,1.06E+06,787390,561788,354364,251818,844334,424767,793548,1905.2,52368,29758.3,24161.2,11719.7,13681.6,2780.96,10.323
1.81E+06,1.41E+06,769263,539585,471263,346387,816306,425766,760396,-232.682,384453,22222.5,24639.1,11571.7,12776.1,3077.24,10.3285
2.17E+06,1.46E+06,894097,725282,579066,390180,890459,539929,805975,975.816,20869.1,33292.4,26543.1,12298.1,13949.7,3983.17,10.3294
1.61E+06,1.17E+06,823848,519039,307108,227726,809150,426922,729462,2950.15,86856.2,56424.3,56204.5,10003.4,11121.3,2455.59,10.3323
1.53E+06,1.23E+06,749674,524054,305905,243470,753863,438004,717876,1889.05,30073.7,22281.5,15147.4,6816.42,9122.9,5939.84,10.3353
1.49E+06,1.10E+06,810756,717572,604335,425141,852896,519688,828464,974.216,74024.4,44842.4,18400.8,11035.7,14362.5,3860.81,10.3386
1.79E+06,1.47E+06,731311,430007,257671,188925,818329,342800,752637,406.623,22422.3,27806,16732.5,9403.09,10820.2,2243.16,10.3535
1.66E+06,1.32E+06,751993,355888,323036,253615,764237,295116,723555,-108.722,6910.54,31610.7,23343,14274.7,9511.07,2073.82,10.3637
1.75E+06,1.33E+06,791051,684645,548747,381002,864164,515721,796529,325.053,47192.6,36293.3,20162.1,10770.1,19270.6,3946.94,10.3698
1.87E+06,1.46E+06,769140,575680,474439,364816,780293,461036,749199,1313.39,61678.2,45975.5,26956.8,11956.2,15354.1,5798.14,10.3703
1.99E+06,1.50E+06,794544,613430,524401,379718,828617,477736,770422,2346.99,16291.4,52319.9,16310.2,9864.75,12660.7,2960.97,10.3897
988409,607986,975426,877541,735433,499042,884214,641168,821196,2084.97,10178.8,66745.4,46074.7,19437.3,14496.7,3354.34,10.3902
1.99E+06,1.41E+06,843887,716468,611410,430659,851824,547118,785718,2156.64,6687.41,43613.6,20152.6,15263,14987,3434.36,10.4067
1.51E+06,1.04E+06,870834,779177,623800,430491,869425,585369,798652,1619.35,43296.4,32054.3,24150.5,9012.97,14931.1,4547.63,10.4116
1.86E+06,1.39E+06,804006,782014,513807,345411,892515,580988,807604,-29.4438,24944.3,56366.8,23441.3,17100.3,21613.9,4966.88,10.4177
1.17E+06,823537,853606,751591,600711,448027,804475,571067,789670,5608.3,36801,32737,17644.4,5031,15906,6776.58,10.4311
1.66E+06,1.25E+06,796030,645743,413859,291558,851685,515167,752078,-2.03894,87365.1,76958.8,17882.1,10900.3,15873.7,3508.43,10.434
2.27E+06,1.71E+06,795403,456014,305864,234572,782353,363623,752450,1331.4,3162.94,81304.2,56098.2,15258,14598.7,3280.21,10.4344
1.61E+06,1.08E+06,892813,689360,381982,259744,882365,522124,792179,4293.93,11233.1,55788.6,39116.4,15373.2,14472.7,4317.6,10.4366
1.78E+06,1.32E+06,808694,719002,469470,343250,820633,560211,770069,1560.69,15434.8,44667.5,31538.2,15422.7,14474.7,4106.94,10.4455
2.03E+06,1.53E+06,795298,791170,688072,500931,824152,598565,793067,3512.91,52135.1,58965.2,21432.7,13778.7,22979.9,5664.24,10.4477
2.35E+06,1.76E+06,804507,529403,455227,327010,835252,406409,781581,842.741,12930.6,35407.1,24780.7,14049.8,10784.5,4972.27,10.4488
1.92E+06,1.43E+06,806216,421583,289601,217200,800003,346569,729868,45.5806,1584.6,45641.1,39636.3,8110.6,10218.8,1190,10.4502
1.33E+06,997751,800892,694138,525875,359435,877835,502672,828538,3413.99,89461.8,73406.8,25515.2,9963.33,17903.2,2664.18,10.4508
1.37E+06,934351,882906,918075,814487,546289,894567,627112,878384,3115.2,42698.4,39873.6,25722.5,12474.4,25359.5,5052.46,10.4512
1.92E+06,1.39E+06,829749,749792,691015,521793,794585,601901,747424,1271.19,9573.82,44415.6,22360.9,11045.6,11883.7,6825.43,10.4591
1.78E+06,1.34E+06,797381,493480,334845,247320,812335,377450,784443,986.379,24426.1,65350.4,23507.4,16840,21509.9,1795.57,10.4725
1.78E+06,1.28E+06,833421,606867,561787,408944,824251,458266,794561,375.191,11995.9,44698.1,27991.8,12943.8,14595.4,4692.12,10.477
1.63E+06,997011,982760,1.04E+06,732990,469843,936044,690977,903370,5258.81,13062.4,118632,43738.2,21559,27107,6964.56,10.4847
1.80E+06,1.33E+06,812330,790067,658941,449536,879494,565852,837746,1475.12,168017,55312.4,26242.2,13243.1,21032.2,5413.44,10.489
1.21E+06,861603,844065,773780,564270,368387,919039,534048,869337,1043.97,55837.2,32509.9,40608.9,9126.02,14617.8,6045.06,10.4915
1.78E+06,1.26E+06,848009,676014,469708,333431,845226,491156,825823,1552.7,5253.69,58375.9,26671.9,16804.2,17719.9,4598.93,10.4969
1.25E+06,921220,811863,488077,359034,278308,774037,382599,765413,1864.95,906.055,34269.7,14710.3,9481.46,16283,2348.76,10.4983
2.00E+06,1.52E+06,788319,464431,392583,306272,769086,373464,746146,2476.04,10173.1,42216,33806.7,9994.53,12657.1,8686.68,10.5104
1.63E+06,1.13E+06,866925,753809,577131,402408,860516,547398,826246,508.927,47615.8,61894.4,48279.9,15266.2,19220,2759.52,10.5197
1.60E+06,1.12E+06,863364,872791,551586,380594,869566,655134,799340,757.164,13340.6,53295.4,23923,18284.3,17151,3151.32,10.5205
1.66E+06,1.11E+06,898267,929785,643500,415856,928446,634472,879268,2393.99,49722,107675,63487.3,17175.1,24212.9,5684.55,10.5257
2.33E+06,1.73E+06,809762,737584,571860,435874,787190,584602,757012,2244.96,98453.6,38363,17820.7,13248.7,14114.3,4961.02,10.5396
975026,595071,983102,892383,592511,384587,924385,610121,877580,1857,22146.9,34835.6,22755.1,12072,14439.7,5305.32,10.5446
1.76E+06,1.36E+06,780154,681622,435011,311354,838296,498666,820135,1565.82,31629.4,36377.4,20183.7,14468.6,13499.8,4442.27,10.5597
2.33E+06,1.58E+06,880244,721748,611184,440149,833151,516308,838741,1631.06,185167,35994.4,36763.8,9465.66,16770.4,3680.13,10.5678
1.94E+06,1.27E+06,911261,903622,700297,438368,958506,641354,845357,5892.71,14913.7,69256.6,27180.3,16156.7,19169.8,5167.08,10.5719
2.13E+06,1.43E+06,894603,472376,333668,232365,861580,336598,842029,2088.14,1984.69,35379.6,40544.9,7956.72,16029.7,1797.63,10.5976
