"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.58436e+06,1.33341e+06,712922,278257,197136,148533,796330,230616,723949,2192.5,3244.26,1.41205e+06,19155.1,20038.6,4698.14,3222.75,12.8337
1.55681e+06,1.31978e+06,707756,242545,197463,179850,658759,228154,637846,2454.19,-557.266,1.32701e+06,11338,14639.6,4190.37,1849.11,12.8838
1.15685e+06,914370,759113,267103,114992,95658,721267,245640,652425,2548.36,3112.24,2.28371e+06,9626.94,10663.8,3274.27,1255.02,12.8962
1.90148e+06,1.54621e+06,737859,291924,211533,176880,717547,262310,667738,5193.16,-3025.7,2.12593e+06,13275.5,12075.1,4343.91,1841.67,12.9413
1.50451e+06,1.20383e+06,749861,310881,193871,162796,714530,290872,641274,1991.43,1474.59,1.8522e+06,18861.2,18113.4,4076.49,1865.3,12.962
1.30576e+06,1.07395e+06,729508,280226,139300,118701,704121,262342,640903,2529.24,1871.83,1.51483e+06,7646.27,15252.1,2907.03,1935.21,13.0375
1.5741e+06,1.3278e+06,711299,273816,146399,127824,687188,257366,638349,2117.27,2893.68,1.69911e+06,12536.9,10579.8,3383.59,2117.62,13.045
1.74568e+06,1.51018e+06,693568,248378,179542,156282,689299,218912,680763,3333.96,549.572,1.53985e+06,13554.9,14211.3,4139.09,1562.97,13.1306
1.29786e+06,1.0866e+06,716654,283321,170241,154980,659083,269879,629883,1045.07,2134.06,1.23574e+06,8689.94,13275.1,2924.08,1643.01,13.1501
1.64699e+06,1.42645e+06,692765,239820,180425,164256,659064,225295,638682,1716.09,1836.33,1.63799e+06,12116.9,11366.7,3742.59,1279.02,13.2767
1.28567e+06,1.0731e+06,718855,248426,122233,107168,684342,233523,638290,2023.62,1593.82,1.63965e+06,11248.3,8779.29,3195.33,1417.48,13.296
1.63987e+06,1.47385e+06,667590,204856,121511,107824,676163,188882,650742,1751.68,1947.76,1.68923e+06,14741.4,7308.3,3442.31,1766.68,13.3253
1.74596e+06,1.52743e+06,685840,216559,154171,128029,722511,188798,688226,1947.69,2256.27,1.40706e+06,13394.2,13157.8,3562.32,2171.3,13.4056
1.72716e+06,1.44223e+06,718536,240467,173081,147921,702056,216877,665263,3443.1,-1723.09,1.66984e+06,10715.3,11074.8,2650.31,1144.92,13.432
1.31165e+06,1.05041e+06,749222,375803,190437,146778,778470,322885,698335,2654.64,3440,2.01944e+06,16921.3,18132.7,5139.74,2125.74,13.449
1.63389e+06,1.4058e+06,697348,221836,155721,131692,709478,203445,654238,1389.15,2661.12,1.89855e+06,14554.9,10078.4,4027.07,2176.99,13.4982
1.53642e+06,1.29553e+06,711565,269876,214994,201058,641589,244804,661450,2001.46,1807.07,1.5293e+06,9296.8,16004.5,3355.39,1805.54,13.6084
1.70235e+06,1.48502e+06,687810,240129,140025,121371,692215,218964,657995,2741.13,275.271,1.40475e+06,13835.2,14688,2980.6,2642.19,13.6337
1.38384e+06,1.15837e+06,716784,275468,144569,120272,721209,253835,651134,1889.35,1669.73,1.58923e+06,10597.5,15032.9,4010.61,1440.98,13.6374
1.66438e+06,1.3682e+06,729885,261827,171874,149503,689782,245969,638684,3553.08,-1386.46,1.50755e+06,9395.28,4722.46,3407.45,1532.5,13.6724
1.43105e+06,1.24855e+06,687704,300428,176250,148500,712121,265162,679799,2974.43,1808.68,1.53441e+06,14408.8,8347.09,4239.75,2506.26,13.7025
1.69598e+06,1.39298e+06,730508,223443,170411,144541,707387,201851,664182,2615.71,253.963,1.5479e+06,21242.1,13892.4,4121.67,1859.73,13.711
1.66665e+06,1.49989e+06,666709,194032,116607,108352,645713,180663,644398,2774.21,70.9675,1.42841e+06,9285.06,15913.2,3056,1323.96,13.8164
1.3301e+06,1.12254e+06,710943,375914,338507,316074,642584,339437,664477,2473.04,1706.19,1.4141e+06,10500.8,13376.9,2103.42,2450.37,13.8169
1.80319e+06,1.51339e+06,714895,295542,206109,164257,752879,254956,695513,2336.2,2124.43,1.9274e+06,17903.4,13316,4095.06,2207.51,13.8253
1.64304e+06,1.41963e+06,694423,295355,250439,223682,671772,268516,659973,2642.05,3636.56,1.6205e+06,17801.2,9621.49,3472.18,2894.11,13.9021
1.72615e+06,1.42604e+06,726266,327093,229866,201561,684256,305668,642056,2380.57,800.94,1.95471e+06,12264.7,13699.4,3279.16,2071.53,13.904
1.13077e+06,964535,703410,281492,170269,149551,683121,258985,652142,1274.03,1771.93,1.37883e+06,10784.4,11538.3,3345.08,1659.58,13.9486
1.53243e+06,1.23402e+06,745090,302636,201706,166505,726847,276064,657751,1660.87,856.742,2.04075e+06,14142.7,19098.8,3431.43,2375.49,13.9717
1.61631e+06,1.36878e+06,708505,253073,188702,164453,688473,226816,669458,2520.8,2350.31,1.43743e+06,14179.8,15426.3,3581.31,2244.03,14.0048
1.76213e+06,1.48263e+06,713110,316427,176364,152015,696105,289203,656480,4034.36,2339.97,1.84276e+06,28265.5,16459.3,4806.17,2623.11,14.0365
1.52228e+06,1.28858e+06,708819,330989,185664,153131,727472,292122,679831,2133.1,3331.05,1.58859e+06,10296,11884.2,3661.66,2253.84,14.1877
1.27746e+06,1.05066e+06,729520,359195,207242,178653,696015,334582,644138,2646.77,2348.85,1.60494e+06,16557.9,10482.1,4745.28,2448.71,14.3029
1.75087e+06,1.48647e+06,706724,244220,177346,159165,668537,234368,625223,2142.71,2109.54,1.45805e+06,10854.5,6095.79,3605.88,2010.65,14.3174
1.56394e+06,1.27002e+06,738858,312034,156302,127229,737105,282709,662237,2093.77,3868.85,1.55188e+06,11674.7,8155.06,2956.51,1825.47,14.3244
1.36383e+06,1.1552e+06,708364,271792,133435,113782,703636,252552,645710,1056.79,3284.83,1.72643e+06,15921.1,14063,3455.19,1263.44,14.3511
1.40221e+06,1.15698e+06,727173,244122,143924,126635,681915,230667,634999,1654.75,2562.63,1.52744e+06,10794.6,10076.4,3833.04,1810.18,14.3973
1.54893e+06,1.2809e+06,725554,270261,193093,163127,710217,247844,654269,3649.78,-1326.26,1.71013e+06,18503.6,8720.66,4066.37,2310.17,14.4739
1.7662e+06,1.49393e+06,709350,299016,220456,193166,684766,280662,639238,2467.43,-2068.33,1.71863e+06,11196,7580,1819.98,832.593,14.4848
1.33985e+06,1.08614e+06,740155,344689,182381,157417,695152,326524,633378,1434.01,2107.8,1.15649e+06,14442.1,9686.91,3400.26,1855.51,14.5272
1.70396e+06,1.49919e+06,681952,271114,155104,134039,694293,247231,657962,2678.01,3118.44,2.89491e+06,14063.4,13457.4,3782.4,1259.3,14.5508
1.76829e+06,1.5057e+06,704640,274839,203109,173574,702094,242348,680440,3511.08,-958.435,1.94229e+06,19411.5,15035.6,3771.33,2734.11,14.5922
1.30955e+06,1.09058e+06,720472,319911,177531,152379,699036,298235,643608,2019.82,3927.27,1.96642e+06,8807.65,6522.96,3826.22,1452.8,14.6923
1.30354e+06,1.08556e+06,720483,343120,183652,149176,738666,317191,649047,3084.96,3148.91,1.70988e+06,9466.34,6110.23,2808.94,2196.87,14.787
1.52218e+06,1.28041e+06,713294,266085,144241,119962,721435,245689,649809,1596.44,3827.73,2.16603e+06,10902.7,10121.4,4570.93,1442.69,14.808
1.72172e+06,1.41247e+06,731366,251187,197596,158188,749474,216926,694764,1887.46,-3139.74,1.49254e+06,16737,14481.5,7351.39,1179.86,14.814
1.24708e+06,1.01733e+06,735505,290508,152667,131839,694789,273629,637010,1170.69,2085.78,1.25117e+06,8449.2,7311.51,2911.16,1386.13,14.8475
1.64239e+06,1.40318e+06,702283,291782,193030,168913,685666,267963,653333,3321.09,3787.25,1.76102e+06,13893.6,7873.75,4061.45,2049.72,14.8843
1.65419e+06,1.36151e+06,728983,279365,183463,145042,758939,255272,656629,2260.68,559.823,1.91107e+06,11310,7697.48,3266.64,1441.78,14.914
1.87394e+06,1.51981e+06,739805,277761,187935,155875,723405,257290,647739,3523.13,-2563.13,1.77878e+06,13089,17077.5,3908.27,1145.24,15.1577
1.55349e+06,1.26927e+06,734352,270282,196988,170388,693670,250015,648637,1961.57,128.2,1.5359e+06,16120.8,9177.69,2619.66,1746.93,15.1902
1.74349e+06,1.52055e+06,687972,292626,237932,195871,728844,239165,734118,3712.44,894.773,1.82574e+06,12540.8,9451.7,3568.96,1599.79,15.4414
1.49701e+06,1.25077e+06,718122,280450,165733,112215,886154,226087,744270,2121.07,1933.93,1.66888e+06,10052.5,13077.1,4231.09,1923.61,15.4508
1.61983e+06,1.37874e+06,704915,242643,154294,134932,686096,226519,642710,1203.84,3405.56,1.67097e+06,14314.7,11823.3,3158.91,2162.44,15.476
1.63956e+06,1.45831e+06,674576,217000,136537,123498,663348,202311,643564,2481.69,420.618,1.35633e+06,10369.9,12786.6,3188.64,1480.4,15.5306
1.74764e+06,1.5141e+06,692543,242413,156156,140333,667650,228608,636231,2965.3,2877.35,1.60528e+06,12185.6,3088.78,3044.94,1959.48,15.5898
1.21916e+06,978860,747292,209786,132177,110215,719560,174244,722386,632.67,1766.38,1.49944e+06,11597.4,8710.14,3523.41,1758.17,15.5975
1.64088e+06,1.41523e+06,695667,301923,245544,196932,748108,259549,697956,3127.39,419.708,1.393e+06,14397.2,11143.4,2598.43,1614.08,15.6773
1.52251e+06,1.25163e+06,729854,326072,185324,170737,651261,315589,619930,1296.06,2405.79,1.36772e+06,12743.3,10260.8,3933.4,2064.18,15.6801
1.66758e+06,1.4023e+06,713505,290447,198372,167662,709901,257544,676655,2030.04,3435.13,1.89605e+06,17337.1,16286.8,4313.48,2261.36,15.7538
1.76581e+06,1.55554e+06,681108,223051,134006,119832,670967,198984,672569,2132.48,1324.11,1.17414e+06,11691.3,9774.38,4278.26,1810.08,15.7609
1.60709e+06,1.31807e+06,731563,263350,180887,144340,751919,233190,677603,2024.48,-1643.96,1.27133e+06,11396.3,12067.1,2764.16,1511.13,15.7866
1.5249e+06,1.27176e+06,719428,213140,125057,107652,697005,196822,649745,1949.47,2102.99,1.2684e+06,10999.2,5947.08,3202.78,1665.42,15.822
1.66262e+06,1.44345e+06,691100,211022,112129,105088,640199,196608,643987,2945.12,992.071,1.7844e+06,13354.1,9466.02,4815.92,989.025,15.8347
1.65101e+06,1.49211e+06,663897,219303,135045,124762,649454,198976,661294,2092.21,866.261,1.26462e+06,12709.8,5557.73,2917.91,1718.29,15.8427
1.25976e+06,1.00463e+06,752371,232797,156720,124300,756490,203040,687934,1376.78,3692.49,1.89028e+06,14648.5,8498.78,4237.52,1933.03,15.8618
1.60946e+06,1.35752e+06,711356,269274,165041,136882,723429,242737,665595,1574.23,4431.5,1.42528e+06,8965.91,6149.71,3643.44,1845.4,15.8624
1.59865e+06,1.3925e+06,688825,277577,151711,134052,679039,247571,672720,3158.63,1400.26,1.53345e+06,21031.5,10220.7,3927.87,2418.22,15.8664
1.2541e+06,994939,756288,262712,171101,140784,729208,233522,675000,1646.64,868.288,1.33786e+06,12845.9,17368.6,5082.1,1938.83,15.8706
1.55288e+06,1.33835e+06,696173,339318,190276,163725,697302,316816,642616,2304.63,2100.28,1.82523e+06,15657.2,15509.2,4123.95,2344.05,15.8986
1.43836e+06,1.2604e+06,684714,173800,111263,103723,643614,161268,646626,1269.75,543.692,1.07067e+06,10976.4,7347.02,2449.93,870.148,15.9764
1.45901e+06,1.14680e+06,763344,315135,202865,155416,783183,271343,696833,1567.12,1291.56,1.45394e+06,13176.7,12823.7,3390.19,2195.31,15.9805
1.4183e+06,1.20897e+06,703889,269221,132838,113455,702508,257302,627793,889.101,3723.71,1.74668e+06,7700.83,13655.1,2372.15,1614.15,16.0786
1.69936e+06,1.46761e+06,694744,250941,178988,151723,707823,227583,661582,2973.04,2726.03,1.93991e+06,18072.7,4732.46,4354.23,1893.48,16.0902
1.72422e+06,1.4878e+06,695343,280298,224851,212555,634710,270500,621733,1035.07,2191.96,1.55309e+06,16785.8,8385.59,4098.96,1536.54,16.1103
1.59179e+06,1.31647e+06,725481,249605,181413,152808,712317,228684,654892,3517.27,-3358.14,1.49416e+06,16254.5,6670.86,2552.21,1182.25,16.1448
1.76565e+06,1.48852e+06,711710,247581,196424,169320,696047,218976,678378,4695.68,-1167.94,1.47424e+06,17458.9,11706,4273.72,1611.07,16.2232
1.75092e+06,1.47687e+06,711337,289343,196021,171146,687207,270177,642564,1214.56,3442.65,1.99652e+06,10730.5,12963.5,4432.85,2215.57,16.2394
1.36094e+06,1.12171e+06,727964,302804,188726,162122,698461,271270,669748,1706.54,2697.16,1.68434e+06,15330.1,10698.5,3942.86,1847.5,16.2475
1.69974e+06,1.49866e+06,680504,247510,173441,157775,659576,226043,656982,1173.09,1681.61,2.31745e+06,14055.4,14360.8,3622.04,1959.1,16.2566
1.67706e+06,1.47764e+06,680976,260271,139116,115886,720274,230717,676859,2722.97,1881.91,1.82825e+06,17255.4,11288.8,3324.08,2589.05,16.3007
