FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.54E+06,1.15E+06,804364,670665,512322,362735,847432,511197,787170,2281.34,151904,27670,18661.3,9746.76,13322.3,2805.7,9.76163
2.58E+06,1.99E+06,776754,493185,388412,329161,708004,426983,693027,3491.13,127067,106071,11955.5,8404.62,7643.42,2525.41,9.77448
1.33E+06,922781,865138,893641,648772,439199,886302,653245,820801,2579.68,13490.2,43707,26453.8,11941.9,16850.7,2460.7,9.78538
1.67E+06,1.25E+06,799836,835980,635611,440688,865389,597815,839036,5179.2,169998,25987.9,22948.8,7047.79,16264.2,3578.73,9.7887
1.79E+06,1.36E+06,788425,890580,554297,384147,865757,660086,809512,1511.81,92917,72950.1,14633.6,10410.3,19480.3,1754.13,9.79436
1.81E+06,1.43E+06,760799,633526,440909,300005,881802,457817,830278,3322.81,118004,45798.3,16457.2,10895.1,17294,3900.42,9.80541
1.77E+06,1.21E+06,874710,1.03E+06,833048,560763,891337,767045,803438,3146.49,9146.1,67546.4,19290.1,10977,19116.8,3897.2,9.81549
1.02E+06,691745,880885,1.02E+06,675717,457287,886599,727837,842892,3463.88,69584.1,30314.1,27896.2,9728.91,22553.5,3093.96,9.81908
1.91E+06,1.33E+06,861983,795819,528969,365582,868153,594930,802601,1334.02,52773.4,38160.7,21322.5,12192.5,14851.1,6101.48,9.82336
1.14E+06,801117,853134,801325,473442,326732,869414,580544,828180,2283.73,41053.8,23433.9,14737.5,7662.48,12853.5,2551.42,9.82474
2.10E+06,1.53E+06,820197,917285,707678,486309,873122,676804,813192,3217.37,8484.34,32848.5,25539.5,10261.8,15882.4,3142.08,9.84449
1.68E+06,1.23E+06,818540,757450,540487,360085,900598,538245,844356,1750.65,15286.8,31358,25389.5,12432.3,18283.8,4860.87,9.84573
1.35E+06,959146,846489,802925,653545,447660,875948,591565,814374,269.913,134783,28900.5,13852.1,12323.7,16863.4,3157.21,9.86009
1.64E+06,1.24E+06,797537,787315,592995,408266,871483,584820,807751,1211.5,19237.6,65829.2,22816.5,12527,21759.7,3402.77,9.86216
1.41E+06,1.07E+06,789156,562803,365071,271043,808148,438186,770635,62.4898,15750.6,33252.7,11241,6616.23,10555.2,2375.34,9.93949
1.90E+06,1.32E+06,864383,825999,731228,487292,900357,611194,810871,2736.73,23815.1,51644.4,23561.2,13608.8,27090.1,1546.4,9.9446
1.88E+06,1.17E+06,961936,386034,338989,197730,1.03E+06,243309,951960,-166.718,-390.544,53894.4,19594.2,8964.59,5932.54,410.919,9.94819
909884,592082,922052,704886,593204,395647,899596,521750,810602,-76.8558,54242.2,47780.7,11993.4,8545.34,17649.5,2299.89,9.95744
1.75E+06,1.32E+06,793344,721801,628563,444553,848353,542084,798918,1244.49,36397.3,35866.4,13396.5,9372.03,13464.7,2460.02,9.96835
1.78E+06,1.33E+06,803163,766073,672812,479383,842097,572588,802748,543.794,18727.5,27548.8,15077.6,8850.6,14610.8,2356.92,9.97525
1.56E+06,1.25E+06,746628,635958,418971,302657,830586,486910,783666,4968.56,96161.6,38838.5,16946.8,7461.85,12831.7,2627.12,9.9765
2.11E+06,1.49E+06,847857,745011,442820,307579,863816,566447,789141,1051.47,9831.32,33703.7,19202.3,6321.44,14295.7,2869.69,9.98216
2.29E+06,1.66E+06,824406,624525,595172,418929,852420,466670,802955,1392.51,3574.84,44220.8,21794.7,7622.79,13406,2632.62,9.98382
2.00E+06,1.50E+06,799700,804705,537752,365132,883657,593924,812938,652.092,8497.12,48436.9,17666.3,14676.7,19156.9,3684.06,10.0163
1.68E+06,1.34E+06,752504,559375,392393,290300,811008,434440,772546,1850.89,17437.7,31852.1,12870.5,6931.72,12779.8,1555.93,10.017
1.53E+06,1.05E+06,875803,942934,822194,557415,885007,686825,823733,3691.31,10806.6,36774.9,19550.7,9969.26,25402.5,3713.28,10.028
1.11E+06,725540,914841,864863,569189,376159,907896,606316,855854,2143.12,29066.6,39676.4,33443.2,10932.4,16033.9,4123.81,10.0424
1.79E+06,1.43E+06,754320,681410,453513,324214,839284,530803,770240,454.825,10207.9,52497.5,15275.3,10942.1,16299.6,5645.71,10.0511
1.23E+06,848928,868436,942787,782671,522614,898565,664803,850887,5181.43,67403.4,44146.2,32804.1,8473.89,18480.6,2998.1,10.0587
1.55E+06,1.06E+06,874039,963295,626302,430436,873025,705274,819507,4949.82,36446.3,51981.2,20326.8,10884.2,24934.9,5267.27,10.0734
1.60E+06,1.15E+06,835107,836238,543282,379661,858580,618091,811762,2571.03,33934.7,53138.4,28279.7,11739.2,18602.9,2449.14,10.0801
1.59E+06,1.18E+06,808495,402280,284882,212661,803765,305002,791365,321.508,33178.7,54585.9,15247.3,8813.45,14295.3,1517.04,10.0837
1.79E+06,1.38E+06,775898,653489,517791,377298,823420,498085,787202,942.127,10707.4,39915.3,18047.4,11118.7,12412.8,2074.13,10.1114
1.72E+06,1.21E+06,854974,921344,647052,439585,883177,699955,789774,2.93738,41490.7,48604.1,34573.6,12553.1,13594,2511.87,10.115
1.21E+06,780658,926852,877578,625288,416849,900020,653329,805945,1264.6,59932.2,28883.2,37511.9,8178.79,17750.8,3037.53,10.1171
1.83E+06,1.33E+06,826353,973230,934333,641854,873407,710471,821902,3377.95,148151,45030.4,53179.6,10262.8,20326.4,4232.53,10.1226
1.82E+06,1.50E+06,725943,548816,394163,310257,762264,439730,748844,626.725,38063.9,35033.3,12863.8,9712.2,17208.4,2425.55,10.1378
1.85E+06,1.38E+06,805250,706664,681577,488639,836909,528186,802745,3063.64,4093.63,60889.8,18146.4,11569.6,15300.9,5074.28,10.1433
1.60E+06,1.14E+06,843897,941818,605194,409275,887219,702392,804523,4245.12,24897.1,59043.3,19713.8,12397.3,15042.8,2704.74,10.1508
1.90E+06,1.43E+06,796161,655389,558720,402884,832080,513613,765622,4072.58,150674,41862.8,20427.2,8837.72,12254.6,2094.62,10.1528
1.56E+06,1.17E+06,800898,782767,574942,397426,867998,587792,799025,2506.83,11798.3,59346.6,13619.3,11959.5,15972.6,2554.19,10.1557
1.83E+06,1.36E+06,806376,763369,564185,383060,883702,573586,798523,-536.748,47764.3,67691.7,15709.4,11747,19869.1,2297.96,10.1671
1.44E+06,1.04E+06,830599,796389,442223,320629,827541,626874,762248,559.384,26305.8,34516.7,12967.5,8388.83,11704.4,3005.63,10.1675
982525,688503,856227,369772,233829,166969,840261,292242,759176,2827.46,87168.8,30289.8,6954.92,5601.77,10299.2,1353.28,10.1773
1.23E+06,905130,814108,743150,395352,285535,830761,569000,783638,3993.28,163913,16863.7,10441.9,6311.09,12638.2,3954.82,10.1787
2.02E+06,1.52E+06,799502,791603,583150,394092,887839,571585,830955,1618.58,75275.2,74150.9,19614.4,11283,18508,2950.27,10.1876
1.13E+06,774967,873415,1.11E+06,588632,387943,910389,790617,839042,266.764,17359.3,60404.2,30745.6,11488.8,19222,3007.94,10.2093
1.30E+06,913763,854070,983860,651248,432057,904392,685255,861454,2382.49,271258,50187.4,32541.3,13452.2,17597.4,2077.21,10.2268
1.83E+06,1.25E+06,883040,891761,689495,474981,870976,683084,783296,1380.73,1185.97,79567.1,26008.5,13502.7,15512.6,3386.01,10.2568
1.17E+06,797720,880876,865148,534752,347176,924174,602575,861451,759.919,84255.2,24152.7,32135.3,9329.13,16170.1,3869.01,10.2611
