"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.65376e+06,1.26755e+06,782813,951202,582011,371189,940778,657557,867942,14454.5,2257.7,79151.4,50425.3,32661.2,18163,5105.9,9.80974
1.73216e+06,1.3128e+06,791659,669675,581207,418870,832535,515491,779460,9749.78,3147.74,13030.3,27393.3,15754.7,16634.2,3488.14,9.81594
1.90816e+06,1.30753e+06,875616,869675,776789,513348,907909,619737,841978,15028,1985.85,21616.4,53905.1,36997.7,23173.9,5789.59,9.81863
1.57866e+06,1.16946e+06,809945,707220,579949,435175,799608,552905,767459,11619.8,893.775,17825.7,55369.1,27028,18920.9,3680.25,9.82537
1.82196e+06,1.38152e+06,791284,799240,651365,467228,836463,623318,769341,13917.9,651.596,76989.9,24158.6,18582.8,23862.6,2913.37,9.83251
2.01357e+06,1.44404e+06,836643,905342,665046,464613,858839,689986,787270,10648.5,4054.77,21460.3,33673.1,13898.4,15869.2,6154.23,9.85864
947238,642822,884137,515785,408556,289315,847289,407735,759000,5177.02,1090.31,42139.6,30674.4,10770.6,9087.63,2293.93,9.90605
1.91694e+06,1.35532e+06,848630,796634,651971,467529,836702,605397,789532,8236.48,2153.22,2233.96,44568.9,15654.3,13908.8,2203.82,9.91359
1.66796e+06,1.26839e+06,789013,633910,444621,312931,852497,474199,802081,11107.1,380.275,192377,67078.2,26976,25873.2,2158.77,9.91602
1.04137e+06,743469,840412,594866,493047,359853,822080,448696,795460,5899.66,215.01,11922,38045.8,13811.9,12399.1,3260.32,9.93057
1.9688e+06,1.54892e+06,762646,702039,459747,317666,868360,524272,803444,15210.9,839.72,35924.3,50513.4,18173.7,17142.6,5525.5,9.96007
1.72024e+06,1.24411e+06,829623,900427,796412,585013,816814,696197,776011,10247.8,2206.04,7065.34,34289.2,18538.2,13841.7,4445.9,9.96572
1.64656e+06,1.24354e+06,794454,722545,613704,457187,805409,543915,797050,8868.34,2042.19,11238.7,57709.4,18677.8,13976.1,4795.35,9.99199
1.52526e+06,1.18651e+06,771301,456672,314686,229154,823951,345275,793579,5374.24,-43.3476,9121.22,42142.1,19099.7,10104.6,1580.12,10.0006
1.16043e+06,960709,724731,346915,181918,153593,710649,316900,656830,3794.13,1328.5,51121.3,13891.7,5654.3,4507.62,3215.96,10.0072
1.60172e+06,1.20911e+06,794825,877070,643738,442914,872049,627098,839170,6836.97,5763.28,65674.2,38016.2,27442,21555.1,5276.65,10.0134
1.75071e+06,1.34957e+06,778342,826470,605147,470546,771632,730299,679013,4772.64,4408.26,2662.73,25912.4,9483.5,2431.37,2090.48,10.0243
1.97013e+06,1.48188e+06,797688,686933,591529,441969,803037,533975,771870,13238.7,1123.22,32766.8,39367.1,22443.1,15554.1,2262.15,10.057
1.1093e+06,706268,942393,880352,489769,316906,927282,652892,809033,6625.98,1974.73,2242.98,48902.3,30523.9,13102.9,3342.95,10.0579
1.87776e+06,1.42325e+06,791605,668477,411267,296662,831789,534674,750151,8971.73,1431.83,77855.6,56856.4,15963.6,14563.4,2691.71,10.0606
1.74608e+06,1.3541e+06,773690,622789,557425,417848,800422,490710,761495,8281.05,1646.72,136165,38859.3,20807.4,9675.4,4887.99,10.0643
1.67269e+06,1.23316e+06,813856,701291,575699,400148,863229,525554,800630,8417.07,295.772,70949.3,34395.6,14431.2,14887.5,3580.15,10.0709
1.75242e+06,1.35421e+06,776428,751934,539539,388927,832350,574321,785555,14411.4,113.152,5978.4,44206.7,26210.1,13384.5,2961.2,10.0763
1.70475e+06,1.2007e+06,851880,912118,668550,426454,940617,669729,817152,13233.1,1531.08,42579.7,51870,19733.9,17730.4,5435.94,10.0925
1.47777e+06,1.08372e+06,818162,649320,387369,291266,797970,547297,711848,9069.52,931.986,76522.6,27740.7,14529.7,13418.8,2290.98,10.098
1.38039e+06,999912,828306,747058,440101,307496,858744,575101,779402,8400.58,1546.6,175394,30131.8,15057,14576.2,1755.84,10.0997
1.4091e+06,1.01078e+06,836444,725686,588571,417363,846128,547571,795170,6738.6,1540.08,75239.6,25490.9,17591.1,15571.3,4152.37,10.1128
1.96538e+06,1.38e+06,854512,728656,564840,389487,870129,563660,775633,15020.3,211.815,19232.1,52064.9,15786.2,21084.3,2985.43,10.1182
1.844e+06,1.24852e+06,886170,912750,818023,531676,923144,630738,868269,13500.1,1279.23,7347.45,51858.7,26147.6,25029.4,3036.46,10.12
1.52484e+06,1.15243e+06,793892,583721,497213,357937,833464,447636,782405,6619.78,3594.51,34433,41938.6,11637.4,10082.1,3897.33,10.1325
1.54928e+06,1.17518e+06,791003,716800,572056,406303,844772,551562,779749,9870.99,2971.32,286861,31413.4,15814.1,14219.7,2146.52,10.1453
1.9503e+06,1.3968e+06,837755,790136,653874,492068,797298,639170,741715,11705,1270.03,28322.9,34833.2,12065.3,15076.3,3569.1,10.1597
1.69149e+06,1.25376e+06,809477,722567,607003,418697,869846,545496,794764,10466.3,360.426,24902.4,50241.1,20601.8,14998.8,2428.98,10.1674
1.9375e+06,1.52044e+06,764581,614443,503402,382157,790359,481458,765728,10457.5,406.689,2740.09,35827.3,13527.4,12545.6,2748.01,10.2196
1.588e+06,1.22109e+06,780283,644446,494495,373207,794993,532005,726812,9019.49,3017.91,45365,32160.9,17521.1,10764,1621.68,10.2229
1.5342e+06,1.1358e+06,810462,720512,554080,383635,866574,538847,802282,9077.73,2086.31,4795.93,47348.5,24213.4,15105.2,5006.65,10.2522
2.04328e+06,1.61924e+06,757125,581874,447593,321189,836130,449795,776186,8677.27,-296.512,19378.7,28736.3,9962.26,12064.8,3915.81,10.266
1.42732e+06,1.06357e+06,805206,603812,410487,283927,867449,485698,745910,9401.14,174.796,166147,46222.8,13951.8,13893.5,1803,10.2696
1.56521e+06,1.1606e+06,809174,931975,593144,381800,932128,657066,851033,13964.2,1961.14,42730.7,53054.4,26661.7,20735.9,3707.49,10.2719
1.55059e+06,1.09571e+06,849092,439417,348920,251962,830887,341202,772710,11574.9,1328.05,17931.8,58027.1,28414.8,14653.8,2340.65,10.2798
2.071e+06,1.59348e+06,779803,642740,386180,288349,803568,511076,754573,11688.1,2043.03,3245.15,31827.8,15644.4,8720.23,3815.83,10.2956
1.55004e+06,1.18892e+06,782243,716541,619616,480272,774082,554355,775540,11621.1,1368.02,24612.2,27646.6,10118.3,17223,3417.92,10.3019
1.8303e+06,1.31746e+06,833556,719957,628358,457982,823208,541199,798180,11239.4,3647.38,15255.7,36983.1,16765.9,13100.2,3755.87,10.3061
1.64618e+06,1.18931e+06,830488,788966,629929,470544,803235,640531,739043,11067,1052.05,37132.9,28338.4,12984.1,13773,4541.61,10.3188
1.66494e+06,1.23011e+06,812093,892093,726976,511110,853408,658022,813431,10245.4,1489.69,64962.7,27278.2,23788.3,19046.8,3811.56,10.3589
1.75591e+06,1.23354e+06,854079,686868,588284,428834,823093,555284,742180,11571.7,1825.09,5590.29,59993,31142.9,13425.5,957.031,10.3767
1.80646e+06,1.36771e+06,792475,924505,711014,468642,910308,672779,824495,14646.3,3833.76,8078.33,61687.8,28640.9,15106.3,3693.68,10.3869
1.57173e+06,1.09452e+06,861601,965180,687480,440786,935801,665002,870837,11593.9,1869.42,1871.13,71119.9,20171.5,15432.2,2818.58,10.3898
1.28859e+06,902537,856642,697667,579323,403518,861409,539648,775691,6603.3,474.325,27132.5,30005.3,8941.93,12574.9,4634.72,10.3918
1.77089e+06,1.34892e+06,787689,811548,663438,473869,840026,620458,784789,10848.6,1483.89,38656.3,41739.3,11723.8,15735,3614.08,10.4034
1.94987e+06,1.53103e+06,764138,712282,470216,344990,817791,547335,780819,12560.8,1640.56,41894.1,33382.6,17080.2,15222.8,3255.38,10.4104
1.19157e+06,876907,815300,905006,712903,484828,882254,688326,788875,9609.21,2086.6,9160.14,40187.2,19890,13655.1,4203.31,10.4183
