"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.51113e+06,1.01564e+06,892719,456976,329730,234924,842137,354312,773854,11180.2,3777.59,1.15397e+06,65119,18941.6,10101.4,2797.06,10.0803
1.55225e+06,1.13657e+06,819441,540559,474155,369134,770704,444506,729653,9540.35,2720.16,720439,46203.5,13080.7,10756.7,3079.28,10.1578
1.33487e+06,1.02046e+06,784866,553016,419493,312279,805997,423798,782944,8404.86,1445.35,1.26072e+06,30753.5,25913.5,8848.82,2610.78,10.1832
1.82029e+06,1.31664e+06,829513,450016,306531,212058,867303,327611,824178,13696.7,2902.65,1.28008e+06,48923,16217.3,13247.5,2569.02,10.205
1.91849e+06,1.19585e+06,962569,892184,528299,317341,998861,630034,849653,19021.4,4469.26,1.5455e+06,43174.9,24756.8,19993.2,3984.71,10.2164
1.24984e+06,851044,881156,672763,379380,271013,839915,521348,774258,14246.4,4047.54,955304,28260.2,22367,10340.5,2132.99,10.2181
1.87487e+06,1.35212e+06,831972,559135,468018,332692,844057,413567,811189,11690.6,3683.07,1.30906e+06,39228.2,17787.7,13273,3007.45,10.2278
1.34056e+06,816573,985012,853827,552100,340627,972500,582650,879252,16523,7579.24,1.28717e+06,47651.7,24751.2,21830.9,5643.26,10.2697
1.50266e+06,1.07714e+06,837034,795239,702417,559947,752660,644958,739805,11647.8,3635.48,1.27012e+06,52746.8,18657.9,12147.7,4167.82,10.3502
2.06898e+06,1.56877e+06,791313,462640,340410,258324,790659,380896,728766,8877.22,4359.51,1.38609e+06,28352.1,18435.5,10710.3,1578.18,10.3545
1.55213e+06,967614,962445,917433,580868,372459,935729,634284,867844,20608.5,7246.64,1.31139e+06,53160,25849.7,20434.4,5152.6,10.361
1.8492e+06,1.16163e+06,955141,658196,515111,355429,869559,491044,804240,21590,2089.02,1.0293e+06,54312.8,20248.1,18966.3,3783.92,10.368
