"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
996145,604066,989440,673141,554988,331569,1.00429e+06,424152,952217,29732.5,1660.15,461949,65099.3,25892.8,29225.7,5089.73,10.2921
2.87761e+06,1.8991e+06,909149,984164,629042,379263,995154,660928,893438,33249,8393.05,293520,82077.6,43032.3,39472.8,8662.97,10.2976
1.03917e+06,567081,1.09949e+06,617901,488225,313620,934045,421776,878999,22308.6,4523.93,283365,64684,23019.5,23800.7,7993.11,10.31
2.41906e+06,1.39016e+06,1.04408e+06,922039,751432,401556,1.12278e+06,509336,1.08617e+06,37332.9,5801.39,554564,130743,58942.6,57636.6,13928.2,10.326
2.36597e+06,1.44297e+06,983789,767198,659550,431521,917058,528862,870395,23140.8,4212.57,281819,39755.3,41062.4,28257.1,8135.76,10.3358
1.22477e+06,749016,981100,869718,631374,382174,991236,587685,887943,23283.6,4470.46,235985,52083,23049.8,27622.2,8418.89,10.3377
1.77745e+06,1.26079e+06,845874,550128,380741,268770,849963,411073,802964,19573,1819.93,148288,48075.6,33309.3,21336.8,6620.06,10.3479
1.80465e+06,1.41786e+06,763681,416070,302935,233738,777626,325714,766444,13808.9,2528.14,299251,36822.5,16820.6,16505.4,3859.17,10.362
1.95007e+06,1.34518e+06,869804,619106,443553,312941,850421,462607,802978,21366.2,2768.31,291000,63476.7,29076.9,20279.4,5498.97,10.3697
1.06866e+06,749299,855726,635833,414388,272414,912702,469111,813240,10597.5,6504.84,1.00412e+06,33310.7,30998.1,13692.3,3772.23,10.3828
1.32178e+06,791784,1.00162e+06,869554,680415,397656,1.02664e+06,528452,987284,23924.1,6808.65,793625,82668.4,33248.6,31537.8,10908.8,10.3908
1.47364e+06,1.02698e+06,860957,604166,394347,270136,875886,471385,769010,11248.8,2369.18,286892,33433.4,22340.1,10488.3,4525.62,10.3938
2.27195e+06,1.37195e+06,993602,863801,670625,409230,983249,576910,898374,51342.2,3975.62,602105,69208.4,26150.5,38210,10342.3,10.4364
1.66782e+06,1.17737e+06,849935,749758,566574,390220,871160,563273,798645,14355.8,1929.68,269906,45703.5,13837.4,15243,3881.72,10.4469
2.3796e+06,1.65469e+06,862856,546274,376930,259855,870323,398025,823478,20093,3538.05,294323,65980.7,27371.2,25443.3,6048.14,10.4494
2.6416e+06,1.56112e+06,1.01527e+06,739614,467018,290574,964334,496075,894559,39564.3,3558.83,315605,119437,44678.5,39151.5,8771.02,10.4532
2.29638e+06,1.40988e+06,977269,834669,555600,355426,937917,585597,855198,16765.2,4495,453500,62983.1,54856.6,26817.2,5769.18,10.4739
2.55589e+06,1.5679e+06,978082,742458,525679,332702,948018,518719,858798,32012.4,2248.92,224026,57386.8,31362.6,29910.2,7415.34,10.475
1.79443e+06,1.03215e+06,1.04312e+06,669432,367475,244201,902884,492040,816314,18520.4,5167.65,189357,53900.7,38093.1,24952.8,4903.09,10.4754
