FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.47E+06,1.03E+06,852174,598548,452042,329416,823351,484010,741986,1075.41,29481.2,41272.6,18756.6,14990.8,11879.4,6505.65,9.67938
1.14E+06,762814,896247,607044,479450,338468,849918,462257,787931,-243.65,193245,31183.7,10186.8,8579.99,13782.4,3653.54,9.68676
1.54E+06,1.09E+06,847897,688281,448647,313767,857924,512935,805109,-954.466,38602.2,60220.7,52641.6,14960.1,16718.2,4622.72,9.70235
1.28E+06,939461,820646,625830,354065,263942,804870,526101,713737,-425.255,43056.8,31566.9,36856.8,15241.1,7483.33,5398.97,9.71474
1.54E+06,1.10E+06,840300,579188,348612,244924,854009,434973,798930,1637.63,24802.6,41672.6,25270.9,12278.6,13800.2,2250.5,9.71627
1.74E+06,1.32E+06,792172,560788,470431,373997,754708,462467,727561,41.8062,36714.9,29647.8,30656.9,10618.9,10219.6,3887.78,9.72309
2.06E+06,1.59E+06,777826,439870,361242,274974,788240,354169,745186,344.157,38045.8,27447.2,30095,13045.7,10536.9,4307.22,9.72435
1.32E+06,607905,1.30E+06,1.29E+06,666375,414007,965744,882717,880016,3350.8,156942,57870.8,71547,20114.9,19783.9,6681.19,9.72658
2.03E+06,1.61E+06,757712,364924,243809,187459,780361,283646,771929,3134.34,86483.4,29433.6,34375,10166,15484.8,4935.58,9.72727
1.29E+06,934547,830170,579079,331656,238059,835902,437122,794853,-689.669,47009.1,57724,35186.6,17653.9,12927,4338.72,9.72936
1.67E+06,1.29E+06,779860,497204,293190,225137,781364,394988,755270,783.416,207013,39851.6,16989.5,10202.1,10430.5,4689.96,9.73744
1.84E+06,1.27E+06,871393,838324,731624,480640,913313,583773,861626,3233.42,46440.5,43708.1,18483.3,24643,21570.6,5810.73,9.73841
1.59E+06,1.14E+06,838389,575147,412060,295620,836330,447227,771618,-170.166,26304.9,36791.8,19885.3,9575.38,15905.8,3163.75,9.73952
1.76E+06,1.16E+06,912516,577829,364128,246545,886153,439639,788595,352.549,33762.6,58794.2,47189.7,22238.4,16762.5,3656.34,9.76166
1.05E+06,761368,824957,548860,351777,266397,792299,451046,730116,1195.21,24399.8,25684.6,5811.29,4939.21,7424.91,2447.05,9.76222
1.20E+06,860440,837622,485858,432857,333794,778068,384083,758988,352.588,29553.3,35931.8,6416.34,8375.86,8684.7,3491.69,9.76291
1.90E+06,1.41E+06,806142,395590,221825,163006,816505,322551,735865,93.7386,33501.6,20736,1384.57,6711.48,8432.85,2224.36,9.76987
2.43E+06,1.73E+06,841509,585451,450657,311923,866862,432764,811690,730.613,39047.8,56558.7,19904.7,11609.3,17035.5,11629.8,9.7799
1.27E+06,940148,807367,557926,319737,223671,857698,425833,786120,754.248,113058,44000.4,9899.67,9141.1,11273.4,3992.37,9.78589
1.42E+06,1.09E+06,780798,492896,458158,373902,735206,419660,704707,1333.42,80280.4,24302.7,5207.96,7473.15,7191.93,4184.56,9.78714
2.18E+06,1.45E+06,902378,689519,487515,349598,836700,542182,763048,2323.15,4612.57,42321.3,11688.1,17463.4,16133.4,6284.22,9.79633
1.53E+06,982849,933575,478143,333147,222785,897224,352604,813620,299.868,36207.5,28779.1,10757.5,17274.7,22226.2,3880.88,9.80412
2.27E+06,1.57E+06,865197,572887,479514,321234,895634,419913,818580,725.514,25259.1,47153.2,16157.8,17107.2,16505.6,6157.98,9.809
1.84E+06,1.48E+06,745727,443440,324801,249419,781338,371545,716102,1664.6,72233.6,24619.8,2038.04,7963.05,8732.44,3520.87,9.81276
1.38E+06,1.01E+06,820069,743618,664742,454958,876664,529895,841998,3731.09,246732,40675.1,15781.3,10988.8,15524.9,5877.08,9.81415
1.56E+06,1.03E+06,911129,634188,558128,373284,897110,441744,861387,2472.04,19431.2,91413.7,22576.4,17297.6,23018.6,6689.78,9.81429
1.88E+06,1.49E+06,756532,546255,399881,301326,796242,430048,762131,1702.76,101505,38091.4,10883.2,11399.8,12509.7,5089.09,9.81596
1.68E+06,1.22E+06,825955,601843,352799,260003,814143,480466,751575,2976.64,70250.7,34984.6,6671.91,15895.4,14262,3081.95,9.81735
1.67E+06,1.16E+06,866420,579637,492543,358927,823359,434421,800565,500.266,146246,37671,19573,11530.4,19568.5,3210.34,9.82863
1.92E+06,1.54E+06,748372,375115,294411,232912,758428,294817,763420,1274.61,56079.5,31142.7,4245.56,8847.16,11921.8,2502.95,9.84046
1.92E+06,1.39E+06,827987,706809,611922,437426,839349,543573,780181,1046.64,60970.8,42739,33115.2,12986,14122.7,4176.97,9.84352
2.37E+06,1.59E+06,893119,895416,756926,515067,881741,631266,851067,1847.83,62153.7,58197,23236.1,29752.8,24154.1,6431.29,9.85076
1.53E+06,1.20E+06,765746,323116,181806,140643,775605,280993,689945,196.203,67334.8,22466.9,12887.2,2993.2,8624.51,2218.32,9.85995
2.04E+06,1.45E+06,843660,578221,516462,392660,789175,470771,736946,1538.09,16687.7,40224.3,15840.6,16165.2,13187.4,7168.59,9.87443
